grid,velocity,T,density,Y_N2,Y_Ne,Y_CH2F2(1),Y_O2(2),Y_H2O(3),Y_OH(4),Y_H(5),Y_O(6),Y_H2(7),Y_HO2(10),Y_H2O2(11),Y_CO(12),Y_CO2(13),Y_HCO(14),Y_CH2O(19),Y_F(37),Y_HF(38),Y_CHF(40),Y_CHF3(41),Y_CF2(42),Y_CF3(44),Y_CHFO(46),Y_CF3O(47),Y_CF2O(48),Y_CF(49),Y_CFO(50),Y_CHFCF2(54),Y_CH2CF2(56),Y_CF2CF2(60),Y_CHF2-CH2(63),Y_CH3-CF2(64),Y_CHF2-CHF(66),Y_CH2F-CF2(67),Y_CHF2-CF2(68),Y_CHFCF[Z](71),Y_CF2CH(72),Y_CHF2(81),Y_CHF(88),Y_CF2(89),Y_CH2F(91),Y_[O]OC(F)F(128),Y_FC(F)C(F)F(130),Y_FC1OO1(136),Y_[O]C([O])F(138),Y_CHO2(142),Y_CFO2(143),Y_[O]C(F)F(146),Y_[O]O[C](F)F(147),Y_CF2O2(152),Y_O2(176),Y_F[C]C(F)F(182),Y_O[C](F)F(220),Y_C2F4O2(252),Y_F[C]C(F)F(276),Y_FC1OC1(F)F(286),Y_C2HF4O2(406),Y_CF3O2(416),Y_C3H2F5(444),Y_C2HF3O(467),Y_OO[C](F)F(503),Y_C2H2F3O2(603),Y_C2HF2O3(899),Y_FC1(F)OO1(932),Y_C2H2F3(962),Y_C2HF2O(1007),Y_C3H2F5O2(1017),Y_C3H2F5O2(1096),Y_C3H3F4(1175),Y_FC1(F)CO1(1224),Y_C2HF2O3(2126)
0.0,0.08214192197487476,298.0,1.324004973841316,0.5594524496664636,0.0,0.2705968140968881,0.16995073425575244,3.4989184320746185e-13,0.0,0.0,4.021977387002851e-14,1.9780890413706813e-09,1.2317408657982635e-13,5.114734582264958e-14,1.075349163841607e-13,2.125758766390649e-14,5.130875802638746e-29,5.1781497031712224e-14,8.825392880655602e-14,7.725090989274876e-13,3.487414076827677e-18,2.5645816036696494e-13,0.0,0.0,1.5471222599943403e-13,0.0,0.0,1.3514746875637583e-14,1.699877392110833e-24,2.2676255562062926e-16,4.2609040895867164e-14,0.0,5.979039023320554e-34,6.243577434912174e-30,2.6789230391527165e-31,2.6522502761176987e-32,0.0,3.399069309099523e-13,0.0,2.5755917661398928e-15,2.5083080631902325e-27,0.0,7.240040905738643e-34,0.0,2.423529979659635e-14,0.0,0.0,5.486412116755959e-29,3.3343776835004325e-20,0.0,0.0,0.0,4.740366809427606e-14,0.0,0.0,0.0,8.834822703506003e-26,3.161646610582123e-13,0.0,0.0,2.774202642948234e-15,2.1032387475014803e-36,0.0,9.178470181423518e-18,0.0,0.0,6.679070402052383e-16,0.0,3.231543013442755e-17,9.660357388956339e-23,0.0,0.0,0.0
0.008,0.08214194363532103,298.0000002194975,1.3240046247078936,0.5594524321233437,0.0,0.27059681735820557,0.16995073098907404,1.4589336436056518e-11,0.0,0.0,0.0,1.9474839576579604e-08,4.406863737850235e-12,0.0,6.016154814120046e-12,3.321117182611459e-13,2.4175263972466198e-27,5.180624486390876e-14,4.341167351294912e-21,2.795630107833617e-11,1.4960511839171827e-25,2.5710531492673165e-13,0.0,0.0,1.5472735588583886e-13,0.0,0.0,4.507046020802438e-14,1.1134016313138354e-22,3.200595248729815e-16,4.264721401016759e-14,0.0,4.1772149796623037e-32,4.252984887524743e-28,1.481468445580675e-29,1.464182761116833e-30,0.0,3.399069377115612e-13,0.0,0.0,1.4726641467120068e-25,0.0,3.754252956588999e-32,0.0,2.4239097293516227e-14,0.0,2.442312843593059e-32,3.8441558481584406e-26,2.5125427999432833e-18,0.0,0.0,0.0,5.0044752426175215e-18,0.0,0.0,0.0,8.834864897135563e-26,3.1616466861112914e-13,0.0,0.0,3.915420942931632e-22,5.609834323052594e-35,0.0,9.37810166989756e-16,0.0,0.0,5.321698883614842e-21,0.0,3.486793778516438e-15,1.0431355278076297e-20,0.0,0.0,0.0
0.016,0.08214215868917897,298.0000087598855,1.3240011583754547,0.5594522585015714,0.0,0.27059684970640635,0.16995069830821982,4.973043936197252e-10,0.0,0.0,0.0,1.9173593119506775e-07,8.214179375427639e-12,0.0,2.1653329212933198e-10,1.5081123188992097e-11,4.086227471910315e-28,5.299110468325871e-14,2.3063174911443255e-28,1.0082870567469457e-09,6.939438351204679e-33,2.949678414172189e-13,0.0,0.0,1.5559273878630416e-13,0.0,0.0,1.1858453363842533e-12,1.294956749833727e-22,6.258475671804619e-15,4.5060250977338587e-14,0.0,5.125171864809529e-32,5.212313260762303e-28,2.5647468209222193e-29,2.5353517246418377e-30,7.741250495923928e-27,3.3990699419944215e-13,0.0,0.0,1.0874421337432356e-24,2.489015169533623e-14,1.1682464855693415e-37,0.0,2.460782916569312e-14,0.0,0.0,2.9194696019570335e-29,2.5155103244144762e-18,0.0,0.0,0.0,5.004258738488481e-18,0.0,0.0,0.0,8.835154839663363e-26,3.1616474491096465e-13,0.0,0.0,5.553596955693411e-29,7.712235654531969e-36,0.0,9.378222740954214e-16,0.0,0.0,4.257860327069305e-26,0.0,3.486808113641679e-15,6.492797291567017e-23,0.0,0.0,0.0
0.02,0.08214300391614081,298.00012773175297,1.3239875348122658,0.5594515840990617,0.0,0.27059697618035966,0.16995056598480665,6.675352865659603e-09,0.0,0.0,0.0,8.492590285228823e-07,1.080614420338984e-11,0.0,3.0555398951060942e-09,2.7934843945160355e-10,1.185467706580477e-28,7.44032192340671e-14,2.387452310839047e-28,1.4434678956968688e-08,0.0,1.1304034229878388e-12,0.0,0.0,1.7791418036608563e-13,0.0,1.4317441849511705e-12,1.6793629430977574e-11,1.2836972413994594e-22,1.4872049266068793e-13,1.0074894768023275e-13,0.0,1.1839081749064127e-31,1.2040328636197024e-27,1.064101403724068e-28,1.0519065019674236e-29,7.377685121818189e-27,3.3990721138847385e-13,1.9040548282428138e-34,0.0,1.7367080348589785e-23,4.637554667439808e-13,3.1376681895999227e-37,0.0,3.517326722040991e-14,0.0,0.0,4.751715888753621e-28,2.5446616988528237e-18,0.0,2.6914664852664714e-35,0.0,5.004330855436767e-18,0.0,0.0,0.0,8.843599078471714e-26,3.1616504493852967e-13,0.0,0.0,1.5637880422348205e-35,0.0,0.0,9.37991230046942e-16,0.0,0.0,7.385104061161899e-31,0.0,3.4869136331040945e-15,2.406528055524234e-23,0.0,0.0,0.0
0.022,0.08214499770410177,298.0009852078407,1.3239553995916282,0.5594500532546521,0.0,0.27059726834802267,0.16995022653450234,4.775453054714217e-08,0.0,0.0,0.0,2.2685423924660418e-06,2.0331391175648e-11,2.1016565619978545e-11,2.2908660393213765e-08,2.712950420966522e-09,4.671028897691023e-29,2.7323107797822593e-13,2.88513349835915e-27,1.0973432102901631e-07,0.0,1.0556244881038294e-11,0.0,0.0,4.713800263422608e-13,0.0,2.206017933700089e-11,1.274671169020406e-10,7.515076104797609e-22,1.893167985097744e-12,7.572747279155605e-13,1.883608326732883e-15,1.638190213588448e-30,1.6659885597280282e-26,1.9914261209691505e-27,1.968617179436779e-28,7.798135574170165e-27,3.39907729737765e-13,1.0446173684579058e-32,0.0,2.4725852339710445e-22,4.289774579316842e-12,4.986730715706293e-36,0.0,1.8918512188177275e-13,0.0,8.973847221652497e-35,6.764930254596612e-27,2.867915523404601e-18,0.0,2.489733846149493e-34,0.0,5.0048689858855835e-18,0.0,0.0,6.645141586330401e-29,8.95897994945073e-26,3.161657689306747e-13,0.0,0.0,0.0,0.0,0.0,9.412141118796497e-16,0.0,0.0,4.545826582331964e-32,0.0,3.4889509360052792e-15,2.3756603146793532e-23,0.0,0.0,0.0
0.023,0.08214825787886837,298.0042892566235,1.3239028565331075,0.559447768254949,0.0,0.27059771895826473,0.16994957844707403,1.9459623025649946e-07,0.0,2.1233416320449254e-25,0.0,4.155164077949474e-06,5.442021485508937e-11,1.0623255970310735e-10,9.728816589722968e-08,1.452667098087679e-08,1.0468447917767758e-29,1.2460693174474474e-12,2.728996001698946e-26,4.71773938038915e-07,0.0,6.608622425672297e-11,0.0,8.774317878765982e-34,2.4738810629837122e-12,0.0,1.7084503768320216e-10,5.475234724196302e-10,5.063479096204046e-21,1.3009610516410877e-11,4.791350974316382e-12,6.54451237468635e-14,2.78482736080002e-29,2.831764862850792e-25,3.6287802733319416e-26,3.587311793426911e-27,3.182170080570309e-26,3.399086584889853e-13,1.0449116870028546e-32,0.0,2.8659162047939608e-21,2.19238223980629e-11,1.3757823503953304e-34,0.0,1.350195120304928e-12,0.0,6.357708046218546e-32,7.840697585593938e-26,4.980773714533549e-18,0.0,1.2727146699032587e-33,1.9273721373803238e-32,5.0069625062812505e-18,0.0,0.0,2.309032402831325e-27,9.739176513313967e-26,3.16167205409514e-13,6.338640995798175e-16,0.0,0.0,0.0,0.0,9.72905379179564e-16,0.0,0.0,4.700912360780511e-32,0.0,3.5096667026411847e-15,2.3896271635907058e-23,0.0,0.0,0.0
0.024,0.08215825433862474,298.02236203690387,1.323741773235653,0.5594417679197714,0.0,0.2705989480960243,0.16994719194004004,9.433859785307808e-07,2.5029885132946843e-18,6.676983502114437e-24,2.5009632345017878e-18,8.127772721737437e-06,2.3538181061043553e-10,5.640100993407772e-10,4.936201522589365e-07,9.492693265232643e-08,3.9510815996479637e-28,7.916740385481918e-12,5.264000964867271e-25,2.4262229350449e-06,0.0,5.207683765686818e-10,0.0,1.2962021425214002e-30,2.1359814992454175e-11,0.0,1.651221960568284e-09,2.8132221374441835e-09,4.537817120440244e-20,1.1116397696780346e-10,3.918514942646331e-11,6.628025207163607e-13,9.872283322121709e-28,1.003251175934087e-23,1.342194926210804e-24,1.3270470176326754e-25,1.0920926154280658e-24,3.399122911651839e-13,1.583396050438344e-32,1.782055910868245e-20,6.340909348109904e-20,1.3616515636152118e-10,1.2984038454013232e-32,3.064303898650065e-13,1.3406375689066658e-11,0.0,1.5316036438860756e-30,1.734479864351039e-24,2.4700147077990647e-17,8.582552694357368e-35,7.915021366757313e-33,1.5569887602786935e-31,5.018462742528123e-18,1.4544746240428298e-17,7.631837565001953e-33,2.3387703861688777e-26,1.69431539245485e-25,3.161747860396614e-13,1.2094995559011834e-14,0.0,1.104566734074488e-33,0.0,2.4096273705337757e-28,1.3991735225015956e-15,0.0,0.0,7.244402292121295e-32,0.0,3.798239118623566e-15,2.5885313354957454e-23,0.0,0.0,0.0
0.0245,0.08217381710068138,298.0616818951035,1.3234910724046496,0.5594340240332014,0.0,0.27060055400468586,0.16994289997779954,2.4686816344519004e-06,1.8243297576431676e-17,5.268487983893333e-23,1.5865347988956587e-16,1.1761047678219445e-05,6.201766860859323e-10,1.5422947137810675e-09,1.3350306757668809e-06,3.101451648183119e-07,9.6916271186745e-27,2.5901098320541793e-11,3.672818711483811e-24,6.626691788595297e-06,8.444108972245998e-31,1.973547221356004e-09,1.0222465668436055e-31,3.3748600756821404e-29,9.050609207379241e-11,1.3949396528981377e-25,7.359123593561119e-09,7.678750918261604e-09,1.9514656041089737e-19,4.4839559218239577e-10,1.534346122341966e-10,2.8426018902225954e-12,1.0211973530923051e-26,1.0363854394181319e-22,1.428666943551228e-23,1.4129836915592001e-24,1.2283082784873926e-23,3.3992043491035996e-13,1.6377404181153766e-31,1.3135204420993506e-19,4.573694317492169e-19,4.279566749289242e-10,2.467919947348284e-31,1.8519836848906265e-12,6.185533643398322e-11,0.0,1.1088605874009561e-29,1.2507189222666274e-23,8.482620713612886e-17,6.693159034614247e-34,2.494964176527221e-32,5.063458603672731e-31,5.043596362708912e-18,8.693540205889583e-17,1.752444947200458e-31,1.0033283573306914e-25,4.279338318791936e-25,3.161994775461029e-13,6.910434385868005e-14,0.0,3.3297077746813113e-32,1.3465792980919023e-32,1.896916322297864e-27,3.602426376584211e-15,0.0,0.0,3.2388217239195752e-31,4.349737165695924e-28,5.342130653578007e-15,3.6500710514072456e-23,0.0,0.0,0.0
0.025,0.08221659028023619,298.1887926194548,1.3228025274250421,0.5594159619477874,9.317721389734394e-49,0.2706041283303275,0.16993010301057598,7.118179414297673e-06,1.6125797852063963e-16,5.435857773091408e-22,5.902155956222829e-16,1.7401296940751076e-05,1.8407586057268658e-09,4.654019350292329e-09,3.99642171535309e-06,1.1497350135675795e-06,3.0421976397365613e-25,9.651895625837003e-11,3.2209677216675546e-23,2.0058884703850455e-05,1.5204308225436214e-29,8.644593455321087e-09,1.8412239589085184e-30,1.2450027832227351e-27,4.509750280136633e-10,6.412962855733391e-24,3.859447007134137e-08,2.322724077503554e-08,9.992166888704527e-19,2.105072254380368e-09,6.97346702156039e-10,1.4167634732413697e-11,1.388859331992295e-25,1.4034421137911345e-21,2.0002598282554054e-22,1.980296120103034e-23,1.8163132824731022e-22,3.399530041053327e-13,6.193874459548731e-30,1.1551293355836942e-18,4.075674184172032e-18,1.5185855897711047e-09,6.538954310466787e-30,1.1110875907035571e-11,3.375011827082079e-10,0.0,9.899886115276247e-29,1.1135993256013158e-22,3.5169808010957364e-16,7.095142994618473e-33,8.938873482974376e-32,1.8381357215065e-30,5.125697806105578e-18,5.637759222172161e-16,5.498973709912613e-30,5.006409102572657e-25,1.750489615987132e-24,3.1633497829265026e-13,4.660522181540467e-13,0.0,1.3915710971088891e-30,2.4217872504380005e-31,1.8803133408542116e-26,1.9515042004020876e-14,0.0,3.2789106588760173e-16,8.14256320013557e-30,8.204391212951347e-27,1.6866414123629136e-14,1.1643164195750323e-22,0.0,0.0,0.0
0.025500000000000002,0.08234305769605722,298.5992937726079,1.3207708915839567,0.5593699372194163,3.953241178167879e-48,0.27061202377126486,0.16989045854044418,2.127458169121699e-05,1.542949451052543e-15,6.803083653437183e-21,1.854768943069205e-15,2.6150103874548576e-05,5.723920949919047e-09,1.4533750215797341e-08,1.2405905467342326e-05,4.4214021230673865e-06,1.0986085076579753e-23,3.7348210500540367e-10,3.0372766889839383e-22,6.296293189060853e-05,2.342231287225979e-28,3.9242266713927444e-08,2.839242068221554e-29,5.210088077554253e-26,2.3279302750900985e-09,6.643246172482027e-23,2.0932081657414854e-07,7.286441534575995e-08,5.642422529163047e-18,1.0234269694181114e-08,3.2838060688704445e-09,7.293760864690747e-11,2.0875645631887104e-24,2.080321932802215e-20,3.0703789851680744e-21,3.049623065250504e-22,2.905731876413646e-21,3.4009431195655105e-13,2.823198589425233e-28,1.1080501825790939e-17,3.8656497091209997e-17,5.590786480814838e-09,1.9396145374740802e-28,6.620364667308634e-11,1.9039008366648173e-09,0.0,9.435525165939498e-28,1.0535449255010846e-21,1.3922797088529293e-15,1.1097286816120598e-31,3.3955912994496346e-31,7.054569159490624e-30,5.399630569010794e-18,3.700995903202116e-15,1.938065051459755e-28,2.5876526000754703e-24,8.574688444559278e-24,3.171136620442709e-13,3.2262344399675434e-12,1.2073010092480076e-12,6.644986523138578e-29,3.717314002928051e-30,2.0818636851729735e-25,1.3430079993789446e-13,0.0,4.647442698861182e-15,4.423539719609418e-28,1.480562753800915e-25,1.0278384654841031e-13,7.333688873559689e-22,0.0,0.0,0.0
