grid,velocity,T,density,Y_N2,Y_Ne,Y_CH2F2(1),Y_O2(2),Y_H2O(3),Y_OH(4),Y_H(5),Y_O(6),Y_H2(7),Y_HO2(10),Y_H2O2(11),Y_CO(12),Y_CO2(13),Y_HCO(14),Y_CH2O(19),Y_F(37),Y_HF(38),Y_CHF(40),Y_CHF3(41),Y_CF2(42),Y_CF3(44),Y_CHFO(46),Y_CF3O(47),Y_CF2O(48),Y_CF(49),Y_CFO(50),Y_CHFCF2(54),Y_CH2CF2(56),Y_CF2CF2(60),Y_CHF2-CH2(63),Y_CH3-CF2(64),Y_CHF2-CHF(66),Y_CH2F-CF2(67),Y_CHF2-CF2(68),Y_CHFCF[Z](71),Y_CF2CH(72),Y_CHF2(81),Y_CHF(88),Y_CF2(89),Y_CH2F(91),Y_[O]OC(F)F(128),Y_FC(F)C(F)F(130),Y_FC1OO1(136),Y_[O]C([O])F(138),Y_CHO2(142),Y_CFO2(143),Y_[O]C(F)F(146),Y_[O]O[C](F)F(147),Y_CF2O2(152),Y_O2(176),Y_F[C]C(F)F(182),Y_O[C](F)F(220),Y_C2F4O2(252),Y_F[C]C(F)F(276),Y_FC1OC1(F)F(286),Y_C2HF4O2(406),Y_CF3O2(416),Y_C3H2F5(444),Y_C2HF3O(467),Y_OO[C](F)F(503),Y_C2H2F3O2(603),Y_C2HF2O3(899),Y_FC1(F)OO1(932),Y_C2H2F3(962),Y_C2HF2O(1007),Y_C3H2F5O2(1017),Y_C3H2F5O2(1096),Y_C3H3F4(1175),Y_FC1(F)CO1(1224),Y_C2HF2O3(2126)
0.0,0.025627889239163985,298.0,1.2701784197417705,0.6236251602411854,1.0098312307495537e-44,0.1869294352020348,0.18944507427120463,1.2081305595453003e-07,0.0,1.6527478736637337e-13,0.0,1.1669812150253139e-07,1.7338169715193682e-12,1.3676439037728182e-11,7.390166174403174e-09,4.388289800667067e-09,0.0,0.0,7.173863212783724e-13,8.078742903433325e-08,1.217811329619498e-21,1.407057385712089e-12,3.522741718846658e-14,0.0,2.0314069020390322e-13,5.259391089311671e-22,1.8647086596204818e-10,2.9258269456989836e-12,1.3149869151008038e-19,2.0626808139538885e-13,4.005208925975643e-14,6.0721680833650784e-15,1.7361964399424785e-31,1.7671217353902968e-27,5.241356086715099e-28,5.182344750285245e-29,2.535637472252062e-14,2.0688041635715315e-14,0.0,0.0,3.3618434773427395e-24,4.359385679906444e-14,0.0,0.0,0.0,0.0,0.0,0.0,6.152637229624809e-20,0.0,5.712656174340419e-31,4.869967780724535e-30,7.465216226595449e-14,5.996291626685942e-22,1.1604359014300424e-33,1.3205777426399145e-29,4.569117601701958e-17,0.0,1.3485631071288826e-15,0.0,4.301108189190116e-15,0.0,0.0,7.821543406099887e-15,0.0,5.230796477207231e-18,1.6677558358903147e-13,0.0,1.7503859991893425e-16,1.5863018632932235e-22,5.564507623893827e-15,5.753062052556006e-13,0.0
0.008,0.02562958095370367,298.01795303284416,1.270094579957814,0.6236238609160912,1.662719317168371e-45,0.18692964002724496,0.18944366942474714,1.3082194733719286e-06,0.0,2.5316018148743547e-19,0.0,4.3275898446079083e-07,1.9946398890385184e-11,1.5680346569557162e-10,8.498644999282537e-08,6.579673271493547e-08,0.0,0.0,1.8136456888463914e-20,9.334097322625966e-07,9.725666427864582e-30,2.566884041678489e-11,7.672765750607812e-22,0.0,3.3511225323526637e-12,1.2299783911290755e-20,4.203682018013399e-09,3.2635164942969106e-11,2.7462321375481616e-18,1.2912759024175355e-11,1.9828503042744966e-12,1.0390438462165222e-14,3.813597468396953e-30,3.874793173179622e-26,1.1910354641506613e-26,1.17762638816905e-27,1.1604848613919964e-21,2.0688451111805637e-14,0.0,0.0,5.2793582229391803e-23,1.0611202205742917e-13,1.3199959013307573e-35,0.0,2.5558070379297023e-12,0.0,1.1118408863092723e-34,0.0,1.588484229649813e-18,0.0,1.8514796976146136e-29,1.4947101803491615e-28,5.5911471825997904e-18,1.7268332597800515e-20,2.707460962830249e-32,3.9213287797889633e-28,4.5620269283086836e-17,0.0,3.997002629604176e-14,0.0,1.7683542764858532e-22,0.0,0.0,2.4175114574188743e-13,0.0,5.7157584106558505e-18,3.939801810975475e-19,0.0,5.602173248006753e-15,5.077013132687992e-21,5.566268692083803e-15,5.753072625779422e-13,0.0
0.016,0.025648050001262374,298.22360728568407,1.2691799907463863,0.6236128233892239,2.0810509696504958e-45,0.18693100027021745,0.18942757567841315,1.4157391678509127e-05,7.960842789625111e-19,8.173171864449899e-25,0.0,1.60417252089635e-06,2.1113105078183648e-10,1.7763398473258734e-09,9.76796297053342e-07,9.86135822631577e-07,0.0,0.0,8.698388527076112e-26,1.0778171798145428e-05,0.0,4.677516137750898e-10,1.5990738585894763e-29,0.0,7.046003437071503e-11,5.454191067181303e-21,9.470624080994757e-08,3.788474722450155e-10,5.789230890486022e-17,2.6442279786090956e-10,3.906856332906062e-11,1.0623551361869791e-13,8.0242645452095865e-28,8.098932527529721e-24,2.5886971471816754e-24,2.5635678777061412e-25,1.4018858491320577e-25,2.069525467074128e-14,0.0,0.0,6.805202793429057e-21,9.958036949100343e-13,1.1798748723247263e-33,1.0012576264918646e-12,7.66235273644596e-11,0.0,1.7560601888770188e-31,1.9846193484420555e-25,3.570493969719672e-17,0.0,6.326045373999747e-35,1.4069418061273577e-33,5.739239664425088e-18,4.846175017726987e-19,2.4538677636131565e-35,4.017476163712638e-27,4.511223062286311e-17,0.0,1.8580356721937598e-13,0.0,7.416967294534914e-30,0.0,1.5140100748987274e-28,2.451600215044044e-13,0.0,8.817922459455279e-18,9.406385060542509e-25,0.0,6.3513894023823175e-15,5.010064753683678e-23,5.606721034749338e-15,5.753171853138564e-13,0.0
0.02,0.025728310213684512,299.1313618229358,1.2652207478756778,0.6235737478013691,6.45776939806509e-45,0.18693286578948276,0.1893556804791934,6.774905977818576e-05,1.5794185542561363e-16,8.939449425109454e-23,0.0,3.3746816048648713e-06,1.0766477934713072e-09,8.979768070136305e-09,4.921858539447478e-06,6.2593289532212e-06,3.964266219253132e-27,1.531929021632597e-12,2.2120931300660654e-24,5.451318765111964e-05,0.0,3.535315169335073e-09,0.0,3.603155814664866e-28,6.138095947524379e-10,1.4669581120620408e-21,8.684434485828688e-07,1.9311492240519977e-09,5.469485175891256e-16,2.1575501856113296e-09,3.08436892625518e-10,8.939571643249093e-13,3.421831880889028e-26,3.349166767454736e-22,1.1137912283002535e-22,1.1109137947184469e-23,6.00570999563026e-24,2.074062974675771e-14,2.4501615049163133e-30,7.047825004174634e-19,1.7375897549536497e-19,5.848614841679615e-12,1.56585971870147e-31,2.0157805038197647e-11,7.361411837322933e-10,0.0,4.566487425022908e-30,5.041597414885658e-24,2.5004624687487435e-16,3.7659787670125816e-33,3.959365738951328e-34,8.748953742778137e-33,6.438985092241453e-18,5.418583779227628e-18,2.0687832361170666e-32,3.412425111558339e-26,4.5253487112296734e-17,0.0,1.8188535492551274e-12,6.863328420906303e-15,7.7978429013714825e-31,0.0,3.330828188415465e-27,2.849108061731607e-13,0.0,3.8163105058800954e-17,2.1692339769276742e-29,0.0,1.540680084147995e-14,1.1331211405907007e-22,5.959982626557322e-15,5.753605392771683e-13,0.0
0.022,0.025923811766428117,301.35288014900834,1.255679227879075,0.6234952461257985,1.4009285012671273e-44,0.18692608452320938,0.18917802926098437,0.00019204593663847602,1.4134489663520545e-15,1.8383304901936313e-21,2.46557491867352e-17,5.146398740787976e-06,3.3666194129237168e-09,2.662943232726179e-08,1.4576895189687937e-05,2.257908441363572e-05,1.7364182999607667e-25,7.307146922308166e-12,2.010613847849266e-23,0.00016187726831085102,2.713868504512164e-30,1.4870442739373206e-08,3.308842148614692e-31,1.4242303678526968e-26,2.9336730914830937e-09,1.3128256229941358e-21,4.345912950000112e-06,5.776567040160756e-09,3.169777264528262e-15,9.706247830514328e-09,1.3472560629170462e-09,4.272837104311542e-12,5.372779381607139e-25,4.881569336596805e-21,1.6991473800699445e-21,1.7244184028283127e-22,8.954256547767152e-23,2.090961492031665e-14,1.0291233614565616e-28,6.5322054395282844e-18,1.5602380792001827e-18,2.0212046397240143e-11,4.53595787078948e-30,1.0191492726259061e-10,3.816552446070613e-09,0.0,4.2256854177604393e-29,4.473668813666424e-23,9.224651615962378e-16,4.616513903453729e-32,1.6272981479936726e-33,3.8022123743053647e-32,8.507702082654865e-18,3.2521787903575786e-17,8.076063115413262e-31,1.6725099244314198e-25,5.1101281557673994e-17,0.0,1.1305172087805257e-11,7.545015447160278e-13,3.522467322448073e-29,4.503841060114021e-32,2.0914250215197694e-26,5.251203495901582e-13,0.0,1.8331477133924977e-16,1.4347659274387004e-28,1.370709196517386e-26,7.200720094740395e-14,6.15463229915693e-22,7.580916415221373e-15,5.754815566913331e-13,0.0
0.023,0.026209735791038247,304.60606111696364,1.2419809288574433,0.6234004998307455,2.183922420298906e-44,0.18689804835068924,0.18891673749163188,0.0003656608419714518,5.5718007975377365e-15,1.314586561726873e-20,1.119330668451848e-16,6.46824001732458e-06,7.12051197849557e-09,5.23657382906344e-08,2.8698198823062904e-05,5.166295060986514e-05,1.6409395943726656e-24,1.7653700846395526e-11,8.191441112235217e-23,0.00031911366083042195,3.4600435503474457e-29,3.843768356186565e-08,4.2401053789088725e-30,1.560574552796846e-25,8.415717258559327e-09,5.743467104362758e-21,1.2950430842498405e-05,1.1457896156171586e-08,1.160479571230552e-14,2.6494645211546087e-08,3.5902714581366278e-09,1.2262446204995205e-11,3.7006093271712206e-24,3.0210635479478436e-20,1.1023474854116982e-20,1.1469791797789106e-21,5.425582065614217e-22,2.126854498421913e-14,1.198598599914708e-27,2.7064316427870143e-17,6.229315549334528e-18,4.486979645946543e-11,4.0086859946606855e-29,2.927210313667537e-10,1.1707729729124078e-08,0.0,1.7718892155993436e-28,1.757927524079231e-22,2.2257530726736395e-15,3.0390266991230518e-31,4.678676199115691e-33,1.2003929522006691e-31,1.2699831341433459e-17,1.130137925172114e-16,1.059067160367512e-29,5.004027922472847e-25,6.900439635391942e-17,0.0,4.0946422846739053e-11,2.9978722998334194e-12,4.421292746336596e-28,5.5914338356891424e-31,8.147021781648815e-26,1.3036098033656558e-12,0.0,5.749424634734044e-16,2.1305228142113485e-27,1.5937035251286545e-25,2.6122759426394797e-13,2.779870088574089e-21,1.166822675668181e-14,5.7570597063584e-13,0.0
0.024,0.026855656232052428,311.95606562804176,1.212109353275852,0.6232276610120591,3.451130457836101e-44,0.1867907122409455,0.1883291384479788,0.0007392718442203723,2.4299094412448538e-14,1.176988516652628e-19,2.8353451742069884e-16,8.199256197493466e-06,1.6650221215348387e-08,1.0980231483360162e-07,6.039242481289862e-05,0.00012897975475281698,1.8030680734922113e-23,4.525460861503256e-11,3.9492476770831306e-22,0.000671644892581687,2.861469784532386e-28,1.1020557256780553e-07,3.530723115002213e-29,2.306947845750008e-24,2.7134108356363713e-08,3.482023607698827e-20,4.357852666635244e-05,2.4320116156324645e-08,5.0642666429598596e-14,8.079987303249651e-08,1.065612530473236e-08,3.952698517103197e-11,3.9791971155104585e-23,2.5719116734350877e-19,1.0141938870861568e-19,1.1141409829930671e-20,4.097785623021984e-21,2.2388019502264788e-14,1.9416850172126993e-26,1.3287155600103668e-16,2.856783816750683e-17,1.0840027589772246e-10,4.761955904559883e-28,9.494909855896906e-10,4.0697266328841e-08,0.0,9.246325058572953e-28,7.813131085090881e-22,6.536207612636134e-15,4.598720564887538e-30,2.0519289321165575e-32,6.591017345999781e-31,3.0442826604482886e-17,4.516116269785853e-16,2.6925676230647277e-28,1.8004061088460892e-24,1.3658292180676904e-16,0.0,1.7155584011249794e-10,1.2520655842171873e-11,8.003630732182385e-27,4.363711672866645e-30,5.0870355168056525e-25,4.8519614773715295e-12,7.273798467068648e-13,2.0831409167746215e-15,5.730481211641194e-26,2.4360489240735945e-24,1.1488145089037287e-12,1.9558919880111094e-20,2.6470872509953402e-14,5.7639203113082e-13,2.776614912848597e-30
0.0245,0.027476171084979073,319.0131723351778,1.184735386933202,0.6230966699862228,4.3623266362961756e-44,0.18664205976610315,0.18776681716012833,0.0010832158204393224,5.4427678775774065e-14,4.034838511403273e-19,4.896789230113561e-16,9.262199950969106e-06,2.7690836182480692e-08,1.6401985600369848e-07,9.074714298665597e-05,0.00021469025208786856,6.666793901394957e-23,7.59053266071687e-11,9.966673962815929e-22,0.0010081489090224692,9.98993661900175e-28,1.9994747081953171e-07,1.237019283752226e-28,1.1031168742834113e-23,5.3070734368497965e-08,1.0464407168560601e-19,8.764880599266992e-05,3.6731974294632185e-08,1.3831974187245414e-13,1.5249922045797105e-07,1.9765729075925128e-08,7.734733777747743e-11,1.8342357298737927e-22,9.570478795182177e-19,4.021756928311352e-19,4.642995226174695e-20,1.3435952156678063e-20,2.3817314489964857e-14,9.910451282094389e-26,3.351093416457506e-16,6.857188095397291e-17,1.7705004415807142e-10,2.0958081886277097e-27,1.827026630686651e-09,8.362792742130707e-08,0.0,2.555351611481187e-27,1.8264168911551666e-21,1.3522895466034297e-14,3.22298249089303e-29,5.960139156045587e-32,2.435531451614962e-30,6.784520912543484e-17,1.0200344743286477e-15,2.0861859755912817e-27,3.9654673759140786e-24,2.4087593778996414e-16,0.0,4.0003958311850667e-10,2.8616337888170774e-11,4.379504683981195e-26,1.446470911994552e-29,1.7805633683275126e-24,1.1257138242946578e-11,2.418487645698093e-12,4.414716196167424e-15,3.983833497014907e-25,1.2189196123892698e-23,2.7941259648739934e-12,7.36561933195937e-20,4.810990022894111e-14,5.773186327799153e-13,2.0647450615577515e-29
0.025,0.028462942976234022,330.2268562181789,1.1436622100778768,0.6229349286129314,5.505282701189995e-44,0.1863385270021447,0.1868821554761551,0.0016071401401421786,1.2265273972608707e-13,1.460878511002118e-18,8.955657142484822e-16,1.046702279192832e-05,4.809016644965187e-08,2.4822334806756216e-07,0.00013862491807870473,0.0003663722659422529,2.5147489704591277e-22,1.3014225948935958e-10,2.7792252329691634e-21,0.0015360412385160454,4.0069110884336324e-27,3.7516965530667697e-07,4.987254718958535e-28,6.032907350654942e-23,1.0821929675893023e-07,3.329079501680897e-19,0.00018438463260288693,5.642685862003652e-08,4.0920162505427206e-13,2.989955274335396e-07,3.8012981209380544e-08,1.578737727409981e-10,1.1200099561656226e-21,4.237699204238352e-18,1.9457239394262398e-18,2.4194855813270774e-19,4.850155691297517e-20,2.665753468109266e-14,5.8646925343053885e-25,9.15204665849961e-16,1.7688454122399936e-16,2.962808679184832e-10,1.0948138421972381e-26,3.66407233169548e-09,1.801983686617804e-07,1.1006106494515331e-16,8.399253835321378e-27,4.528772941573258e-21,3.284871543694566e-14,3.5156993125963395e-28,2.445563413060958e-31,1.49181691871797e-29,2.258621014260336e-16,2.444614702347564e-15,2.14814889401344e-26,9.862299884909157e-24,4.811631358184259e-16,0.0,9.929896305101489e-10,6.91608990291616e-11,2.7781946973958925e-25,5.391387782934124e-29,8.784212445868433e-24,2.834019251132415e-11,7.0652916675293e-12,9.8547470833765e-15,3.411606069923549e-24,7.109451836999847e-23,7.285024273754742e-12,3.6771440691555086e-19,9.625409913684541e-14,5.793322764806588e-13,2.094467679329509e-28
0.025500000000000002,0.030001099564790974,347.6838291473243,1.0850266434708917,0.6227559609023213,6.911931202353279e-44,0.18574975108749195,0.18552531226934588,0.0023830603874333126,2.7021006304842105e-13,5.427726750174263e-18,1.7554678598891874e-15,1.1812337508014475e-05,8.652656474341772e-08,3.746207203258965e-07,0.0002123695996977027,0.0006273940204762014,9.191986713180383e-22,2.232740104563706e-10,8.592800072857873e-21,0.002341865783334501,1.843967247020985e-26,7.071482836793248e-07,2.3307841125349845e-27,3.6912358233408035e-22,2.217870423968731e-07,1.0786372956699607e-18,0.00038993225835736914,8.694454020906682e-08,1.3088026378420963e-12,5.893151715261524e-07,7.347597456173543e-08,3.243467390048337e-10,9.230562517480107e-21,2.2068302018183312e-17,1.1405385009057188e-17,1.576098571195789e-18,1.855343614626547e-19,3.2117331870267514e-14,3.9389360171724725e-24,2.7094494951996607e-15,4.916221747275163e-16,4.983955938923081e-10,6.929282542601325e-26,7.307396186749328e-09,3.904227873849956e-07,6.479420491964449e-16,3.437782401344215e-26,1.1800726214491129e-20,9.473215184671402e-14,5.6269146639976236e-27,1.52471795685204e-30,1.7195486619259212e-28,1.2580197540599621e-15,5.9027973084026135e-15,2.805385106484453e-25,2.7343633143301656e-23,1.0363138142601898e-15,0.0,2.4784178817781458e-09,1.6779947992444909e-10,1.9940962200454966e-24,2.2621632576052297e-28,6.410446113834931e-23,7.230653121580761e-11,1.9378521191239073e-11,2.2130037608272872e-14,4.014322310847773e-23,4.704107476888451e-22,1.910881659912344e-11,2.4136760619687896e-18,1.9993411600607305e-13,5.83680953392565e-13,3.493309992714687e-27
