grid,velocity,T,density,Y_N2,Y_Ne,Y_CH2F2(1),Y_O2(2),Y_H2O(3),Y_OH(4),Y_H(5),Y_O(6),Y_H2(7),Y_HO2(10),Y_H2O2(11),Y_CO(12),Y_CO2(13),Y_HCO(14),Y_CH2O(19),Y_F(37),Y_HF(38),Y_CHF(40),Y_CHF3(41),Y_CF2(42),Y_CF3(44),Y_CHFO(46),Y_CF3O(47),Y_CF2O(48),Y_CF(49),Y_CFO(50),Y_CHFCF2(54),Y_CH2CF2(56),Y_CF2CF2(60),Y_CHF2-CH2(63),Y_CH3-CF2(64),Y_CHF2-CHF(66),Y_CH2F-CF2(67),Y_CHF2-CF2(68),Y_CHFCF[Z](71),Y_CF2CH(72),Y_CHF2(81),Y_CHF(88),Y_CF2(89),Y_CH2F(91),Y_[O]OC(F)F(128),Y_FC(F)C(F)F(130),Y_FC1OO1(136),Y_[O]C([O])F(138),Y_CHO2(142),Y_CFO2(143),Y_[O]C(F)F(146),Y_[O]O[C](F)F(147),Y_CF2O2(152),Y_O2(176),Y_F[C]C(F)F(182),Y_O[C](F)F(220),Y_C2F4O2(252),Y_F[C]C(F)F(276),Y_FC1OC1(F)F(286),Y_C2HF4O2(406),Y_CF3O2(416),Y_C3H2F5(444),Y_C2HF3O(467),Y_OO[C](F)F(503),Y_C2H2F3O2(603),Y_C2HF2O3(899),Y_FC1(F)OO1(932),Y_C2H2F3(962),Y_C2HF2O(1007),Y_C3H2F5O2(1017),Y_C3H2F5O2(1096),Y_C3H3F4(1175),Y_FC1(F)CO1(1224),Y_C2HF2O3(2126)
0.0,0.056991374347431706,298.0,1.3663030161375498,0.5125681030017595,0.0,0.3317236314979079,0.15570819225632115,2.8639857814305662e-11,6.831221186005444e-21,1.2928301302406682e-15,0.0,7.314398750218981e-08,1.5793542840544732e-15,2.8398215032626754e-14,1.8546554786733285e-11,5.43424896801467e-13,0.0,0.0,0.0,5.1978886249957555e-11,9.859667977347337e-17,3.0054970765625225e-14,4.134491383336213e-14,7.985508439285856e-17,0.0,0.0,4.6907655634847366e-15,3.980405527247336e-14,2.605596075809197e-25,1.5352806510574452e-14,0.0,0.0,5.744018967982689e-36,5.630522329920599e-32,7.247228047831661e-33,7.177831820951325e-34,1.477802594947941e-15,0.0,0.0,9.771520454248213e-15,1.6802013765977424e-27,0.0,4.787663500666519e-32,0.0,0.0,9.768352842549881e-16,0.0,3.047792411379123e-26,1.2419413639239088e-18,0.0,7.956569497887861e-31,5.279989465602789e-30,3.943044223341741e-15,0.0,5.804652250275284e-38,2.8304785570855727e-32,1.6989800796238382e-16,0.0,2.886474787233646e-17,1.881268609368018e-18,2.7397887073928545e-14,0.0,0.0,9.744821678619692e-17,0.0,1.0316227236987696e-13,5.10029062044609e-15,0.0,4.603463569568959e-16,9.29073539141934e-22,0.0,0.0,0.0
0.008,0.05699177872275133,298.0000099698024,1.3662933217736293,0.5125676467312746,0.0,0.33172372168132364,0.15570810045739572,7.003963320714237e-10,1.1999288673120233e-19,3.9262731889109286e-21,8.611918397992211e-17,5.28575604588749e-07,4.026186590904772e-14,6.691278780415245e-13,4.739808712842125e-10,1.8584896829849234e-11,0.0,8.515825352778049e-16,0.0,1.3595402972991148e-09,3.0499312706063403e-24,2.3913367541396564e-13,2.1686470104553456e-21,3.0596902591101225e-23,0.0,0.0,2.4367598285070347e-13,4.856388344702709e-13,1.034038950120552e-23,3.926453461580602e-14,3.238451671601663e-14,5.958868823800483e-17,3.1166346647803953e-34,3.168221186312934e-30,3.977696457221927e-31,3.940060017825564e-32,1.6450666631338924e-22,0.0,0.0,0.0,6.005935249062702e-26,0.0,1.7481603210370208e-30,0.0,0.0,9.768362885055973e-16,5.8779697156389405e-31,1.151677862004605e-24,7.164825825217194e-17,0.0,4.62544777894456e-29,3.747645496778265e-28,4.584894188639068e-18,0.0,2.9924334229898678e-36,1.987955491472623e-30,1.6989775218045707e-16,0.0,1.9828913415585496e-15,1.2047502448900437e-16,2.7681571259623384e-21,0.0,0.0,7.198393585268807e-15,0.0,1.0316275902812205e-13,3.023423936608444e-20,0.0,3.4632881409092555e-14,6.989249673558855e-20,0.0,0.0,0.0
0.016,0.05699473991134756,298.00028006168236,1.3662223353924738,0.512564317843478,0.0,0.3317243828187978,0.15570741400205668,1.7130830567883474e-08,1.3333874607079617e-20,1.765297635236608e-26,9.303884399915884e-18,3.819843966766497e-06,1.9812378249437437e-12,1.602748341542637e-11,1.2113760331039066e-08,6.336074992391079e-10,0.0,9.45884214419581e-14,6.339430639055505e-29,3.5560742380303824e-08,9.515414846896272e-32,9.049064878886598e-12,1.146877971337924e-28,1.182182051201136e-29,5.672380955295062e-14,0.0,9.836878512341224e-12,1.204360261055941e-11,7.664785181107208e-22,1.133159898537513e-12,1.9750780340850492e-12,8.406536046594258e-15,4.569077579904759e-31,4.6467210192966764e-27,1.2607166522843967e-28,1.2462705513283654e-29,1.4447931958920073e-28,0.0,0.0,2.5006794671356118e-22,2.4906543052647357e-24,3.0381062360051416e-13,1.1927229977881848e-36,0.0,1.01584357192854e-13,9.768409982611842e-16,3.3547097376751756e-33,6.459021635661464e-29,7.112715903384091e-17,1.1698642517136437e-36,1.9141361841542437e-35,1.2877936521825287e-30,4.5850190097360764e-18,0.0,3.597400720559052e-37,2.804308434162175e-28,1.6986392801856092e-16,0.0,2.012740331005981e-15,1.4085433899143672e-16,2.814364296334112e-28,0.0,0.0,7.200226351521568e-15,0.0,1.031633056243746e-13,1.8038578006110825e-25,0.0,3.463375189695529e-14,4.224249401680122e-22,0.0,0.0,0.0
0.02,0.057003530128609405,298.003056842446,1.366011657494833,0.5125545892985042,0.0,0.33172634190661954,0.15570523780451992,1.6989522182526445e-07,4.876748950570899e-20,5.943800515901865e-26,2.0230115749149668e-18,1.3151342409213928e-05,2.1192103040637163e-11,1.6633979736192845e-10,1.2513202205876644e-07,8.573067966878597e-09,1.5676455554798516e-30,1.3149197344945395e-12,2.3626075967560862e-27,3.753224676468581e-07,2.0288693386670305e-34,1.4936598551348738e-10,3.7088934985231733e-35,5.485212164773577e-33,1.4635694385854896e-12,0.0,1.9835346473281836e-10,1.2585720283062584e-10,1.459001185986373e-20,2.0036829929944806e-11,3.425084762183967e-11,1.6386336695221808e-13,8.47024903585404e-29,8.613372856995835e-25,2.375880091385659e-26,2.348705686022509e-27,2.6402656464957575e-26,0.0,0.0,4.902700464491932e-22,2.7811696285338963e-22,4.447831220717693e-12,5.4025718835882135e-36,1.7327771426449453e-14,2.2139880506091862e-12,9.76864535491103e-16,9.672974190151518e-33,7.204049609811674e-27,6.933143531495615e-17,2.2956580407213796e-36,2.440627560370848e-34,1.2929708373542558e-30,4.586581401788176e-18,0.0,5.220265274083588e-36,5.4655240329670326e-27,1.6967214134047188e-16,0.0,2.7914398203842576e-15,6.46904908032629e-16,6.592642258609244e-35,3.060584666544477e-36,3.1389114101864692e-30,7.247980810492998e-15,0.0,1.0316608017267101e-13,2.5761621643877224e-30,0.0,3.4651105891130814e-14,2.3694212750569287e-22,0.0,0.0,0.0
0.022,0.05702021546138376,298.0180132373531,1.3656119336067463,0.5125370181341989,0.0,0.33172998056481384,0.15570045096634824,9.182927702328695e-07,1.4493620365070285e-18,2.9853635957356705e-24,3.1797805642758643e-18,2.8714415068950737e-05,1.193283846720131e-10,9.40401527277294e-10,7.020985515400648e-07,6.180566286957003e-08,2.944718541045221e-28,9.563807775369028e-12,5.685744890925826e-26,2.1479681620628307e-06,7.121770967741431e-33,1.3018933713162988e-09,8.62056553406832e-34,1.4556374733333861e-30,1.4841197670720382e-11,1.0607170527653308e-25,2.0978006772869233e-09,7.147108058317099e-10,1.4524802098440034e-19,1.881038801068169e-10,3.104396471943453e-10,1.64472820896861e-12,4.327220004114135e-27,4.39810115917443e-23,1.2566398436207986e-24,1.242414625968488e-25,1.4923208020983519e-24,0.0,2.5281840889534055e-32,1.3818234721083478e-20,8.882163577958992e-21,3.071787161576703e-11,9.707633325013876e-34,2.633417054700403e-13,2.4546571943122503e-11,9.770037860715388e-16,2.068489194011844e-31,2.299947353196172e-25,7.138241340013235e-17,6.508243235127414e-35,1.687040259545263e-33,1.325476050246653e-30,4.595210100527849e-18,4.1195678658489886e-19,1.0906777575989659e-33,5.485150094698725e-26,1.6908455225647595e-16,0.0,1.3145096122611706e-14,7.056697947504045e-15,1.5607433053687852e-33,1.0738587926316563e-34,6.183896938204826e-29,7.907845197842648e-15,0.0,1.0318393678132232e-13,4.089162425126515e-31,6.541493709574146e-30,3.489325136070406e-14,2.37823953470256e-22,0.0,0.0,0.0
0.023,0.05704374583964637,298.0619868396881,1.3650486231733643,0.5125147129708006,0.0,0.331734733186823,0.15569221630871993,2.938454361800565e-06,1.5834383207962473e-17,4.829632518857297e-23,1.432707232961182e-17,4.558425353797284e-05,3.951846507785366e-10,3.1265226034862185e-09,2.3189773069385364e-06,2.535543178018059e-07,1.3039175857566752e-26,3.9502632349073986e-11,5.903922225453088e-25,7.214984503434809e-06,1.8593238816749813e-31,6.322799925992254e-09,2.2508741292450753e-32,7.720687148561853e-29,8.178220434110572e-11,8.491590375121078e-25,1.2140771330972045e-08,2.3851452123373524e-09,8.054222699722777e-19,9.771567294240636e-10,1.561056781280557e-09,9.0534278143641e-12,7.226857156962446e-26,7.334264295643613e-22,2.1655423494355466e-23,2.1417752258935306e-24,2.7203926309573943e-23,0.0,1.460826654778886e-30,1.5079503891109998e-19,9.808050937197399e-20,1.2054521100138338e-10,3.552683231860935e-32,1.6532298109606081e-12,1.4816710997814756e-10,9.776569411183318e-16,2.2514351840927707e-30,2.5383173987853873e-24,1.0037153176930696e-16,7.237653162053036e-34,6.640733660535592e-33,1.4362026979622828e-30,4.620841804319505e-18,3.349525366793582e-18,4.678948451740552e-32,3.019676771708109e-25,1.6794979782570123e-16,0.0,8.454243468066322e-14,4.924845550533051e-14,8.867089844765604e-32,2.8016929753489257e-33,5.4468880739142695e-28,1.263944932287708e-14,0.0,1.0327681955239267e-13,9.753876247593021e-31,2.696286502807358e-28,3.6688507504932356e-14,2.5078468151863203e-22,0.0,0.0,0.0
0.024,0.0571068825148334,298.24871502389,1.3635394435451709,0.5124635659086003,0.0,0.33174554361513736,0.15566592166973534,1.0879286632259674e-05,2.3221862524097335e-16,1.1856458846973929e-21,7.109525435957792e-17,7.558274487977403e-05,1.5233521402853671e-09,1.2082801699605391e-08,8.897142860310163e-06,1.238000976189314e-06,9.322462987597463e-25,1.9429750175586124e-10,8.433362484591823e-24,2.8207179433902347e-05,5.899668978515034e-30,3.714771716878848e-08,7.145317471795596e-31,6.671305925918706e-27,5.50520072824156e-10,8.662701639203297e-24,8.6256559158794e-08,9.257736592667378e-09,5.554141844219959e-18,6.177310087985816e-09,9.525195520350127e-09,6.08747461052696e-11,1.720329454986987e-24,1.7348593350218614e-20,5.3143595464169e-22,5.263817395870888e-23,7.04938936721299e-22,0.0,1.3165060299699318e-28,2.2157752523489974e-18,1.4393370965876704e-18,5.598660909497931e-10,2.015099702150514e-30,1.2598412662692712e-11,1.101345179572865e-09,9.823545605338283e-16,3.3050213240190185e-29,3.718958671678572e-23,3.1063115454153595e-16,1.1586083939425078e-32,3.1269243278544644e-32,1.986085586193047e-30,4.7314619517814256e-18,2.9702019916670503e-17,3.1897971845121794e-30,2.0330644804619955e-24,1.6408437894266276e-16,0.0,7.644058578966534e-13,4.3343607236483125e-13,8.308662734087917e-30,8.871052746636013e-32,7.29275251622945e-27,5.944261208005124e-14,1.5207510615795144e-13,1.0401264368417129e-13,5.318050662376714e-29,1.892808447249747e-26,5.507852355864002e-14,3.813374997104541e-22,0.0,5.088996718338658e-16,8.856772367719653e-32
0.0245,0.057190677211659074,298.5687783209146,1.361541613673833,0.512406700225282,0.0,0.33175643865105586,0.155627030601385,2.3565935796293468e-05,1.1490565475700509e-15,8.285693853312355e-21,1.7635899314232447e-16,9.932802074641969e-05,3.4118566197726818e-09,2.694144773680632e-08,1.97474561661257e-05,3.254613515291546e-06,1.2157505588288452e-23,5.134806233585021e-10,4.0899764391678327e-23,6.34139212085764e-05,4.674530922979874e-29,1.1189793187368395e-07,5.6658615640597176e-30,1.0006735244161569e-25,1.8387066842592448e-09,5.1446081315960824e-23,3.0042407488489563e-07,2.0711682319885882e-08,2.0282820931868624e-17,1.966635275917495e-08,2.9521104903419987e-08,2.0314174237015618e-10,1.2188283074098232e-23,1.2158552366880919e-19,3.8349113974362864e-21,3.808069221875654e-22,5.266276688809438e-21,0.0,2.0405171356834236e-27,1.1013629095033885e-17,7.03151271104363e-18,1.4198336684564076e-09,2.2148082856737844e-29,4.5005485308615005e-11,3.973732637392912e-09,9.958501347723205e-16,1.6199815351846793e-28,1.8126155601584218e-22,7.310568041734257e-16,6.681734786507564e-32,8.123240010934015e-32,3.1093744755179586e-30,4.927120261175927e-18,1.2155624863015678e-16,4.008159627011316e-29,6.803034846226548e-24,1.5939667819247277e-16,0.0,3.272233975434541e-12,1.7919463815054229e-12,1.3328349531266447e-28,7.006750035187059e-31,3.7831663777127435e-26,2.3872298475012613e-13,8.731349752997469e-13,1.0632727667110194e-13,1.1243874787283193e-27,2.713970451140735e-25,1.279749174854128e-13,9.072128245338004e-22,7.650679283612415e-14,2.1577177288591027e-15,5.537712971364679e-31
0.025,0.05738391479547751,299.4045732993425,1.3569566931482457,0.5122945779475974,0.0,0.33177329283410684,0.15553295980500936,5.474855898186263e-05,6.544021669401611e-15,7.342766890113362e-20,4.353918345366623e-16,0.00013225319089786217,8.27495040854765e-09,6.467227967496987e-08,4.717278641985426e-05,9.421228130410435e-06,2.0098788930998975e-22,1.495128339989863e-09,2.2319024448164633e-22,0.00015367448796008178,4.179080101210962e-28,3.7790361398355776e-07,5.075024518127772e-29,1.959013879324863e-24,6.976432692766935e-09,3.603683462941298e-22,1.1948763969778755e-06,4.992458168107055e-08,8.783269713140793e-17,7.07007576425161e-08,1.0296044219238096e-07,7.698331359944326e-10,1.087254618375631e-22,1.0544112709036837e-18,3.4490679758795954e-20,3.4475541007733395e-21,4.83467830240218e-20,0.0,4.166156288904244e-26,6.349768820200436e-17,3.8500444922859606e-17,3.945870984736839e-09,2.975622948961068e-28,1.851386240555631e-10,1.6443185752582748e-08,1.0521737392167584e-15,8.9569319319507e-28,9.870927849647341e-22,1.9552392084911185e-15,5.4722490631779555e-31,2.4061143959877606e-31,6.764664547555952e-30,5.475066897520595e-18,5.779830022414235e-16,6.366323869126908e-28,2.5988967985594354e-23,1.4942094224507055e-16,0.0,1.6410565188590835e-11,8.633417481059484e-12,2.8566185046136432e-27,6.215921172183801e-30,2.4254445263365236e-25,1.2117863524052883e-12,4.941131733353312e-12,1.1682113552276747e-13,3.533077539294723e-26,5.27137412579416e-24,5.36583500509376e-13,4.048471674850049e-21,4.136718600107532e-13,9.699345580482382e-15,4.00246979328485e-30
0.025500000000000002,0.05785098251955591,301.57550375694495,1.3460011336841262,0.5120629686767174,0.0,0.33179139999668644,0.15530157036094003,0.0001309530473676082,3.915246048299049e-14,7.725137929648403e-19,1.0381270031657023e-15,0.00017773824950279444,2.1004540123750826e-08,1.5986360175604934e-07,0.00011614868816920736,2.817295302054633e-05,3.595721336786476e-21,4.496420406043086e-09,1.2257665430948454e-21,0.00038376486144855684,3.7729870640069174e-27,1.3190334595787176e-06,4.601669135939278e-28,4.2904642659883334e-23,2.734524666497694e-08,2.7664414735962796e-21,4.90803533217109e-06,1.2406157837742438e-07,4.3881472738636317e-16,2.6266550485719057e-07,3.711282342797331e-07,3.0139835004926777e-09,1.140362468605193e-21,1.028474026200885e-17,3.5223900529778167e-19,3.5809409137264174e-20,4.792852860035864e-19,0.0,9.64176861095833e-25,3.9254136150108463e-16,2.1055799881626807e-16,1.1327688377173561e-08,4.2566315182994e-27,7.74919861563173e-10,7.02488973289642e-08,1.2861159521211304e-15,5.038615100974867e-27,5.329388665664076e-21,5.1343040828266305e-15,6.778856501460957e-30,8.174324685130042e-31,2.0674076539599838e-29,7.181010181286327e-18,2.8320836945375747e-15,1.1051778357772608e-26,1.0417878127276541e-22,1.298305780070499e-16,0.0,8.474352906180795e-11,4.2873756806865696e-11,7.10707147269745e-26,5.50479621185171e-29,1.7692242664941182e-24,6.46015502322967e-12,2.7746593965888115e-11,1.6415636967838965e-13,1.3697492641786578e-24,1.1876799919292828e-22,2.812585880911674e-12,2.48828688714416e-20,1.8443508314031486e-12,4.3984824930650867e-14,4.0678735924515653e-29
