Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF3O(47),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),[O]OC(F)F(128),FC(F)C(F)F(130),FC1OO1(136),[O]C([O])F(138),CHO2(142),CFO2(143),[O]C(F)F(146),[O]O[C](F)F(147),CF2O2(152),O2(176),O[C](F)F(220),C2F4O2(252),F[C]C(F)F(276),FC1OC1(F)F(286),C2HF4O2(406),CF3O2(416),C3H2F5(444),C2HF3O(467),C2H2F3O2(603),C2HF2O3(899),FC1(F)OO1(932),C2H2F3(962),C2HF2O(1007),C3H2F5O2(1017),C3H2F5O2(1096),C3H3F4(1175),FC1(F)CO1(1224),C2HF2O3(2126),CHF(88),CF2(89),OO[C](F)F(503)
0.0,0.36203212424930215,3.76,0.0,1.0028055213481455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.220837788087474e-23,0.36203212424930215,3.76,0.0,1.0028055213481455,0.9999999999999997,1.8538303819116626e-53,4.265335568083202e-38,1.510615218606438e-31,1.7214442993201525e-26,1.4676237652064099e-22,1.3556217916388276e-20,1.1497072270413037e-38,5.442399250163585e-55,1.0304735801882548e-49,9.236733201902721e-64,3.015803415643362e-99,1.1478439251876349e-38,3.388834910247717e-19,1.837726536487483e-38,6.374237609900012e-48,2.7579906177810384e-43,1.842153478500484e-63,3.167909460607399e-38,3.4944610476082424e-80,4.2597634284005174e-38,2.102931180320419e-37,1.2721774956445313e-56,3.0516690454228366e-44,8.351706274505363e-57,7.06944388273548e-60,8.573930952886536e-78,2.788807097231669e-76,4.070596010001821e-48,1.6371346718558588e-58,8.41956859852728e-49,5.752372934562914e-61,1.7305193690875768e-59,1.3556217916539254e-20,5.573620990912453e-38,7.000073265189423e-44,1.5626934677530684e-40,2.0648327384231887e-39,1.1444832826837078e-38,8.46989330602862e-35,2.508890200666459e-38,5.229215544502944e-43,3.3895905333927554e-41,4.1231028358300415e-16,1.9878002588764318e-57,1.628751409850572e-83,2.3378679270627878e-58,1.508107827167972e-65,3.4474196203711845e-65,1.5657924089985077e-74,2.448017572330256e-81,4.792301003733389e-67,1.6705323755395384e-75,4.990729954925657e-119,2.20160223503091e-42,3.940658831647084e-58,-4.98650308311206e-93,1.6054438784121013e-97,6.0642086076779704e-99,-5.580540423587982e-93,-2.2947274981240177e-90,1.8895181926913913e-123,3.388834910247716e-19,1.4676237652064099e-22,8.315990695984425e-52
1.1818345806644928e-22,0.36203212424930203,3.76,0.0,1.0028055213481455,0.9999999999999988,2.2008674294061504e-52,2.576262683123036e-37,4.232467367128842e-31,4.820044038114889e-26,4.1093465425779476e-22,3.7957410165887156e-20,6.944231651329472e-38,6.461216389794202e-54,1.2233782343994897e-48,1.0965849657297696e-62,1.8346604121830117e-97,6.93297730819209e-38,9.488737748693607e-19,1.1099868280384387e-37,3.850039516465625e-47,1.6658263331397322e-42,2.78385745701242e-62,1.9134173142068674e-37,9.854995353026159e-79,2.5728971107541954e-37,1.270170432913532e-36,1.5103291228291844e-55,1.84320810378586e-43,1.2621098518817243e-55,1.0683248878949315e-58,2.417985711015092e-76,7.864882221396286e-75,2.458639997274989e-47,2.474032818717995e-57,5.085419433724866e-48,8.692985970561474e-60,2.6151608661590056e-58,3.79574101663099e-20,3.366467078511044e-37,4.228044252175031e-43,9.438668545230348e-40,1.2471589740075037e-38,6.91267902740836e-38,5.115815556841277e-34,1.5153696812022539e-37,3.1584461888790206e-42,2.0473126821688012e-40,1.1544687940321103e-15,2.359916467338444e-56,4.593300296286633e-82,3.5329860113562727e-57,1.7904256127259473e-64,4.092776573462515e-64,1.8589106240059743e-73,7.696958939181991e-80,5.689419752623121e-66,4.711156714005604e-74,3.851070817922568e-117,1.329767749961927e-41,5.955108070335508e-57,4.926984192046691e-92,9.24653476292477e-96,3.492673674526287e-97,5.513931099790751e-92,2.2673376334604676e-89,1.458036887895691e-121,9.488737748693603e-19,4.1093465425779476e-22,9.87274527289116e-51
2.7013361843759836e-22,0.36203212424930215,3.76,0.0,1.0028055213481455,0.9999999999999973,2.1608246931581495e-51,1.2403595831997689e-36,9.68715068429692e-31,1.101724351577822e-25,9.392792097321023e-22,8.675979466488484e-20,3.343348616236107e-37,6.343660565990661e-53,1.2011200050674102e-47,1.0766336220134039e-61,8.282534123141202e-96,3.3379301345338066e-37,2.168854342558539e-18,5.344108768105587e-37,1.853628297085492e-46,8.020236716507034e-42,2.9947451377593562e-61,9.212280711446294e-37,2.143679409084146e-77,1.2387392049792956e-36,6.115323872371762e-36,1.4828500889232547e-54,8.874253589246467e-43,1.3577201851772174e-54,1.1492519033655854e-57,5.259647075149928e-75,1.7107836735230274e-73,1.1837293303526782e-46,2.661449855047965e-56,2.4484105487671868e-47,9.351517620687366e-59,2.813270721681566e-57,8.675979466585109e-20,1.6208089841572244e-36,2.0356213055179945e-42,4.5443126042286455e-39,6.004533603333097e-38,3.3281573860423676e-37,2.4630449733931076e-33,7.295852703533753e-37,1.5206558803403196e-41,9.856929271099784e-40,2.6387858149291177e-15,2.3169799817459677e-55,9.991401406303593e-81,3.800625131637588e-56,1.757850484296735e-63,4.018312309984934e-63,1.8250933404598989e-72,1.717149199123476e-78,5.585906052966597e-65,1.024778582020543e-72,4.197085360259543e-115,6.40225929951875e-41,6.406228159841928e-56,2.7174527031073635e-90,4.1465342907426386e-94,1.5662614729869428e-95,3.0411802412208564e-90,1.2505383702229627e-87,1.5890399232404957e-119,2.168854342558536e-18,9.392792097321023e-22,9.69312034271984e-50
5.740339391798965e-22,0.36203212424930215,3.76,0.0,1.0028055213481455,0.9999999999999943,1.9112249705396508e-50,5.416976171477795e-36,2.0640433399126136e-30,2.34116424714003e-25,1.9959683206807172e-21,1.8436456366287992e-19,1.4601281783424511e-36,5.6108959309486165e-52,1.0623770422308414e-46,9.522702461825701e-61,3.1273273151447825e-94,1.4577617850793993e-36,4.608815477936894e-18,2.3339127013390877e-36,8.095281765869424e-46,3.5026480845816875e-41,2.7526861218897666e-60,4.023245014971372e-36,3.974022407208833e-76,5.409899554073046e-36,2.6707225990069145e-35,1.3115641109096626e-53,3.875619692969028e-42,1.2479787647269984e-53,1.0563593160298033e-56,9.750499255997144e-74,3.1715046081077605e-72,5.169657041727328e-46,2.4463303081921098e-55,1.0692852123360748e-46,8.595655817004579e-58,2.58588047653939e-56,1.843645636649332e-19,7.078498658457614e-36,8.890093046799894e-42,1.9846207040492105e-38,2.622337577795863e-37,1.4534937690063917e-36,1.0756764498656185e-32,3.1862905548419486e-36,6.641103741506999e-41,4.30477997740224e-39,5.607419856718317e-15,2.0493425548890475e-54,1.852235218894241e-79,3.493429286021318e-55,1.5547988474737113e-62,3.5541517328174387e-62,1.6142812226948121e-71,3.2160304118130103e-77,4.9406706490837455e-64,1.899766113497131e-71,3.433476422499929e-113,2.796034838539749e-40,5.888425433803574e-55,1.0694954151401153e-88,1.5600298356504565e-92,5.892667121432418e-94,1.19690337975501e-88,4.92168659241067e-86,1.299933320993965e-117,4.608815477936883e-18,1.9959683206807172e-21,8.573455364660269e-49
1.1818345806644928e-21,0.36203212424930215,3.76,0.0,1.0028055213481455,0.9999999999999885,1.6064997476857827e-49,2.2614809182086296e-35,4.272266315075683e-30,4.820044038382614e-25,4.109346542577947e-21,3.7957410165886904e-19,6.095747717772951e-36,4.716296111803705e-51,8.92991917013784e-46,8.004405205023286e-60,1.085015141500145e-92,6.085868492164768e-36,9.488737748693607e-18,9.743626096456501e-36,3.379620781930839e-45,1.462286625547298e-40,2.354980698985024e-59,1.679625596014022e-35,6.830330938897797e-75,2.2585265697419063e-35,1.1149741118058708e-34,1.1024486628855783e-52,1.6179949326169838e-41,1.0676721076765643e-52,9.037371841512385e-56,1.6758616957475023e-72,5.451006098324194e-71,2.1582301022121127e-45,2.092886840100763e-54,4.464055273834907e-46,7.353764520712224e-57,2.212275189608899e-55,3.7957410166309616e-19,2.9551338493807e-35,3.7114388452117913e-41,8.285400766052097e-38,1.0947743179105474e-36,6.068050364771767e-36,4.4907374308562307e-32,1.330213584389348e-35,2.7725300816848957e-40,1.7971609007989353e-38,1.1544687940277446e-14,1.7225958995330283e-53,3.183517392825567e-78,2.9887023035152043e-54,1.3069021168688752e-61,2.987478686105238e-61,1.3569121090184769e-70,5.554892774528582e-76,4.152931384353356e-63,3.2652120429357986e-70,2.471097917630333e-111,1.1672895050588327e-39,5.037671190734419e-54,3.778768512493064e-87,5.401888033288487e-91,2.0404435402553403e-92,4.228929586734869e-87,1.7389428753649051e-84,9.355714521632296e-116,9.48873774869356e-18,4.109346542577947e-21,7.206505897043932e-48
2.3974358636336854e-21,0.36203212424930215,3.76,0.0,1.0028055213481455,0.9999999999999766,1.317105553785709e-48,9.238887453983358e-35,8.75897799419072e-30,9.777803621340456e-25,8.336102986372407e-21,7.699931776508426e-19,2.490311842060512e-35,3.8667044990656933e-50,7.321287258669778e-45,6.562494992858338e-59,3.6135535457581903e-91,2.486275856407633e-35,1.924858229020703e-17,3.9805891870932355e-35,1.3806853642364536e-44,5.973917997736678e-40,1.947143491965478e-58,6.861818608053878e-35,1.132077413583386e-73,9.226817976486121e-35,4.555033053821113e-34,9.038540209762641e-52,6.610037259144376e-41,8.827719453751639e-52,7.47227204127343e-55,2.777617858799591e-71,9.034642850034207e-70,8.817074607066548e-45,1.7304392169824554e-53,1.8237122391620686e-45,6.080234713436565e-56,1.8291519078941324e-54,7.699931776594173e-19,1.2072686011146846e-34,1.5162438695401526e-40,3.384856558913304e-37,4.472510304722082e-36,2.478996569609612e-35,1.8346127696589022e-31,5.434356530217643e-35,1.1326690037925713e-39,7.341988678900065e-38,2.3419224107318632e-14,1.4122881932922888e-52,5.2764452771204906e-77,2.471116860381695e-53,1.0714773182383315e-60,2.4493155243111355e-60,1.1124973362389969e-69,9.229537453240145e-75,3.404824068372176e-62,5.411849098911494e-69,1.6749906317552916e-109,4.768758505551118e-39,4.1652436699711076e-53,1.2695082343460825e-85,1.7972421793948893e-89,6.788684202008378e-91,1.4207435345984927e-85,5.8421210297595366e-83,6.341607940869676e-114,1.9248582290206847e-17,8.336102986372407e-21,5.908328957947238e-47
4.8286384295720706e-21,0.36203212424930215,3.76,0.0,1.0028055213481455,0.9999999999999528,1.0666262257334821e-47,3.734506026040137e-34,1.8013464267576367e-29,1.969332278914684e-24,1.6789615873961327e-20,1.550831329634772e-18,1.0066238632215313e-34,3.131357554427395e-49,5.928968239260218e-44,5.314478589368668e-58,1.1795241356661247e-89,1.004992453581226e-34,3.8768271373233875e-17,1.6090177935684514e-34,5.58095099893952e-44,2.4147531694155042e-39,1.5833847144110692e-57,2.7736567924157473e-34,1.8432947216000002e-72,3.7296273502367443e-34,1.841217189067079e-33,7.31964420184505e-51,2.6718827622487352e-40,7.178554852712458e-51,6.076326830271917e-54,4.5226306326016625e-70,1.47105738029213e-68,3.5640028737621087e-44,1.4071643953136194e-52,7.371736467408577e-45,4.944345890925305e-55,1.4874359536809106e-53,1.550831329652041e-18,4.879972711343884e-34,6.128900147248109e-40,1.368213140321907e-36,1.8078601744510083e-35,1.0020500491751405e-34,7.415798144305756e-31,2.1966537973852054e-34,4.5784292114848916e-39,2.9677492122898496e-37,4.7168296441092724e-14,1.1437075949632716e-51,8.59132224830185e-76,2.0094711915919475e-52,8.677101173025584e-60,1.9835192169431488e-59,9.00959646567755e-69,1.5046475554759434e-73,2.7573148226804743e-61,8.811793008061666e-68,1.1028890454600314e-107,1.9276084339933443e-38,3.387106863277767e-52,4.161624100747313e-84,5.86351214092519e-88,2.2148118209450867e-89,4.657394394656021e-84,1.9151283165568044e-81,4.175599430820765e-112,3.8768271373233135e-17,1.6789615873961327e-20,4.78471797657777e-46
9.691043561448841e-21,0.3620321242493022,3.76,0.0,1.0028055213481455,0.9999999999999053,8.585135808713382e-47,1.501628448147629e-33,3.764668847496973e-29,3.9524361132322386e-24,3.3696641649139166e-20,3.1125076336025587e-18,4.047590281087765e-34,2.5203889817534066e-48,4.772149447534192e-43,4.277554717878847e-57,3.812018662199247e-88,4.0410304570118675e-34,7.780764953928755e-17,6.4697897807649036e-34,2.2440758540554686e-43,9.70961628951111e-39,1.277057119950489e-56,1.1152751972445637e-33,2.975085214456325e-71,1.4996667540444458e-33,7.40345333756441e-33,5.891486448297604e-50,1.074352320762403e-39,5.789764549711715e-50,4.900777441272169e-53,7.299544074877482e-69,2.3742925426436684e-67,1.4330701576805662e-43,1.1349290479219311e-51,2.964142819685187e-44,3.987794082240385e-54,1.1996709826986518e-52,3.1125076336372124e-18,1.9622155643285835e-33,2.464403793350051e-39,5.501524861106498e-36,7.269326248847769e-35,4.029199175921849e-34,2.9818598179597964e-30,8.832648306827905e-34,1.8409662492447657e-38,1.1933189056097074e-36,9.466644110740776e-14,9.205553727240932e-51,1.3866427905237794e-74,1.620711314111974e-51,6.984085996369222e-59,1.5965088321930035e-58,7.2521973842572144e-68,2.4300098506045597e-72,2.2193268761580494e-60,1.4222269187362532e-66,7.158947048426736e-106,7.750828735082895e-38,2.731824346051474e-51,1.3478115097057286e-82,1.894501679160968e-86,7.156060417616523e-88,1.5083750041982247e-82,6.202463089248921e-80,2.7104172757666577e-110,7.780764953928457e-17,3.3696641649139166e-20,3.8511572780499755e-45
1.9415853825202383e-20,0.36203212424930215,3.76,0.0,1.0028055213481455,0.9999999999998103,6.889030813791007e-46,6.0222016970599917e-33,8.141014353224299e-29,7.918643784892462e-24,6.751069319949484e-20,6.235860241537845e-18,1.623264735616072e-33,2.0224534293031565e-47,3.829349392168939e-42,3.4324682700583754e-56,1.2258883785332585e-86,1.6206339546398342e-33,1.5588640587139495e-16,2.5946750705068635e-33,8.999747888657099e-43,3.89399040529188e-38,1.0258017224189176e-55,4.472752359973912e-33,4.7808821538972374e-70,6.014334426157995e-33,2.969115915906644e-32,4.7275468419007596e-49,4.3086334297932804e-39,4.650653747227475e-49,3.936570845885233e-52,1.1730171366762588e-67,3.8154243764208196e-66,5.7472545119378406e-43,9.116367254239059e-51,1.1887538518108253e-43,3.203213072394914e-53,9.636409742050805e-52,6.235860241607253e-18,7.869362035294144e-33,9.883361443060288e-39,2.20635753107503e-35,2.9153249543183443e-34,1.615889079842934e-33,1.1958591539415508e-29,3.542287020797413e-33,7.383098051509762e-38,4.7857425362854285e-36,1.8966273043510525e-13,7.386877120356966e-50,2.2282976717589192e-73,1.301843465556826e-50,5.6042893006340575e-58,1.2810977998411302e-57,5.820218589871841e-67,3.906169958179552e-71,1.7808700913528924e-59,2.2854804574149273e-65,4.614129447099181e-104,3.1084289880946234e-37,2.194349859563106e-50,4.338920993464654e-81,6.091654056703423e-85,2.3009873760626615e-86,4.855812496599052e-81,1.996718169814624e-78,1.7469351402437977e-108,1.5588640587138292e-16,6.751069319949483e-20,3.0903111553790206e-44
