Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF3O(47),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),[O]OC(F)F(128),FC(F)C(F)F(130),FC1OO1(136),[O]C([O])F(138),CHO2(142),CFO2(143),[O]C(F)F(146),[O]O[C](F)F(147),CF2O2(152),O2(176),O[C](F)F(220),C2F4O2(252),F[C]C(F)F(276),FC1OC1(F)F(286),C2HF4O2(406),CF3O2(416),C3H2F5(444),C2HF3O(467),C2H2F3O2(603),C2HF2O3(899),FC1(F)OO1(932),C2H2F3(962),C2HF2O(1007),C3H2F5O2(1017),C3H2F5O2(1096),C3H3F4(1175),FC1(F)CO1(1224),C2HF2O3(2126),CHF(88),CF2(89)
0.0,0.24214613000368299,3.76,0.0,0.8431071223051478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5733013314136836e-22,0.24214613000368293,3.76,0.0,0.8431071223051478,0.9999999999999997,1.8045169837908163e-53,1.181471330177852e-38,2.050447609919685e-34,5.5481158823728886e-30,4.368529225480432e-25,7.177038373511273e-22,2.9909488781448534e-40,2.9297331064889193e-56,1.7142572085679612e-50,1.6837226194802972e-67,1.7337459609538624e-103,2.1508997931099472e-39,4.151481285521963e-21,1.6624173862017616e-40,4.844251591085611e-53,5.061204065371167e-47,3.323270221888975e-69,3.6647970859531043e-39,1.290797632933577e-85,1.1815322839777723e-38,1.2502062814510237e-39,4.455734022887823e-61,9.113981567697393e-48,3.7405118977669905e-59,4.6695231898620166e-63,1.2559995074658575e-81,6.318239545354198e-80,5.271034544911308e-53,1.0525620571379269e-60,3.9554060472971595e-52,5.149030295112859e-65,2.9079304092966826e-63,7.177038373513279e-22,8.978337525514748e-38,9.446864751994682e-47,9.137672268009654e-42,1.2746033104039957e-40,2.1505795042540324e-39,4.2156019305624693e-36,1.492793263206175e-39,8.620517535259783e-46,9.15014770776136e-44,4.09267638549595e-16,6.314471074110015e-59,5.882669907593876e-86,2.7863921423146856e-61,4.103683454897168e-70,3.913768586227098e-67,2.8112312782817553e-80,4.6410238348510225e-85,1.2585908255962683e-72,4.498037041156611e-76,1.5142168812364025e-122,5.090095689301743e-45,4.0973702076499376e-60,1.9753136464885557e-120,1.055169165620351e-99,2.3341876939868534e-101,0.0,0.0,1.7141631351827734e-126,4.151481285521959e-21,4.368529225480432e-25
7.205243727958315e-22,0.24214613000368299,3.76,0.0,0.8431071223051478,0.9999999999999988,2.142322563156708e-52,7.13608683427514e-38,5.877843706775048e-34,1.5534724487358047e-29,1.2231881831345213e-24,2.009570744583155e-21,1.80653312239949e-39,3.478179144023639e-55,2.035166158011546e-49,1.9989154938449773e-66,1.0547222748500826e-101,1.2991434750467795e-38,1.16241475994615e-20,1.0041001012658622e-39,2.9259279638633982e-52,3.0569672554839964e-46,5.022125123568686e-68,2.2135374399156713e-38,3.6402894778265018e-84,7.13645499522644e-38,7.55124593996417e-39,5.289847431972401e-60,5.504844882100532e-47,5.6526615799049e-58,7.05658059872917e-62,3.542119570974558e-80,1.7818446436224338e-78,3.183709873431717e-52,1.590631776379745e-59,2.3890652536507432e-51,7.781214581968467e-64,4.394464434521795e-62,2.009570744583717e-21,5.42291586541086e-37,5.705906310282679e-46,5.519154049908953e-41,7.698603994834517e-40,1.298950020567919e-38,2.5462235660597177e-35,9.016471309758243e-39,5.206792591284663e-45,5.526689215476511e-43,1.1459493879367358e-15,7.496540059177305e-58,1.6590063913345218e-84,4.210795805465918e-60,4.871893010295523e-69,4.646426067497987e-66,3.3375983422512995e-79,1.4592121747559636e-83,1.4941990319645809e-71,1.2685184118277176e-74,1.16843758247828e-120,3.074417796431937e-44,6.191945845801446e-59,1.524240503681923e-118,6.077234248432291e-98,1.3443726236853283e-99,0.0,0.0,1.322725069615476e-124,1.1624147599461472e-20,1.2231881831345213e-24
1.6469128521047576e-21,0.24214613000368299,3.76,0.0,0.8431071223051478,0.9999999999999973,2.1033449963073555e-51,3.435718628158566e-37,1.4078997496485484e-33,3.55079417641842e-29,2.795858704307477e-24,4.593304559047207e-21,8.697679337645219e-39,3.414896908923468e-54,1.9981382023057694e-48,1.962547085259935e-65,4.76152051644045e-100,6.254816598489303e-38,2.6569480227340566e-20,4.834309759074696e-39,1.4087083668778672e-51,1.4717981422096536e-45,5.402572784489089e-67,1.0657229925951571e-37,7.918442927698367e-83,3.4358958818084063e-37,3.6355998664595574e-38,5.193603577077979e-59,2.650345862268754e-46,6.080875381961004e-57,7.591146418272643e-61,7.704883762565956e-79,3.8759013034346384e-77,1.5328242150237013e-51,1.711129078846702e-58,1.1502320801479523e-50,8.370675570150538e-63,4.7273643077749815e-61,4.5933045590484884e-21,2.610900552419618e-36,2.7471482699946647e-45,2.6572350955838926e-40,3.706546426646396e-39,6.253885198347979e-38,1.2258970414075466e-34,4.3410428093929755e-38,2.506846499235175e-44,2.660862953399979e-42,2.6193128867024954e-15,7.360147483963694e-57,3.6087007799361194e-83,4.5297819779180715e-59,4.783253473477786e-68,4.561888669976509e-65,3.2770893655110053e-78,3.255422110127359e-82,1.4670134779266227e-70,2.759304622992955e-73,1.273420433863169e-118,1.4801998265894742e-43,6.661012782133687e-58,1.6611918622076078e-116,2.725286931097621e-96,6.028731149867712e-98,0.0,0.0,1.4415704846285535e-122,2.656948022734044e-20,2.795858704307477e-24
3.49968981072261e-21,0.24214613000368293,3.76,0.0,0.8431071223051478,0.9999999999999943,1.8603848296106202e-50,1.5004685893272922e-36,3.2666751459905164e-33,7.545437658525982e-29,5.9411997466533885e-24,9.760772187975295e-21,3.7985050752439525e-38,3.020437643465783e-53,1.7673306117430288e-47,1.7358506717661772e-64,1.7978595481492602e-98,2.7316427373793983e-37,5.646014548309872e-20,2.1112700804762123e-38,6.152199563597475e-51,6.427729163018475e-45,4.965895144021162e-66,4.654292299160388e-37,1.467947295454811e-81,1.5005460006528513e-36,1.5877619774427818e-37,4.593683548236293e-58,1.1574756820231814e-45,5.589372118594381e-56,6.977571042666872e-60,1.4283555973170154e-77,7.185267801581327e-76,6.694289354352751e-51,1.5728224244950814e-57,5.023365696393654e-50,7.694092989372872e-62,4.3452622519933025e-60,9.760772187978014e-21,1.1402488657403012e-35,1.1997518236207175e-44,1.1604843780854684e-39,1.6187462042043717e-38,2.731235970379117e-37,5.353814451814139e-34,1.8958474442609107e-37,1.0948057269590107e-43,1.1620687588681013e-41,5.5660398841999294e-15,6.509967098524683e-56,6.689922699132763e-82,4.1636500504178966e-58,4.2307335746723504e-67,4.034938873873872e-64,2.8989292171640432e-77,6.097045394910098e-81,1.29755682172176e-69,5.115285737434384e-72,1.0417369818107865e-116,6.464421526865332e-43,6.122618336728734e-57,1.3589580869963805e-114,1.025321067694804e-94,2.268159359258066e-96,0.0,0.0,1.1792941638046826e-120,5.646014548309818e-20,5.9411997466533885e-24
7.205243727958315e-21,0.24214613000368299,3.76,0.0,0.8431071223051478,0.9999999999999885,1.5637655458843567e-49,6.264160992615756e-36,7.858404492273941e-33,1.5534724729710434e-28,1.2231881831345212e-23,2.009570744583141e-20,1.5858010951923903e-37,2.5388598343535353e-52,1.485547868825674e-46,1.4590870824557103e-63,6.237609962338848e-97,1.1404070704236834e-36,1.16241475994615e-19,8.814136981641516e-38,2.568422232057739e-50,2.683450395457175e-44,4.248427942823964e-65,1.943075414972288e-36,2.5230276666769513e-80,6.264484169659873e-36,6.628593704253164e-37,3.861267812489973e-57,4.832233232654453e-45,4.7818255239617034e-55,5.969458794641837e-59,2.4549783253556334e-76,1.2349639507061027e-74,2.794770163606951e-50,1.3455826975497843e-56,2.097156300908689e-49,6.58245854090169e-61,3.717463340070558e-59,2.009570744583698e-20,4.760314556027274e-35,5.008727692559664e-44,4.844793836932899e-39,6.757946751683662e-38,1.1402372531343344e-36,2.2351121435840464e-33,7.914789881420753e-37,4.5705983970239e-43,4.851408314496748e-41,1.145949387905845e-14,5.472019601214374e-55,1.1498267557697533e-80,3.562090278029256e-57,3.5561865675961465e-66,3.3916092585948365e-63,2.437364207219651e-76,1.0531129923104944e-79,1.090674715656811e-68,8.791869220466714e-71,7.497456716470053e-115,2.6987687357746905e-42,5.238028889767016e-56,9.780520049352451e-113,3.5503614039122653e-93,7.853915910604762e-95,0.0,0.0,8.487465745664862e-119,1.1624147599461278e-19,1.2231881831345212e-23
1.4616351562429723e-20,0.24214613000368293,3.76,0.0,0.8431071223051478,0.9999999999999767,1.2820694732534323e-48,2.5591141600292594e-35,2.0538577399238504e-32,3.1513299299956654e-28,2.4813246000728857e-23,4.076557796154341e-20,6.47851490801679e-37,2.0815106836532868e-51,1.217941895881599e-45,1.1962477445045064e-62,2.077384548143202e-95,4.6589349888566865e-36,2.3580413701764756e-19,3.600862555208278e-37,1.0492843041345622e-49,1.0962770453734405e-43,3.512682591611273e-64,7.938097080057458e-36,4.1817348636242096e-79,2.5592461883954495e-35,2.7079968138740363e-36,3.165700640654155e-56,1.974125037087479e-44,3.953705814650348e-54,4.935663916456792e-58,4.068946534685298e-75,2.0468621803245374e-73,1.1417843234923134e-49,1.112553795270842e-55,8.567567838313705e-49,5.442504013885421e-60,3.0736705782625447e-58,4.0765577961554584e-20,1.9447438213760506e-34,2.0462286936299807e-43,1.9792563643075696e-38,2.760841754401158e-37,4.658241229215305e-36,9.13116240567406e-33,3.233449919751804e-36,1.867238580062769e-42,1.981958593957894e-40,2.3246401868230122e-14,4.486292274511138e-54,1.9057535014342378e-79,2.945205125946492e-56,2.915576730511741e-65,2.7806462019372275e-62,1.9993467796733588e-75,1.749763064269608e-78,8.942010659400045e-68,1.4571878466929682e-69,5.0820202924710534e-113,1.1025350877920289e-41,4.3309035793837814e-55,6.629554959955958e-111,1.1812276531663398e-91,2.61304740668355e-93,0.0,0.0,5.753080648850998e-117,2.358041370176385e-19,2.4813246000728855e-23
2.943856723137254e-20,0.24214613000368299,3.76,0.0,0.8431071223051478,0.9999999999999531,1.0382530993406477e-47,1.0344348602034618e-34,5.988578007075644e-32,6.347045015195834e-28,4.9975974339496155e-23,8.210531899296642e-20,2.6187193083618985e-36,1.6856613184311864e-50,9.863209245552957e-45,9.687524382827284e-62,6.780929160085536e-94,1.8832160128712078e-35,4.749294590637126e-19,1.4555262176540259e-36,4.241375059129414e-49,4.431327097009368e-43,2.856455510649608e-63,3.208705759011733e-35,6.808873845687988e-78,1.0344882281789444e-34,1.0946156093117657e-35,2.563666455133084e-55,7.979729760157192e-44,3.215087906988989e-53,4.0135999064789745e-57,6.625224626186072e-74,3.33278444626802e-72,4.6155134347441755e-49,9.04710269456121e-55,3.4631479554874304e-48,4.425753877273411e-59,2.4994578680137958e-57,8.210531899298847e-20,7.860965463784899e-34,8.271183547184083e-43,8.000470681935163e-38,1.1159763791630489e-36,1.882935583643285e-35,3.690961839098896e-32,1.307012155945119e-35,7.54767688577184e-42,8.011393524132392e-40,4.682021784439193e-14,3.6331157987781493e-53,3.103025525235531e-78,2.394991895690644e-55,2.3611098329194863e-64,2.2518394187728514e-61,1.6208206810543865e-74,2.852555662899746e-77,7.241472688795561e-67,2.3726526569772003e-68,3.3462303627932756e-111,4.456623109678734e-41,3.521818864841282e-54,4.365196678115734e-109,3.8537617928619278e-90,8.525081707909628e-92,0.0,0.0,3.7880866346212646e-115,4.749294590636757e-19,4.9975974339496144e-23
5.908299856925819e-20,0.24214613000368299,3.76,0.0,0.8431071223051478,0.999999999999906,8.356764203344115e-47,4.15941707681656e-34,1.9452761284413155e-31,1.273847587019987e-27,1.0030143101703075e-22,1.6478480105580857e-19,1.0529755163463507e-35,1.3567668782936388e-49,7.938768880540909e-44,7.797362418322222e-61,2.1914791316402393e-92,7.572328764232705e-35,9.531801031558429e-19,5.852606904817497e-36,1.7054383661512716e-48,1.7818171360153973e-42,2.3038354468599235e-62,1.2902064732978617e-34,1.0989556541369739e-76,4.1596316670900525e-34,4.401401222098651e-35,2.0634617970314523e-54,3.208614823313941e-43,2.5930848715444604e-52,3.2371137188826506e-56,1.0693139257557447e-72,5.379127533051277e-71,1.8560695653198347e-48,7.296816076836653e-54,1.392516602932786e-47,3.569530835967633e-58,2.0159033196325192e-56,1.64784801055851e-19,3.160859639203931e-33,3.3258065293205974e-42,3.2169540750945466e-37,4.4872919379672314e-36,7.571201166711526e-35,1.4841195220612563e-31,5.255438394292086e-35,3.034887679393293e-41,3.221346100213846e-39,9.39678497879895e-14,2.9242476686220542e-52,5.008295693905973e-77,1.931647728414125e-54,1.900426935636654e-63,1.812476320252017e-60,1.3073105504741231e-73,4.606885825042187e-76,5.82856821111428e-66,3.829470954116764e-67,2.1720667258145873e-109,1.791988555184146e-40,2.8404745011114217e-53,2.833486469310751e-107,1.2451512316212092e-88,2.754455661501209e-90,0.0,0.0,2.458879408020039e-113,9.531801031556944e-19,1.003014310170307e-22
1.1837186124502946e-19,0.24214613000368299,3.76,0.0,0.8431071223051478,0.9999999999998117,6.705776982666798e-46,1.6681122823083063e-33,6.876009881121101e-31,2.5521340318622744e-27,2.0095234437209994e-22,3.3014376518147722e-19,4.222902775358986e-35,1.0887199736370258e-48,6.370362060286825e-43,6.25689227908691e-60,7.0474684625946e-91,3.036842517807468e-34,1.9096813913401035e-18,2.3471571330729408e-35,6.839571499461561e-48,7.145883652554076e-42,1.850566878268459e-61,5.174305016872476e-34,1.7659942352833367e-75,1.668198342598773e-33,1.7651587475422573e-34,1.6557981398320201e-53,1.2867985204759677e-42,2.0829067868287957e-51,2.6002257774777834e-55,1.7183587721823429e-71,8.644113539037879e-70,7.445208413787603e-48,5.861199490741833e-53,5.584614728974656e-47,2.8672412868662923e-57,1.6192831758540088e-55,3.3014376518155503e-19,1.2676460882219814e-32,1.3337971709841968e-41,1.2901424668925809e-36,1.7996047659831384e-35,3.036390297616684e-34,5.951983072141649e-31,2.107665851113531e-34,1.2171256977154447e-40,1.291903864049775e-38,1.8826311364028037e-13,2.3465245911178746e-51,8.048196716258746e-76,1.5516045029717117e-53,1.5249734610513467e-62,1.4543981821508268e-59,1.0534205811013829e-72,7.405437018243429e-75,4.677060519525281e-65,6.153857018275471e-66,1.3999540676672255e-107,7.186675622619598e-40,2.2816235909116495e-52,1.826256468665338e-105,4.003708774048835e-87,8.856786244057136e-89,0.0,0.0,1.5848123762725866e-111,1.9096813913395072e-18,2.0095234437209975e-22
