Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF3O(47),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),[O]OC(F)F(128),FC(F)C(F)F(130),FC1OO1(136),[O]C([O])F(138),CHO2(142),CFO2(143),[O]C(F)F(146),[O]O[C](F)F(147),CF2O2(152),O2(176),O[C](F)F(220),C2F4O2(252),F[C]C(F)F(276),FC1OC1(F)F(286),C2HF4O2(406),CF3O2(416),C3H2F5(444),C2HF3O(467),C2H2F3O2(603),C2HF2O3(899),FC1(F)OO1(932),C2H2F3(962),C2HF2O(1007),C3H2F5O2(1017),C3H2F5O2(1096),C3H3F4(1175),FC1(F)CO1(1224),C2HF2O3(2126),CHF(88),CF2(89),OO[C](F)F(503),F[C]C(F)F(182)
0.0,0.3104188950473012,3.76,0.0,0.8694033571030078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8819749546203575e-23,0.31041889504730114,3.76,0.0,0.8694033571030078,0.9999999999999997,1.7960428993422084e-53,6.729069614716296e-38,1.1073915526905003e-30,2.6901535289151197e-25,8.363250535761244e-22,3.2460130903808357e-20,3.403515472434832e-38,1.2097356566850488e-54,1.3141945414602253e-49,1.4454444182253807e-62,7.137160851280335e-98,1.5229288217956597e-38,1.0774598007602422e-18,7.592308088997332e-38,2.858843142606094e-46,4.2527541073830727e-42,1.0641710061316029e-61,5.447857018953797e-38,1.7222279652196905e-78,6.636742805554709e-38,9.925267982713997e-37,3.668270750053115e-55,3.466066171107303e-43,3.625626594126216e-56,6.764235278246188e-59,1.0408261011631941e-76,2.946923012215194e-75,1.4683726585179055e-46,8.632100493825972e-58,7.64755699025703e-48,2.7058775118145443e-59,7.66264280336429e-58,3.2460130904915556e-20,5.504958358598973e-38,5.3159763742432636e-43,4.529645262030239e-40,5.618530982842474e-39,1.5099558828719972e-38,1.9121786678748477e-34,6.414482944815354e-38,4.50471905996896e-42,2.500686956571967e-40,4.1532839543185113e-16,8.505677794179335e-57,1.1816145544398754e-82,1.6736992363974745e-57,9.886873053312176e-64,1.372293581158524e-64,1.0363653369602219e-72,3.69373469521536e-80,2.97531318855688e-65,3.1812879519239593e-75,1.4260265595515826e-90,1.8367026450341696e-41,1.6602886370713308e-57,1.2055701342077293e-73,8.109221051055941e-97,3.4981274892112105e-98,-3.376059288133916e-92,-1.5880899260823692e-89,2.0244920403350816e-94,1.0774598007602418e-18,8.363250535761244e-22,6.852833769271424e-52,6.145493690484712e-43
5.269529872937001e-23,0.3104188950473012,3.76,0.0,0.8694033571030078,0.9999999999999988,2.1322621300998784e-52,4.0643580472900854e-37,3.1013161162443577e-30,7.532429880966221e-25,2.3417101500131484e-21,9.088836653066333e-20,2.0557233453506373e-37,1.4361981716164893e-53,1.5602117596215755e-48,1.7160316133170945e-61,4.341883257518147e-96,9.198490083721476e-38,3.016887442128678e-18,4.5857540857543834e-37,1.726741258143534e-45,2.568663480859362e-41,1.6081661660107085e-60,3.290505639448091e-37,4.856981853483089e-77,4.0085926545555004e-37,5.994861861559248e-36,4.3549710344630503e-54,2.0935039675055788e-42,5.479046889713515e-55,1.0221924042330505e-57,2.9352961274678883e-75,8.310794373848045e-74,8.86897086117124e-46,1.3044630069917474e-56,4.619124422226823e-47,4.088194759536473e-58,1.157581681324265e-56,9.088836653376348e-20,3.3249948485937107e-37,3.210849730043039e-42,2.7359057382664384e-39,3.393592713636697e-38,9.120133532545964e-38,1.154955915396406e-33,3.874347698668005e-37,2.7208503122208857e-41,1.5104149217693215e-39,1.1629195072090256e-15,1.0097940677278294e-55,3.3322828907155006e-81,2.529294285862557e-56,1.1737695689697501e-62,1.6291869395873754e-63,1.2303733634564664e-71,1.1613692884634332e-78,3.53229181769703e-64,8.971560258206705e-74,7.379130994419923e-89,1.109368397601796e-40,2.5089757752271384e-56,3.398776669093633e-72,4.6704578389422224e-95,2.014735291264171e-96,3.335762700596677e-91,1.5691345111240153e-88,1.047595632965694e-92,3.0168874421286768e-18,2.3417101500131484e-21,8.13569361970053e-51,3.7118781890528286e-42
1.2044639709570288e-22,0.3104188950473012,3.76,0.0,0.8694033571030078,0.9999999999999973,2.093467603475593e-51,1.9568134439616655e-36,7.091644318195903e-30,1.7216982585083967e-24,5.352480342887196e-21,2.0774483778437314e-19,9.897422993840477e-37,1.410067881432091e-52,1.5318251575260271e-47,1.684810013883265e-60,1.9601336516662152e-94,4.428677013895322e-37,6.89574272486555e-18,2.2078431922804186e-36,8.313515858837614e-45,1.2367008944269779e-40,1.7299886582414258e-59,1.584236821111761e-36,1.0565003191751697e-75,1.929964807855996e-36,2.886267929373223e-35,4.275736386261886e-53,1.0079320427886777e-41,5.894108614090467e-54,1.0996214606718981e-56,6.384910218479668e-74,1.8077793046060052e-72,4.2700276964483295e-45,1.4032748851982321e-55,2.223909572930923e-46,4.3975741358356556e-57,1.2451369185067162e-55,2.077448377914592e-19,1.6008418906804797e-36,1.545885929630101e-41,1.317220842198655e-38,1.6338688098103572e-37,4.3909517073904234e-37,5.5606155661800316e-33,1.8653316403516044e-36,1.3099723026384245e-40,7.271997669709088e-39,2.658101730762745e-15,9.914218036933451e-55,7.248397865352723e-80,2.720899374369186e-55,1.1524139233391044e-61,1.5995453983078434e-62,1.2079887616738708e-70,2.5909509961448668e-77,3.4680250533191887e-63,1.951496494417513e-72,3.2216312172854724e-87,5.341131291776736e-40,2.699023604890874e-55,7.392222026027169e-71,2.0944427829344384e-93,9.034943418768566e-95,1.839822697479133e-89,8.654480393486947e-87,4.573664292999375e-91,6.895742724865544e-18,5.352480342887196e-21,7.987676344925793e-50,1.7871095651930454e-41
2.559485938283686e-22,0.31041889504730114,3.76,0.0,0.8694033571030078,0.9999999999999943,1.8516483875105282e-50,8.545918410712095e-36,1.5082217021474308e-29,3.658608799338163e-24,1.1374020728635292e-20,4.414577802917922e-19,4.3224646499922236e-36,1.2471890726160149e-51,1.3548820044638102e-46,1.490195377413138e-59,7.401091727488886e-93,1.9341196037978176e-36,1.4653453290339294e-17,9.642231273026555e-36,3.630730791252211e-44,5.400997716376302e-40,1.5901564974512334e-58,6.918778414071296e-36,1.9585741053260413e-74,8.428663363061587e-36,1.2605090338046704e-34,3.781840412474707e-52,4.4019040396690107e-41,5.417701279428969e-53,1.010739220805591e-55,1.1836547475125345e-72,3.351318159742804e-71,1.8648332819289662e-44,1.2898488845129311e-54,9.712397379308065e-46,4.042012557420199e-56,1.144445823079305e-54,4.4145778030685e-19,6.99129711541965e-36,6.751289995290587e-41,5.752649482781107e-38,7.1355343482075226e-37,1.9176439712460486e-36,2.4284669082010305e-32,8.146393339908269e-36,5.720993206154912e-40,3.175872434844135e-38,5.6484661778676655e-15,8.769013578720217e-54,1.3437274672980597e-78,2.5009752947047393e-54,1.0192970648142484e-60,1.4147797906590158e-61,1.0684539652293191e-69,4.8525644711260795e-76,3.0674288864090603e-62,3.617735419467824e-71,1.199275282533663e-85,2.3326123592113475e-39,2.480861153848823e-54,1.370330016824323e-69,7.879839372056259e-92,3.3991755980163574e-93,7.240905928336619e-88,3.4061042117654774e-85,1.7025792734349883e-89,1.465345329033927e-17,1.1374020728635292e-20,7.065010899386018e-49,7.80477698691651e-41
5.269529872937001e-22,0.3104188950473012,3.76,0.0,0.8694033571030078,0.9999999999999883,1.5564220398919169e-49,3.567752709742742e-35,3.110302762553238e-29,7.532429881022566e-24,2.341710150013148e-20,9.088836653066276e-19,1.804543903484936e-35,1.0483375643127505e-50,1.1388599625167245e-45,1.2525990057225162e-58,2.5677825488530387e-91,8.074568614216556e-36,3.016887442128678e-17,4.025441748786335e-35,1.5157586343374348e-43,2.254810227734325e-39,1.3604119308899577e-57,2.8884537914492786e-35,3.3662890455060594e-73,3.5188010355115035e-35,5.262377084434897e-34,3.1788647396639327e-51,1.8377082860385972e-40,4.634957505843322e-52,8.647077866679497e-55,2.034400085446601e-71,5.760059649883218e-70,7.785311885750215e-44,1.1034919236535046e-53,4.054734717741375e-45,3.4579826961142834e-55,9.790786020290103e-54,9.088836653376287e-19,2.918728921728234e-35,2.8185306736252504e-40,2.4016179179308666e-37,2.9789451271009006e-36,8.005786090974844e-36,1.013837129707221e-31,3.4009588573345963e-35,2.3884020455904435e-39,1.325864224372421e-37,1.1629195072067437e-14,7.370884285611274e-53,2.309521629355288e-77,2.139637019189233e-53,8.567806007243143e-60,1.1892076611461917e-60,8.981025999054726e-69,8.381598381303937e-75,2.5783588069640566e-61,6.217955025570108e-70,4.131597023890308e-84,9.738197424132745e-39,2.1224264530999486e-53,2.355198523409309e-68,2.7285417381166243e-90,1.177027240151222e-91,2.5583753732524678e-86,1.2034534380573594e-83,5.865518585692161e-88,3.0168874421286677e-17,2.341710150013148e-20,5.938568005229246e-48,3.258340754695821e-40
1.0689617742243632e-21,0.3104188950473012,3.76,0.0,0.8694033571030078,0.9999999999999764,1.2760488233694891e-48,1.4575433948430793e-34,6.33033096236536e-29,1.528007204449084e-23,4.7503263043123866e-20,1.8437354353362878e-18,7.372150653912643e-35,8.594904731114178e-50,9.337062042919414e-45,1.0269563437348366e-57,8.551788068381224e-90,3.2987247460563266e-35,6.119971668318176e-17,1.644524301309136e-34,6.19236860168933e-43,9.2116355067545e-39,1.124814723645679e-56,1.1800276217334474e-34,5.579377751798652e-72,1.437545038659789e-34,2.1498527461277284e-33,2.6062253724944157e-50,7.507637987156455e-40,3.8322724967613704e-51,7.149567693315524e-54,3.371868945445432e-70,9.546876445933555e-69,3.1805539557455955e-43,9.123880893001001e-53,1.6564914355910085e-44,2.859109703816822e-54,8.095137343483269e-53,1.843735435399174e-18,1.1923960003051752e-34,1.1514617465678318e-39,9.811392823388588e-37,1.2169962850057662e-35,3.270624840525492e-35,4.14185548176344e-31,1.389402663773278e-34,9.757401672612e-39,5.41658797539591e-37,2.3590652860426685e-14,6.043096267400139e-52,3.827860718427547e-76,1.769093263985302e-52,7.024405017846881e-59,9.749842898689002e-60,7.363231377123859e-68,1.3926151084527832e-73,2.1138943302560162e-60,1.0305798315334487e-68,1.3711125698814596e-82,3.978371397386617e-38,1.7548622595817217e-52,3.903530676343357e-67,9.078035906848286e-89,3.9160448130161664e-90,8.595071626869974e-85,4.043100401854697e-82,1.946532107370373e-86,6.119971668318135e-17,4.7503263043123866e-20,4.868797099470744e-47,1.3311385153344479e-39
2.152979348085689e-21,0.3104188950473012,3.76,0.0,0.8694033571030076,0.9999999999999525,1.0333774209761943e-47,5.891623443166049e-34,1.2833851677991615e-28,3.077535637182528e-23,9.567558612910862e-20,3.713438975395566e-18,2.9799411648592893e-34,6.960376689209523e-49,7.561394922036572e-44,8.316558727964118e-57,2.7914461159456236e-88,1.3333972848009795e-34,1.232614012069717e-16,6.647430162705089e-34,2.5030543967089934e-42,3.7234903532097755e-38,9.146805861271143e-56,4.769860317230785e-34,9.08457076620527e-71,5.810786889962374e-34,8.690048531728829e-33,2.110588877601673e-49,3.034707318682558e-39,3.116340349452985e-50,5.813908324781435e-53,5.490214477410899e-69,1.5544613425240385e-67,1.2856307793353087e-42,7.419386942687478e-52,6.695803238169385e-44,2.3249737008667722e-53,6.5828020259324665e-52,3.713438975522221e-18,4.819855280948062e-34,4.654392482526163e-39,3.9659218498970035e-36,4.919293564950585e-35,1.322038853328117e-34,1.6742042083003263e-30,5.6161877133218964e-34,3.9440977634821964e-38,2.1894714634384976e-36,4.751356843698402e-14,4.8938560351662835e-51,6.232677279587333e-75,1.438597261914076e-51,5.688545316525977e-58,7.8956755669467435e-59,5.963006370114849e-67,2.2703141100901373e-72,1.7118864389869977e-59,1.67803160916208e-67,4.467548734365441e-81,1.6081213275669096e-37,1.4270244595940125e-51,6.355857557270211e-66,2.9617149257119996e-87,1.2776118591750389e-88,2.8175837116309693e-83,1.3253843983232234e-80,6.342460308303852e-85,1.2326140120697e-16,9.567558612910862e-20,3.942878223219762e-46,5.3806747097222337e-39
4.321014495808341e-21,0.3104188950473012,3.76,0.0,0.8694033571030075,0.9999999999999046,8.317520502242642e-47,2.3689958742532324e-33,2.6094750373252156e-28,6.176592502808575e-23,1.920202323010781e-19,7.452846055513955e-18,1.1982212361325052e-33,5.602316698562158e-48,6.086068459745041e-43,6.693889988502017e-56,9.021471864195342e-87,5.361531840249675e-34,2.473847702545515e-16,2.6729024319635858e-33,1.0064671644457406e-41,1.4971990945196184e-37,7.377230027620654e-55,1.9179398549506206e-33,1.4662534221860745e-69,2.3364918517029013e-33,3.494230294386032e-32,1.6987855457761183e-48,1.2202424717218192e-38,2.5134413889593052e-49,4.689127135721407e-52,8.86122830120107e-68,2.508906873888701e-66,5.1694649622761845e-42,5.984003768702173e-51,2.6923530371309525e-43,1.875172801795351e-52,5.309256688217989e-51,7.452846055768132e-18,1.9380426099728895e-33,1.8715107464661252e-38,1.594679733092544e-35,1.9780263066213147e-34,5.315860083815663e-34,6.731901487398813e-30,2.2582443786172847e-33,1.5859043639095128e-37,8.803768457974901e-36,9.535939958945404e-14,3.939001092913137e-50,1.0059564989841256e-73,1.1602808084979696e-50,4.578636184045157e-57,6.3551266139310086e-58,4.799660099280364e-66,3.666563369576713e-71,1.3778751431839062e-58,2.7083493955072225e-66,1.4425409179524352e-79,6.466185130861363e-37,1.1509467706725136e-50,1.025835565991665e-64,9.569306887667042e-86,4.127966129560256e-87,9.125215694948305e-82,4.292478858189201e-79,2.0479370364447777e-83,2.4738477025454477e-16,1.920202323010781e-19,3.1735714534400754e-45,2.1635456357145451e-38
8.657084791253645e-21,0.31041889504730125,3.76,0.0,0.8694033571030073,0.9999999999998089,6.674286384207343e-46,9.500733015517743e-33,5.363197681980502e-28,1.2374706234697297e-22,3.8470952464501707e-19,1.4931660215750062e-17,4.805403074437364e-33,4.495506329014123e-47,4.883686651740244e-42,5.371425149273092e-55,2.9011703916183863e-85,2.150214070725387e-33,4.95631508349711e-16,1.071953423700454e-32,4.03638348577439e-41,6.004438007681285e-37,5.92579224334323e-54,7.691796637917628e-33,2.3562299176975783e-68,9.37037734699701e-33,1.401342631318308e-31,1.3631684147082702e-47,4.893718126572423e-38,2.018932810395728e-48,3.766561701086444e-51,1.423975599375449e-66,4.0317459928663355e-65,2.0731867742738162e-41,4.806677017212368e-50,1.0797539897516217e-42,1.5062396872903584e-51,4.2646790648621352e-50,1.4931660216259222e-17,7.772417676712941e-33,7.505595147002559e-38,6.395378967699682e-35,7.932770183390231e-34,2.131897651234873e-33,2.6997935880994406e-29,9.056569982591186e-33,6.360185812223837e-37,3.530704909769612e-35,1.9105106189181554e-13,3.1608003073722325e-49,1.6165449870456514e-72,9.32000644162476e-50,3.6740672190395266e-56,5.099588890875024e-57,3.851607595873708e-65,5.89389358664341e-70,1.1056580370230344e-57,4.35224446213278e-65,4.636913298823747e-78,2.59322944504312e-36,9.24502976145071e-50,1.6484882949194863e-63,3.076952178439695e-84,1.3273222370331252e-85,2.9376207031989815e-80,1.3818495017829214e-77,6.582902683237015e-82,4.95631508349684e-16,3.84709524645017e-19,2.546591236398925e-44,8.676785668670582e-38
