Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),H(5),O(6),H2(7),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),CH2O(19),F(37),HF(38),CHF(40),CHF3(41),CF2(42),CF3(44),CHFO(46),CF3O(47),CF2O(48),CF(49),CFO(50),CHFCF2(54),CH2CF2(56),CF2CF2(60),CHF2-CH2(63),CH3-CF2(64),CHF2-CHF(66),CH2F-CF2(67),CHF2-CF2(68),CHFCF[Z](71),CF2CH(72),CHF2(81),[O]OC(F)F(128),FC(F)C(F)F(130),FC1OO1(136),[O]C([O])F(138),CHO2(142),CFO2(143),[O]C(F)F(146),[O]O[C](F)F(147),CF2O2(152),O2(176),O[C](F)F(220),C2F4O2(252),F[C]C(F)F(276),FC1OC1(F)F(286),C2HF4O2(406),CF3O2(416),C3H2F5(444),C2HF3O(467),C2H2F3O2(603),C2HF2O3(899),FC1(F)OO1(932),C2H2F3(962),C2HF2O(1007),C3H2F5O2(1017),C3H2F5O2(1096),C3H3F4(1175),FC1(F)CO1(1224),C2HF2O3(2126),CHF(88),CF2(89),OO[C](F)F(503),F[C]C(F)F(182),CH2F(91)
0.0,0.061564227132319495,3.76,0.0,0.8685465563311328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4503345109596603e-22,0.061564227132319495,3.76,0.0,0.8685465563311328,0.9999999999999996,6.821694103718162e-53,2.2023213815690147e-38,1.0141973492184056e-34,2.108278550788479e-30,1.988679533760971e-25,6.935665340576357e-22,4.23052950351629e-40,6.542536206967651e-56,2.249839550358115e-50,1.4086463627775177e-67,1.120182468286478e-78,4.785737151740066e-28,3.110119836117438e-21,1.8398143413320743e-40,1.3077613136657606e-43,2.277427622545782e-47,1.0724223713814459e-65,6.231717621242208e-39,1.709478053078917e-65,2.2022732057845893e-38,1.2778509435290599e-39,3.891864851155318e-61,2.804996197188667e-48,2.8272544172538434e-44,3.8007182459203474e-63,8.428024830140778e-67,4.582626074695652e-65,1.5688569079801638e-53,6.27146588176386e-60,2.0169969788352493e-52,6.645690710454048e-65,4.7988870135763756e-63,6.935665340577304e-22,5.7002247708130035e-37,9.562293698545054e-47,5.185457394648376e-41,7.190315945509245e-40,3.8323862021366806e-39,6.182256663720315e-36,2.229883873865645e-39,1.591822457819599e-45,1.8169241354311677e-43,4.183300132418e-16,4.6259537263139255e-58,3.484121972497594e-85,3.453840378681607e-61,5.1276233525887173e-70,9.932024225009217e-67,2.0771301533245935e-80,5.941569312030364e-85,2.5980521126272252e-73,1.6583473074126531e-74,5.649050531352113e-92,1.0027849562286552e-44,2.391770171194819e-59,5.501643412396219e-77,5.445741550386096e-99,4.5954655838245756e-101,7.42236276369113e-81,5.3518044183604377e-79,1.7015582079655055e-95,3.110119836117432e-21,1.988679533760971e-25,3.606170185765648e-51,2.2184425150667403e-48,4.785737151702668e-28
4.060936630687049e-22,0.061564227132319495,3.76,0.0,0.8685465563311328,0.9999999999999988,8.098715239935513e-52,1.3302021144679204e-37,3.0400628812948085e-34,5.903179969622883e-30,5.568302694530718e-25,1.941986295361379e-21,2.5552398201238376e-39,7.767298984911975e-55,2.671009514183657e-49,1.6723449618867162e-66,3.522032363591902e-77,1.3400064024993329e-27,8.708335541128827e-21,1.1112478621644141e-39,7.898878334541182e-43,1.375566284017477e-46,1.434367007414356e-64,3.763957443230284e-38,2.0294923446154113e-64,1.3301730162940609e-37,7.718219698915503e-39,4.6204219512915747e-60,1.6942177260442075e-47,1.7076616680213235e-43,5.743644589557007e-62,1.0005751078343157e-65,5.440493675878671e-64,9.47620117506185e-53,9.477439205890948e-59,1.2182661778672796e-51,1.0042965449373039e-63,7.252074292916024e-62,1.941986295361642e-21,3.442935761571001e-36,5.7756253942415556e-46,3.132016266437487e-40,4.342950831077895e-39,2.3147612660862538e-38,3.7340830248870513e-35,1.346849859813138e-38,9.614607645181423e-45,1.0974221777956027e-42,1.1713240370739127e-15,5.491932263872891e-57,9.825780062819264e-84,5.219443580263617e-60,6.087514523103538e-69,1.1791299183425886e-65,4.107873787718454e-79,1.868124611760023e-83,3.084407509656634e-72,4.6768015835776356e-73,2.9241104700968043e-90,6.056821136069043e-44,3.6144405516251214e-58,1.551551047870399e-75,3.13646583313718e-97,2.6467422144817307e-99,2.333709610708729e-79,1.6826929380012273e-77,8.807752991000511e-94,8.70833554112879e-21,5.568302694530718e-25,4.281245242758908e-50,1.339939279164562e-47,1.340006402476745e-27
9.282140870141826e-22,0.061564227132319495,3.76,0.0,0.8685465563311328,0.9999999999999972,7.951366647297952e-51,6.404350577606222e-37,7.893035159380692e-34,1.349298291695225e-29,1.2727549016070214e-24,4.43882581796886e-21,1.230237979622535e-38,7.625980202841439e-54,2.6224129798927814e-48,1.6419182004449413e-65,7.85746011304787e-76,3.0628717771984434e-27,1.9904766951151606e-20,5.3501801045912856e-39,3.8029699001400156e-42,6.6227595263605024e-46,1.478901294810769e-63,1.81218348425722e-37,1.9925676186691608e-63,6.404210482424118e-37,3.715990543782476e-38,4.536357670506582e-59,8.156929279003507e-47,8.2216558453742e-43,6.178750468405279e-61,9.823705742012162e-65,5.341508952665227e-63,4.562685337531332e-52,1.0195396605490344e-57,5.865427253457373e-51,1.0803763133954614e-62,7.801449298189835e-61,4.438825817969453e-21,1.657625363352342e-35,2.7807150080082626e-45,1.5079310104685494e-39,2.0909438769395548e-38,1.1144579075748951e-37,1.7978002378098398e-34,6.484502305175624e-38,4.62901970726596e-44,5.283615385761493e-42,2.677312084725628e-15,5.392011663369808e-56,2.1373216815942952e-82,5.614839226815039e-59,5.976758019704854e-68,1.1576767508162485e-64,7.457177144499871e-78,4.1676833651362856e-82,3.028289668716684e-71,1.017306256966708e-71,1.276780914311384e-88,2.9160986533848775e-43,3.888249337768028e-57,3.3749620288464265e-74,1.4065239278886038e-95,1.1869141615475627e-97,5.206377764304715e-78,3.7539953798539716e-76,3.845809189440531e-92,1.9904766951151423e-20,1.2727549016070214e-24,4.203351962850513e-49,6.451230834759483e-47,3.062871777089692e-27
1.9724549349051378e-21,0.061564227132319495,3.76,0.0,0.8685465563311328,0.9999999999999942,7.032893753177814e-50,2.7969481545962955e-36,2.0803944571284674e-33,2.867258925025324e-29,2.7046041659149203e-24,9.43250486318381e-21,5.37277246946567e-38,6.745093127935255e-53,2.319494582827465e-47,1.4522580541511901e-64,1.4716152941271507e-74,6.508602526790494e-27,4.229762977119716e-20,2.3365642134892685e-38,1.6608568683555e-41,2.892333080630423e-45,1.336122218433305e-62,7.914281378977462e-37,1.7624034936030298e-62,2.7968869713490478e-36,1.6228706982818759e-37,4.01235698694697e-58,3.562345516202135e-46,3.5906131099124043e-42,5.679336082654555e-60,8.68895647888208e-64,4.724504177968177e-62,1.9929086312191683e-51,9.371325988280105e-57,2.561586203071945e-50,9.9305193510786e-62,7.17087550698558e-60,9.43250486318503e-21,7.239285458931701e-35,1.2144113001980239e-44,6.585530892286391e-39,9.131701250646565e-38,4.8671304766469205e-37,7.851465962924516e-34,2.8319525197828445e-37,2.021614521355009e-43,2.307493651922829e-41,5.68928817997902e-15,4.769173253635027e-55,3.9622341130477736e-81,5.161004601056205e-58,5.2863750708107604e-67,1.0239519843805582e-63,1.2663363144113294e-76,7.805610117967342e-81,2.6784880686517978e-70,1.8859141732629372e-70,4.753134988610173e-87,1.273536895104739e-42,3.573970711962206e-56,6.256610520076453e-73,5.291696412330453e-94,4.465474259047701e-96,9.750969351552069e-77,7.030817883683742e-75,1.4316982665404136e-90,4.229762977119637e-20,2.7046041659149203e-24,3.7178172026514945e-48,2.8174219951031083e-46,6.508602526315548e-27
4.060936630687048e-21,0.061564227132319495,3.76,0.0,0.8685465563311328,0.9999999999999882,5.911570963191994e-49,1.1676707965111744e-35,5.94456228180207e-33,5.903180367142424e-29,5.568302694530718e-24,1.9419862953613646e-20,2.2430267427643212e-37,5.6696571963786505e-52,1.9496749568898715e-46,1.2207103996086805e-63,2.5418494365138068e-73,1.340006402674992e-26,8.708335541128828e-20,9.754695637720463e-38,6.933750485055724e-41,1.2074921254713253e-44,1.134212959024529e-61,3.304056682782491e-36,1.481406329150774e-61,1.1676452537093474e-35,6.775165702590803e-37,3.37262781017337e-57,1.4872092936337216e-45,1.4990102920280082e-41,4.858791550071076e-59,7.303591469402974e-63,3.971230434313961e-61,8.322205094535119e-51,8.017366681640347e-56,1.0694118339830363e-49,8.495768266227884e-61,6.134834790008138e-59,1.9419862953616003e-20,3.022259173484325e-34,5.069928123295501e-44,2.7493295116172283e-38,3.812305514173844e-37,2.0319311643128712e-36,3.277832483104258e-33,1.1822844298996936e-36,8.439842670676575e-43,9.633331765383267e-41,1.1713240370285653e-14,4.008777483881337e-54,6.81006802618077e-80,4.415348094021768e-57,4.4435172570536e-66,8.606933549763957e-63,2.084210728641044e-75,1.34822518130816e-79,2.251430866261138e-69,3.241404473944885e-69,1.6375270377156342e-85,5.316765844173452e-42,3.057607068605082e-55,1.0753514699724e-71,1.8323469078846136e-92,1.5462531315906887e-94,1.6842374659983187e-75,1.2143989452914187e-73,4.9324175031726374e-89,8.708335541128499e-20,5.568302694530718e-24,3.1250493622504223e-47,1.1762182223562277e-45,1.3400064024767119e-26
8.237900022250869e-21,0.0615642271323195,3.76,0.0,0.8685465563311328,0.9999999999999761,4.846663037712288e-48,4.7703162053615443e-35,1.8800841700319843e-32,1.1975023953204228e-28,1.1295699751762312e-23,3.939457913447308e-20,9.163496125796294e-37,4.64832751585072e-51,1.5984613240421384e-45,1.0008121377864655e-62,4.2233208401779985e-72,2.718298702977006e-26,1.7665480669147047e-19,3.985111455880135e-37,2.832663315852467e-40,4.932999327518337e-44,9.343220922100865e-61,1.3498149636314395e-35,1.2145464114395965e-60,4.7702118546776196e-35,2.7678762577214534e-36,2.765084044369584e-56,6.075736581226793e-45,6.123946157948684e-41,4.017342798083872e-58,5.987925551027206e-62,3.255854641687366e-60,3.4016927531021395e-50,6.628913812405271e-55,4.368896438555715e-49,7.024465450785942e-60,5.072399970429807e-58,3.9394579134477204e-20,1.2346914862565626e-33,2.07123106793554e-43,1.1231908143356283e-37,1.5574511949466505e-36,8.301101808768163e-36,1.3391015223882617e-32,4.8300176659458306e-36,3.4479511159573417e-42,3.935530353739701e-40,2.3761144750098303e-14,3.286637981347191e-53,1.128718828008645e-78,3.650695188597288e-56,3.6430647035335866e-65,7.05648436866484e-62,3.3807274155147697e-74,2.2400967856737603e-78,1.8458594655150685e-68,5.37239009497489e-68,5.434355151573428e-84,2.1720723318804397e-41,2.528088605535882e-54,1.7823161827631442e-70,6.096335275177398e-91,5.144484266444524e-93,2.798385739657704e-74,2.0177420103998472e-72,1.6368895199854003e-87,1.7665480669145706e-19,1.1295699751762312e-23,2.5621042552301856e-46,4.805235232667714e-45,2.718298702166966e-26
1.659182680537851e-20,0.061564227132319495,3.76,0.0,0.8685465563311328,0.999999999999952,3.924953386186428e-47,1.9282380810128536e-34,6.50251756140325e-32,2.411871393263827e-28,2.2750493866225504e-23,7.934401149619101e-20,3.704031645744577e-36,3.7643361383648896e-50,1.2944754230925982e-44,8.104836169400532e-62,6.885078868598324e-71,5.47488330482155e-26,3.55797709251835e-19,1.610845766909159e-36,1.1450078026573337e-39,1.9939972000476645e-43,7.584037649979929e-60,5.456167899842487e-35,9.835711732280081e-60,1.9281959007947125e-34,1.1188198379047917e-35,2.2392367487752263e-55,2.4559109619904767e-44,2.475396950517907e-40,3.266836438996775e-57,4.849177358675927e-61,2.6366755025703152e-59,1.376474059339623e-49,5.390522621777647e-54,1.7659779194173822e-48,5.712178627892435e-59,4.1247913879679e-57,7.934401149619668e-20,4.99082039763071e-33,8.372247153215594e-43,4.54011685775763e-37,6.295466744517424e-36,3.35543807409052e-35,5.412862457405244e-32,1.952370365829067e-35,1.3937169688234008e-41,1.5908042924599257e-39,4.7856953506521153e-14,2.661604649021077e-52,1.8378260063622813e-77,2.9686846981556065e-55,2.9502495295004435e-64,5.714524374930517e-61,5.4457148278895564e-73,3.651924705035319e-77,1.4948255254409094e-67,8.747544483470522e-67,1.7707054984375912e-82,8.779863672082986e-41,2.0557996499540797e-53,2.902039855760754e-69,1.988933512507922e-89,1.678391679694489e-91,4.56207503173327e-73,3.2894287284979945e-71,5.333566158929777e-86,3.5579770925178067e-19,2.2750493866225496e-23,2.07485842138143e-45,1.9423529132071013e-44,5.474883301547239e-26
3.329968037163379e-20,0.061564227132319495,3.76,0.0,0.8685465563311328,0.9999999999999039,3.1591439484657606e-46,7.753360516854457e-34,2.395209437481247e-31,4.840610512074804e-28,4.566008209515189e-23,1.5924287621962297e-19,1.4893748338308402e-35,3.029865213998195e-49,1.0419064372809978e-43,6.523477253198449e-61,1.1119420754258541e-69,1.0988052513472706e-25,7.140835143725638e-19,6.477139981107857e-36,4.604026015212085e-39,8.017775042139039e-43,6.111345559546203e-59,2.1939011154280872e-34,7.9166364897536645e-59,7.75319091202613e-34,4.4987253607302585e-35,1.8023325446081784e-54,9.87511875450489e-44,9.95346226611997e-40,2.6348219349159397e-56,3.903039807158718e-60,2.122225830052858e-58,5.546446207841236e-49,4.347651779453832e-53,7.100920559201112e-48,4.607078994390398e-58,3.326793674205695e-56,1.5924287621962393e-19,2.0067869314596877e-32,3.366443770102474e-42,1.825561023121389e-36,2.53137948911681e-35,1.3492068916681074e-34,2.176488187487974e-31,7.850395371950486e-35,5.604074631794295e-41,6.396554091950283e-39,9.604857100655702e-14,2.1422909757136162e-51,2.966258580479355e-76,2.394351757050813e-54,2.3746195473166393e-63,4.5995469834034475e-60,8.742277308090953e-72,5.897873234623155e-76,1.203166713321059e-66,1.4118571996098732e-65,5.717500742511906e-81,3.530344585102507e-40,1.6580768867321594e-52,4.683904017455213e-68,6.426252729334242e-88,5.422891058307907e-90,7.367763362165316e-72,5.312436182251483e-70,1.72217618894071e-84,7.140835143723457e-19,4.5660082095151854e-23,1.670026515352916e-44,7.810115660841264e-44,1.0988052500306845e-25
6.671538750414437e-20,0.0615642271323195,3.76,0.0,0.8685465563311328,0.9999999999998075,2.5350140627644123e-45,3.109444344858408e-33,9.167008812426445e-31,9.698093241393438e-28,9.147925855300464e-23,3.190406056664715e-19,5.973059222836959e-35,2.4312760199866708e-48,8.360642988774929e-43,5.234679660247182e-60,1.7874144100022827e-68,2.2014390950623275e-25,1.4306551246140213e-18,2.5976228295397237e-35,1.846420352196185e-38,3.2154863955952604e-42,4.9067888675234266e-58,8.798524719120371e-34,6.352602210728914e-58,3.109376325715363e-33,1.80419008006178e-34,1.4462583601083742e-53,3.9603713473705665e-43,3.9917835481951035e-39,2.1164322649256908e-55,3.13194364038459e-59,1.702952575502719e-57,2.2337610740568058e-48,3.492270344661256e-52,2.84778755539771e-47,3.7006563892536865e-57,2.6722615935240464e-55,3.1904060566643145e-19,8.048113152529126e-32,1.3500945295345323e-41,7.321316227109944e-36,1.0151963935418727e-34,5.410923081749531e-34,8.728691089955306e-31,3.1483596611214516e-34,2.2474845741531485e-40,2.5653042822090586e-38,1.9243180595538946e-13,1.719053590932555e-50,4.766697903746238e-75,1.9232735416966734e-53,1.9054859445375238e-62,3.6908477703378944e-59,1.4010905564271708e-70,9.48067530636231e-75,9.654672536239333e-66,2.2688166120338695e-64,1.8378395221172415e-79,1.4158260914250969e-39,1.331857522555783e-51,7.52690800540155e-67,2.0663256571408765e-86,1.7437003705044412e-88,1.1843464420868147e-70,8.539586004792092e-69,5.535781464463253e-83,1.4306551246131469e-18,9.147925855300453e-23,1.3400910224817095e-43,3.132205715705457e-43,2.2014390897822287e-25
