grid,velocity,T,density,Y_N2,Y_Ne,Y_CH2F2(1),Y_O2(2),Y_H2O(3),Y_OH(4),Y_H(5),Y_O(6),Y_H2(7),Y_HO2(10),Y_H2O2(11),Y_CO(12),Y_CO2(13),Y_HCO(14),Y_CH2O(19),Y_F(37),Y_HF(38),Y_CHF(40),Y_CHF3(41),Y_CF2(42),Y_CF3(44),Y_CHFO(46),Y_CF3O(47),Y_CF2O(48),Y_CF(49),Y_CFO(50),Y_CHFCF2(54),Y_CH2CF2(56),Y_CF2CF2(60),Y_C2H3F2(63),Y_C2H3F2(64),Y_C2H2F3(66),Y_C2H2F3(67),Y_C2HF4(68),Y_C2HF2(71),Y_CF2CH(72),Y_CHF2(81),Y_S(128),Y_S(130),Y_CHFO2(136),Y_CHFO2(138),Y_CHO2(142),Y_CFO2(143),Y_CHF2O(146),Y_CF2O2(147),Y_CF2O2(152),Y_O2(176),Y_CHF2O(220),Y_S(252),Y_C2HF3(276),Y_S(286),Y_S(406),Y_CF3O2(416),Y_S(444),Y_S(467),Y_S(603),Y_S(899),Y_CF2O2(932),Y_S(962),Y_S(1007),Y_S(1017),Y_S(1096),Y_S(1175),Y_S(1224),Y_S(2126)
0.0,0.053678222099981444,298.0,1.3009707821020615,0.5862650786069803,9.473078781252387e-43,0.2356390169973393,0.17809588920125677,5.359611913448241e-11,6.198551492576266e-14,0.0,0.0,1.4973333977608206e-08,0.0,2.352170451122729e-12,1.707987530302385e-11,3.0420788092985372e-12,0.0,0.0,7.036889805503656e-13,1.4044174473926882e-10,1.19823215130127e-12,0.0,0.0,0.0,3.5687044190108965e-14,2.9345713812800895e-24,0.0,5.942102969200642e-14,4.0227288122372207e-20,3.013336064279581e-15,1.4445596314009937e-13,0.0,0.0,0.0,0.0,0.0,0.0,7.220035039573497e-13,2.688666907921274e-13,1.9673867977364994e-14,7.785872979526725e-14,0.0,0.0,1.805452737808732e-28,3.1364713226547203e-22,1.5732237840750717e-15,8.800731436464322e-35,0.0,2.1606408216536823e-35,1.0671660700542287e-12,1.561217477272059e-39,0.0,0.0,2.0577607859080261e-13,0.0,0.0,0.0,1.4511295402297675e-34,0.0,7.127824614792823e-15,7.662289324451198e-17,0.0,1.1687697425429168e-19,0.0,0.0,4.3142951557615373e-19,3.6978219045025096e-16,1.7309493304642815e-26
0.008,0.05367829733578114,298.0000294884996,1.3009689586648434,0.5862649866755402,3.7629852434943e-42,0.2356390341372783,0.17809587101442348,1.3002301531970665e-09,2.953833830880486e-18,0.0,3.7398902814297527e-13,1.0304925602603558e-07,0.0,2.3547013898577915e-12,4.285366077430024e-10,7.632203933822917e-11,0.0,0.0,7.875206971535816e-18,3.306695628446759e-09,4.069664395497392e-16,0.0,0.0,0.0,1.540437470241092e-12,1.436204380010577e-22,1.3288361188672532e-13,1.3902895091140366e-12,1.753116606843349e-18,1.2431704635824575e-13,1.6647612692667836e-13,0.0,0.0,0.0,0.0,0.0,0.0,7.219995239424343e-13,5.262929685644034e-20,9.890513543407597e-19,4.1375870310866925e-12,0.0,0.0,1.0846664044143266e-26,1.0730842442678738e-20,8.210686946168512e-14,4.286310952342326e-33,0.0,8.812545560994902e-34,5.247351911380482e-18,1.4593523591107374e-37,0.0,0.0,2.05776109828327e-13,0.0,0.0,0.0,8.435087867811995e-33,0.0,4.858701966522827e-13,7.656772908730761e-17,0.0,5.59930756594144e-18,0.0,0.0,5.150637075584079e-19,3.698198799013662e-16,1.2260576073448813e-24
0.016,0.05367890827204603,298.0007386736064,1.3009541519328252,0.5862643061274664,4.2387177790964775e-42,0.23563916471248988,0.1780956994964516,3.013337849112661e-08,3.2163746260996397e-19,2.9005610022311505e-24,3.6465202778315986e-13,7.092140475834354e-07,0.0,2.4208030306127287e-12,1.0050987451089367e-08,2.3439837676699307e-09,3.718524364388397e-26,1.6701236475198706e-13,3.8536999594628307e-22,7.783600810691537e-08,1.3964421556708404e-19,9.898711481570072e-12,4.4221243399370854e-13,0.0,1.6132651077578503e-12,1.356902758901637e-22,2.4902355778990187e-11,3.293565860224392e-11,2.7078408381078746e-18,5.12860773118104e-12,1.0409713828856236e-12,0.0,0.0,0.0,0.0,0.0,6.5342780726193095e-28,7.219960761677258e-13,1.0388808048205407e-26,1.9465593657003222e-20,4.255333747647985e-12,5.225958806979222e-13,0.0,1.7854639828166606e-30,3.682584475843664e-24,8.037738530760456e-14,8.43077184886068e-35,2.3518089902332503e-35,1.5402534389616803e-33,5.244580088814083e-18,3.5532717381641304e-36,0.0,0.0,2.0577638313095094e-13,0.0,0.0,0.0,3.393466330937187e-31,0.0,4.858788567395093e-13,7.66881170844539e-17,0.0,9.435669873216642e-23,0.0,0.0,4.552200845411453e-18,3.7092943830236635e-16,2.1548718735153442e-29
0.02,0.053681399707563957,298.0072146346331,1.3008937726744139,0.5862620653059111,4.265628621949227e-42,0.23563961839682307,0.17809481210900804,2.838286650813859e-07,3.900438672922061e-19,7.547806410440836e-24,3.5664625306663824e-13,2.3494058123470953e-06,1.0052143768440052e-11,3.2542850647702063e-12,9.564073480704539e-08,2.9023044183960355e-08,5.802822999185594e-25,5.007568508421646e-12,2.2297252207848703e-24,7.451937590966431e-07,2.8066474687566243e-22,1.675159885061569e-10,5.964864518520136e-12,3.5268711268285354e-30,2.8272178377873917e-12,1.0576188459213577e-22,4.653420391276141e-10,3.172696952261601e-10,2.8788036240565154e-18,8.317456889516052e-11,1.4174211472189964e-11,7.464411709241582e-14,1.4553073134576483e-29,1.4796886383371492e-25,4.091283822121136e-26,4.044624083273334e-27,4.708401444384028e-27,7.219960573670961e-13,2.9437823568589485e-32,2.1230497615817158e-20,5.024838958694711e-12,1.4715970637671817e-11,0.0,0.0,7.4007036176428e-27,7.303183848354004e-14,9.202500703245469e-35,3.173929510061207e-34,8.869504083742976e-33,5.248893850536079e-18,5.039188724478801e-35,5.774406511740415e-26,0.0,2.0577777244524979e-13,0.0,2.239713436832862e-16,9.224068445144673e-34,5.383060681594628e-30,0.0,4.858809631777741e-13,8.01471487244435e-17,0.0,2.8036125729778083e-25,1.1495192613183559e-16,7.76607747040222e-25,7.813536111497556e-17,3.9031984009507843e-16,3.2737217909187395e-31
0.022,0.05368921973316126,298.0383966371483,1.3007042929164243,0.5862567941972726,4.200244978063839e-42,0.2356407296099114,0.17809143599490548,1.4632492834020535e-06,1.1839650432971585e-18,1.5543255148234988e-23,3.4519387993934377e-13,4.978357640077753e-06,9.702059241848473e-11,9.644278238951565e-12,4.976602988471759e-07,1.926193215613193e-07,3.807607303622862e-24,3.481568826159048e-11,6.938239064492702e-24,3.8996286271225975e-06,2.180116785330431e-21,1.3368315606638258e-09,3.79757887972639e-11,3.324584221892639e-29,1.3320769183983417e-11,6.378825180797012e-23,4.4908868232214726e-09,1.6696611700607902e-09,2.693063012560609e-18,7.11226112476245e-10,1.1606686755174622e-10,9.287785361851352e-13,1.1516407846558248e-27,1.1696940595848552e-23,3.380348690573231e-24,3.3426236150089622e-25,5.9906787198565295e-25,7.219999677573314e-13,3.702969347571417e-32,4.4406617872433874e-20,1.2496066068634088e-11,1.5003638642187431e-10,0.0,0.0,5.747582103031999e-26,5.826611198843016e-14,1.9354011326662036e-34,2.0259363870882012e-33,5.166631842151875e-32,5.269738383644692e-18,9.638140739583894e-34,7.186086737544037e-25,0.0,2.0578465196391513e-13,0.0,5.134693313069453e-15,1.6545377594393924e-32,4.454478431757696e-29,0.0,4.858874657651199e-13,1.1542077655758366e-16,0.0,2.2454118425214462e-24,4.768407454612014e-15,3.2547296760906325e-23,7.67055207183329e-16,5.789013250757717e-16,7.585605226657142e-31
0.023,0.05370665074748584,298.12124114515586,1.3002821368372806,0.5862475462914729,4.051158400084719e-42,0.2356426013452981,0.17808315247363454,4.4988802785982476e-06,7.859574753651366e-18,2.366915272008976e-23,3.3010559722488607e-13,7.742004081350932e-06,3.2296231222818535e-10,3.233446847908797e-11,1.5420961478393276e-06,7.349794261962888e-07,1.4008958423486048e-23,1.340220363691303e-10,3.081092548598554e-23,1.2141343480986125e-05,1.468368683476117e-20,5.965437053278752e-09,1.387996551544183e-10,3.542618384839265e-28,6.128939518915716e-11,4.3318197281923507e-23,2.388879512341201e-08,5.223203671202903e-09,2.3817011177111184e-18,3.3946123691841254e-09,5.366991896798297e-10,4.822594203503709e-12,1.7820627708625446e-26,1.804909793300124e-22,5.387268377171197e-23,5.3306465350499806e-24,1.0354304225254388e-23,7.220090169553438e-13,3.4420541193135314e-31,2.4157835251003776e-19,5.2502559673964226e-11,8.287730280673151e-10,0.0,0.0,3.8702404472688035e-25,4.23515975567869e-14,1.0686696004616677e-33,7.456213131774408e-33,1.886529716447545e-31,5.325520199992781e-18,2.332628815044017e-32,3.733130246569243e-24,1.4291341995944794e-17,2.058117462590848e-13,6.29149223221283e-14,3.447370923723507e-14,4.316469852380195e-31,2.0317837707902746e-28,0.0,4.859105769469444e-13,3.0277218522461817e-16,0.0,1.0084304109115942e-23,3.6093434063297834e-14,2.4785546074059707e-22,4.1634300137960846e-15,1.5700132744603082e-15,2.475555166682145e-30
0.024,0.05376948445929236,298.4421030230637,1.298762659152698,0.5862195252893112,3.6016155621234016e-42,0.23564740666622397,0.17805199486316362,1.591717462830162e-05,1.0626933137618894e-16,4.747814766809124e-23,2.96379198315225e-13,1.2533308836836466e-05,1.1811530729678848e-09,1.4654880353216333e-10,5.504791413008139e-06,3.3108437082390004e-06,5.819215525086284e-23,6.068679784850495e-10,2.115389351410037e-22,4.3570019601699134e-05,1.4148484081168287e-19,3.191313667484145e-08,5.956116099247675e-10,1.778298972679265e-26,3.6936302749959385e-10,1.2302053182559003e-22,1.548597002958478e-07,1.8845905272231947e-08,1.7201320214033752e-18,1.9560554356941066e-08,2.989895278597074e-09,2.974029210034156e-11,3.705758257992094e-25,3.7126176872101046e-21,1.1489032368738725e-21,1.139719920540794e-22,2.3339823646649085e-22,7.220419687473459e-13,2.1503951970023746e-29,3.165667020012304e-18,3.519781055422296e-10,5.589653543753409e-09,0.0,1.7568696894296446e-30,3.7262088523940495e-24,1.9041064630005427e-14,1.4816599998141115e-32,3.2870048002332487e-32,8.371941013081141e-31,5.5469168477147474e-18,1.352744001520385e-30,2.3069488469887798e-23,1.5716773276262115e-16,2.0598792074190478e-13,6.315694615019628e-13,2.7773065436237616e-13,3.302339932005674e-29,1.0481445583948335e-27,0.0,4.860850296298082e-13,1.69027851556106e-15,0.0,5.130212047414661e-23,3.274043113732496e-13,2.2991175829872106e-21,2.7598633367087048e-14,8.914727744618521e-15,1.1468018899724251e-29
0.0245,0.053865471043458325,298.94767666535523,1.2964483052641012,0.5861820521540907,3.057607836232833e-42,0.23565178659101552,0.17800354367855648,3.342582314913378e-05,5.280970833620918e-16,1.4550273477650309e-22,2.658971441870693e-13,1.6244229229467218e-05,2.5130360847550806e-09,3.739648957430687e-10,1.1631212542043165e-05,8.21416477222161e-06,1.4120174924328193e-22,1.509847293827556e-09,7.136892634713634e-22,9.237637825655436e-05,5.685561597048389e-19,8.96256020837977e-08,1.428819147833192e-09,2.410387754578349e-25,1.1487330638280583e-09,5.632536696114309e-22,5.023406601726306e-07,4.010813363905391e-08,1.3132906166990843e-18,5.8050153337440753e-08,8.654110901908274e-09,9.25626926455451e-11,2.356564680349373e-24,2.3208721382642154e-20,7.391285441834969e-21,7.361532251497142e-22,1.5443373962800494e-21,7.220951700849818e-13,3.014210075399545e-28,1.580501614629638e-17,1.2270751740400265e-09,1.868888463330255e-08,0.0,1.3359253037495437e-29,1.4956828788410667e-23,8.731356275807603e-15,8.08771847343416e-32,8.228188795467383e-32,2.121603683374029e-30,5.913558244204285e-18,1.6133049776015676e-29,7.204858398640125e-23,6.129216863207312e-16,2.0645929657551168e-13,2.54508916411443e-12,1.0633133480170576e-12,4.989887095802522e-28,2.778349767221565e-27,0.0,4.866750843390943e-13,5.7111971551091215e-15,0.0,1.3497440844769099e-22,1.378140075019397e-12,1.0045621631992375e-20,9.10762334967203e-14,3.026234346151437e-14,2.9591442075097954e-29
0.025,0.054095566205741505,300.1756947531903,1.2909338713651497,0.5861013950886882,2.0336880653047048e-42,0.23565516084291713,0.17788689428147444,7.491200171237455e-05,3.050477853622866e-15,1.1397466073587143e-21,2.2016889825910435e-13,2.1300618136826412e-05,5.708346023233816e-09,1.0501405108990711e-09,2.625827862558691e-05,2.2247880952258003e-05,4.898638012622814e-22,4.100925030353423e-09,2.7131178226573168e-21,0.00020930237130926407,2.599775926642768e-18,2.793665248990125e-07,3.727052711378204e-09,4.3892514454188724e-24,4.027333809088779e-09,3.139677161524452e-21,1.8426507906819542e-06,9.128960604441712e-08,1.0772258772251862e-18,1.9260799676024414e-07,2.791430252510743e-08,3.237980469368909e-10,1.8658110048746178e-23,1.763167690622936e-19,5.8279498244037e-20,5.8606959968858854e-21,1.2251591760634872e-20,7.222353645971423e-13,5.664197339663843e-27,9.280105046336639e-17,4.917367588785129e-09,7.092667579727315e-08,0.0,7.114551999195089e-29,6.822945709519985e-23,2.521206840050159e-15,5.838227323935255e-31,2.3806959033461287e-31,6.2950228323994974e-30,6.902048648733316e-18,2.4343131261776406e-28,2.5434952636192213e-22,2.6958152110535598e-15,2.0835081558721084e-13,1.1734981921748471e-11,4.6947119142508346e-12,1.0176005786626154e-26,7.556507853458371e-27,0.0,4.896457781992168e-13,2.2528203031054218e-14,0.0,3.6662266233779846e-22,6.761914512425039e-12,5.3873397193966986e-20,3.4060658918775273e-13,1.200113949373006e-13,7.897054492902025e-29
0.025500000000000002,0.054647858717268044,303.1442253969623,1.2778871937489957,0.5859287643380086,1.857851990480239e-43,0.23564309431896377,0.17760801615927924,0.00017243538774156143,1.8374027412502823e-14,1.3439308960167813e-20,1.5855849168165633e-13,2.815427879944514e-05,1.3365561779428312e-08,3.0243616543003716e-09,6.0947494374309954e-05,6.211734838184722e-05,3.898003226365966e-21,1.1476812556865968e-08,1.051700027576465e-20,0.0004872842427003305,1.2252204810230891e-17,8.983200941972218e-07,1.0035628043298233e-08,9.009439573193403e-23,1.4573807001142027e-08,1.796513187715667e-20,6.970565076402592e-06,2.136651437027137e-07,2.0503881449044137e-18,6.593446670961942e-07,9.289663723839481e-08,1.1682435288800044e-09,1.7490355171793054e-22,1.497769437758941e-18,5.202271608562182e-19,5.3529828146734984e-20,1.032368658301354e-19,7.226206890858357e-13,1.2198342994302194e-25,5.828781681754098e-16,2.0329319926002986e-08,2.7755192871897803e-07,0.0,3.7425114009195787e-28,3.202860620079478e-22,4.290423997868037e-16,5.641357462156841e-30,8.241231365776967e-31,2.302532239918851e-29,9.977057072008413e-18,3.9662076421101816e-27,9.415267286749022e-22,1.2136963066451054e-14,2.1596168702400614e-13,5.548214818170339e-11,2.1340562319564575e-11,2.4202567525806815e-25,1.825552852011478e-26,0.0,5.046902444800049e-13,9.228590371244191e-14,0.0,9.064661737970094e-22,3.411259823460841e-11,3.325516002633952e-19,1.3135500513688153e-12,4.945055568295542e-13,1.89034312475002e-28
