grid,velocity,T,density,Y_N2,Y_Ne,Y_CH2F2(1),Y_O2(2),Y_H2O(3),Y_OH(4),Y_H(5),Y_O(6),Y_H2(7),Y_HO2(10),Y_H2O2(11),Y_CO(12),Y_CO2(13),Y_HCO(14),Y_CH2O(19),Y_F(37),Y_HF(38),Y_CHF(40),Y_CHF3(41),Y_CF2(42),Y_CF3(44),Y_CHFO(46),Y_CF3O(47),Y_CF2O(48),Y_CF(49),Y_CFO(50),Y_CHFCF2(54),Y_CH2CF2(56),Y_CF2CF2(60),Y_C2H3F2(63),Y_C2H3F2(64),Y_C2H2F3(66),Y_C2H2F3(67),Y_C2HF4(68),Y_C2HF2(71),Y_CF2CH(72),Y_CHF2(81),Y_S(128),Y_S(130),Y_CHFO2(136),Y_CHFO2(138),Y_CHO2(142),Y_CFO2(143),Y_CHF2O(146),Y_CF2O2(147),Y_CF2O2(152),Y_O2(176),Y_CHF2O(220),Y_S(252),Y_C2HF3(276),Y_S(286),Y_S(406),Y_CF3O2(416),Y_S(444),Y_S(467),Y_S(603),Y_S(899),Y_CF2O2(932),Y_S(962),Y_S(1007),Y_S(1017),Y_S(1096),Y_S(1175),Y_S(1224),Y_S(2126)
0.0,0.06637445226269927,298.0,1.3295572347086133,0.5531281594893782,3.264826410319187e-48,0.2788422933151553,0.16802953907442142,2.3151750505261174e-12,0.0,0.0,1.1316939387828475e-12,8.101574546485322e-09,0.0,1.7330492031019985e-12,2.4484278736831174e-12,7.250460956558374e-14,0.0,0.0,5.913967421616065e-15,1.1646547388430322e-11,0.0,5.38618207847621e-16,1.366116584945214e-16,0.0,9.309236457894635e-16,0.0,0.0,5.94760894465451e-14,0.0,1.700707555165353e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.849468746721995e-14,0.0,2.180668312716109e-17,0.0,4.5924283855997566e-15,0.0,0.0,0.0,0.0,0.0,3.791825097058753e-39,7.455139734135252e-38,0.0,0.0,0.0,1.915577747254904e-15,0.0,0.0,0.0,0.0,2.4024218128748988e-35,1.8834387939863693e-17,0.0,0.0,1.093743449549907e-15,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.0663745123491826,298.00000211816575,1.3295560311096637,0.5531280988036251,3.267127641941138e-48,0.2788423054432233,0.16802952762029805,7.787921891155384e-11,0.0,0.0,1.0735146519948062e-12,6.763864582226406e-08,0.0,1.606173452502221e-12,6.52712050395653e-11,4.6280661407993624e-12,0.0,9.816146781457418e-16,0.0,3.4315258782268786e-10,0.0,3.009347777590079e-14,4.9263736706403915e-15,0.0,0.0,0.0,0.0,4.949841647403037e-13,0.0,8.807936352432366e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.849469035955748e-14,0.0,0.0,0.0,5.132982757612593e-15,0.0,0.0,0.0,0.0,0.0,2.5260797999089774e-37,6.063166275702423e-36,4.9422515421913266e-18,0.0,0.0,1.9155779309151783e-15,0.0,0.0,0.0,0.0,1.754988702836682e-33,1.5409235368232794e-15,0.0,0.0,7.008946475066913e-21,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.06637502477560607,298.0000669682678,1.329545766711821,0.5531275850877283,3.274442271199469e-48,0.27884240870584814,0.16802942701671056,2.2685112133307427e-09,1.0627259024893372e-18,5.560438241456248e-24,1.0440640814740153e-12,5.647151592122676e-07,2.9407724859879155e-12,1.0140968532657546e-13,1.8930161057416717e-09,1.8188224452884226e-10,1.9641463615825713e-26,5.771595044930077e-14,0.0,1.0110650256430079e-08,0.0,1.437130290391185e-12,1.799512283201499e-13,0.0,0.0,0.0,7.344785356300537e-13,1.3339402034061042e-11,0.0,4.561721933668652e-13,1.1099869120453772e-13,1.230341656175535e-15,3.4405129558992976e-32,3.4990036110088113e-28,6.946267902130332e-29,6.866658529184617e-30,0.0,4.849471784894039e-14,0.0,7.499410408876948e-20,0.0,3.860994081042845e-14,0.0,0.0,0.0,0.0,3.230604739178069e-34,9.227273656692186e-36,2.2867861606835987e-34,4.947722961680269e-18,4.3325038660757575e-36,9.17704303762249e-28,1.9155817361498156e-15,0.0,0.0,0.0,0.0,8.839219749548464e-32,1.5409349628280544e-15,0.0,2.6827587662867494e-21,4.516527840643881e-26,0.0,0.0,0.0,5.854423692282215e-19,0.0,0.0
0.02,0.06637681576377615,298.0008154229614,1.3295098927289823,0.5531258380155345,3.298129066993605e-48,0.2788427659161902,0.16802904231497262,2.626928791162155e-08,1.1417872413056366e-18,2.138703540691736e-23,1.0270600854087207e-12,2.183157852028768e-06,6.95295976806574e-12,0.0,2.206260643766643e-08,2.782362288490957e-09,3.0640384678953307e-25,8.945983710364901e-13,1.4287756185774396e-25,1.1925373015721092e-07,4.8730960984707676e-23,2.6732847782293837e-11,2.6001519651479682e-12,1.6748543576893194e-30,1.711924841192813e-14,0.0,1.9908107009218868e-11,1.5700377143339475e-10,0.0,9.20070916669943e-12,2.223149129494162e-12,3.195842970036053e-14,1.668670127141994e-30,1.6969952294086297e-26,3.3142886386585885e-27,3.2763239073212286e-28,1.5626926184223666e-27,4.849487018105392e-14,1.9398600053736304e-33,7.734899820916792e-20,0.0,8.194328332874005e-13,0.0,0.0,1.2401552667350504e-27,0.0,3.3353538753725112e-34,1.3333165096536085e-34,3.3095856840059485e-33,4.9481846626282095e-18,6.722393748742606e-35,2.3836989785714062e-26,1.9156509037834776e-15,0.0,0.0,0.0,3.9430076903899764e-34,1.7537011314326482e-30,1.5409458511005344e-15,0.0,4.586402806002571e-19,6.698950138915132e-31,1.1486641711348659e-25,1.0502850861152252e-17,7.102660654347541e-26,1.4459171279654015e-17,0.0,2.4012281004545794e-32
0.022,0.06638088606272884,298.005320646572,1.3294283707265242,0.5531221604615874,3.3552816587676465e-48,0.27884354487229934,0.1680279894328381,1.6374896505218313e-07,1.3321033961894342e-18,5.0499777674517505e-23,1.0132896653682488e-12,5.222578599964144e-06,1.883208702481637e-11,0.0,1.383937361235815e-07,2.250823645459074e-08,2.4623287189034294e-24,7.276220067645855e-12,1.8584026953978438e-24,7.56330440811691e-07,6.791185123127242e-22,2.6044023541334406e-10,1.9937175491055304e-11,1.6598249134765293e-29,1.1541839774965592e-12,0.0,2.3828165122736603e-10,9.963653714897515e-10,1.143456444252593e-17,9.684996452554297e-11,2.2610603184284825e-11,3.6240354781454084e-13,4.6037965079805685e-29,4.681227311233767e-25,9.455263035686363e-26,9.347288325215602e-27,4.808905034389708e-26,4.849573124381631e-14,4.452918962325081e-33,8.394445064870257e-20,0.0,1.01206648371319e-11,0.0,1.1817513327595e-32,1.7282486560686258e-26,0.0,3.6269162066547802e-34,1.0226835724182918e-33,2.541902773442719e-32,4.951001877790127e-18,6.016491283928972e-34,2.7029963498159886e-25,1.9165729446148613e-15,0.0,0.0,4.1417292653995943e-16,4.50586999232653e-33,1.821091418521006e-29,1.5410499218781258e-15,0.0,6.2187323724889225e-18,7.501182887187263e-32,1.1676511751674143e-24,3.3947350886403204e-16,2.3117567772836567e-24,1.7659392290015047e-16,1.876721390191722e-17,2.462541408511827e-31
0.023,0.06638785192656531,298.02000340030685,1.3292888780820806,0.5531166875675767,3.428096645093748e-48,0.2788447515875632,0.16802574495996436,5.918566415811868e-07,2.1538299348548577e-18,8.428329957134436e-23,9.978867215980455e-13,8.836427232335131e-06,5.2813435693588025e-11,1.3399524969132753e-13,5.029459967841911e-07,1.0225223756338429e-07,1.1070430734703837e-23,3.3202181862685755e-11,9.004001633222643e-24,2.7748711050436912e-06,4.317271061481007e-21,1.3984391381584657e-09,8.636537598418971e-11,9.71551167296568e-29,7.552423506570466e-12,0.0,1.5363910052945802e-09,3.6581309631503176e-09,1.9135387372328905e-17,5.580119624314199e-10,1.2609830674375066e-10,2.218417813469998e-12,7.209272551881886e-28,7.326866236825364e-24,1.5289570978329708e-24,1.5116731825251665e-25,8.256340879220508e-25,4.849948227030326e-14,2.705777621715172e-32,1.1391570414341345e-19,3.4246738124643266e-12,6.784232811404778e-11,0.0,1.0537134880626277e-31,1.098574866059165e-25,0.0,4.953431932159213e-34,4.435351655377845e-33,1.1045610106429033e-31,4.960228900901343e-18,4.2154291266424365e-33,1.6546440607914252e-24,1.923261027746072e-15,0.0,0.0,3.7068637525480126e-15,3.5265048986677663e-32,1.0330947753254728e-28,1.5418252996927899e-15,0.0,4.4040864351619847e-17,7.524741787736923e-32,6.495032241041643e-24,3.093794002020417e-15,2.1091688059192383e-23,1.1644803988166848e-15,1.9412851655171527e-16,1.3706044037005308e-30
0.024,0.0664104502542779,298.0886742678033,1.3288365440658794,0.5531017798520663,3.5517644307573004e-48,0.2788480665834353,0.16801714931342185,2.511705503260459e-06,1.405325148817524e-17,1.4686892804633842e-22,9.603823055816852e-13,1.5769334887733468e-05,2.0388483101419432e-10,1.0139427149653215e-11,2.1474373280040525e-06,5.585901938391466e-07,5.860035805913287e-23,1.8225349474002003e-10,5.537651281153479e-23,1.1973636432404418e-05,3.9330434876367946e-20,9.164818551994156e-09,4.4782438342924983e-10,1.2915231149871515e-27,5.768470755703626e-11,2.4016937144883413e-24,1.2255922535935966e-08,1.579814647428669e-08,2.258842088854963e-17,3.946312841942664e-09,8.608789440148848e-10,1.6721592392073228e-11,1.908637008147404e-26,1.9352471938145626e-22,4.1854188025055863e-23,4.140359565197125e-24,2.4023118078446423e-23,4.8524932366004386e-14,9.87865809294241e-31,5.542240812255431e-19,3.641012650307792e-11,5.646068950645903e-10,0.0,1.0076186099117811e-30,1.0005270147810543e-24,0.0,2.4789397131922156e-33,2.312891942199229e-32,5.780225195509454e-31,5.003656614400028e-18,1.4254488001896855e-31,1.2476179323585603e-23,1.9905258227956654e-15,0.0,3.030765816449016e-14,3.732375204774832e-14,1.2185260767808905e-30,7.026319752481585e-28,1.5503177502483604e-15,0.0,3.8771874213290244e-16,7.666558977339699e-32,4.328956454950316e-23,3.475359726622535e-14,2.3808474728767416e-22,9.51786496253158e-15,1.759853996322375e-15,9.129662782270451e-30
0.0245,0.06644571556750199,298.21763173234933,1.328131279075923,0.5530820813834605,3.5941638380346356e-48,0.27885218058459765,0.16800243430230097,5.978997516740543e-06,7.752191376650491e-17,2.061806849903506e-22,9.189397248921163e-13,2.1622390298528737e-05,4.776631773743085e-10,3.4922682018864925e-11,5.133943496911771e-06,1.5945534998468101e-06,1.6157824533867379e-22,5.220999978558318e-10,1.8479129593635148e-22,2.883745923239409e-05,1.6891019496925416e-19,3.000382532570852e-08,1.2304363424633877e-09,1.4830291910611925e-26,2.1119564264747168e-10,1.431345842681112e-23,4.677729243659975e-08,3.807228679940645e-08,2.0181374261414286e-17,1.3701831381360828e-08,2.908376228542323e-09,6.101530480202486e-11,1.523198371678926e-25,1.5376842298448486e-21,3.421043119784447e-22,3.3876735867703955e-23,2.053257572568421e-22,4.8594646504088575e-14,1.6581792656345267e-29,2.9121643438967534e-18,1.5377937277947027e-10,2.2292821940319434e-09,0.0,4.361955776926644e-30,4.295177525615642e-24,0.0,1.3629243388727067e-32,6.423573464019877e-32,1.612378120371975e-30,5.0862275199216395e-18,2.1602250943219775e-30,4.555701874293595e-23,2.2527447990364406e-15,0.0,2.2693527870606749e-13,1.7017797480451654e-13,2.2355360441280655e-29,2.3313156425839354e-27,1.5866149305531138e-15,0.0,1.6012905283981822e-15,8.042322384627281e-32,1.4156126797972843e-22,1.751229354967628e-13,1.211695996683036e-21,3.7039410707190014e-14,7.232013962630742e-15,2.98170048870532e-29
0.025,0.06653762983099806,298.58317362679924,1.3262966148631037,0.5530370644070676,3.536162932943778e-48,0.2788602088959979,0.16796253721898383,1.547409533281833e-05,5.795300272720405e-16,4.29660707682207e-22,8.424369330653848e-13,3.015550523091244e-05,1.2317066537205898e-09,1.2309290132904203e-10,1.3353647706132146e-05,5.072221166052549e-06,4.902371382060785e-22,1.6673421599901512e-09,7.413672347148229e-22,7.563187214888433e-05,8.88681916005679e-19,1.1142158149851605e-07,3.7485114897326066e-09,3.5709342601862556e-25,8.884378744307511e-10,9.04522977082449e-23,2.0634760340417125e-07,9.993180983102886e-08,1.3277360150725583e-17,5.4362659267489745e-08,1.1189709388881744e-08,2.558789702173323e-10,1.5467985575321798e-24,1.5422714700486162e-20,3.547901224675895e-21,3.5234696581901377e-22,2.2191448721854263e-21,4.8874331822617955e-14,4.486474462737557e-28,2.1668927620544958e-17,7.499637038894396e-10,1.0213622787488414e-08,0.0,2.3215351273892387e-29,2.257582862798434e-23,0.0,1.1489037479633023e-31,2.017803469195971e-31,5.105460770974118e-30,5.327408534204569e-18,4.921238890671699e-29,1.914918295933916e-22,3.701621194073645e-15,4.734703649606167e-16,1.372926745075585e-12,9.137180163201718e-13,6.696153535617313e-28,8.45036524698285e-27,1.8057392455147867e-15,1.3618482097060205e-15,7.713043412447415e-15,9.82625709554211e-32,5.063436511497287e-22,1.050762782980615e-12,7.47340712597853e-21,1.6697519833330025e-13,3.477960719455586e-14,1.0627334406414173e-28
0.025500000000000002,0.06678599847740006,299.6171833624066,1.3213642861980792,0.5529294470110333,3.407872714313122e-48,0.2788737692438,0.1678530750359357,4.140105716294085e-05,4.7793580682744906e-15,3.1653180941968376e-21,7.075670495215818e-13,4.257125267136411e-05,3.3083156137902753e-09,4.335260108168278e-10,3.592074915577968e-05,1.6714993880066415e-05,1.7755219717515268e-21,5.515468592269926e-09,3.2200607677960173e-21,0.00020511277517414216,5.096691771784606e-18,4.286173550946217e-07,1.1833197206605736e-08,1.1136808155552464e-23,3.867510792870472e-09,6.205810206190579e-22,9.417664531085745e-07,2.7130230702969386e-07,5.373350730710141e-18,2.2335500662954048e-07,4.458979421590574e-08,1.1106900580544084e-09,1.7678049026966624e-23,1.7021740656075346e-19,4.0679524479720766e-20,4.0729613066736034e-21,2.5836526554939632e-20,4.999633116772399e-14,1.4627475250236038e-26,1.8102136490836859e-16,3.763581703577613e-09,4.8396610747679696e-08,0.0,1.3717259180703211e-28,1.2916723035325582e-22,0.0,1.3114183762761683e-30,6.948494182449829e-31,1.7842546488565337e-29,6.069760783570354e-18,1.28264669718014e-27,8.371860294018648e-22,1.1683697926638708e-14,4.394268679655736e-15,8.028229439551981e-12,5.062503073026009e-12,2.390695605732515e-26,2.889783632445575e-26,3.125145845965305e-15,1.0745219604109133e-14,3.8401500818829536e-14,2.095496112281068e-31,1.7240054364837838e-21,6.496383038138664e-12,4.969805130255872e-20,7.786284167505094e-13,1.7337135512352573e-13,3.5820045599041526e-28
