grid,velocity,T,density,Y_N2,Y_Ne,Y_CH2F2(1),Y_O2(2),Y_H2O(3),Y_OH(4),Y_H(5),Y_O(6),Y_H2(7),Y_HO2(10),Y_H2O2(11),Y_CO(12),Y_CO2(13),Y_HCO(14),Y_CH2O(19),Y_F(37),Y_HF(38),Y_CHF(40),Y_CHF3(41),Y_CF2(42),Y_CF3(44),Y_CHFO(46),Y_CF3O(47),Y_CF2O(48),Y_CF(49),Y_CFO(50),Y_CHFCF2(54),Y_CH2CF2(56),Y_CF2CF2(60),Y_C2H3F2(63),Y_C2H3F2(64),Y_C2H2F3(66),Y_C2H2F3(67),Y_C2HF4(68),Y_C2HF2(71),Y_CF2CH(72),Y_CHF2(81),Y_S(128),Y_S(130),Y_CHFO2(136),Y_CHFO2(138),Y_CHO2(142),Y_CFO2(143),Y_CHF2O(146),Y_CF2O2(147),Y_CF2O2(152),Y_O2(176),Y_CHF2O(220),Y_S(252),Y_C2HF3(276),Y_S(286),Y_S(406),Y_CF3O2(416),Y_S(444),Y_S(467),Y_S(603),Y_S(899),Y_CF2O2(932),Y_S(962),Y_S(1007),Y_S(1017),Y_S(1096),Y_S(1175),Y_S(1224),Y_S(2126)
0.0,0.05826155078273792,298.0,1.3068566520473976,0.5793238303730236,0.0,0.24468888575244882,0.17598727295818978,2.094213238288098e-11,0.0,3.7293388996482577e-14,0.0,1.0826712106865037e-08,6.99619050568934e-14,2.7534443273700265e-13,8.426438939390932e-12,7.860279684839173e-13,0.0,0.0,0.0,5.864890244766566e-11,1.383797383197517e-13,0.0,4.3203326617557215e-16,0.0,3.6969859716247735e-15,0.0,7.202655662153676e-15,5.2219356983084985e-14,7.96079409898257e-19,1.0202957271170228e-15,7.460532409999646e-15,8.217944544620375e-16,5.475979807480654e-35,5.6824508878143e-31,7.779075643204983e-32,7.690370007634267e-33,0.0,0.0,8.622823591140898e-14,6.176682650260786e-16,0.0,7.224051374080817e-14,6.09088554820121e-14,2.0838557950589674e-29,3.6073659116077046e-23,1.6671129177015266e-16,0.0,1.1919453060099021e-38,0.0,0.0,0.0,9.967202456815997e-30,2.5049264508425075e-17,0.0,0.0,0.0,2.753367287935373e-17,0.0,1.2039072707204415e-16,2.0961111783549184e-15,0.0,6.034972467138513e-15,3.759513285277106e-20,4.745749218775785e-19,9.748801964427594e-25,4.486072375912363e-20,6.618541757795129e-17,5.5230846873737104e-27
0.008,0.05826161312236804,298.00001244343406,1.3068552537181874,0.5793237589672285,0.0,0.24468889925685403,0.17598725941994917,5.166394148750236e-10,0.0,1.3484550574869951e-20,0.0,8.009703589263307e-08,1.7751278784338946e-12,1.8013727536977023e-13,2.0950115976684387e-10,2.9078781345428063e-11,0.0,0.0,0.0,1.5000015843149912e-09,5.1246457837542923e-17,1.176228537501212e-13,1.3030788508290249e-14,0.0,1.77744700590362e-13,0.0,1.5584522723924967e-13,9.183118476938104e-13,3.773994018198377e-17,4.57866360730529e-14,1.6004801768999683e-14,8.825106114911053e-16,2.7656991732780543e-33,2.8121973837659073e-29,4.023060270140196e-30,3.977096670232581e-31,0.0,0.0,1.8412155573575938e-20,0.0,0.0,7.690345257258246e-14,6.090991619615705e-14,1.3562274412033993e-27,1.341594023095604e-21,9.463820151601986e-15,0.0,6.878714308299706e-37,0.0,5.1818912024915925e-18,0.0,6.776622786014245e-28,2.504929095729299e-17,0.0,0.0,0.0,2.6249341589080803e-24,0.0,8.524848957294064e-15,1.5550029659919925e-13,0.0,3.3062811069090716e-20,1.9588931357959726e-18,3.487687508849394e-17,7.164469392474336e-23,7.959544252945944e-20,6.61873058914542e-17,4.257701795681674e-25
0.016,0.05826212091591328,298.00033774220884,1.3068438635962938,0.579323206226808,0.0,0.24468900572809946,0.17598713780423925,1.2967031052663055e-08,0.0,0.0,0.0,5.925721525238884e-07,2.613232488681162e-12,2.1750261376026386e-13,5.311229485330696e-09,9.82279731916046e-10,0.0,1.5567897103950246e-13,3.535713018380202e-23,3.8365474748943295e-08,1.9153552034528708e-20,5.108231162762973e-12,4.134834709501054e-13,0.0,2.0595313930095187e-13,0.0,7.775111355935628e-12,2.3191545962555053e-11,2.7990108003779085e-16,2.0547150874891283e-12,3.8502034437927675e-13,4.192560339958907e-15,1.0384790880144983e-31,1.05612416391344e-27,2.658091338479323e-28,2.6276332560014714e-29,0.0,0.0,3.9619990198877956e-27,0.0,0.0,3.2657523248567504e-13,6.090995844123742e-14,7.124406350151451e-31,5.01488892688355e-25,9.334612292783825e-15,0.0,2.1827454816718224e-35,0.0,5.182221556080314e-18,0.0,3.219399459727707e-27,2.505593130560826e-17,0.0,0.0,0.0,2.518242344048416e-31,0.0,8.52490813047432e-15,1.5550326912799462e-13,0.0,1.8230122134713288e-25,3.598752334728411e-23,3.9020728755908305e-17,4.608106272666231e-25,1.9040741393524778e-18,6.643558448157709e-17,8.141100734589264e-30
0.02,0.0582640502328854,298.00356939751634,1.3068005896383788,0.5793213810308502,0.0,0.24468937242752908,0.17598657161521372,1.3177569671766474e-07,0.0,0.0,0.0,2.07840783318761e-06,1.0400010962496632e-11,9.51292888878326e-13,5.4489970507110775e-08,1.3155209343586135e-08,0.0,2.532640160331859e-12,3.6470379491687706e-25,3.9655093080841764e-07,0.0,8.289457950512919e-11,5.23696290231079e-12,0.0,7.197156886528971e-13,0.0,1.550660342960393e-10,2.4077558273534254e-10,4.707706214121456e-16,3.61128055728946e-11,6.407921077389572e-12,6.496401367361637e-14,6.884822210484931e-30,7.001034659180258e-26,1.8598074859671345e-26,1.8385437845186982e-27,8.292106263874481e-27,0.0,0.0,0.0,0.0,5.369848558053092e-12,6.09101709273314e-14,2.046363206411675e-31,0.0,8.71124104555178e-15,0.0,2.7652371412611634e-34,0.0,5.184344429937814e-18,0.0,4.9884424575461265e-26,2.521518946486584e-17,0.0,0.0,1.0948793290692761e-16,0.0,0.0,8.525050793881761e-15,1.5550386356837222e-13,0.0,2.4644374359465123e-30,0.0,1.5373517189307822e-16,1.0478596947505625e-24,3.8069352012635595e-17,7.282485694924657e-17,5.978083122686192e-32
0.022,0.05826959896320106,298.0204274859328,1.3066761493779857,0.5793172574110033,0.0,0.24469024485594582,0.17598453755848756,7.28323037349191e-07,0.0,0.0,0.0,4.603776954003055e-06,5.326296007392349e-11,3.6594674391640815e-12,3.038085956883244e-07,9.392305141178306e-08,0.0,1.8374347361519412e-11,1.510071693511522e-24,2.226093263505464e-06,0.0,7.085258105775716e-10,3.5495529381617996e-11,0.0,5.536600795505866e-12,0.0,1.6154683620094965e-09,1.3579063482360926e-09,5.542313212510147e-16,3.333156227064635e-10,5.706312739827084e-11,6.343330616172307e-13,3.142194355788604e-28,3.193402093327479e-24,8.79576362107118e-25,8.696362202942855e-26,2.3248118849582814e-25,0.0,0.0,0.0,2.6173786522791996e-12,5.7564535994373945e-11,6.091116693290145e-14,1.9968410906790034e-31,0.0,7.294950238654052e-15,0.0,1.876832689348275e-33,0.0,5.1954590047371026e-18,0.0,4.87120280897564e-25,2.7167667983330288e-17,0.0,0.0,2.0977093105230527e-15,0.0,0.0,8.526674514053914e-15,1.5550615017485157e-13,0.0,4.042804957626341e-31,0.0,1.7702034675553682e-15,1.2067581805186374e-23,4.055336292205261e-16,1.477347817388291e-16,0.0
0.023,0.05828161902820122,298.0686025455663,1.3064066590565515,0.5793102694764869,0.0,0.24469173083713294,0.17597948865904195,2.3748791019708397e-06,2.6284963086443918e-18,0.0,0.0,7.3809601598788654e-06,1.7382462655267043e-10,1.3113035282084728e-11,9.980327028644643e-07,3.8202559164970067e-07,0.0,7.511668769648936e-11,7.854144540070953e-24,7.355244163234509e-06,9.600468760835805e-22,3.3805189940484937e-09,1.3796935954814515e-10,0.0,2.931680452911136e-11,4.84375453321291e-25,9.219474869709067e-09,4.504620464932115e-09,5.548054122802643e-16,1.7041751621526918e-09,2.827118325841985e-10,3.4374873536232367e-12,5.095905531136757e-27,5.17047826166394e-23,1.470223095932149e-23,1.454163563085863e-24,4.025724339945508e-24,0.0,4.877454186670664e-32,7.248606970756048e-20,2.041370721206371e-11,3.406634536488702e-10,6.091521756717372e-14,2.3310489371672963e-31,2.5126562118302258e-26,5.577853278762077e-15,3.165458144699041e-34,7.324483041179015e-33,7.906586436414353e-33,5.227368110017456e-18,7.833151211649705e-33,2.6404110354059804e-24,3.962359793142726e-17,0.0,0.0,1.4956930715989974e-14,6.57817457214211e-32,0.0,8.537802636215035e-15,1.5551703364482657e-13,0.0,4.085150096534308e-31,0.0,1.3561590716237779e-14,9.277977665867107e-23,2.3639632264132345e-15,5.90485697013062e-16,0.0
0.024,0.058325781548275626,298.26811871727784,1.305417487394298,0.5792891138770252,0.0,0.2446958559813152,0.17595967744382834,8.979395246316692e-06,5.751279892742613e-17,0.0,0.0,1.2376554081375352e-05,6.62547384735075e-10,6.35902950687445e-11,3.8053971830830364e-06,1.8474791364320353e-06,0.0,3.64847475047929e-10,7.623605417729151e-23,2.822564592750446e-05,4.081840207367627e-20,1.947758216085984e-08,6.346442048679719e-10,5.4809767800559434e-27,1.93674717073353e-10,2.1155532926801896e-23,6.45114848794096e-08,1.7364995629657594e-08,4.5238487557257e-16,1.0586892673573043e-08,1.697351434068451e-09,2.274237954026677e-11,1.1810580150312383e-25,1.190248272425171e-21,3.507168123376744e-22,3.474347613731119e-23,1.0134813110293243e-22,0.0,6.383679010834692e-30,1.7828426399315546e-18,1.642285029133814e-10,2.4811043964011743e-09,6.09424647232793e-14,1.3020986872383039e-30,1.0677317593505332e-24,2.7024854475714387e-15,8.148408676581957e-33,3.426002545196086e-32,6.819281446152702e-31,5.361539081107091e-18,7.890909073798248e-31,1.7490600535239414e-23,1.4966133131292286e-16,0.0,5.840753094437509e-14,1.300672101223354e-13,1.0119353937367937e-29,0.0,8.64536396077087e-15,1.5561627376711549e-13,0.0,4.297367614893249e-31,0.0,1.3210403370223834e-13,9.164915758368228e-22,1.692499555779374e-14,4.183557474281542e-15,0.0
0.0245,0.05839605430756513,298.6026527823473,1.303846571518289,0.5792600289426421,0.0,0.24470038984989417,0.17592723035799346,1.972907616255593e-05,3.2662219300466713e-16,1.355806769869512e-23,0.0,1.6368567867593524e-05,1.466306478810299e-09,1.7123067856415142e-10,8.40999136301623e-06,4.823367100647199e-06,0.0,9.552729120917903e-10,3.1531745942878657e-22,6.264852876662285e-05,2.3302451411336525e-19,5.7819702105835233e-08,1.599252978259985e-09,9.575846973695621e-26,6.397773666532258e-10,1.2385229473097747e-22,2.2203942751945726e-07,3.86656860355457e-08,3.4954847926048945e-16,3.32601349613576e-08,5.196710216727045e-09,7.496119943979634e-11,8.174815718031819e-25,8.14551418917053e-21,2.4689023635974657e-21,2.45227844513819e-22,7.388828432942034e-22,0.0,1.096862021763683e-28,1.0211592964147921e-17,6.160612268840592e-10,8.811298208422428e-09,6.101793901049013e-14,6.497970007309132e-30,6.090589970333154e-24,1.301728767088019e-15,5.038449665748669e-32,8.87953651958919e-32,2.0631134264891624e-30,5.593877138338763e-18,1.1296976928350352e-29,5.777711939043418e-23,5.27586557494222e-16,0.0,9.608335577385506e-13,5.304639031643479e-13,1.844769289094708e-28,0.0,9.049820823194233e-15,1.559951559384034e-13,0.0,4.794723902292581e-31,0.0,5.933583122501535e-13,4.221088730077623e-21,5.93024509058764e-14,1.5529075404427933e-14,0.0
0.025,0.05857231658314683,299.46068781218355,1.2999228926036515,0.5791948038403203,0.0,0.24470680574709777,0.17584507441099345,4.657381408375175e-05,2.1376713343178913e-15,6.035528143143503e-22,0.0,2.1942596168248253e-05,3.4939653182116764e-09,5.124699833874304e-10,1.9990086009479653e-05,1.385199144794858e-05,0.0,2.7518790379523827e-09,1.4748311632735565e-21,0.0001496134539323916,1.4035570263724815e-18,1.9204801000911064e-07,4.4133652553656205e-09,2.1118309956814372e-24,2.398531370613234e-09,8.299999546212398e-22,8.713338309458183e-07,9.269137481204419e-08,2.1001932114964354e-16,1.1777936034959672e-07,1.7874441054408417e-08,2.801224659976121e-10,7.074381190189936e-24,6.847710523596081e-20,2.1502948360706037e-20,2.150299828496289e-21,6.571346540070903e-21,0.0,2.4896603646962743e-27,6.766058781086249e-17,2.655115434945416e-09,3.581567420613779e-08,6.132566079400198e-14,3.8987891130955835e-29,3.6617803563304695e-23,3.9122775935383334e-16,4.029178054761821e-31,2.6341840592283647e-31,6.56838743358737e-30,6.2341918433392134e-18,2.04226292072243e-28,2.1722055531442544e-22,2.379563559704252e-15,5.106317514570319e-16,5.6138291156370134e-12,2.515851998223324e-12,4.472166319262816e-27,0.0,1.120884718793996e-14,1.5808048475000377e-13,2.1848163374864984e-15,6.992976009532112e-31,0.0,3.133582882564997e-12,2.375444295965421e-20,2.374286505727435e-13,6.681068965638822e-14,0.0
0.025500000000000002,0.05901736713007131,301.6533575909611,1.2901201612708149,0.5790476192625412,5.842664195250605e-45,0.24470848729121292,0.1756377700646248,0.0001132107602817459,1.4580227742504677e-14,9.044359424479862e-21,0.0,2.96942233329287e-05,8.602663162651005e-09,1.5799386850095778e-09,4.8964843104682376e-05,4.1091172754564346e-05,1.3785765734233773e-21,8.185884856498358e-09,6.873785392751087e-21,0.0003680449602348881,8.2271666324051e-18,6.591917710808217e-07,1.2590157160100651e-08,5.151108367103797e-23,9.290263676632661e-09,5.754885123161423e-21,3.531205157874189e-06,2.290201249267629e-07,8.487656284929904e-17,4.30986399627614e-07,6.353490060200695e-08,1.0813935812668266e-09,7.104253568733052e-23,6.390640058009293e-19,2.0989595760170991e-19,2.1351375041384562e-20,6.231703801383904e-20,0.0,6.370067302423929e-26,4.758169651080856e-16,1.1781979171182259e-08,1.5031087822799166e-07,6.258017792989444e-14,2.420554415951722e-28,2.1386475558529363e-22,7.686202954939568e-17,4.245724316912248e-30,9.044644864076197e-31,2.374260136796659e-29,8.200546961070897e-18,3.985062224903666e-27,8.534454879367283e-22,1.1398851860218307e-14,6.502566361742156e-15,2.94436634811869e-11,1.2298563132449838e-11,1.2443985939544394e-25,0.0,2.2663789963450232e-14,1.6954372958643007e-13,5.703480058772138e-14,2.1427822023169933e-30,0.0,1.7033730213447346e-11,1.515673516355423e-19,9.815730266153379e-13,2.9699957274294905e-13,0.0
