Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68),CF2(42),OO[C](F)F(619),FC1(F)OO1(411),CF2O2(152),CHF3(41),O[C](F)F(237)
0.0,0.13193747856535154,3.76,0.0,0.7112910813939264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.467528594719362e-23,0.13193747856535154,3.76,0.0,0.7112910813939264,0.9999999999999997,6.557058490019101e-54,1.353356602598433e-38,2.4986252808885073e-21,3.021183277462536e-20,2.498625280745775e-21,3.021183277462535e-20,8.289183186948515e-41,1.1372754481159713e-39,1.4274348280994515e-31,1.1183825730810416e-35,7.545529512749597e-38,1.0342869640888996e-50,3.4507706877243285e-41,1.1068202720978217e-22,1.3618987496802473e-38,4.3579779151822645e-28,4.360177314057336e-39,2.828427092253241e-16,1.207249962100376e-38,3.7471777138757346e-44,1.266654269137602e-55,1.9036777187987835e-49,1.1068202720978217e-22,4.197226231838142e-52,2.430796055936836e-42,4.137705810427228e-41,2.293229285254031e-49,4.753338183397333e-58
9.709080065214213e-23,0.13193747856535154,3.76,0.0,0.7112910813939264,0.9999999999999991,7.784539839351856e-53,8.174273879695832e-38,6.996150786487817e-21,8.459313176895101e-20,6.996150786088164e-21,8.459313176895094e-20,5.006666644921947e-40,6.869143706618976e-39,3.997179910162825e-31,6.75503074140948e-35,4.557499825700703e-37,1.2279054837663397e-49,2.0842654959886524e-40,3.0990967618739005e-22,8.225868448069415e-38,1.22023381630459e-27,2.6335470976899047e-38,7.919595858305737e-16,7.291789771086266e-38,2.2632953391810934e-43,1.5037719483201602e-54,1.1498213423655705e-48,3.0990967618739005e-22,4.982947267588544e-51,1.4682008177952168e-41,2.499174309496988e-40,1.3851104885566644e-48,5.643163091327781e-57
2.2192183006203916e-22,0.13193747856535154,3.76,0.0,0.7112910813939264,0.9999999999999981,7.642907375969846e-52,3.93556100035819e-37,1.5991201797686426e-20,1.933557297576023e-19,1.599120179677294e-20,1.9335572975760199e-19,2.410494470772192e-39,3.3071970031190087e-38,9.138119640227018e-31,3.252256522519652e-34,2.194239982307503e-36,1.2055648853420155e-48,1.003484116894973e-39,7.083649741426059e-22,3.960401564071239e-37,2.7891058660915428e-27,1.2679395629267848e-37,1.810193339039738e-15,3.510682889787885e-37,1.0896792791952839e-42,1.4764122161067858e-53,5.535894809373125e-48,7.083649741426059e-22,4.892287300191777e-50,7.068754930804842e-41,1.203244849670652e-39,6.66871076539196e-48,5.5404909865629465e-56
4.715838888818332e-22,0.13193747856535154,3.76,0.0,0.7112910813939264,0.9999999999999961,6.760065020877534e-51,1.718762885302022e-36,3.398130382008361e-20,4.1088092573490494e-19,3.398130381814246e-20,4.1088092573490355e-19,1.0527262647502781e-38,1.4443398191049736e-37,1.9425797364105187e-30,1.4203458678129058e-33,9.582822481191168e-36,1.06630848849708e-47,4.382478782758857e-39,1.5052755700530375e-21,1.7296114120950298e-36,5.92684996652235e-27,5.537425188841573e-37,3.846660845452724e-15,1.533207451867469e-36,4.7589156966244395e-42,1.3058698853100954e-52,2.417670706056113e-47,1.5052755700530375e-21,4.327172762071068e-49,3.087110991184989e-40,5.254886379226193e-39,2.912401196239868e-47,4.900501533544628e-55
9.709080065214214e-22,0.13193747856535154,3.76,0.0,0.7112910813939264,0.999999999999992,5.682241974528148e-50,7.175496706994999e-36,6.99615078648778e-20,8.459313176895101e-19,6.996150786088134e-20,8.459313176895043e-19,4.394924925790452e-38,6.029834425890091e-37,4.002434586686066e-30,5.92966440247553e-33,4.000639747659099e-35,8.962965344879935e-47,1.829598627045503e-38,3.099096761873901e-21,7.220787170814712e-36,1.2202338170811567e-26,2.3117660119030808e-36,7.919595858257332e-15,6.400839299056117e-36,1.986753623898937e-41,1.0976623231663275e-51,1.0093299293585443e-46,3.099096761873901e-21,3.637249455852933e-48,1.2888080689883975e-39,2.193811620673768e-38,1.2158701705971689e-46,4.119166816301617e-54
1.9695562418005976e-21,0.13193747856535154,3.76,0.0,0.7112910813939264,0.9999999999999839,4.658645277329895e-49,2.9314245355076407e-35,1.4192191595446551e-19,1.7160321015987206e-18,1.4192191594635848e-19,1.7160321015986963e-18,1.7954702350853587e-37,2.463384111619516e-36,8.131421509236808e-30,2.4224613885963288e-32,1.6343918745789884e-34,7.348380509289592e-46,7.474507411677481e-38,6.2867391455156274e-21,2.949927167765902e-35,2.475331459310042e-26,9.44431846925508e-36,1.606546588378109e-14,2.6149517079078326e-35,8.116536815380484e-41,8.999298904959826e-51,4.123442110119159e-46,6.2867391455156274e-21,2.9820368616860365e-47,5.265201490107909e-39,8.962436293492927e-38,4.967226391072549e-46,3.377141825563277e-53
3.96685271235895e-21,0.13193747856535154,3.76,0.0,0.7112910813939264,0.9999999999999676,3.7726917291361075e-48,1.1849286667044637e-34,2.8584273213363832e-19,3.456233669417142e-18,2.858427321173105e-19,3.456233669417044e-18,7.257577761456347e-37,9.957392440325632e-36,1.642650424233689e-29,9.79197625095852e-32,6.606473273823745e-34,5.950909056052847e-45,3.0213154326955452e-37,1.266202391279908e-20,1.1924077264920325e-34,4.985526749251981e-26,3.8175445268978004e-35,3.2357205934486767e-14,1.0570052898170055e-34,3.2808339530425134e-40,7.287865575816615e-50,1.6667612391363833e-45,1.2662023912799079e-20,2.414930762712807e-46,2.1282786260935577e-38,3.6227600468052242e-37,2.007832338931395e-45,2.734897008627595e-52
7.961445653475654e-21,0.13193747856535154,3.76,0.0,0.7112910813939264,0.999999999999935,3.0365905204019875e-47,4.764546053814176e-34,5.736843644919733e-19,6.936636805053983e-18,5.7368436445920505e-19,6.9366368050535894e-18,2.918240098095374e-36,4.0038237059927573e-35,3.316510526053142e-29,3.9373105838338547e-31,2.6564338470773778e-33,4.789809325698024e-44,1.214857671227119e-36,2.5412593447365986e-20,4.794619024256004e-34,1.0005917351072528e-25,1.5350178640659805e-34,6.494068603453075e-14,4.250171781572416e-34,1.3192089028921914e-39,5.865908245392615e-49,6.701973716638255e-45,2.5412593447365983e-20,1.9437463643996875e-45,8.557714754150386e-38,1.4566958813008354e-36,8.0734056280356e-45,2.2012830431605375e-51
1.5950631535709063e-20,0.13193747856535154,3.76,0.0,0.7112910813939264,0.9999999999998699,2.4366726548807016e-46,1.910796067151506e-33,1.1493676292086005e-18,1.3897443076327667e-17,1.1493676291429567e-18,1.389744307632609e-17,1.1703448009754607e-35,1.605712381447648e-34,6.723604950489775e-29,1.579037644636979e-30,1.0653487845840494e-32,3.8435203322170665e-43,4.872122812241819e-36,5.09137325164998e-20,1.9228566733267204e-33,2.0046698642460288e-25,6.156108188193227e-34,1.3010764622914927e-13,1.7045089779893917e-33,5.2906177312465386e-39,4.70702194492954e-48,2.687791278356224e-44,5.091373251649978e-20,1.5597340307624002e-44,3.4320263725475886e-37,5.842002006836255e-36,3.2377968296385035e-44,1.7663910100998434e-50
