Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7)
0.0,0.2928113933666057,3.76,0.0,0.503241331901195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8692093285643952e-16,0.29281139336660567,3.76,0.0,0.5032413319011949,0.9999999999999999,9.789604696704781e-59,2.2263561060129518e-49,5.133532573843112e-17,1.4094213114223035e-16,5.133532574240591e-17,1.4094213107741229e-16,2.3395373581708447e-31,3.305283535407983e-30,6.495685848186286e-26,6.481452635154451e-26,4.117138110820419e-27,1.0416159300559575e-34,1.0421407389999303e-34,2.068556730986065e-35
5.233786119980307e-16,0.2928113933666057,3.76,0.0,0.5032413319011945,0.9999999999999999,5.632081655317636e-57,6.992149270512302e-48,1.4373891205426752e-16,3.946379671982448e-16,1.43738912078731e-16,3.946379668067436e-16,1.413085946970596e-30,1.99639034767731e-29,3.9188380348576983e-25,3.9147973838570505e-25,2.4867514135661375e-26,1.236606429912978e-33,1.2369233630225152e-33,2.4531788745881903e-34
1.1962939702812132e-15,0.2928113933666057,3.76,0.0,0.5032413319011938,0.9999999999999997,2.5242816244025736e-55,1.5590686311838521e-46,3.285460846325819e-16,9.02029639310273e-16,3.2854608475135863e-16,9.020296374253636e-16,6.803455377018853e-30,9.611750905342032e-29,1.8857560900484028e-24,1.884806414638558e-24,1.1972637545724839e-25,1.2141075210999142e-32,1.2142600053474164e-32,2.407192208238115e-33
2.542124686847578e-15,0.2928113933666058,3.76,0.0,0.5032413319011925,0.9999999999999993,9.494497189884092e-54,2.919215706767967e-45,6.981604295757771e-16,1.916812983534325e-15,6.981604300965241e-16,1.9168129753024307e-15,2.971295875499303e-29,4.19769602051503e-28,8.233574230261764e-24,8.231444726114464e-24,5.228765317516294e-25,1.0738643446065382e-31,1.0739307513700243e-31,2.128551140398982e-32
5.233786119980307e-15,0.2928113933666059,3.76,0.0,0.5032413319011897,0.9999999999999986,3.287222586828432e-52,5.041591296382881e-44,1.4373891186084332e-15,3.9463796719824154e-15,1.4373891207864963e-15,3.946379637615876e-15,1.2404977945905262e-28,1.7524486680112727e-27,3.43695046259914e-23,3.436466078680367e-23,2.1829065514539134e-24,9.026476725632981e-31,9.02675081367839e-31,1.788934859685705e-31
1.0617108986245765e-14,0.2928113933666061,3.76,0.0,0.5032413319011841,0.9999999999999971,1.0936104757005337e-50,8.376164878461695e-43,2.915846493258808e-15,8.005513048878538e-15,2.9158465021650048e-15,8.005512908480015e-15,5.068167233732083e-28,7.159269140964671e-27,1.4040254065426663e-22,1.4039084747398432e-22,8.91788519938213e-24,7.400450742588878e-30,7.400557555679163e-30,1.466579200211106e-30
2.1383754718776684e-14,0.29281139336660655,3.76,0.0,0.503241331901173,0.9999999999999941,3.567797615246015e-49,1.365484600802071e-41,5.872761228899814e-15,1.6123779802670552e-14,5.872761264916275e-15,1.612377923515729e-14,2.0489001901470983e-27,2.8938462028503425e-26,5.675133038629117e-22,5.674822136303755e-22,3.6047515169889905e-23,5.993076502245206e-29,5.993111318961384e-29,1.1876344872848147e-29
4.2917046183838515e-14,0.29281139336660744,3.76,0.0,0.5032413319011508,0.9999999999999882,1.1527377837736879e-47,2.2052276160533446e-40,1.1786590645542899e-14,3.2360313310253643e-14,1.1786590790395837e-14,3.236031102830785e-14,8.24067631425607e-27,1.163566763190501e-25,2.2819135165271815e-21,2.281820713221832e-21,1.4494545173396877e-22,4.8237487451807505e-28,4.823749288986193e-28,9.558957178959547e-29
8.598362911396218e-14,0.29281139336660933,3.76,0.0,0.5032413319011065,0.9999999999999764,3.7065280370030956e-46,3.5448115729155174e-39,2.361424926027372e-14,6.483338032541611e-14,2.361424984126307e-14,6.483337117379342e-14,3.3065951097601197e-26,4.666133870168324e-25,9.151428059951692e-21,9.151119150723681e-21,5.812959187501053e-22,3.870753600432446e-27,3.870732223691658e-27,7.67039710672291e-28
1.7211679497420953e-13,0.2928113933666129,3.76,0.0,0.5032413319010179,0.9999999999999527,1.188939426675408e-44,5.6848896100249e-38,4.726956561551692e-14,1.2977951435572624e-13,4.7269567942630096e-14,1.2977947770150527e-13,1.3257365738653216e-25,1.868655714323011e-24,3.665330860403706e-20,3.6652188732633934e-20,2.3282143275011046e-21,3.101311608404933e-26,3.1012684425958824e-26,6.145625214809367e-27
3.4438312669470423e-13,0.29281139336662015,3.76,0.0,0.5032413319008407,0.9999999999999054,3.8091715668700416e-43,9.106385880440316e-37,9.458019482915283e-14,2.59671782416287e-13,9.458020414389551e-14,2.59671635703915e-13,5.31739516021914e-25,7.477638739985484e-24,1.467084353997808e-19,1.4670411435307715e-19,9.318913837228534e-21,2.482932506296761e-25,2.482859821310972e-25,4.920224924300754e-26
6.889157901356935e-13,0.29281139336663453,3.76,0.0,0.5032413319004864,0.9999999999998108,1.219664774917077e-41,1.4578659546997905e-35,1.8920143926920984e-13,5.194563185371712e-13,1.8920147654056094e-13,5.194557314968655e-13,2.1364425594528255e-24,2.9905468693162577e-23,5.870238308475144e-19,5.870062764516313e-19,3.72877059726461e-20,1.987096600337674e-24,1.9869788345313334e-24,3.937668178934105e-25
1e-12,0.2928113933666635,3.76,0.0,0.5032413319001664,0.9999999999997253,1.8294365428986208e-40,1.1333380277910066e-34,2.7463649226784524e-13,7.540200500186852e-13,2.7463658002901556e-13,7.540186677343083e-13,5.0623287304688924e-24,7.03639872446796e-23,1.3822443764554978e-18,1.3822006814479897e-18,8.779987500921293e-20,8.268068300669801e-24,8.26715034359735e-24,1.638418850038029e-24
1.3779811170176723e-12,0.2928113933666635,3.76,0.0,0.5032413318997776,0.9999999999996215,3.904088428567329e-40,2.333256833261479e-34,3.7844387220196107e-13,1.0390253907779908e-12,3.784440213105019e-13,1.0390230422367844e-12,8.617410242544403e-24,1.195228823285965e-22,2.3484726213266194e-18,2.3483971643161933e-18,1.4917440148792797e-19,1.5899727587663168e-23,1.5897837362699897e-23,3.1507262912082167e-24
2.75611177078163e-12,0.2928113933667213,3.76,0.0,0.50324133189836,0.999999999999243,1.2494895961317967e-38,3.7337343490548437e-33,7.569285142899923e-13,2.0781635352558535e-12,7.569291107574018e-13,2.078154140344639e-12,3.503292605235206e-23,4.771852585211289e-22,9.394621657107956e-18,9.394271756410317e-18,5.96740547806781e-19,1.2720886926740782e-22,1.2717860349438213e-22,2.520811877754064e-23
