Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7)
5.5123730783095444e-12,0.2928113933668369,3.76,0.0,0.5032413318955247,0.9999999999984861,3.998627898303618e-37,5.974349829474018e-32,1.513896903452161e-12,4.156439824196767e-12,1.5138992892838871e-12,4.156402243167988e-12,1.44596672239357e-22,1.901298626219933e-21,3.75797611874775e-17,3.757796469653099e-17,2.387014345133558e-18,1.0177028010803643e-21,1.0172185519226066e-21,2.0167324368067884e-22
1e-11,0.29281139336706813,3.76,0.0,0.5032413318909085,0.9999999999972535,1.0491164816934542e-35,7.892950660483344e-31,2.746357585444255e-12,7.540200500068569e-12,2.7463657972961996e-12,7.540071135755138e-12,5.264691255853788e-22,6.496404135694797e-21,1.2935925572676092e-16,1.2935046708550537e-16,8.216531771070514e-18,6.817076442536074e-21,6.810681583405667e-21,1.3509331559967653e-21
1.1024895693365375e-11,0.29281139336706813,3.76,0.0,0.5032413318898542,0.9999999999969721,1.2795842137154468e-35,9.559119156497622e-31,3.0278301024912007e-12,8.312992402024124e-12,3.027839644904517e-12,8.312842076009821e-12,6.136821314075692e-22,7.545846063333084e-21,1.503200910042909e-16,1.503097054778967e-16,9.547891843665539e-18,8.141552200673666e-21,8.133807461347814e-21,1.6134040688520906e-21
1.6537418308421204e-11,0.2928113933672994,3.76,0.0,0.5032413318841837,0.999999999995458,6.005548940659774e-35,3.6444123282133254e-30,4.541759723017569e-12,1.246954497980415e-11,4.541779999129721e-12,1.2469225536811346e-11,1.3554370123024874e-21,1.594841195050601e-20,3.1942915630568924e-16,3.194023809943285e-16,2.0288863148033284e-17,2.327945998141724e-20,2.3250960585635153e-20,4.6133223327097456e-21
2.756246353853286e-11,0.29281139336776185,3.76,0.0,0.5032413318728427,0.9999999999924295,8.373031255311483e-34,2.9968599329919703e-29,7.56960465623814e-12,2.0782650135269986e-11,7.569660702293735e-12,2.0781766976369483e-11,4.1064020251824435e-21,4.348747399363557e-20,8.831117036924077e-16,8.830041090386208e-16,5.608929246537569e-17,1.0697849022053101e-19,1.067593953541674e-19,2.1200805828450403e-20
3.7485004245633353e-11,0.29281139336817813,3.76,0.0,0.5032413318626359,0.9999999999897037,2.8701008809091298e-33,8.740346857140887e-29,1.0294653543384502e-11,2.8264444775205243e-11,1.0294753331083253e-11,2.8262872141836112e-11,7.72997717509729e-21,7.673403781759891e-20,1.5725387253021585e-15,1.5723075014138124e-15,9.987416993787031e-17,2.4080053343235667e-19,2.401973683466296e-19,4.772233423289837e-20
4.7407544952733845e-11,0.29281139336859435,3.76,0.0,0.503241331852429,0.9999999999869776,7.752310799790604e-33,1.9999331005315372e-28,1.301969020764959e-11,3.574623941530317e-11,1.3019845955834162e-11,3.574378453160093e-11,1.2714255681675611e-20,1.186907751747365e-19,2.4547191846998435e-15,2.4542958248184883e-15,1.558981825532037e-16,4.551144539308698e-19,4.537565268332629e-19,9.019731343805902e-20
5.733008565983434e-11,0.2928113933690106,3.76,0.0,0.5032413318422222,0.9999999999842514,1.732599833040012e-32,3.9549527718293717e-28,1.574471533061695e-11,4.322803405570079e-11,1.574493857698061e-11,4.322451482864175e-11,1.9100209471429183e-20,1.6867894431409814e-19,3.5189681890933815e-15,3.5182759868997388e-15,2.2348201017629007e-16,7.606840909065319e-19,7.580752114192714e-19,1.5075976522577535e-19
7.717516707403532e-11,0.292811393369843,3.76,0.0,0.5032413318218084,0.9999999999787985,5.651381729261299e-32,1.1062390191200435e-27,2.1194739269935793e-11,5.819162333767942e-11,2.119512381166141e-11,5.818556017619803e-11,3.53955562208086e-20,2.864193082080881e-19,6.062648483908864e-15,6.061209028913077e-15,3.8500772587948996e-16,1.6238953051819656e-18,1.6171530138978847e-18,3.218491376531306e-19
9.70202484882363e-11,0.29281139337067547,3.76,0.0,0.5032413318013946,0.999999999973345,1.4391154978406546e-31,2.476992172498403e-27,2.664472058626139e-11,7.315521262232644e-11,2.6645309034792677e-11,7.314593247166808e-11,5.781476963074571e-20,4.3225687491122726e-19,9.279264922559192e-15,9.276693574577078e-15,5.892518833017299e-16,2.9527416771663263e-18,2.938471223733559e-18,5.85237626517754e-19
9.999999999999999e-11,0.292811393371508,3.76,0.0,0.5032413317983295,0.9999999999725259,1.6471668752529263e-31,2.773149603892801e-27,2.7463034796715746e-11,7.540200500726397e-11,2.7463657788341222e-11,7.53921797673046e-11,6.18098477210493e-20,4.566369165106215e-19,9.824285299688014e-15,9.821501362642189e-15,6.238573097827842e-16,3.2043015349274294e-18,3.1884530996796846e-18,6.351001779073602e-19
1.168653299024373e-10,0.292811393371508,3.76,0.0,0.5032413317809808,0.9999999999678905,3.2027856857226275e-31,4.893954398859246e-27,3.2094656420338893e-11,8.811880191138181e-11,3.209549424704803e-11,8.810558609364097e-11,8.751637060286089e-20,6.068437011984564e-19,1.3214409210977395e-14,1.3210212216184394e-14,8.391026647053314e-16,4.884182000331983e-18,4.8571994324098215e-18,9.680801004822756e-19
1.5655549273083926e-10,0.29281139337317286,3.76,0.0,0.5032413317401533,0.9999999999569794,1.3802082128597437e-30,1.561585112416568e-26,4.299438928610253e-11,1.180459805163613e-10,4.29958646476689e-11,1.1802269701415215e-10,1.7359141352234485e-19,1.036436955056472e-18,2.3280435660687653e-14,2.3270945602123568e-14,1.4781342458222515e-15,1.1264932496997364e-17,1.1183286333449333e-17,2.232953607577259e-18
1.9624565555924122e-10,0.2928113933748378,3.76,0.0,0.5032413316993257,0.9999999999460653,4.0777312821766296e-30,3.7661091122267944e-26,5.38939378605797e-11,1.4797315917363666e-10,5.3896235025463224e-11,1.479368888174899e-10,2.989623845237478e-19,1.5664343484175617e-18,3.626466666181887e-14,3.624666126522033e-14,2.302303028306785e-15,2.163772823171789e-17,2.144597167541498e-17,4.289359914894863e-18
2.756259812160452e-10,0.29281139337816753,3.76,0.0,0.5032413316176706,0.9999999999242276,2.4021457604464046e-29,1.5014260961625618e-25,7.569248341168714e-11,2.0782751681688152e-10,7.569697578355136e-11,2.0775651071978465e-10,6.948978828580469e-19,2.8818801112010724e-18,7.099102252850798e-14,7.094227013740331e-14,4.505968113254855e-15,5.950005065683541e-17,5.874991982977477e-17,1.1796888799721524e-17
4.343866325296531e-10,0.292811393384827,3.76,0.0,0.5032413314543603,0.9999999998805149,2.7630153353665034e-28,9.858241136207974e-25,1.1928737921329677e-10,3.2753623514147396e-10,1.1929845776579037e-10,3.2736071586378467e-10,2.1997494621263454e-18,6.311294448190121e-18,1.7546024703269603e-13,1.7526919926459472e-13,1.1131781662388597e-14,2.3662455926505542e-16,2.3168173771192037e-16,4.693156869250234e-17
5.93147283843261e-10,0.2928113933914863,3.76,0.0,0.5032413312910501,0.9999999998367528,1.1757846563213074e-27,3.2749227237879705e-24,1.6287936332580443e-10,4.4724496049604663e-10,1.6289994097201918e-10,4.469182139890956e-10,4.792721876036722e-18,1.0573006264948197e-17,3.2659781036345755e-13,3.2612249625410907e-13,2.0711815630141323e-14,5.924290210007812e-16,5.762130732684988e-16,1.1753418802033997e-16
7.519079351568689e-10,0.2928113933981454,3.76,0.0,0.5032413311277398,0.9999999997929407,3.4997399944554594e-27,8.129684550908662e-24,2.0646845813820662e-10,5.669536979546982e-10,2.0650142624019711e-10,5.664290218922121e-10,8.625199455039243e-18,1.5410779307699637e-17,5.243741658102895e-13,5.234250492564762e-13,3.3240772214485164e-14,1.1873336401903108e-15,1.1476900295082248e-15,2.3562184577033513e-16
9.106685864704767e-10,0.29281139340480433,3.76,0.0,0.5032413309644292,0.9999999997490792,8.510170461542996e-27,1.701253617245542e-23,2.500546880869745e-10,6.866624540546555e-10,2.5010291443568255e-10,6.858931573257013e-10,1.3808604291311902e-17,2.0635600161394813e-17,7.687583631544317e-13,7.670968484218662e-13,4.8713162041825405e-14,2.083673288586298e-15,2.001910249441958e-15,4.136044167908557e-16
9.999999999999999e-10,0.29281139341812185,3.76,0.0,0.5032413308725378,0.9999999997243775,1.3271980212435625e-26,2.4467409119054509e-23,2.745785294457528e-10,7.540201656551678e-10,2.7463659323052835e-10,7.530927016158399e-10,1.7341641474106837e-17,2.3707267945465818e-17,9.267484519760107e-13,9.245641605865324e-13,5.871131825397094e-14,2.7421933428353876e-15,2.6255568539934046e-15,5.4439945924652e-16
1.2281898890976926e-09,0.29281139341812185,3.76,0.0,0.5032413306378082,0.9999999996612073,3.470055448380179e-26,5.416630164251198e-23,3.3721865116750493e-10,9.260800536621818e-10,3.3730590281363803e-10,9.246814771612201e-10,2.846797475570945e-17,3.18374259891284e-17,1.3972349074655935e-12,1.393251452836878e-12,8.846791393701524e-14,5.011181829397857e-15,4.75762093492382e-15,9.95217027953961e-16
1.5457111917249083e-09,0.2928113934314388,3.76,0.0,0.5032413303111865,0.9999999995731372,1.0185366591984257e-25,1.3237719190989963e-22,4.243714710541459e-10,1.1654978345223937e-09,4.2450891303561e-10,1.1632833170210563e-09,4.919318330657912e-17,4.345604784502861e-17,2.2117779112605653e-12,2.2039450168844713e-12,1.3993216521240858e-13,9.873021924203133e-15,9.266208627025905e-15,1.961748933329996e-15
1.863232494352124e-09,0.2928113934447553,3.76,0.0,0.503241329984564,0.9999999994848692,2.471306717862493e-25,2.752565690798599e-22,5.115133976246525e-10,1.4049158959658427e-09,5.117119523882018e-10,1.4016988280560668e-09,7.617721755952231e-17,5.5154642560065696e-17,3.2121245860343907e-12,3.1985038309812836e-12,2.0305986341782168e-13,1.7191896119328102e-14,1.595104530436427e-14,3.417694922025853e-15
2.4982750996065555e-09,0.29281139347138685,3.76,0.0,0.5032413293313157,0.9999999993077398,1.1024639554526374e-24,8.946299251025126e-22,6.857657166513404e-10,1.8837534233867117e-09,6.861181467615638e-10,1.877971451749483e-09,1.488208715427733e-16,7.891549639984796e-17,5.769207049417734e-12,5.736610285933951e-12,3.641280522938378e-13,4.121954940868165e-14,3.7305483890926253e-14,8.203330790340847e-15
3.069813444335544e-09,0.29281139349535373,3.76,0.0,0.5032413287433872,0.9999999991476477,3.0680565624386883e-24,2.03656569222047e-21,8.425584519220465e-10,2.314709603613989e-09,8.430838920209137e-10,2.3059810385169446e-09,2.357082199042985e-16,1.0028520794592226e-16,8.703475447197891e-12,8.643210728207714e-12,5.485349141221548e-13,7.629217758357409e-14,6.756597975788019e-14,1.5198036990020756e-14
3.6413517890645327e-09,0.2928113935193195,3.76,0.0,0.5032413281554523,0.999999998986917,7.1406712350633e-24,4.0205037865775764e-21,9.99320596924307e-10,2.7456691503924706e-09,1.0000498407397187e-09,2.733389188879516e-09,3.429594531781048e-16,1.2159240073610606e-16,1.2235805680779135e-11,1.2135496577220366e-11,7.700489581065771e-13,1.2709484821261316e-13,1.1018931254510384e-13,2.534267382316109e-14
4.212890133793521e-09,0.2928113935432841,3.76,0.0,0.5032413275675088,0.9999999988255488,1.466398507584502e-23,7.181335945016392e-21,1.1560541961952712e-09,3.176633276674426e-09,1.1570160334201326e-09,3.16019674679456e-09,4.705071875526546e-16,1.4288433789985555e-16,1.6364732479888303e-11,1.6209758572291108e-11,1.0284194292462788e-12,1.9649288464111421e-13,1.668278532331909e-13,3.92180714051734e-14
4.7844284785225095e-09,0.2928113935672479,3.76,0.0,0.5032413269795553,0.9999999986635436,2.7473669363180974e-23,1.1911820664187235e-20,1.31276144136453e-09,3.6076033457376227e-09,1.3139825104836174e-09,3.586404555443171e-09,6.183018632494953e-16,1.641783406284133e-16,2.108879259975788e-11,2.086230531974942e-11,1.3233976490808992e-12,2.8733453158593765e-13,2.389665686741311e-13,5.740390334637563e-14
5.355966823251498e-09,0.29281139359121106,3.76,0.0,0.5032413263915894,0.9999999985009032,4.7973977529900797e-23,1.8661819705599515e-20,1.4694446543489104e-09,4.038580854300961e-09,1.4709493122752424e-09,4.012013457304819e-09,7.863097421205942e-16,1.8546515381690514e-16,2.640652467920278e-11,2.6089462730135253e-11,1.654736998153675e-12,4.0245144193392794e-13,3.279403927565233e-13,8.047874837664049e-14
6.499043512709475e-09,0.2928113936391359,3.76,0.0,0.5032413252156117,0.9999999981737193,1.2484246408661704e-22,4.028283780500892e-20,1.7827487810278586e-09,4.9005647028273006e-09,1.784884050987991e-09,4.861437905653624e-09,1.1828239490395863e-15,2.279910755469486e-16,3.8817170871744635e-11,3.825300038324736e-11,2.4255227942302657e-12,7.167553897688327e-13,5.61124804134241e-13,1.4360355460142853e-13
7.527812533221654e-09,0.29281139368226755,3.76,0.0,0.5032413241571668,0.9999999978770907,2.5850968358099405e-22,7.229071735395633e-20,2.0646657348765133e-09,5.676392831666235e-09,2.0674268292754166e-09,5.623880078599301e-09,1.608467619250917e-15,2.661653359534788e-16,5.2002499885164593e-11,5.112886824942787e-11,3.241154789561067e-12,1.1107046110364444e-12,8.393990375218478e-13,2.2291385981744748e-13
8.556581553733834e-09,0.2928113937253996,3.76,0.0,0.5032413230986448,0.9999999975784188,4.8800450914351e-22,1.203908788271411e-19,2.3465455339535603e-09,6.452273101740235e-09,2.3499712828451405e-09,6.384394846782647e-09,2.0990306137136093e-15,3.042553803980109e-16,6.708871361269446e-11,6.581018598516949e-11,4.170861245419667e-12,1.6265417673524392e-12,1.1874178482816682e-12,3.270012266144213e-13
9.585350574246013e-09,0.2928113937685328,3.76,0.0,0.5032413220400306,0.9999999972777097,8.577079349294967e-22,1.892188256263563e-19,2.628404845629148e-09,7.228217498490272e-09,2.632517643480916e-09,7.142987082285514e-09,2.6542737031872104e-15,3.422823243829498e-16,8.406738442125566e-11,8.22762075522079e-11,5.213284208243199e-12,2.280141032577403e-12,1.609069968631412e-12,4.59189632562061e-13
9.999999999999999e-09,0.2928113938116683,3.76,0.0,0.5032413216133222,0.9999999971559331,1.0587435182672196e-21,2.2397788125941194e-19,2.7420074286946098e-09,7.540985902539952e-09,2.746399664028141e-09,7.448198184193842e-09,2.896303974723806e-15,3.575912904438011e-16,9.144389990161157e-11,8.941287167519926e-11,5.665004751241623e-12,2.586090271991246e-12,1.8005877683352443e-12,5.211643667689735e-13
1.0614119594758193e-08,0.2928113938116683,3.76,0.0,0.5032413209813084,0.9999999969749696,1.4240869633588114e-21,2.8396501519384702e-19,2.9102608029359846e-09,8.004238510821013e-09,2.9150661419402457e-09,7.899661644700237e-09,3.2739733531429796e-15,3.802419326646676e-16,1.0293011291296086e-10,1.0050637876941937e-10,6.367088814908744e-12,3.087197222572165e-12,2.1075613090716517e-12,6.227883446822692e-13
1.1642888615270372e-08,0.292811393854807,3.76,0.0,0.5032413199224619,0.9999999966702042,2.2569078834923234e-21,4.1038373229474425e-19,3.1921309757713866e-09,8.780349102110313e-09,3.1976170079743018e-09,8.65442338170035e-09,3.957910187966415e-15,4.18124000502421e-16,1.236685270408473e-10,1.2048033658884738e-10,7.630963385959361e-12,4.063225940612845e-12,2.6854440942943835e-12,8.210922052202544e-13
1.2671657635782552e-08,0.2928113938979497,3.76,0.0,0.5032413188634746,0.9999999963634193,3.440410384579605e-21,5.748000587771626e-19,3.474033333967287e-09,9.556562673580437e-09,3.480170470322264e-09,9.407277129056456e-09,4.705858955764261e-15,4.55929251468705e-16,1.4627428217288184e-10,1.4217791043351757e-10,9.003619645702895e-12,5.223562216835392e-12,3.3446521314108306e-12,1.057381550545513e-12
1.4023400603792044e-08,0.2928113939546443,3.76,0.0,0.5032413174717835,0.9999999959572617,5.699140500149958e-21,8.602313553083472e-19,3.844516287239629e-09,1.0576641978708758e-08,3.851433700357204e-09,1.0393590978332536e-08,5.785551262012094e-15,5.054917809264226e-16,1.7880169319956563e-10,1.7327397030458053e-10,1.0970458477024758e-11,7.053787988536925e-12,4.336836948471171e-12,1.4310792706531628e-12
1.5375143571801535e-08,0.29281139401134954,3.76,0.0,0.5032413160797806,0.9999999955476414,9.011182340446874e-21,1.240266688668492e-18,4.215128092425872e-09,1.1596954362079179e-08,4.222702319692173e-09,1.1376630026061822e-08,6.97485758905818e-15,5.549302791617504e-16,2.1451981611966268e-10,2.0726645420891463e-10,1.3120111813846778e-11,9.262278111019964e-12,5.474204201460199e-12,1.883362789984183e-12
1.6726886539811025e-08,0.29281139406806733,3.76,0.0,0.5032413146874269,0.999999995134571,1.370681339337637e-20,1.7335799860365521e-18,4.585910741723682e-09,1.2617531748110673e-08,4.593976839167238e-09,1.2356405144764672e-08,8.273274590277792e-15,6.042419386411232e-16,2.534099420644287e-10,2.4411108808076013e-10,1.544983785529432e-11,1.1882434633862658e-11,6.758231519011123e-12,2.421558093043329e-12
1.8078629507820515e-08,0.29281139412479956,3.76,0.0,0.5032413132946828,0.9999999947180638,2.0177612948874688e-20,2.3604492383039865e-18,4.956906383242552e-09,1.363840632578048e-08,4.965257766667652e-09,1.333292717173047e-08,9.680299281964182e-15,6.534263924044244e-16,2.954534427003e-10,2.83764141079588e-10,1.795696109184537e-11,1.494715160947897e-11,8.189623974209617e-12,3.052948809718994e-12
1.9430372475830005e-08,0.29281139418154833,3.76,0.0,0.503241311901509,0.9999999942981325,2.8883192951318046e-20,3.1427386439468285e-18,5.328157085362444e-09,1.4659610313667363e-08,5.336545607046909e-09,1.4306206907318565e-08,1.1195428305551142e-14,7.024870891522095e-16,3.4063177310772766e-10,3.2618242683337397e-10,2.063887188641948e-11,1.8488815548273204e-11,9.76854949651186e-12,3.784775111804215e-12
2.0782115443839495e-08,0.2928113942383153,3.76,0.0,0.5032413105078657,0.9999999938747899,4.0353855348234463e-20,4.103891120048344e-18,5.699704899405068e-09,1.568117601901297e-08,5.707840862266183e-09,1.5276255117796153e-08,1.281816266043802e-14,7.514231006280918e-16,3.889264668076931e-10,3.713232883844432e-10,2.349302486406332e-11,2.253931763836374e-11,1.1494592030108895e-11,4.624235712603604e-12
2.2133858411848984e-08,0.2928113942951025,3.76,0.0,0.5032413091137139,0.999999993448049,5.519877006161669e-20,5.268897320034622e-18,6.0715915526709275e-09,1.6703135533000648e-08,6.0791440312184934e-09,1.6243082531421567e-08,1.4548006981136705e-14,8.002306441047259e-16,4.4031914237543517e-10,4.19144605476257e-10,2.651693863175078e-11,2.713005037472825e-11,1.3367052884246193e-11,5.578485344978609e-12
2.3485601379858474e-08,0.29281139435191167,3.76,0.0,0.5032413077190145,0.9999999930179223,7.41064284398566e-20,6.664291028486257e-18,6.443858596925736e-09,1.7725520873308986e-08,6.450455609992677e-09,1.7206699843867433e-08,1.6384463331329554e-14,8.489131055856333e-16,4.947914939638598e-10,4.696047696812378e-10,2.9708193631112005e-11,3.2291927004380316e-11,1.5384827624876644e-11,6.65463854696161e-12
2.4837344347867964e-08,0.2928113944087446,3.76,0.0,0.5032413063237284,0.9999999925844224,9.785567805868543e-20,8.318108114314792e-18,6.816547056025763e-09,1.874836363660781e-08,6.8217760915364174e-09,1.816711771085406e-08,1.8327034618160162e-14,8.974758660842121e-16,5.52325303841602e-10,5.226627032054775e-10,3.3064432176384264e-11,3.8055370090040876e-11,1.754674214229357e-11,7.859764829040087e-12
2.6189087315877454e-08,0.29281139446560317,3.76,0.0,0.5032413049278177,0.9999999921475613,1.2731197578623894e-19,1.0259900416724436e-17,7.1896977432418225e-09,1.9771695305907367e-08,7.193105966160904e-09,1.9124346758780178e-08,2.0375231256646556e-14,9.459142462956782e-16,6.129024240259776e-10,5.782778175439025e-10,3.658335571664542e-11,4.445034222966563e-11,1.985127602154279e-11,9.200895911253422e-12
2.7540830283886944e-08,0.292811394522489,3.76,0.0,0.503241303531244,0.9999999917073518,1.634413868452972e-19,1.2520686011484446e-17,7.563350891500047e-09,2.0795546888217735e-08,7.564445721044322e-09,2.0078397573953155e-08,2.252856442532014e-14,9.94225704833134e-16,6.7650479466422e-10,6.364100437822326e-10,4.026272513396864e-11,5.150632651872421e-11,2.2296905345229112e-11,1.0685018602682693e-11
2.8892573251896434e-08,0.29281139457940386,3.76,0.0,0.5032413021339698,0.9999999912638059,2.0731098602889579e-19,1.513294851627014e-17,7.937546307651266e-09,2.181994906314029e-08,7.935795840494088e-09,2.1029280708052343e-08,2.4786543442419968e-14,1.0424138273960037e-15,7.431144345462259e-10,6.970198089296157e-10,4.4100358825908675e-11,5.925234475295945e-11,2.4881972304854975e-11,1.2319078561881298e-11
3.0244316219905924e-08,0.29281139463634925,3.76,0.0,0.5032413007359575,0.9999999908169358,2.600922346417846e-19,1.813062349823062e-17,8.312323331756682e-09,2.284493214176815e-08,8.307156805927206e-09,2.197700667759349e-08,2.714867983449097e-14,1.090481516855853e-15,8.127134419439817e-10,7.60068033987192e-10,4.8094132038741294e-11,6.771695989807354e-11,2.7604728770028063e-11,1.410998001532407e-11
3.1596059187915414e-08,0.2928113946933271,3.76,0.0,0.5032412993371711,0.9999999903667539,3.230659922281508e-19,2.1549080362888132e-17,8.687720854017285e-09,2.3870526080576282e-08,8.678529095960978e-09,2.292158596566821e-08,2.9614489691600136e-14,1.1384268896516962e-15,8.852839914828984e-10,8.255161208886412e-10,5.224197512843453e-11,7.692828741151518e-11,3.0463333720176343e-11,1.606458705772427e-11
