Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13)
2.5503197879746367e-15,0.2518295722061807,3.76,0.0,0.8993497241275894,0.9999999999999832,1.5142213083647563e-62,8.596088588468956e-42,1.6755847055416774e-14,1.2913827623550133e-13,1.675584706630712e-14,1.2913827534003033e-13,3.763210290105477e-27,5.290006811920816e-26,8.958868577987612e-22,8.954143656148602e-22,1.1362836915542096e-23,0.0
5.1028553185973835e-15,0.25182957220618646,3.76,0.0,0.8993497241274434,0.9999999999999665,9.70422947375485e-61,1.3766216425198635e-40,3.352625173105097e-14,2.5838874906195806e-13,3.3526251775499214e-14,2.583887454777403e-13,1.5063065644488355e-26,2.1173716116132316e-25,3.585023668873721e-21,3.583990958884445e-21,4.548095723140839e-23,0.0
1.0207926379842877e-14,0.251829572206198,3.76,0.0,0.8993497241271514,0.9999999999999329,6.214938144346328e-59,2.2035929934858495e-39,6.706706101403996e-14,5.168896947147515e-13,6.70670611936078e-14,5.168896803732121e-13,6.027522237375204e-26,8.472166596612e-25,1.434304723396434e-20,1.4340632033834634e-20,1.8198304790140751e-22,0.0
2.041806850233386e-14,0.25182957220622093,3.76,0.0,0.8993497241265673,0.9999999999998659,3.978914861408227e-57,3.5265475844430755e-38,1.3414867930690047e-13,1.03389158601986e-12,1.3414868002872261e-13,1.0338915286443647e-12,2.411668559759803e-25,3.389356021196606e-24,5.737809323150523e-20,5.737186486499875e-20,7.280505101049414e-22,0.0
4.083835274731583e-14,0.25182957220626695,3.76,0.0,0.8993497241253992,0.9999999999997318,2.5469389343772128e-55,5.643115039779099e-37,2.683119148001526e-13,2.0678953686281606e-12,2.683119176945429e-13,2.0678951391075113e-12,9.649596832012003e-25,1.3558029142413443e-23,2.295241734607892e-19,2.2950612627332796e-19,2.9124376036507405e-21,0.0
8.167892123727977e-14,0.251829572206359,3.76,0.0,0.8993497241230628,0.9999999999994634,1.630179522566263e-53,9.029494583766149e-36,5.366383814167887e-13,4.1359029338370975e-12,5.366383930085487e-13,4.135902015717228e-12,3.8617056685575626e-24,5.423033683371822e-23,9.18120228974093e-19,9.180617762413757e-19,1.1650212832787308e-20,0.0
1.6336005821720766e-13,0.25182957220654306,3.76,0.0,0.8993497241183901,0.9999999999989267,1.0433591309749389e-51,1.4447597744719846e-34,1.073291297170649e-12,8.27191806422431e-12,1.073291343566036e-12,8.271914391670817e-12,1.5460813374155108e-23,2.168938742408789e-22,3.672527457160153e-18,3.6723211381192006e-18,4.660170638337412e-20,0.0
3.2672233217706346e-13,0.25182957220691116,3.76,0.0,0.8993497241090448,0.9999999999978534,6.677638344961245e-50,2.3116475074122713e-33,2.146597058761212e-12,1.654394832487611e-11,2.1465972443990476e-12,1.654393363451829e-11,6.195324998886637e-23,8.673293330020513e-22,1.4690198677647708e-17,1.468942853628462e-17,1.8640797725028817e-19,0.0
6.534468800967749e-13,0.2518295722076473,3.76,0.0,0.8993497240903541,0.9999999999957068,4.273731221770953e-48,3.6986594424929184e-32,4.293208302277617e-12,3.3088008845689185e-11,4.293209044938267e-12,3.308795008400375e-11,2.4868848233491127e-22,3.467296727945059e-21,5.876093853816306e-17,5.875796944265335e-17,7.45629745273606e-19,0.0
1e-12,0.2518295722091197,3.76,0.0,0.8993497240705292,0.9999999999934297,1.4706694832585659e-46,3.3122178014046153e-31,6.5700945496214e-12,5.063611114017752e-11,6.570096473982051e-12,5.0635958886558615e-11,6.480645223035523e-22,8.975266836921053e-21,1.5225156528343247e-16,1.5224399558122404e-16,1.931930352631531e-18,0.0
1.3068959759361981e-12,0.2518295722091197,3.76,0.0,0.8993497240529728,0.9999999999914133,2.7351989652746353e-46,5.917867247012059e-31,8.58642967068281e-12,6.617612988535323e-11,8.58643264151788e-12,6.617589483837157e-11,1.0017387283991055e-21,1.385294291293974e-20,2.350437708301276e-16,2.3503212698285563e-16,2.9824789171646734e-18,0.0
1.960345071775621e-12,0.251829572210592,3.76,0.0,0.8993497240155914,0.9999999999871197,1.5608537335371706e-45,2.256187248073439e-30,1.2879649920491653e-11,9.92642509230552e-11,1.2879656233607064e-11,9.926375144837108e-11,2.1389376706176666e-21,2.94136478857499e-20,4.994677185735229e-16,4.994431315255375e-16,6.3377024564552025e-18,0.0
2.613794167615044e-12,0.2518295722120643,3.76,0.0,0.8993497239782101,0.9999999999828263,6.106490216029294e-45,6.070437152906225e-30,1.717286905173542e-11,1.3235237195879507e-10,1.717287982121421e-11,1.323515199142371e-10,3.664844813004972e-21,5.013878090142922e-20,8.520325446370418e-16,8.519907543338874e-16,1.0811269095574428e-17,0.0
3.9206923592938904e-12,0.2518295722150091,3.76,0.0,0.8993497239034475,0.9999999999742389,5.114142795860567e-44,2.4552898515001038e-29,2.575930468911617e-11,1.985286140256699e-10,2.5759326985935476e-11,1.9852684997781278e-10,7.643040429230296e-21,1.0367675180745683e-19,1.7640227061625222e-15,1.7639365373020222e-15,2.238298816925118e-17,0.0
5.227590550972736e-12,0.25182957221795377,3.76,0.0,0.8993497238286848,0.9999999999656513,2.0099111384805572e-43,6.650699957284377e-29,3.434573621339389e-11,2.6470485608532935e-10,3.434577413424442e-11,2.647018559059229e-10,1.3088394979764505e-20,1.7611817186020487e-19,3.000136343282235e-15,2.9999901998583186e-15,3.8066993955812165e-17,0.0
6.534488742651582e-12,0.2518295722208986,3.76,0.0,0.8993497237539222,0.9999999999570632,6.311402165840868e-43,1.494057760348296e-28,4.293216333098449e-11,3.308810981372581e-10,4.293222126502486e-11,3.308765145476038e-10,2.0135972037708e-20,2.687427175616329e-19,4.583523547537321e-15,4.5833007756531256e-15,5.815681224262451e-17,0.0
9.148285126009275e-12,0.25182957222678787,3.76,0.0,0.8993497236043968,0.999999999939886,5.745000499217213e-42,5.7937437102867555e-28,6.010500407071793e-11,4.6323358221743794e-10,6.010511547327933e-11,4.632247681677987e-10,3.934218794603993e-20,5.153338896669399e-19,8.81392161949042e-15,8.813494963147069e-15,1.1182921773435818e-16,0.0
1e-11,0.2518295722385667,3.76,0.0,0.8993497235556734,0.9999999999342886,1.3946103550432905e-41,8.841584258239854e-28,6.57008316124787e-11,5.063611112019965e-10,6.570096428548602e-11,5.063506141675768e-10,4.714626926873911e-20,6.13053824642633e-19,1.0496881648897192e-14,1.0496374219546227e-14,1.331804366788255e-16,0.0
1.437587789272466e-11,0.2518295722385667,3.76,0.0,0.899349723305346,0.9999999999055275,1.0672574126510225e-40,3.726315055614313e-27,9.44506319066286e-11,7.279385502836653e-10,9.445090368003555e-11,7.279170468381614e-10,9.922052699832385e-20,1.2497099937995938e-18,2.150313010137777e-14,2.1502096573374488e-14,2.728069349694637e-16,0.0
1.9603470659440044e-11,0.2518295722503456,3.76,0.0,0.8993497230062952,0.9999999998711632,5.649308784869965e-40,1.2297225361563929e-26,1.2879618816727118e-10,9.926435182242748e-10,1.2879669160982727e-10,9.92603682650019e-10,1.8928619324378415e-19,2.3023596629391286e-18,3.98349857618649e-14,3.983308261006382e-14,5.053457078926329e-16,0.0
3.005865619287081e-11,0.2518295722739032,3.76,0.0,0.8993497224081937,0.9999999998024173,8.598490458025206e-39,7.030216679875646e-26,1.9748708610968954e-10,1.5220534537287526e-09,1.9748826666085812e-10,1.5219600314178516e-09,4.712608473514678e-19,5.335819386713188e-18,9.342091214694746e-14,9.34165038208772e-14,1.1849594946845619e-15,0.0
5.0969027259732354e-11,0.2518295723210184,3.76,0.0,0.8993497212119906,0.9999999996648571,2.4460417830170936e-37,6.176697353957595e-25,3.3486802422322265e-10,2.5808733232307515e-09,3.348714136711825e-10,2.5806050426476183e-09,1.5119463870321873e-18,1.4953511105816044e-17,2.682764575763832e-13,2.6826411767549947e-13,3.4017878613837358e-15,0.0
9.278976939345542e-11,0.2518295724152488,3.76,0.0,0.8993497188195846,0.9999999993894625,1.0152604636352141e-35,7.145395725812509e-24,6.096264737035207e-10,4.69851305620691e-09,6.096376964763152e-10,4.697624356873558e-09,6.015160738214439e-18,4.719020640777357e-17,8.8868486443434e-13,8.886461279842541e-13,1.1261509251531003e-14,0.0
9.999999999999999e-11,0.2518295725094789,3.76,0.0,0.8993497184071146,0.9999999993419454,1.650704702997757e-35,9.791478411948188e-24,6.569965678881551e-10,5.063611091376794e-09,6.570096010379172e-10,5.062578952667186e-09,7.1799506761915e-18,5.4355230622616395e-17,1.0321217298699829e-12,1.0320771744274914e-12,1.307770521427458e-14,0.0
1.346105115271785e-10,0.2518295725094789,3.76,0.0,0.8993497164271785,0.9999999991137025,6.603266136245942e-35,2.8719196208616216e-23,8.843803597516309e-10,6.816152781145801e-09,8.844039658254629e-10,6.814282768945342e-09,1.4361395941985755e-17,9.532894423230232e-17,1.8699801895031158e-12,1.869902510120099e-12,2.368375324352118e-14,0.0
1.7643125366090157e-10,0.25182957260370875,3.76,0.0,0.8993497140347725,0.9999999988375772,2.755272230485499e-34,7.95825743655826e-23,1.159129690137412e-09,8.933792498047226e-09,1.1591702238120374e-09,8.930580338038724e-09,2.7341243407816513e-17,1.5752344629037002e-16,3.2121022189397457e-12,3.2119751438118318e-12,4.0660749832883356e-14,0.0
2.1825199579462464e-10,0.2518295726979385,3.76,0.0,0.8993497116423664,0.9999999985610866,8.900464259429588e-34,1.792015948307393e-22,1.4338744728745657e-09,1.1051432206910966e-08,1.4339364725997194e-09,1.1046517124885382e-08,4.5682726691951156e-17,2.3207249240372223e-16,4.9149890301992576e-12,4.914804270365452e-12,6.218448516645478e-14,0.0
3.018934800620708e-10,0.2518295728863973,3.76,0.0,0.8993497068575544,0.9999999980070093,5.827984955742741e-33,6.254431171265282e-22,1.983350425034364e-09,1.528671160052457e-08,1.983468950598997e-09,1.527730857632574e-08,1.0070226217928199e-16,4.129665543647434e-16,9.402827504880686e-12,9.402510530010038e-12,1.1884254012852601e-13,0.0
3.855349643295169e-10,0.2518295730748553,3.76,0.0,0.8993497020727425,0.9999999974514717,2.270232196870133e-32,1.6133476677507188e-21,2.532808280250957e-09,1.952199096198483e-08,2.5330014171704976e-09,1.9506657608815486e-08,1.8391446244397162e-16,6.274904037523545e-16,1.533299874030321e-11,1.5332541764475954e-11,1.9359389698104375e-13,0.0
4.691764485969631e-10,0.2518295732633125,3.76,0.0,0.8993496972879305,0.9999999968944744,6.865486968797679e-32,3.478478348628686e-21,3.082248105706222e-09,2.375727029128988e-08,3.0825338905716607e-09,2.3734564733220135e-08,2.990238091316729e-16,8.669543658313104e-16,2.2704978595220455e-11,2.2704392091575125e-11,2.863713725625758e-13,0.0
6.364594171318553e-10,0.25182957364022446,3.76,0.0,0.8993496877183068,0.9999999957761019,4.733256651764673e-31,1.1874337809425443e-20,4.1810739267683686e-09,3.222782885342704e-08,4.181598928871303e-09,3.218605524387585e-08,6.326111131525468e-16,1.4025421457938965e-15,4.177231752245375e-11,4.177157439794317e-11,5.257452393184735e-13,0.0
8.037423856667476e-10,0.25182957401713324,3.76,0.0,0.8993496781486832,0.9999999946518963,1.8969279050852678e-30,3.019865937739158e-20,5.279828403670793e-09,4.069838728692156e-08,5.280664206798902e-09,4.0631784061249085e-08,1.116442229315668e-15,1.9842863983966315e-15,6.660077046601014e-11,6.660012494384641e-11,8.364486804715447e-13,0.0
9.999999999999999e-10,0.2518295747709413,3.76,0.0,0.8993496669215303,0.9999999933255396,7.81830137192299e-30,7.324034123957926e-20,6.5688050029922455e-09,5.063610884549407e-08,6.5700962034838725e-09,5.053303570434421e-08,1.883833545310785e-15,2.7056623447774196e-15,1.0306856974728622e-10,1.0306855165399139e-10,1.2912186581614947e-12,0.0
1.1383083227365322e-09,0.2518295747709413,3.76,0.0,0.8993496590094364,0.9999999923860028,1.6558616518472347e-29,1.2299413785961368e-19,7.477125346160917e-09,5.7639503767925115e-08,7.478796041639767e-09,5.750597228577123e-08,2.559233573783174e-15,3.226999867013052e-15,1.3352482340073467e-10,1.3352569592045412e-10,1.6698230821241227e-12,0.0
1.4728742598063168e-09,0.25182957552473667,3.76,0.0,0.8993496398701902,0.9999999900968282,7.443495951818164e-29,3.431887945869612e-19,9.6741429612146e-09,7.458061973418544e-08,9.676930517034884e-09,7.435716079583049e-08,4.665885718291533e-15,4.500545301811094e-15,2.2344468222104443e-10,2.2344977192393724e-10,2.7824664605782914e-12,0.0
1.8074401968761013e-09,0.2518295762785196,3.76,0.0,0.8993496207309446,0.9999999877844066,2.4324376324817947e-28,7.730622454087253e-19,1.1870885219791574e-08,9.152173518558765e-08,1.1875068753154394e-08,9.118538093260636e-08,7.445726796963602e-15,5.778127624386885e-15,3.363279027682601e-10,3.3634102912687797e-10,4.170407777261664e-12,0.0
