Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130)
0.0,0.08235561716890327,3.76,0.0,0.6858746237915485,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.458801904637128e-22,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999999998,6.777272004083501e-54,4.108501282857968e-39,1.8264294114407605e-22,5.6080064341472e-22,1.8264294114381822e-22,5.608006434147192e-22,9.438241588388614e-42,1.3331871627538164e-40,2.5861797165912873e-34,7.094033880117523e-37,1.0195271749893642e-37,1.369351086348806e-51,4.3260966912010535e-49,3.0662886614998145e-49,4.108486092251709e-39,2.881816039684358e-31,3.2114626340597386e-40,2.4494897427644125e-16,2.2468187411162177e-39,1.929091092090884e-58
4.084645332983958e-22,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999999993,8.04597732324841e-53,2.481534774846374e-38,5.1140023520341235e-22,1.5702418015612156e-21,5.114002352026909e-22,1.5702418015612113e-21,5.700697919480352e-41,8.052450463019592e-40,7.26428840183798e-34,4.28479646359097e-36,6.157944136935728e-37,1.6256936097132974e-50,2.6209484577226397e-48,1.8569437584809177e-48,2.4815255997201946e-38,8.069084994318743e-31,1.939723430970436e-39,6.85857127972557e-16,1.3570785196341933e-38,2.915242458367742e-57
9.336332189677618e-22,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999999984,7.899588247961215e-52,1.1947521730553395e-37,1.168914823322083e-21,3.589124117854207e-21,1.1689148233204355e-21,3.589124117854186e-21,2.7446406540438545e-40,3.876908269267912e-39,1.6712446553860882e-33,2.0629450523381543e-35,2.964785024869024e-36,1.5961156262481524e-49,1.2700080021570686e-47,8.990348531666915e-48,1.1947477556270403e-37,1.844362323639769e-30,9.338933339821028e-39,1.567673435358874e-15,6.533748899165929e-38,3.1360848065902944e-56
1.9839705903064937e-21,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999999967,6.98709634533305e-51,5.217796629232124e-37,2.4839439995594168e-21,7.626888750440188e-21,2.4839439995559223e-21,7.6268887504401e-21,1.1986566818704814e-39,1.6931476966764883e-38,3.5976525984024726e-33,9.009423027749031e-35,1.294799512236444e-35,1.4117461959821322e-48,5.617926669501906e-47,3.9702204075977343e-47,5.217777337162184e-37,3.919270105179625e-30,4.0785575452303544e-38,3.3313060501078495e-15,2.853459801217564e-37,2.882602237089532e-55
4.0846453329839574e-21,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999999931,5.873075482392364e-50,2.178327380173549e-36,5.1140023520340514e-21,1.5702418015612155e-20,5.1140023520268864e-21,1.5702418015611775e-20,5.004155691469789e-39,7.068558336733008e-38,7.597573734882449e-33,3.76125676323811e-34,5.40553308179317e-35,1.1866577418124345e-47,2.405101950183609e-46,1.6941766750708726e-46,2.1783193261141173e-36,8.069086200755604e-30,1.7027174885555102e-37,6.858571279511168e-15,1.1912632965397894e-36,2.4661269030358143e-54
8.285994818338886e-21,0.08235561716890327,3.76,0.0,0.6858746237915485,0.999999999999986,4.815102116745112e-49,8.89917811874076e-36,1.03741190569832e-20,3.185347654595609e-20,1.037411905696878e-20,3.185347654595455e-20,2.0443608821172002e-38,2.8877367218523363e-37,1.6185837009631194e-32,1.5365961145688066e-33,2.208336642113592e-34,9.7289371157874e-47,1.0313731579182017e-45,7.221081505451451e-46,8.899145215280041e-36,1.6368720521892641e-29,6.95615652368434e-37,1.391310173793927e-14,4.866699266007126e-36,2.039041413648294e-53
1.668869378904874e-20,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999999719,3.8993945341010587e-48,3.5971900812194294e-35,2.0894352466880988e-20,6.415559360664395e-20,2.0894352466852415e-20,6.415559360663772e-20,8.263633555327169e-38,1.1672693538440375e-36,3.571604756628343e-32,6.211167175667743e-33,8.926449790072833e-34,7.87874551609221e-46,4.56359059950775e-45,3.161267715771637e-45,3.597176781114549e-35,3.296799768410702e-29,2.8117896861658117e-36,2.8022162653281353e-14,1.9671976551466197e-35,1.658114614035874e-52
3.349409173046845e-20,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999999437,3.138571960715015e-47,1.4464143106480154e-34,4.193481928667457e-20,1.287598277280197e-19,4.1934819286619096e-20,1.2875982772799463e-19,3.322770711536996e-37,4.6935387329008686e-36,8.419120470820369e-32,2.497483003629764e-32,3.589286200634587e-33,6.341499826718364e-45,2.152348827203582e-44,1.4660624238401876e-44,1.446408962734359e-34,6.616658608829701e-29,1.1306082660415514e-35,5.6240284477909e-14,7.910015250847646e-35,1.3373295055468324e-51
6.710488761330787e-20,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999998873,2.5185063381367658e-46,5.8007683103620645e-34,8.40157529262537e-20,2.579682959707711e-19,8.401575292615007e-20,2.579682959706707e-19,1.3325796728630493e-36,1.8823189551149307e-35,2.1880046310648183e-31,1.0016023871125542e-31,1.4394643012024454e-32,5.088654237230153e-44,1.1177310858354927e-43,7.443087081697046e-44,5.800746862836547e-34,1.3256389921572194e-28,4.534244823208265e-35,1.1267652810293824e-13,3.172269899668218e-34,1.0742157859533453e-50
1.343264793789867e-19,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999997744,2.0178698252702086e-45,2.323332988870894e-33,1.6817762020537985e-19,5.16385232456274e-19,1.681776202052025e-19,5.163852324558715e-19,5.3372694140243574e-36,7.539093940560836e-35,6.386547563605834e-31,4.011633878757222e-31,5.765365410729266e-32,4.0771157415302586e-43,6.515754395376232e-43,4.233565698240206e-43,2.3233243986738447e-33,2.653590707467516e-28,1.8160629784047144e-34,2.2554901525609254e-13,1.270562607060462e-33,8.611169136839386e-50
2.6876966291034444e-19,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999995487,1.615522811510112e-44,9.29938673632472e-33,3.3650135476350383e-19,1.0332191054272797e-18,3.365013547632694e-19,1.0332191054256688e-18,2.136298717298649e-35,3.017602318057598e-34,2.080906448697329e-30,1.6056990134609347e-30,2.3076486618736275e-31,3.264171654134069e-42,4.2402627863753296e-42,2.6971413649694246e-42,9.29935235315084e-33,5.309515949135303e-28,7.268984706965364e-34,4.5129398917478454e-13,5.0855616099527426e-33,6.89591927493954e-49
5.376560299730599e-19,0.08235561716890327,3.76,0.0,0.6858746237915485,0.9999999999990972,1.2929092396566254e-43,3.720965996010567e-32,6.731488238792384e-19,2.0668868513692912e-18,6.731488238792511e-19,2.066886851362845e-18,8.547977680282145e-35,1.2074339859260721e-33,7.375582256671876e-30,6.424887573641066e-30,9.23360049902275e-31,2.61232937170106e-41,3.0028930806749955e-41,1.8815585133610016e-41,3.7209522382632123e-32,1.062145367665967e-27,2.908540709198367e-33,9.027839354617018e-13,2.0348870690534935e-32,5.519530371404306e-48
