Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68),CF2(42)
0.0,0.27461810554611005,3.76,0.0,0.9252844663410789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.735795855651397e-23,0.27461810554611005,3.76,0.0,0.9252844663410789,0.9999999999999997,4.661926954737686e-54,8.607434540916267e-39,1.7893513927059437e-21,2.1358582934649484e-20,1.789351392610871e-21,2.1358582934649475e-20,2.5297904051725377e-41,3.500182266687487e-40,9.508003134212945e-32,6.764313003457608e-36,3.210096182185816e-38,9.126963297139977e-51,1.3732327025989078e-45,9.67201549447e-23,8.60518235557401e-39,1.428660523065574e-28,2.3258153460603004e-39,2.598076193669922e-16,8.31956432125582e-39,2.0430308035057798e-44,6.190811023884386e-56,1.347543499936854e-49,9.67201549447e-23
1.886022839582391e-22,0.27461810554611005,3.76,0.0,0.9252844663410789,0.9999999999999993,5.5346396806652245e-53,5.198890462714062e-38,5.010183899576642e-21,5.980403221701858e-20,5.010183899310437e-21,5.980403221701853e-20,1.5279934047254797e-40,2.1141100890788384e-39,2.6624600584843103e-31,4.0856450540883895e-35,1.9388980940402227e-37,1.083553082636457e-49,8.294378752150208e-45,2.7081643384516e-22,5.197530142767069e-38,4.0002494649285883e-28,1.4047924690200536e-38,7.27461334227231e-16,5.025016850038514e-38,1.233990605317551e-43,7.349730847555541e-55,8.1391627404636e-49,2.7081643384516e-22
4.310909347616893e-22,0.27461810554611005,3.76,0.0,0.9252844663410789,0.9999999999999984,5.4339420584442e-52,2.5030419644994043e-37,1.1451848913318032e-20,1.3669493078175674e-19,1.1451848912709566e-20,1.3669493078175658e-19,7.356630498260741e-40,1.0178530031521157e-38,6.0866562722290865e-31,1.967062221405462e-34,9.334959697796194e-37,1.0638388419146305e-48,3.9934405418368277e-44,6.190089916460801e-22,2.5023870290014705e-37,9.14342735003453e-28,6.763471026337832e-38,1.6627687639463199e-15,2.41932930462119e-37,5.941133576595688e-43,7.216009329439632e-54,3.918656499059731e-48,6.190089916460801e-22
9.1606823636859e-22,0.27461810554611005,3.76,0.0,0.9252844663410789,0.9999999999999966,4.8062602132604286e-51,1.0931441866973507e-36,2.433517894080079e-20,2.904767279112331e-19,2.43351789395078e-20,2.904767279112323e-19,3.2128338145887544e-39,4.4452314786868475e-38,1.2938555594193608e-30,8.590677514391044e-34,4.07682215137582e-36,9.40953408081931e-48,1.7440880364024552e-43,1.31539410724792e-21,1.092858159158465e-36,1.9429783125766075e-27,2.9537854894908738e-37,3.533383623378942e-15,1.0565846687994848e-36,2.5946491204532413e-42,6.382478533183822e-53,1.7113802461933426e-47,1.31539410724792e-21
1.8860228395823914e-21,0.27461810554611005,3.76,0.0,0.9252844663410789,0.9999999999999928,4.0399513081517443e-50,4.5636617936026645e-36,5.01018389957662e-20,5.980403221701858e-19,5.010183899310416e-20,5.980403221701822e-19,1.3412948728401473e-38,1.8557966377920685e-37,2.6656381816022547e-30,3.5864387544331146e-33,1.701992995794769e-35,7.909280361888525e-47,7.28162232609598e-43,2.7081643384516e-21,4.5624676849304264e-36,4.0002494699307796e-27,1.2331472964760339e-36,7.274613342221965e-15,4.411033003129791e-36,1.083214932019572e-41,5.364857780321776e-52,7.144675648078754e-47,2.7081643384516e-21
3.825932046009993e-21,0.27461810554611005,3.76,0.0,0.9252844663410789,0.9999999999999853,3.3121961660064177e-49,1.864404751308126e-35,1.0163515910569657e-19,1.2131675106880912e-18,1.0163515910029653e-19,1.2131675106880766e-18,5.479627209369506e-38,7.581534796888029e-37,5.4148144571279974e-30,1.4651772538008376e-32,6.953196734460488e-35,6.484505899267964e-46,2.975105644393366e-42,5.49370480085896e-21,1.8639169189510573e-35,8.114791793470576e-27,5.0378090721369545e-36,1.4757072779819125e-14,1.8020509102412567e-35,4.4252864416324817e-41,4.39843453936236e-51,2.918833132246741e-46,5.49370480085896e-21
7.705750458865199e-21,0.27461810554611,3.76,0.0,0.9252844663410789,0.9999999999999704,2.6823023297271044e-48,7.536222097491834e-35,2.047017993255557e-19,2.4434218877239023e-18,2.0470179931467967e-19,2.443421887723843e-18,2.214952929791047e-37,3.064577583194427e-36,1.0935611132819303e-29,5.922480721550523e-32,2.8105932921193755e-34,5.2513209993955554e-45,1.2028482873282515e-41,1.106478572567368e-20,7.534250201093517e-35,1.6343876475875984e-26,2.0363629745766215e-35,2.972199165465791e-14,7.284177902346563e-35,1.7887715339534845e-40,3.561966327091894e-50,1.1798390242071717e-45,1.106478572567368e-20
1.546538728457561e-20,0.27461810554611,3.76,0.0,0.9252844663410789,0.9999999999999404,2.158950270009888e-47,3.030281759917759e-34,4.1083507976526716e-19,4.903930641795524e-18,4.108350797434399e-19,4.903930641795285e-18,8.906228314024122e-37,1.2322531676845437e-35,2.2066980982761182e-29,2.38140345011863e-31,1.1301272013223921e-33,4.226719994914807e-44,4.838715247187811e-41,2.220694757530312e-20,3.029488869037965e-34,3.2802045981990044e-26,8.188125958128888e-35,5.965182940291333e-14,2.9289358975551277e-34,7.192571665019686e-40,2.866980384110346e-49,4.744080857511153e-45,2.220694757530312e-20
3.098466093599643e-20,0.27461810554611005,3.76,0.0,0.9252844663410789,0.9999999999998805,1.732421625771069e-46,1.2152785184115362e-33,8.23101640644663e-19,9.824948149938767e-18,8.231016406009354e-19,9.824948149937811e-18,3.57179589512457e-36,4.941886340985879e-35,4.4688826676881883e-29,9.550492943698654e-31,4.532315539044182e-33,3.3916766063908635e-43,1.9422378038858447e-40,4.4491271274562007e-20,1.2149605336972077e-33,6.571838555943116e-26,3.2838047319766653e-34,1.1951150489373555e-13,1.1746342947792987e-33,2.8845429333215863e-39,2.300571202130494e-48,1.9025886340355778e-44,4.4491271274562007e-20
6.202320823883807e-20,0.27461810554611,3.76,0.0,0.9252844663410789,0.9999999999997609,1.388045473781073e-45,4.867452932901733e-33,1.6476347624033474e-18,1.9666983166225253e-17,1.647634762315828e-18,1.9666983166221423e-17,1.4305813972195767e-35,1.979332210519493e-34,9.136894204207013e-29,3.8251786881456616e-30,1.8152902588473113e-32,2.71746859531724e-42,7.792672163500166e-40,8.905991867307978e-20,4.866179335375909e-33,1.3155106697516541e-25,1.315234716149958e-33,2.392308558526255e-13,4.7046640390650585e-33,1.1553217429483036e-38,1.8432565125174093e-47,7.620278593803739e-44,8.905991867307978e-20
1.2410030284452136e-19,0.27461810554611005,3.76,0.0,0.9252844663410789,0.9999999999995214,1.1112803701653192e-44,1.9482496681336762e-32,3.296701005920284e-18,3.935105319879823e-17,3.296701005745217e-18,3.93510531987829e-17,5.726053794184337e-35,7.922487129861313e-34,1.9047486868022654e-28,1.5310683455925566e-29,7.265891818312687e-32,2.1756272134945502e-41,3.129979010784457e-39,1.781972134701153e-19,1.9477398971589788e-32,2.632164388500419e-25,5.2643664644383315e-33,4.786695576793877e-13,1.8830916864584697e-32,4.6242978272668383e-38,1.475725988884303e-46,3.050097505977358e-43,1.781972134701153e-19
2.482544920558879e-19,0.27461810554611005,3.76,0.0,0.9252844663410789,0.9999999999990425,8.893620370337338e-44,7.795536386284093e-32,6.594833492952431e-18,7.871919326394418e-17,6.594833492602414e-18,7.871919326388283e-17,2.2911673727914094e-34,3.170026803020473e-33,4.116695055875989e-28,6.126267691231183e-29,2.9073031535445417e-31,1.741162988317048e-40,1.2611055905693003e-38,3.5647180306418634e-19,7.793496637935528e-32,5.265472187734271e-25,2.1064323006595443e-32,9.575469609688408e-13,7.534819586337947e-32,1.8503214736867764e-37,1.181029294361114e-45,1.220436429265398e-42,3.5647180306418634e-19
4.965628704786209e-19,0.27461810554611005,3.76,0.0,0.9252844663410787,0.9999999999980848,7.11624754992537e-43,3.1187221701891004e-31,1.3191098467009822e-17,1.5745547339423608e-16,1.3191098466310483e-17,1.5745547339399065e-16,9.16616142633598e-34,1.2682171404280845e-32,9.459899139261023e-28,2.450905995076958e-28,1.163110573615878e-30,1.3931949341831003e-39,5.114905184757328e-38,7.130209822523284e-19,3.1179061376753155e-31,1.0532089233147254e-24,8.427100824159274e-32,1.9153017660914614e-12,3.014418472516946e-31,7.402490752487607e-37,9.450028751302998e-45,4.882541483921186e-42,7.130209822523284e-19
