Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48)
0.0,0.12790483184936755,3.76,0.0,0.631876368740513,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1327209381273077e-19,0.12790483184936755,3.76,0.0,0.6318763687405129,1.0,1.2568617425706908e-42,4.631022356818592e-31,1.3546244050319973e-17,1.535138406533399e-16,1.3546244049587109e-17,1.535138406529817e-16,2.7009523881825207e-33,3.708185212819053e-32,1.0941823419185317e-27,3.58211057217912e-28,2.645698509726994e-30,2.0334212208555698e-39,1.3934930311214925e-37,3.7344675257895036e-39,4.631022356831162e-31
5.971618626756462e-19,0.12790483184936757,3.76,0.0,0.6318763687405125,1.0,1.492146260776888e-41,2.7971375035122167e-30,3.792948334088583e-17,4.2983875382935145e-16,3.792948333884376e-17,4.298387538271877e-16,1.6313752528909177e-32,2.239743865507379e-31,4.224434752873889e-27,2.1635947855796503e-27,1.5980018998207546e-29,2.414077673382834e-38,8.535287032691273e-37,2.9687021164310705e-38,2.797137503527138e-30
1.3649414004014771e-18,0.12790483184936757,3.76,0.0,0.6318763687405119,1.0,1.464998047130987e-40,1.3467013013535272e-29,8.66959619219772e-17,9.82488580181374e-16,8.669596191735655e-17,9.824885801709562e-16,7.854369701264898e-32,1.0783402553347874e-30,1.5127836356696526e-26,1.041677754364883e-26,7.693691265470859e-29,2.370155774976871e-37,4.230161421537235e-36,2.1556087527690992e-37,1.3467013013681772e-29
2.9005004758531386e-18,0.1279048318493676,3.76,0.0,0.6318763687405107,0.9999999999999999,1.2957741821009188e-39,5.881398393063311e-29,1.8422891908399861e-16,2.0877882328854164e-15,1.8422891907437998e-16,2.0877882328399185e-15,3.4302096946362654e-31,4.7093951732326024e-30,5.550622669122081e-26,4.549280426411167e-26,3.3600371065108686e-28,2.09637594174326e-36,1.9535492927125503e-35,1.5795571585626967e-36,5.881398393192887e-29
5.971618626756462e-18,0.12790483184936766,3.76,0.0,0.6318763687405082,0.9999999999999997,1.0891762762880277e-38,2.455368053498544e-28,3.792948334073958e-16,4.298387538293489e-15,3.7929483338841827e-16,4.298387538103546e-15,1.4320451016943894e-30,1.9660797574938275e-29,2.105493558616359e-25,1.8992350251386867e-25,1.40274934909908e-27,1.7621302950543363e-35,9.042618338224552e-35,1.192753272682126e-35,2.4553680536074625e-28
1.2113854928563108e-17,0.12790483184936777,3.76,0.0,0.6318763687405035,0.9999999999999992,8.929725165282516e-38,1.0030979665029504e-27,7.694266620516084e-16,8.71958614910959e-15,7.694266620164605e-16,8.719586148333604e-15,5.850372142629651e-30,8.032077139871924e-29,8.177810081587361e-25,7.758994781809749e-25,5.730688793589869e-27,1.4447008791380624e-34,4.419017792477691e-34,9.231132547680752e-35,1.0030979665922477e-27
2.4398327532176402e-17,0.12790483184936796,3.76,0.0,0.6318763687404938,0.9999999999999984,7.2315229570940085e-37,4.054682361864164e-27,1.5496903193297052e-15,1.7561983370741612e-14,1.549690319272408e-15,1.7561983367604953e-14,2.3648144747662907e-29,3.2466938518159643e-28,3.220825888184449e-24,3.1363097456436954e-24,2.3164360335141506e-26,1.1699562280412241e-33,2.3722226696380687e-33,7.25493554207051e-34,4.054682362587316e-27
4.8967272739402985e-17,0.12790483184936838,3.76,0.0,0.6318763687404746,0.9999999999999969,5.820558803325161e-36,1.6303699443177928e-26,3.1102176338445877e-15,3.524677781400493e-14,3.110217633783755e-15,3.5246777801392574e-14,9.508819138851815e-29,1.3054811977193173e-27,1.278124194681339e-23,1.2610963540748273e-23,9.314287388605176e-26,9.416825557610777e-33,1.4251085914193265e-32,5.750822797561783e-33,1.6303699448998485e-26
9.810516315385615e-17,0.12790483184936924,3.76,0.0,0.6318763687404361,0.9999999999999938,4.670631872358577e-35,6.538512675514078e-26,6.231272262709102e-15,7.061636670052868e-14,6.231272262804258e-15,7.061636664994746e-14,3.813465090984148e-28,5.235562526128478e-27,5.091937923319299e-23,5.057560413699477e-23,3.735445817193141e-25,7.556409451674142e-32,9.495163894642506e-32,4.579179011182552e-32,6.53851268018471e-26
