Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68),CF2(42),OO[C](F)F(619),FC1(F)OO1(411),CF2O2(152),CHF3(41),O[C](F)F(237),CFO(50)
0.0,0.09924237276002491,3.76,0.0,0.9226455232249047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.638963026244815e-22,0.09924237276002491,3.76,0.0,0.9226455232249047,0.9999999999999997,1.683333871649976e-53,3.773242236475024e-39,7.638982217854442e-23,1.3261541320921274e-22,7.638982217852305e-23,1.326154132092124e-22,4.125439553073289e-42,5.738927373275007e-41,2.1831163584478547e-35,3.334559983185995e-37,1.3452777240447439e-37,1.2211617046656887e-51,2.734092611879969e-44,2.8641521907968893e-26,3.773312362895292e-39,9.753011512465995e-33,1.4713849614112689e-40,2.872281323253595e-16,1.7161297728993778e-39,3.749080724185349e-48,5.710871324297274e-57,5.716765898006438e-54,2.8641521907968893e-26,9.840160510063313e-52,4.0039299314953255e-46,7.008653048911314e-45,5.078917224288572e-56,5.97678428727133e-60,5.573567099804187e-63
1.2989096473485481e-21,0.09924237276002491,3.76,0.0,0.9226455232249047,0.9999999999999991,1.9984539724229334e-52,2.2790383108310163e-38,2.138915020999238e-22,3.713231569857957e-22,2.138915020998645e-22,3.7132315698579366e-22,2.49176549019211e-41,3.4663121334409925e-40,6.22076664712885e-35,2.014074229844328e-36,8.125477453230141e-37,1.4497631757790974e-50,1.651392008793034e-43,8.01962613423129e-26,2.2790806671888989e-38,2.730843827213028e-32,8.887165166909217e-40,8.042387705062751e-16,1.0365423828312215e-38,2.264444757518233e-47,6.7799464362057075e-56,3.452926611383204e-53,8.01962613423129e-26,1.1682238535473485e-50,2.418373678990058e-45,4.233226441502142e-44,3.0676660521806185e-55,7.09563830583672e-59,6.6169388608875114e-62
2.9689363367966816e-21,0.09924237276002491,3.76,0.0,0.9226455232249047,0.9999999999999981,1.9620939607954686e-51,1.0972588423670916e-37,4.888948619426805e-22,8.487386445389616e-22,4.88894861942547e-22,8.487386445389516e-22,1.199677822237476e-40,1.6688800801227032e-39,1.4728230598390256e-34,9.696900431104683e-36,3.91206762152195e-36,1.4233860829583007e-49,7.950742383609945e-43,1.833057402110009e-25,1.0972792351301656e-37,6.241931594036088e-32,4.278787467761704e-39,1.8382600468491803e-15,4.990505379591346e-38,1.0902326747553724e-46,6.656591615600848e-55,1.6624355363644656e-52,1.833057402110009e-25,1.146969102206406e-49,1.1643428246291637e-44,2.0381163065629754e-43,1.4769492004968763e-54,6.966539765206875e-58,6.496549811531699e-61
6.3089897156929484e-21,0.09924237276002491,3.76,0.0,0.9226455232249047,0.999999999999996,1.7354498883167997e-50,4.792017640324883e-37,1.0389015816281855e-21,1.803569619645293e-21,1.0389015816279108e-21,1.8035696196452506e-21,5.239308234508636e-40,7.288437763794016e-39,3.347181199651066e-34,4.234891178646019e-35,1.708502709536655e-35,1.2589688710420843e-48,3.472298720959321e-42,3.895246979483769e-25,4.792106700879242e-37,1.3264116787243008e-31,1.8686589009693047e-38,3.906302599459286e-15,2.179484811582165e-37,4.761332521377509e-46,5.887679900497405e-54,7.26029282591987e-52,3.895246979483769e-25,1.0144811735642336e-48,5.084991018685733e-44,8.900989371492877e-43,6.450225608980656e-54,6.161825528728424e-57,5.746124737213998e-60
1.2989096473485482e-20,0.09924237276002491,3.76,0.0,0.9226455232249047,0.9999999999999919,1.458750199830905e-49,2.0005730337805023e-36,2.138915020999163e-21,3.713231569857956e-21,2.138915020998634e-21,3.713231569857778e-21,2.1873080529344597e-39,3.0427792930716904e-38,7.787358877514128e-34,1.7679837030850395e-34,7.132662492883712e-35,1.0582391946759134e-47,1.4496168963033452e-41,8.019626134231289e-25,2.0006102148090834e-36,2.730852581190006e-31,7.80128306519549e-38,8.042387704376684e-15,9.098920055912097e-37,1.9877626014526754e-45,4.948949715694624e-53,3.031029400515976e-51,8.019626134231289e-25,8.527325394506271e-48,2.1228836547968263e-43,3.715987845970738e-42,2.6928425702551595e-53,5.179385634661355e-56,4.829964071616485e-59
2.634930998907055e-20,0.09924237276002491,3.76,0.0,0.9226455232249047,0.9999999999999836,1.195971547797092e-48,8.172993613906595e-36,4.3389418997409836e-21,7.532555470283282e-21,4.338941899740061e-21,7.532555470282557e-21,8.935867105583216e-39,1.243074624558745e-37,1.943355982619573e-33,7.222790305978713e-34,2.9139253613885923e-34,8.67608427914367e-47,5.922162372539314e-41,1.6268384443726329e-24,8.173145510542648e-36,5.5397498414187005e-31,3.187078681639957e-37,1.631455791300022e-14,3.717205733290627e-36,8.120658824400366e-45,4.057447979874025e-52,1.2382744631388898e-50,1.6268384443726327e-24,6.991216328022746e-47,8.672672432148577e-43,1.5181022845305253e-41,1.1001143423530311e-52,4.246373268472265e-55,3.959896360048927e-58
5.3069737020240686e-20,0.09924237276002491,3.76,0.0,0.9226455232249047,0.999999999999967,9.685287670638022e-48,3.3036546936712994e-35,8.738995657224094e-21,1.5171203271133935e-20,8.738995657222847e-21,1.5171203271131e-20,3.6120203630119833e-38,5.024706382153627e-37,5.378934409537721e-33,2.9195673241573137e-33,1.1778552207308713e-33,7.026117991924413e-46,2.3938362372857053e-40,3.276590106271641e-24,3.3037160927221744e-35,1.1157606183065227e-30,1.2882681600495097e-36,3.285889832540226e-14,1.5025539904022234e-35,3.282500140241393e-44,3.285826570544462e-51,5.005303791302102e-50,3.2765901062716405e-24,5.661667869923342e-46,3.5056328793052986e-42,6.136412155753865e-41,4.4468403859690695e-52,3.438823167271793e-54,3.206826739613528e-57
1.0651059108258096e-19,0.09924237276002491,3.76,0.0,0.9226455232249047,0.9999999999999339,7.795562118336155e-47,1.3283850223281422e-34,1.753910317218818e-20,3.044849887283524e-20,1.753910317218812e-20,3.0448498872823444e-20,1.4523775071225233e-37,2.020412336122439e-36,1.6675444212098447e-32,1.1739451803195752e-32,4.736104038599918e-33,5.65523101834907e-45,9.62553852573655e-40,6.5760934300696576e-24,1.3284097106180352e-34,2.239356615111483e-30,5.1800696108771733e-36,6.594757913082618e-14,6.041703510680897e-35,1.3198788736568831e-43,2.6447190844247563e-50,2.0126109847412217e-49,6.576093430069654e-24,4.557002256794206e-45,1.4095995770142488e-41,2.4674243373064603e-40,1.788056827815312e-51,2.7678640555546133e-53,2.581133147661531e-56
2.133922992072615e-19,0.09924237276002493,3.76,0.0,0.9226455232249047,0.9999999999998678,6.255447652647285e-46,5.327418074291434e-34,3.513931820210784e-20,6.100309007623784e-20,3.5139318202117505e-20,6.100309007619051e-20,5.8246834385757635e-37,8.102757113900252e-36,5.696987561209451e-32,4.708045232892454e-32,1.899389546905532e-32,4.537966738212278e-44,3.860294161017925e-39,1.3175100077665688e-23,5.327517085388678e-34,4.486647522624026e-30,2.0774395977646318e-35,1.3212494066415345e-13,2.422993329576159e-34,5.293304647514221e-43,2.122220506659984e-49,8.07147297334007e-49,1.3175100077665673e-23,3.656706359951113e-44,5.65312487958496e-41,9.895475162264892e-40,7.170922578743218e-51,2.22103659007972e-52,2.071196796909841e-55
