Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68)
0.0,0.7222113779129548,3.76,0.0,0.9487407730465311,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.85728114113091e-23,0.7222113779129548,3.76,0.0,0.9487407730465311,0.9999999999999997,3.2561900827150767e-54,1.867730799366228e-38,1.4731702452930634e-20,4.677883014314482e-19,1.473170243836223e-20,4.677883014314482e-19,6.572545090435138e-41,8.228806101314225e-40,1.456845344542846e-29,4.822309799438999e-35,8.589810361397893e-39,3.7318784696592735e-50,3.0760239710257614e-42,4.978346079198568e-45,1.837959881160717e-38,7.06638560886421e-26,1.710209713293442e-38,2.549501165211595e-16,2.207127755592534e-38,1.1287360852559803e-57,2.5298547225141876e-55,1.0472912347033499e-62
8.000387195166547e-23,0.7222113779129549,3.76,0.0,0.9487407730465311,0.9999999999999993,3.865748866204486e-53,1.1281094028174114e-37,4.1248766868205754e-20,1.3098072440080545e-18,4.124876682741423e-20,1.3098072440080542e-18,3.969817234622947e-40,4.970198885193605e-39,4.0791825935819577e-29,2.9126751188611505e-34,5.1882454582843e-38,4.430486119179483e-49,1.8579185002638673e-41,3.006930645113786e-44,1.1101277682211514e-37,1.9785879704832565e-25,1.0329666668291587e-37,7.138603262591757e-16,1.3331051643778893e-37,1.705745972038839e-56,3.00344352656884e-54,1.582666513883704e-61
1.8286599303237823e-22,0.7222113779129549,3.76,0.0,0.9487407730465311,0.9999999999999984,3.795415160421111e-52,5.431361164560142e-37,9.428289569875596e-20,2.9938451291612674e-18,9.428289560551816e-20,2.993845129161266e-18,1.9112961122987252e-39,2.392936814261898e-38,9.323919607108133e-29,1.4023276896768544e-33,2.4979168530944677e-37,4.349877544234831e-48,8.945078034207537e-41,1.4477174597477207e-43,5.344787334416543e-37,4.522486789682036e-25,4.9732898462561276e-37,1.6316807457349243e-15,6.418327513263076e-37,1.8349636790789416e-55,2.9487986645625304e-53,1.7025604144325425e-60
3.8859023519380373e-22,0.7222113779129548,3.76,0.0,0.9487407730465311,0.9999999999999966,3.357001727686651e-51,2.3720181151983683e-36,2.0035115335985616e-19,6.361920899467694e-18,2.003511531617258e-19,6.361920899467688e-18,8.347132264854567e-39,1.0450583748666198e-37,1.9813643695952298e-28,6.124333445287469e-33,1.0909059158974913e-36,3.8474174270798905e-47,3.906550780549496e-40,6.322648526388885e-43,2.3342090490753296e-36,9.610284428100037e-25,2.171966335881431e-36,3.4673215846852865e-15,2.8030522496025073e-36,1.6866477574763026e-54,2.6081790247232166e-52,1.5649463461925198e-59
8.000387195166548e-22,0.7222113779129548,3.76,0.0,0.9487407730465311,0.9999999999999929,2.8217622266530626e-50,9.902708698269074e-36,4.1248766868205577e-19,1.3098072440080546e-17,4.1248766827414035e-19,1.3098072440080521e-17,3.4847634069504613e-38,4.362912994914224e-37,4.07940921208079e-28,2.5567886556625064e-32,4.554317453612795e-36,3.2339861717511523e-46,1.6309082130499608e-39,2.6396531964171154e-42,9.744863289925093e-36,1.9785879705017795e-24,9.067531899870669e-36,7.138603262581469e-15,1.1702191360151523e-35,1.4429626665582123e-53,2.192331624855218e-51,1.338844546949939e-58
1.6229356881623568e-21,0.7222113779129548,3.76,0.0,0.9487407730465311,0.9999999999999856,2.3134511571100904e-49,4.0455796206840647e-35,8.36760699326452e-19,2.6570375521306252e-17,8.367606984989665e-19,2.6570375521306147e-17,1.4236395567700961e-37,1.7823923167668846e-36,8.275898995918817e-28,1.0445315917976425e-31,1.8605872835199186e-35,2.651417252816204e-45,6.66279353278311e-39,1.0784432165634364e-41,3.9810946209986505e-35,4.013707025918032e-24,3.704382647372679e-35,1.4481166618355686e-14,4.7807270037235766e-35,1.193069436872324e-52,1.79740592115403e-50,1.1069825621331888e-57
3.2687296254537606e-21,0.7222113779129549,3.76,0.0,0.9487407730465311,0.9999999999999709,1.8734927273106153e-48,1.6352879659439356e-34,1.6853067606152314e-18,5.351498168375766e-17,1.6853067589486058e-18,5.351498168375724e-17,5.754578708852511e-37,7.204714724375524e-36,1.6670478959062502e-27,4.22216370027887e-31,7.520791282298647e-35,2.147186433964931e-44,2.69320875029505e-38,4.3597149309598605e-41,1.6092220980381459e-34,8.083945136881347e-24,1.497370694046875e-34,2.916629332983149e-14,1.932446292153469e-34,9.70184252068777e-52,1.455585915845964e-49,9.001798352255508e-57
6.560317500036569e-21,0.7222113779129548,3.76,0.0,0.948740773046531,0.9999999999999415,1.5079499371411081e-47,6.575420988566523e-34,3.3823988831927398e-18,1.0740419400866045e-16,3.382398879847835e-18,1.0740419400865878e-16,2.313890789277954e-36,2.896984103177526e-35,3.346604046722038e-27,1.6977134541314174e-30,3.0240770969695014e-34,1.7282424430527984e-43,1.082928258199184e-37,1.7534042105073854e-40,6.470611280083541e-34,1.6224421359331207e-23,6.020861703975063e-34,5.853654675249256e-14,7.770281548673234e-34,7.824887466316575e-51,1.1715821781855008e-48,7.260276483634405e-56
1.3143493249202185e-20,0.7222113779129548,3.76,0.0,0.9487407730465309,0.9999999999998828,1.2100348572145827e-46,2.6370379093738904e-33,6.776583128347556e-18,2.1518261865846608e-16,6.776583121646093e-18,2.1518261865845932e-16,9.279736977994596e-36,1.1618201961491737e-34,6.708276981101822e-27,6.808590271966878e-30,1.2127901710378835e-33,1.386805719642351e-42,4.3430336039101674e-37,7.034999193946042e-40,2.595004528501464e-33,3.2505373806323866e-23,2.4146348328899602e-33,1.1727705359665269e-13,3.1162304353541585e-33,6.285375148580202e-50,9.401209143254508e-48,5.8318489024275555e-55
