Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12)
0.0,0.0888626060699133,3.76,0.0,0.9483895079671448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8866450611818194e-23,0.0888626060699133,3.76,0.0,0.9483895079671448,0.9999999999999997,1.0840524690297836e-53,1.223190227879072e-38,1.5795789928468982e-21,1.552512056597809e-20,1.5795789928169654e-21,1.5525120565978078e-20,9.20233465438653e-41,1.2850634485376399e-39,2.994070525620442e-32,7.800923730477914e-36,1.3459538361285312e-37,7.321482527226478e-51,4.782338448838511e-46,2.8586569111550597e-47,1.2230388997203747e-38,5.732839178702753e-29,2.6715547004138554e-39,2.4999999902576987e-16,1.146672683501885e-38,1.8079876849294743e-57,9.88792702466896e-56
1.0882606171309094e-22,0.08886260606991331,3.76,0.0,0.9483895079671448,0.9999999999999993,1.2869870912323312e-52,7.388068976390668e-38,4.422821179971313e-21,4.3470337584738644e-20,4.422821179887501e-21,4.34703375847386e-20,5.558210131264071e-40,7.761783229164265e-39,8.385925121680862e-32,4.711757933208652e-35,8.129561170216285e-37,8.69206405632326e-50,2.88857512198935e-45,1.7270631739636262e-46,7.387154954311662e-38,1.6051949704948975e-28,1.613619039049365e-38,6.999999972717268e-16,6.92590300835138e-38,2.7322309894654193e-56,1.1738946963686984e-54
2.4874528391563645e-22,0.0888626060699133,3.76,0.0,0.9483895079671448,0.9999999999999984,1.2635715579016483e-51,3.557037182673952e-37,1.0109305554220136e-20,9.936077162225976e-20,1.010930555402857e-20,9.936077162225953e-20,2.6760389175175118e-39,3.736964508342836e-38,1.9179744913576197e-31,2.268508620822965e-34,3.9140337554617026e-36,8.533920033735141e-49,1.3907680692585735e-44,8.319490292028467e-46,3.5565971203877485e-37,3.669017077576649e-28,7.768881068794433e-38,1.5999999937619252e-15,3.334524163623473e-37,2.939209419636142e-55,1.1525367739954112e-53
5.285837283207274e-22,0.0888626060699133,3.76,0.0,0.9483895079671448,0.9999999999999967,1.117614733472062e-50,1.5534515894080858e-36,2.1482274302717753e-20,2.1114163969730205e-19,2.1482274302310684e-20,2.1114163969730104e-19,1.1686965011297281e-38,1.632030579638028e-37,4.080782689646484e-31,9.907173137706826e-34,1.7093613718831653e-35,7.548155626269321e-48,6.074231662833694e-44,3.637227471369463e-45,1.5532594026458044e-36,7.7966612990701815e-28,3.392874469516235e-37,3.3999999867354593e-15,1.4562743080473857e-36,2.701639837836401e-54,1.0194057245352659e-52
1.0882606171309095e-21,0.0888626060699133,3.76,0.0,0.9483895079671448,0.9999999999999931,9.394225248237304e-50,6.485354588229818e-36,4.422821179971288e-20,4.347033758473865e-19,4.422821179887483e-20,4.347033758473823e-19,4.879077833959486e-38,6.813406404103597e-37,8.422576045863402e-31,4.136049761899278e-33,7.136247239152848e-35,6.34467961437387e-47,2.536191495102085e-43,1.521719769076696e-44,6.484552246325785e-36,1.6051949771377364e-27,1.4164583021510014e-36,6.999999972655079e-15,6.079658567926915e-36,2.3113097605615953e-53,8.568719352745625e-52
2.2076143947512736e-21,0.0888626060699133,3.76,0.0,0.9483895079671448,0.9999999999999859,7.701953433705848e-49,2.649478961207864e-35,8.972008679370268e-20,8.818268481475555e-19,8.972008679200282e-20,8.818268481475386e-19,1.993262495651246e-37,2.7834988320340877e-36,1.7170870596854e-30,1.6897112837163428e-32,2.915389847207312e-34,5.201751677259937e-46,1.03637795397251e-42,6.243272155661634e-44,2.6491511783573954e-35,3.25625268332722e-27,5.786694343213096e-36,1.4199999944384516e-14,2.483738899372355e-35,1.911035606380655e-52,7.025153825598414e-51
4.446321949992002e-21,0.0888626060699133,3.76,0.0,0.9483895079671448,0.9999999999999715,6.237241577271384e-48,1.0709617576494947e-34,1.8070383678168045e-19,1.7760737927478935e-18,1.8070383677825742e-19,1.7760737927478253e-18,8.057085703397818e-37,1.1251347322103063e-35,3.49262910530622e-30,6.830083170371691e-32,1.1784471893142251e-33,4.2125133727644673e-45,4.191315274948001e-42,2.545095436909112e-43,1.070829262578194e-34,6.55836814261837e-27,2.3390743747792725e-35,2.859999988740419e-14,1.0039669746946525e-34,1.5540224174325384e-51,5.689151707382203e-50
8.923737060473459e-21,0.08886260606991331,3.76,0.0,0.9483895079671448,0.9999999999999427,5.020274649187975e-47,4.306290124941976e-34,3.6267133675762883e-19,3.564567681948569e-18,3.626713367507614e-19,3.564567681948294e-18,3.239718725566361e-36,4.5241172728719564e-35,7.147245738238636e-30,2.7463464030090333e-31,4.738484318240385e-33,3.3905972427812553e-44,1.68700620231557e-41,1.0406338111249113e-42,4.305757368068767e-34,1.3162599248849402e-26,9.405315184519049e-35,5.739999977168675e-14,4.036907049175269e-34,1.253375377987549e-50,4.57912423911348e-49
1.787856728143637e-20,0.0888626060699133,3.76,0.0,0.9483895079671448,0.9999999999998851,4.0284542401939406e-46,1.7270149436692302e-33,7.266063367094965e-19,7.141555460349922e-18,7.266063366957484e-19,7.141555460348819e-18,1.299272109379158e-35,1.8143733724140672e-34,1.48706091708664e-29,1.1014077409514242e-30,1.9003441455039937e-32,2.7207407549755894e-43,6.779259000902247e-41,4.311865043094721e-42,1.726801284319818e-33,2.637106221190644e-26,3.7719520518027403e-34,1.1499999953322473e-13,1.618980281799842e-33,1.00677926507657e-49,3.674458818716674e-48
