Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68),CF2(42),OO[C](F)F(619),FC1(F)OO1(411),CF2O2(152)
2.4806010908439286e-20,0.09238092347746492,3.76,0.0,0.7631876129494064,0.9999999999997479,2.823143250539457e-45,9.384132775729536e-33,2.5799033497209844e-18,3.174762234119277e-17,2.5799033496005433e-18,3.1747622341184835e-17,8.481426819972779e-35,1.1648516926890084e-33,1.2845161082172004e-28,7.928024970705405e-30,7.067334779154473e-32,3.227023248838354e-42,1.6317179829991338e-35,8.402430339683286e-20,9.423199067483508e-33,3.9744707420288094e-25,2.9852745238847098e-33,2.521714613960917e-13,8.686056009944314e-33,2.3696309230107456e-38,5.187855104611796e-47,1.0027191353200625e-43,8.402430339683276e-20,1.5737153794794067e-43,1.5971396875120497e-36,2.7383996956945864e-35
4.96335735205349e-20,0.09238092347746492,3.76,0.0,0.7631876129494064,0.9999999999994955,2.2602311925929827e-44,3.756098686236168e-32,5.162048144575357e-18,6.352282732560117e-17,5.162048144334535e-18,6.352282732556941e-17,3.394781054061105e-34,4.662442461230019e-33,2.7288613705934847e-28,3.1732760912149216e-29,2.8287757122439642e-31,2.5835807673554255e-41,6.531125603639599e-35,1.6812160792606957e-19,3.7717353837342326e-32,7.952394777478363e-25,1.1948877943557947e-32,5.045620116996741e-13,3.476686055501713e-32,9.484699128942683e-38,4.153438521687587e-46,4.013490252460885e-43,1.681216079260692e-19,1.2599291537912083e-42,6.392721041714067e-36,1.096073525554425e-34
9.928869874472613e-20,0.09238092347746492,3.76,0.0,0.7631876129494063,0.9999999999989907,1.808871884802357e-43,1.5029287292959147e-31,1.0326337734280994e-17,1.2707323729441794e-16,1.0326337733799906e-17,1.2707323729429083e-16,1.3583546142966653e-33,1.8655842952281696e-32,6.093898133104919e-28,1.2697237748359552e-28,1.131878749984565e-30,2.06764981681933e-40,2.613301993782127e-34,3.36316216984543e-19,1.509185444930881e-31,1.5908243552380506e-24,4.7811075893163294e-32,1.0093431119707906e-12,1.3911272815295871e-31,3.795115091242771e-37,3.3240131321052586e-45,1.6059193222005292e-42,3.3631621698454154e-19,1.008326183320043e-41,2.557921127582163e-35,4.385721801858572e-34
1.985989491931086e-19,0.09238092347746492,3.76,0.0,0.7631876129494062,0.9999999999979812,1.4473723392484062e-42,6.012693567926209e-31,2.0654916913679843e-17,2.5417405723205147e-16,2.06549169127202e-17,2.541740572315429e-16,5.434302980296004e-33,7.46355197230459e-32,1.4729356609151734e-27,5.079721893796222e-28,4.528252035015985e-30,1.654434001749812e-39,1.0454917927104492e-33,6.727054351014897e-19,6.037724503487014e-31,3.1819943918196906e-24,1.912754361528151e-31,2.0189053111688314e-12,5.565414973793969e-31,1.5182931598649248e-36,2.659715539493828e-44,6.424726520448885e-42,6.7270543510148405e-19,8.068140539551136e-41,1.0233350291924785e-34,1.7545743000032974e-33
3.972194500898735e-19,0.09238092347746492,3.76,0.0,0.763187612949406,0.999999999995962,1.1580078163333254e-41,2.405273172654622e-30,4.1312075272427846e-17,5.083756971073185e-16,4.1312075270518994e-17,5.083756971052839e-16,2.1738981187624156e-32,2.985663762014751e-31,3.96218133652491e-27,2.0320541281754067e-27,1.8114482314588917e-29,1.323672874136254e-38,4.1823141494299175e-33,1.3454838713353831e-18,2.4152863608764867e-30,6.364335591387823e-24,7.651640134691284e-31,4.038029704188145e-12,2.2263471719494623e-30,6.073666923278821e-36,2.127974466695847e-43,2.570102581617846e-41,1.3454838713353604e-18,6.455123813505095e-40,4.093673394861202e-34,7.018868388448016e-33
7.944604518834034e-19,0.09238092347746492,3.76,0.0,0.7631876129494054,0.9999999999919237,9.26450234393248e-41,9.621484206695704e-30,8.262639198972506e-17,1.0167789768578518e-15,8.262639198594944e-17,1.0167789768497133e-15,8.695946416325085e-32,1.1943140991639965e-30,1.1989288609272224e-26,8.128547265711457e-27,7.246087770750126e-29,1.0589885710787273e-37,1.6729990290773504e-32,2.6910407438031686e-18,9.661538582318874e-30,1.2729022496143499e-23,3.0607805901317532e-30,8.076278468719697e-12,8.9057510655181e-30,2.4295656311027523e-35,1.70246039170519e-42,1.028085118595688e-40,2.6910407438030784e-18,5.164341836164005e-39,1.6375360943733473e-33,2.8076615885243994e-32
1.5889424554704631e-18,0.09238092347746495,3.76,0.0,0.7631876129494043,0.9999999999838471,7.411777821211484e-40,3.848671996223265e-29,1.6525502542352426e-16,2.0335855363589166e-15,1.652550254161416e-16,2.033585536326361e-15,3.478449416356055e-31,4.7773535711761684e-30,4.023796684028902e-26,3.2514850579997945e-26,2.898494077942008e-28,8.472109660921986e-37,6.692174626655636e-32,5.382154488738736e-18,3.864694066771555e-29,2.5458414328132587e-23,1.2243371390312682e-29,1.6152775911754502e-11,3.5623729030047393e-29,9.718460263573247e-35,1.3620006415537045e-41,4.112442165940715e-40,5.382154488738374e-18,4.131567736931308e-38,6.550278480228952e-33,1.1230874755579954e-31
3.1779064626445824e-18,0.09238092347746499,3.76,0.0,0.7631876129494021,0.999999999967694,5.929492662033088e-39,1.5394844684861781e-28,3.305122922879418e-16,4.0671986553610385e-15,3.305122922738513e-16,4.067198655230816e-15,1.3913939848824777e-30,1.910960850806486e-29,1.4551317803969768e-25,1.3006072536092018e-25,1.1594094248975693e-27,6.777768166477833e-36,2.676930968423184e-31,1.0764381978609855e-17,1.545893357362741e-28,5.091727008202234e-23,4.8973983247982706e-29,3.2305770453710935e-11,1.424963656660981e-28,3.887423663261643e-34,1.0896134446704303e-40,1.6450080193739457e-39,1.0764381978608407e-17,3.305287339262873e-37,2.6201387148802377e-32,4.492395527834645e-31
6.3558344769928215e-18,0.09238092347746504,3.76,0.0,0.7631876129493976,0.9999999999353877,4.743622332957007e-38,6.157969271265767e-28,6.610268260040537e-16,8.13442489336525e-15,6.610268259785721e-16,8.134424892844354e-15,5.5656047623269236e-30,7.643882146142627e-29,5.511750193503062e-25,5.202455474960952e-25,4.637661284635954e-27,5.422246708092198e-35,1.0708049433050859e-30,2.1528836958352028e-17,6.183604920861985e-28,1.0183526994945306e-22,1.9589692535163934e-28,6.461175816117113e-11,5.699883617455601e-28,1.554977384624649e-33,8.716959283082448e-40,6.580180899936999e-39,2.152883695834624e-17,2.6442358386380525e-36,1.0480613521369712e-31,1.796967292214609e-30
1.27116905056893e-17,0.0923809234774652,3.76,0.0,0.7631876129493889,0.999999999870775,3.7949092135228405e-37,2.4631940337348892e-27,1.3220558933853845e-15,1.626887736937354e-14,1.3220558933452189e-15,1.626887736728995e-14,2.2262479782954841e-29,3.0575605255149845e-28,2.1429443773170154e-24,2.0809874817712335e-24,1.8550692288733448e-26,4.337810235839147e-34,4.283447543990435e-30,4.3057746917836136e-17,2.4734482906113414e-27,2.036724231229593e-22,7.835896619848909e-28,1.2922372807028127e-10,2.2799592449690623e-27,6.219925438920366e-33,6.973588116284745e-39,2.6321713375154797e-38,4.305774691781299e-17,2.1153793895451985e-35,4.192260353768374e-31,7.187886978416985e-30
