Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68),CF2(42),OO[C](F)F(619),FC1(F)OO1(411),CF2O2(152),CHF3(41),O[C](F)F(237),CFO(50),H2O2(11)
0.0,0.13787195337673844,3.76,0.0,0.8719263235729233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2319730008363548e-23,0.13787195337673844,3.76,0.0,0.8719263235729233,0.9999999999999997,1.045161812598994e-53,3.367471131790756e-38,1.3311763278510542e-20,3.373372486589528e-19,1.3311763273700416e-20,3.3733724865895273e-19,4.719825465523902e-40,6.082965018404928e-39,4.810190835588162e-30,6.682879524147157e-35,8.544248758577042e-38,3.0691990105083066e-50,4.917597507575735e-40,3.2761769527615443e-21,3.4838702716716356e-38,2.857542146181707e-26,2.4060152900318604e-38,2.9154720377884843e-16,3.790810512822207e-38,2.288075811207541e-42,6.0777212626851404e-55,1.6714555982421265e-47,3.2761769527615443e-21,4.297859532557515e-52,9.583143040840877e-41,1.4486555722848419e-39,1.9759121166385945e-46,4.578922346624724e-57,1.488091376803639e-56,9.464166719500435e-39
3.4495244023417937e-23,0.13787195337673844,3.76,0.0,0.8719263235729233,0.9999999999999991,1.2408161039181222e-52,2.0339525636021417e-37,3.7272937179829493e-20,9.44544296245068e-19,3.7272937166361146e-20,9.445442962450676e-19,2.8507745811769935e-39,3.674110871116267e-38,1.3468750911538885e-29,4.03645923258488e-34,5.160726250180475e-37,3.6437530652754595e-49,2.970228894754716e-39,9.173295467732324e-21,2.1042576440898715e-37,8.001118009329371e-26,1.4532332351790384e-37,8.163321705806465e-16,2.2896495497446117e-37,1.3819977899693618e-41,7.215470683059797e-54,1.0095591814057076e-46,9.173295467732324e-21,5.1024383650744186e-51,5.788218396678159e-40,8.749879656599317e-39,1.1934509184856928e-45,5.436096609915078e-56,1.766662082541278e-55,5.71635669857826e-38
7.884627205352671e-23,0.13787195337673844,3.76,0.0,0.8719263235729233,0.9999999999999981,1.2182406087667282e-51,9.792606051255406e-37,8.519528498246737e-20,2.158958391417298e-18,8.519528495168257e-20,2.1589583914172962e-18,1.3725252453751867e-38,1.7689262273516893e-37,3.078673735100848e-29,1.943381365621987e-33,2.4846675389941167e-36,3.5774583666484716e-48,1.4300373554714827e-38,2.0967532497673884e-20,1.0131094750024173e-36,1.8288269735707076e-25,6.996692463409571e-37,1.8659021041837268e-15,1.1023676971286957e-36,6.65372445899163e-41,7.084191903785788e-53,4.860592880680776e-46,2.0967532497673884e-20,5.009612800804983e-50,2.7867779962919314e-39,4.212690404202625e-38,5.745952435714475e-45,5.337191887227418e-55,1.7345193088023142e-54,2.752179682030723e-37
1.6754832811374425e-22,0.13787195337673844,3.76,0.0,0.8719263235729233,0.999999999999996,1.0775200223194052e-50,4.276688337382414e-36,1.810399805877429e-19,4.5877865817617574e-18,1.8103998052232522e-19,4.5877865817617505e-18,5.994178341223998e-38,7.725365573369462e-37,6.542617538022023e-29,8.487256995666827e-33,1.0851195923391942e-35,3.164221411873622e-47,6.245348837395261e-38,4.4556006557557003e-20,4.424515245026136e-36,3.886257318879196e-25,3.0556394183372805e-36,3.9650419713878216e-15,4.814329351284181e-36,2.9058562802336786e-40,6.2658875129778486e-52,2.122748610784266e-45,4.4556006557557003e-20,4.430949188347453e-49,1.2170591662027088e-38,1.839792576799997e-37,2.5094083886733075e-44,4.720685782474866e-54,1.5341626858294637e-53,1.201949173376552e-36
3.4495244023417935e-22,0.13787195337673844,3.76,0.0,0.8719263235729233,0.9999999999999918,9.057205042131423e-50,1.7854331940827965e-35,3.7272937179829304e-19,9.445442962450681e-18,3.7272937166360963e-19,9.445442962450644e-18,2.502451461828552e-37,3.225188052753976e-36,1.3471891203973398e-28,3.543262723702765e-32,4.5301606917967356e-35,2.65971875532229e-46,2.6073102010133238e-37,9.173295467732324e-20,1.8471480180431445e-35,8.0011180096279645e-25,1.2756693067720286e-35,8.163321705787753e-15,2.0098877338983142e-35,1.2131377951023291e-39,5.266856002702694e-51,8.862057590992091e-45,9.173295467732324e-20,3.724481124427914e-48,5.080982440397088e-38,7.680771844238458e-37,1.0476286047277896e-43,3.9680208428208784e-53,1.2895561776759755e-52,5.017901194679102e-36
6.997606644750495e-22,0.13787195337673844,3.76,0.0,0.8719263235729233,0.9999999999999833,7.42564390684988e-49,7.294077170366178e-35,7.561081542193901e-19,1.916075572382852e-17,7.561081539461753e-19,1.916075572382838e-17,1.0223330751409258e-36,1.3175945548429262e-35,2.733598277631224e-28,1.4475384364483213e-31,1.8507184581021337e-34,2.1805981290519302e-45,1.0651712926447816e-36,1.8608685091685572e-19,7.546202363275703e-35,1.6230839391652669e-24,5.211525358796366e-35,1.6559881174554575e-14,8.211047203193244e-35,4.9560637301087504e-39,4.318086761052231e-50,3.620439691715554e-44,1.8608685091685572e-19,3.0535551848302337e-47,2.075747115339587e-37,3.1378459157785033e-36,4.279904685230221e-43,3.253223224656925e-52,1.0572560661613356e-51,2.049976368110649e-35
1.4093771129567898e-21,0.13787195337673844,3.76,0.0,0.8719263235729233,0.9999999999999666,6.013478958635854e-48,2.94838261454824e-34,1.522865719061571e-18,3.859138124658421e-17,1.5228657185112936e-18,3.859138124658362e-17,4.132433746742704e-36,5.325927855904334e-35,5.508634288273432e-28,5.851181801607587e-31,7.4808999120689564e-34,1.7659049007305403e-44,4.305592679951017e-36,3.747946433959207e-19,3.0502956486413617e-34,3.2690282157810737e-24,2.106581875136873e-34,3.335300011195607e-14,3.3190365628803187e-34,2.0033202003517725e-38,3.496898613059533e-49,1.463439612456416e-43,3.747946433959207e-19,2.472848369976685e-46,8.390501724119849e-37,1.268367488991863e-35,1.7300059052730462e-42,2.6345445128201853e-51,8.561933735919955e-51,8.286332242924976e-35
2.8286100099202704e-21,0.1378719533767384,3.76,0.0,0.8719263235729233,0.9999999999999329,4.840171026835508e-47,1.1855316818729173e-33,3.056380848745879e-18,7.745263229209559e-17,3.0563808476414788e-18,7.745263229209324e-17,1.6616334344835007e-35,2.1415321665651435e-34,1.1067577094255605e-27,2.3527344679937705e-30,3.0080369524474955e-33,1.421353894362084e-43,1.731259887035747e-35,7.5221022835405055e-19,1.2265104646391495e-33,6.560916769856155e-24,8.470473069007011e-34,6.693923798623045e-14,1.3345700042809968e-33,8.05526241639372e-38,2.814608227093935e-48,5.88442634312594e-43,7.522102283540505e-19,1.9903635843567222e-45,3.3737838409094376e-36,5.10004988836257e-35,6.956277670466701e-42,2.1205106240861932e-50,6.891389142068247e-50,3.3318977502668534e-34
5.667075803847232e-21,0.13787195337673844,3.76,0.0,0.8719263235729232,0.9999999999998658,3.883932425839401e-46,4.754512286482498e-33,6.123411108114283e-18,1.5517513438311832e-16,6.12341110590164e-18,1.551751343831089e-16,6.663893256174414e-35,8.588501811499377e-34,2.2220945845010947e-27,9.435517502863537e-30,1.2063573556705426e-32,1.1405469864838224e-42,6.943126528967932e-35,1.50704139827031e-18,4.918855533480947e-33,1.3144693881380188e-23,3.397038551773948e-33,1.3411171373266476e-13,5.352222618189687e-33,3.230520509393184e-37,2.2585458444080892e-47,2.3599181717291694e-42,1.5070413982703097e-18,1.5971414583697829e-44,1.353038216702353e-35,2.0453481105037557e-34,2.7897784840392093e-41,1.7015762306960906e-49,5.529905781980067e-49,1.3362400206261112e-33
