Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176)
0.0,0.19199333442683167,3.76,0.0,0.8173520981326746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7292456389386086e-23,0.19199333442683167,3.76,0.0,0.8173520981326746,0.9999999999999998,3.5086513569200845e-54,8.52868167065039e-39,2.119432661294013e-21,2.742425467652922e-20,2.119432661151358e-21,2.742425467652921e-20,3.895178121400463e-41,5.344283739280547e-40,1.4266216183765275e-31,7.501895096427495e-36,3.5872018554122583e-38,6.794795924149728e-51,3.1249468179863456e-45,7.416222116378493e-47,8.524833431079382e-39,3.27510270592111e-28,2.7347291363617698e-39,2.345207847650252e-16
1.0441887789028105e-22,0.19199333442683167,3.76,0.0,0.8173520981326746,0.9999999999999993,4.1654708909360336e-53,5.15132372907348e-38,5.934411451623235e-21,7.678791309428184e-20,5.9344114512238025e-21,7.678791309428179e-20,2.352687585327427e-40,3.227947378524945e-39,3.994783616440707e-31,4.5311446382422017e-35,2.1666699206689934e-37,8.066781721150548e-50,1.8874718407887068e-44,4.479625618048774e-46,5.148999392372298e-38,9.170287576667833e-28,1.6517763983621554e-38,6.56658197341841e-16
2.3867172089207096e-22,0.19199333442683167,3.76,0.0,0.8173520981326746,0.9999999999999984,4.089684021627572e-52,2.4801406298260975e-37,1.356436903228167e-20,1.7551522992978707e-19,1.3564369031368684e-20,1.7551522992978686e-19,1.1327177977055756e-39,1.5541177113820254e-38,9.13207995251479e-31,2.1815510940411067e-34,1.0431582995538685e-36,7.920014129188895e-49,9.087404787578598e-44,2.1569785810771125e-45,2.4790215617584105e-37,2.0960657318516154e-27,7.952592328534722e-38,1.500933022494554e-15
5.0717740689565085e-22,0.19199333442683167,3.76,0.0,0.8173520981326746,0.9999999999999968,3.617279202933471e-51,1.0831425721735946e-36,2.882428419359852e-20,3.729698636007975e-19,2.882428419165842e-20,3.7296986360079653e-19,4.9468762142025634e-39,6.78724034887846e-38,1.941056198444585e-30,9.52740677246282e-34,4.555746356373398e-36,7.005162805961337e-48,3.968743881079438e-43,9.422127714021239e-45,1.0826538457476248e-36,4.454139680363235e-27,3.4731060031739624e-37,3.1894826727963066e-15
1.0441887789028105e-21,0.19199333442683164,3.76,0.0,0.8173520981326746,0.9999999999999934,3.0405411274908892e-50,4.5219070217877906e-36,5.934411451623211e-20,7.678791309428185e-19,5.934411451223781e-20,7.678791309428144e-19,2.0652234399881033e-38,2.833539238559495e-37,3.998308348743953e-30,3.977504780125769e-33,1.901934423739427e-35,5.888261431133246e-47,1.6569020829094607e-42,3.935254029702373e-44,4.5198666851631776e-36,9.170287577954289e-27,1.4499533880940733e-36,6.566581973385116e-15
2.11821152291713e-21,0.19199333442683164,3.76,0.0,0.8173520981326746,0.9999999999999867,2.492819318079337e-49,1.8473465645971376e-35,1.2038377516149885e-19,1.5576976656268605e-18,1.2038377515339615e-19,1.5576976656268441e-18,8.437111618260947e-38,1.1575932350571528e-36,8.119035624995318e-30,1.6249404854665038e-32,7.770022706895871e-35,4.827552475014163e-46,6.769227843075387e-42,1.6090699024761065e-43,1.8465130205096568e-35,1.8602583375407654e-26,5.923532698483244e-36,1.3320780574503953e-14
4.266257010945769e-21,0.19199333442683167,3.76,0.0,0.8173520981326746,0.9999999999999731,2.0187497144939644e-48,7.467270179436958e-35,2.424630964520304e-19,3.1373347349949437e-18,2.424630964357111e-19,3.1373347349948782e-18,3.410415413986205e-37,4.679176939310487e-36,1.6385382080108557e-29,6.568269247886258e-32,3.140767410101422e-34,3.90947715701641e-45,2.736425935137152e-41,6.515357294161119e-43,7.463900860948727e-35,3.746717497939942e-26,2.3943866258488854e-35,2.6829177776506495e-14
8.562347987003046e-21,0.19199333442683167,3.76,0.0,0.8173520981326746,0.9999999999999462,1.6248653974935168e-47,3.0025564969297236e-34,4.866217390330865e-19,6.2966088737311105e-18,4.866217390003346e-19,6.296608873730846e-18,1.3713130384734059e-36,1.881476467508833e-35,3.3017642600777063e-29,2.641072176277162e-31,1.2628887620044395e-33,3.1466873327923566e-44,1.1004623036552255e-40,2.628835285854422e-42,3.0012017087728268e-34,7.519635822372313e-26,9.627723313448123e-35,5.3845972179571076e-14
1.71545299391176e-20,0.19199333442683164,3.76,0.0,0.8173520981326746,0.9999999999998921,1.303852151060835e-46,1.204159447910861e-33,9.749390241951693e-19,1.2615157151203447e-17,9.74939024129555e-19,1.2615157151202386e-17,5.4995786195184e-36,7.545562145466845e-35,6.668043408388205e-29,1.059188067527118e-30,5.064748776438442e-33,2.525018413119202e-43,4.4146090874967256e-40,1.0615304479392243e-41,1.2036161172562755e-33,1.5065472485773115e-25,3.861147659029671e-34,1.0787956098193818e-13
3.433889384334671e-20,0.19199333442683164,3.76,0.0,0.8173520981326746,0.9999999999997841,1.0446683704697687e-45,4.822918654137035e-33,1.9515735945192205e-18,2.5252253706148124e-17,1.95157359438789e-18,2.5252253706143874e-17,2.202700013178504e-35,3.022160602374442e-34,1.355990988171631e-28,4.2422769657315814e-30,2.0285412695069605e-32,2.0230874097255658e-42,1.769158045866262e-39,4.3097337335160223e-41,4.82074249744664e-33,3.0157145870718978e-25,1.546473027446557e-33,2.1594673857162424e-13
6.870762165180493e-20,0.19199333442683164,3.76,0.0,0.8173520981326746,0.9999999999995679,8.363698995211855e-45,1.9304243506612268e-32,3.904842735166861e-18,5.0526446816037464e-17,3.904842734904139e-18,5.052644681602048e-17,8.816540457778466e-35,1.2096518386296005e-33,2.798087553520022e-28,1.698016355575421e-29,8.119451609123668e-32,1.619700051534339e-41,7.089342120891689e-39,1.7715069408984236e-40,1.9295533208027053e-32,6.034049287318772e-25,6.18992233408511e-33,4.3208109369080366e-13
1.3744507726872137e-19,0.19199333442683164,3.76,0.0,0.8173520981326746,0.9999999999991356,6.693501095885315e-44,7.724211897854466e-32,7.811381016460291e-18,1.0107483303581616e-16,7.811381015934942e-18,1.0107483303574822e-16,3.527764593217266e-34,4.840182998177469e-33,5.937173766947319e-28,6.794277191018269e-29,3.248838251180068e-31,1.2962523011368508e-40,2.8431418909302864e-38,7.460378771187518e-40,7.720726643374786e-32,1.2070718780843327e-24,2.4767752077766913e-32,8.643498036883915e-13
2.749199885025543e-19,0.19199333442683167,3.76,0.0,0.8173520981326745,0.999999999998271,5.355817854911492e-43,3.090187730454602e-31,1.562445757903975e-17,2.0217160547537347e-16,1.5624457577989785e-17,2.021716054751016e-16,1.4113355535460004e-33,1.9363883723984527e-32,1.3234918524719405e-27,2.718153293160001e-28,1.2997468520998259e-30,1.0371987869524323e-39,1.1426280252107472e-37,3.282320564029559e-39,3.088793401335195e-31,2.4144058140015657e-24,9.908713605634295e-32,1.7288872227204846e-12
