Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138)
0.0,0.1645786305226181,3.76,0.0,0.6317364859580353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.963828830479956e-17,0.1645786305226181,3.76,0.0,0.6317364859580351,0.9999999999999999,0.0,0.0,3.807553313783431e-17,1.164055573255404e-16,3.807553313783431e-17,1.1640555732553734e-16,2.0074630165076568e-31,2.8364722531186884e-30
1.6698720725343878e-16,0.1645786305226181,3.76,0.0,0.6317364859580349,0.9999999999999999,0.0,0.0,1.0661149278593603e-16,3.25935560511513e-16,1.0661149278593603e-16,3.2593556051149464e-16,1.2125108681355541e-30,1.7132289202671478e-29
3.816850451507172e-16,0.1645786305226181,3.76,0.0,0.6317364859580343,0.9999999999999998,0.0,0.0,2.4368341208213937e-16,7.449955668834578e-16,2.4368341208213937e-16,7.449955668833693e-16,5.8377505444602984e-30,8.248456502822838e-29
8.110807209452741e-16,0.16457863052261817,3.76,0.0,0.6317364859580332,0.9999999999999996,0.0,0.0,5.178272506745453e-16,1.583115579627345e-15,5.178272506745453e-16,1.5831155796269591e-15,2.5495277264656134e-29,3.602314791909916e-28
1.6698720725343877e-15,0.16457863052261817,3.76,0.0,0.631736485958031,0.999999999999999,0.0,0.0,1.0661149278593551e-15,3.2593556051151115e-15,1.0661149278593551e-15,3.259355605113501e-15,1.0644016172365452e-28,1.503893116014455e-27
3.3874547757126153e-15,0.16457863052261826,3.76,0.0,0.6317364859580266,0.9999999999999979,0.0,0.0,2.162690282228965e-15,6.611835656090614e-15,2.162690282228965e-15,6.611835656084036e-15,4.348623870300997e-28,6.1438744913371854e-27
6.82262018206907e-15,0.1645786305226185,3.76,0.0,0.6317364859580177,0.9999999999999957,0.0,0.0,4.355840990968145e-15,1.331679575804149e-14,4.355840990968145e-15,1.3316795758014899e-14,1.7579417205353984e-27,2.4834364591331846e-26
1.369295099478198e-14,0.16457863052261892,3.76,0.0,0.6317364859579999,0.9999999999999912,0.0,0.0,8.742142408446351e-15,2.6726715961942735e-14,8.742142408446351e-15,2.672671596183581e-14,7.069880359048038e-27,9.985661374866244e-26
2.7433612620207798e-14,0.16457863052261973,3.76,0.0,0.6317364859579643,0.9999999999999825,0.0,0.0,1.7514745243402155e-14,5.354655636974319e-14,1.7514745243402155e-14,5.354655636931437e-14,2.836360074113003e-26,4.0045946467265556e-25
5.491493587105943e-14,0.16457863052262134,3.76,0.0,0.6317364859578931,0.9999999999999649,0.0,0.0,3.505995091331129e-14,1.0718623718533599e-13,3.505995091331129e-14,1.0718623718361844e-13,1.1368419487176658e-25,1.6038447960038451e-24
1.098775823727627e-13,0.1645786305226246,3.76,0.0,0.6317364859577508,0.9999999999999298,0.0,0.0,7.015036225311976e-14,2.14465598816489e-13,7.015036225311976e-14,2.1446559880961443e-13,4.556881672843562e-25,6.418903805850583e-24
2.1980287537616925e-13,0.1645786305226312,3.76,0.0,0.631736485957466,0.9999999999998597,0.0,0.0,1.403311849326973e-13,4.2902432207866475e-13,1.403311849326973e-13,4.290243220511575e-13,1.8285873844851548e-24,2.5678735078006908e-23
4.396534613829824e-13,0.16457863052264426,3.76,0.0,0.6317364859568966,0.9999999999997193,0.0,0.0,2.8069283029169506e-13,8.581417686024956e-13,2.8069283029169506e-13,8.581417684924485e-13,7.357452333199497e-24,1.0268974920332691e-22
8.793546333966085e-13,0.16457863052267047,3.76,0.0,0.6317364859557576,0.9999999999994386,0.0,0.0,5.614161210090608e-13,1.7163766616480741e-12,5.614161210090608e-13,1.7163766612078493e-12,2.9767145553880005e-23,4.10457486479725e-22
1e-12,0.16457863052272287,3.76,0.0,0.6317364859554451,0.9999999999993615,0.0,0.0,6.384410790446642e-13,1.951859461997751e-12,6.384410790446642e-13,1.951859461376333e-12,4.238587178240598e-23,5.790320811101882e-22
1.7587569774238609e-12,0.16457863052272287,3.76,0.0,0.6317364859534796,0.9999999999988771,0.0,0.0,1.122862702441274e-12,3.432846447730898e-12,1.122862702441274e-12,3.432846445969928e-12,1.217469516286867e-22,1.6392232305369508e-21
3.517561665478366e-12,0.16457863052282767,3.76,0.0,0.6317364859489238,0.9999999999977542,0.0,0.0,2.245755865295627e-12,6.865786019863214e-12,2.245755865295627e-12,6.865786012819191e-12,5.082890404545478e-22,6.5357349964613504e-21
7.035171041587376e-12,0.16457863052303723,3.76,0.0,0.6317364859398121,0.9999999999955085,0.0,0.0,4.491542190964037e-12,1.3731665163994518e-11,4.491542190964037e-12,1.3731665135818136e-11,2.2019682162624525e-21,2.5974414531576273e-20
1e-11,0.1645786305234564,3.76,0.0,0.6317364859321324,0.9999999999936157,0.0,0.0,6.384410790227034e-12,1.951859461925088e-11,6.384410790227034e-12,1.9518594555451416e-11,5.5447794019045895e-21,5.825468407302662e-20
1.4070389793805395e-11,0.1645786305234564,3.76,0.0,0.6317364859215888,0.999999999991017,0.0,0.0,8.983114842139672e-12,2.746342345172381e-11,8.983114842139672e-12,2.7463423339017706e-11,1.013409795063505e-20,1.0257200609255887e-19
2.8140827298241435e-11,0.16457863052429467,3.76,0.0,0.6317364858851422,0.9999999999820338,0.0,0.0,1.7966260143846195e-11,5.4926940025049106e-11,1.7966260143846195e-11,5.4926939574223535e-11,5.077471610469225e-20,4.000508449658144e-19
5.628170230711351e-11,0.1645786305259713,3.76,0.0,0.6317364858122488,0.9999999999640675,0.0,0.0,3.593255074468007e-11,1.0985397316316636e-10,3.593255074468007e-11,1.0985397135986184e-10,2.795147591566069e-19,1.5237897652554674e-18
9.999999999999999e-11,0.1645786305293245,3.76,0.0,0.6317364856990053,0.999999999936156,0.0,0.0,6.384410788179795e-11,1.951859461247755e-10,6.384410788179795e-11,1.9518594011917792e-10,1.3470360759680016e-18,4.658561518552222e-18
1.1256345232485766e-10,0.1645786305293245,3.76,0.0,0.6317364856664622,0.9999999999281349,0.0,0.0,7.186513193603003e-11,2.197080394052661e-10,7.186513193603003e-11,2.1970803219204354e-10,1.6538127319060826e-18,5.559409848661435e-18
2.2512695236034596e-10,0.16457863053603095,3.76,0.0,0.6317364853748889,0.9999999998562698,0.0,0.0,1.4373029427744944e-10,4.394161717529147e-10,1.4373029427744944e-10,4.3941614290001606e-10,9.984603513346256e-18,1.8868295156020726e-17
4.5025395243132255e-10,0.16457863054944377,3.76,0.0,0.6317364847917423,0.9999999997125394,0.0,0.0,2.8746061879509163e-10,8.788324359019134e-10,2.8746061879509163e-10,8.78832320490307e-10,5.78194692335674e-17,5.759213718817183e-17
