Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68),CF2(42),OO[C](F)F(619)
0.0,0.2874476744041555,3.76,0.0,0.8684917969959032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.436969771269618e-23,0.2874476744041555,3.76,0.0,0.8684917969959032,0.9999999999999997,4.298548252918985e-54,1.1234560751202101e-38,3.267027829697669e-21,5.123972493675658e-20,3.2670278293043963e-21,5.123972493675658e-20,4.2711081411844107e-41,5.793577103074662e-40,3.93283947655071e-31,1.2335499613621062e-35,2.866176742925178e-38,1.304204984151869e-50,1.2848905487139064e-44,3.764818704834969e-22,1.1224917993522145e-38,9.044181582867722e-28,4.349647445812009e-39,2.645751211420173e-16,1.1464612450891833e-38,9.062826811143876e-44,1.0345668028120702e-55,7.457460162076244e-49,3.764818704834969e-22,2.535889361306048e-52
1.242351535955493e-22,0.2874476744041555,3.76,0.0,0.8684917969959032,0.9999999999999993,5.103236485866203e-53,6.785674693727058e-38,9.14767792315347e-21,1.4347122982291843e-19,9.147677922052309e-21,1.4347122982291838e-19,2.579749317276397e-40,3.499320570256665e-39,1.1012350251260906e-30,7.450641766627109e-35,1.7311707527267827e-37,1.5483521571850968e-49,7.76074652035586e-44,1.0541492373537912e-21,6.779850468087878e-38,2.5323708432542284e-27,2.627187057269945e-38,7.408103391974185e-16,6.924625920338664e-38,5.473947393930989e-43,1.2282377082984888e-54,4.504305938183877e-48,1.0541492373537912e-21,3.010608638479983e-51
2.8396606536125554e-22,0.2874476744041555,3.76,0.0,0.8684917969959032,0.9999999999999983,5.0103878436046276e-52,3.267010266451054e-37,2.090897811006506e-20,3.279342395952421e-19,2.090897810754812e-20,3.279342395952418e-19,1.2420382474579462e-39,1.6847722215734632e-38,2.517297066835697e-30,3.587163287640987e-34,8.334841968426047e-37,1.5201813295274117e-48,3.7364731248458374e-43,2.40948397109438e-21,3.2642061525169952e-37,5.7882762133942096e-27,1.264877477241369e-37,1.6932807753072996e-15,3.333909300719339e-37,2.635470036680768e-42,1.205891065357747e-53,2.1686294155582296e-47,2.40948397109438e-21,2.955833759154087e-50
6.03427888892668e-22,0.2874476744041555,3.76,0.0,0.8684917969959032,0.9999999999999964,4.431631306833941e-51,1.4267892154041999e-36,4.443157848388819e-20,6.968602591398895e-19,4.44315784785397e-20,6.968602591398879e-19,5.424307339319903e-39,7.357842920898118e-38,5.35006069732518e-30,1.566608450929856e-33,3.6400444635145946e-36,1.3445831704611957e-47,1.631822786358652e-42,5.120153438575558e-21,1.4255645851780922e-36,1.2300086954494444e-26,5.524052256173364e-37,3.598221647523378e-15,1.456005781263256e-36,1.1509790050154047e-41,1.066596991027127e-52,9.47097441020492e-47,5.120153438575558e-21,2.614401622643077e-49
1.2423515359554931e-21,0.2874476744041555,3.76,0.0,0.8684917969959032,0.9999999999999927,3.7250531392157237e-50,5.956564110301152e-36,9.14767792315343e-20,1.4347122982291842e-18,9.14767792205227e-20,1.4347122982291777e-18,2.2645415364701065e-38,3.0717545800441553e-37,1.1018146146585224e-29,6.540281895141717e-33,1.5196469090985858e-35,1.1302031719862357e-46,6.812595794709054e-42,1.0541492373537913e-20,5.951451520172462e-36,2.5323708439976005e-26,2.3061830757624288e-36,7.408103391940805e-15,6.07853752146279e-36,4.805110775269672e-41,8.965390382480865e-52,3.953945381847543e-46,1.0541492373537913e-20,2.197562146307698e-48
2.5201988300811434e-21,0.2874476744041555,3.76,0.0,0.8684917969959032,0.999999999999985,3.054023621767303e-49,2.4334507969650616e-35,1.855671807268257e-19,2.9104163764077734e-18,1.8556718070448793e-19,2.910416376407747e-18,9.251391078250731e-38,1.2549119748292779e-36,2.236454979822963e-29,2.671918558308632e-32,6.208253472242745e-35,9.266088443938062e-46,2.783214160065243e-41,2.138417024346262e-20,2.4313621370748135e-35,5.1370951424063473e-26,9.421510353466537e-36,1.5027866880716727e-14,2.483280915312923e-35,1.963044538602013e-40,7.350368701629553e-51,1.615315704253979e-45,2.138417024346262e-20,1.8016942378967385e-47
5.075893418332444e-21,0.2874476744041555,3.76,0.0,0.8684917969959032,0.9999999999999698,2.473227509828091e-48,9.836397196689574e-35,3.737479837174054e-19,5.861824532764953e-18,3.737479836724155e-19,5.861824532764844e-18,3.7395601908961515e-37,5.0725548454008126e-36,4.50982881140157e-29,1.0800322015705508e-31,2.50947531491226e-34,7.503918661466881e-45,1.1250572474417763e-40,4.306952598331204e-20,9.827954499441206e-35,1.0346543744473582e-25,3.808325121836367e-35,3.0267393858032845e-14,1.0037818502153023e-34,7.934939888851658e-40,5.95251914575731e-50,6.529364357165521e-45,4.306952598331204e-20,1.459058710645306e-46
1.0187282594835045e-20,0.2874476744041555,3.76,0.0,0.8684917969959032,0.9999999999999393,1.9906686658586018e-47,3.9551720507816335e-34,7.50109589698553e-19,1.1764640845479312e-17,7.501095896082592e-19,1.1764640845478878e-17,1.5036607056163688e-36,2.0396519934117793e-35,9.072948879557684e-29,4.3427619809727895e-31,1.0090489870518393e-33,6.039806564917256e-44,4.524107961551273e-40,8.644023746301087e-20,3.951777279331092e-34,2.0765440969607012e-25,1.5313107818477946e-34,6.074644781172218e-14,4.036162671785933e-34,3.190604430177142e-39,4.791105265967126e-49,2.625428701934364e-44,8.644023746301087e-20,1.1743773827034566e-45
2.0410060947840247e-20,0.2874476744041555,3.76,0.0,0.8684917969959032,0.9999999999998783,1.5973862364476184e-46,1.5862008917885478e-33,1.5028328016607997e-18,2.3570273470908028e-17,1.5028328014799006e-18,2.3570273470906284e-17,6.030351958532485e-36,8.17991675009408e-35,1.8264678635865493e-28,1.7416417891466174e-30,4.046737746259963e-33,4.846564394613895e-43,1.8146120714513855e-39,1.7318166042240856e-19,1.5848394365865312e-33,4.160323550386972e-25,6.14124113053424e-34,1.2170455571532924e-13,1.6186817531736733e-33,1.2795750797747096e-38,3.844560242668055e-48,1.0529143435522142e-43,1.7318166042240856e-19,9.423638811606396e-45
