Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68),CF2(42),OO[C](F)F(619)
4.0855617653850645e-20,0.2874476744041555,3.76,0.0,0.8684917969959032,0.9999999999997564,1.2798528385997193e-45,6.353077147326625e-33,3.0082792255851002e-18,4.718153872176546e-17,3.008279225223e-18,4.718153872175848e-17,2.415286198551478e-35,3.2762333218489023e-34,3.6910096628463296e-28,6.975651511918815e-30,1.6208058656982476e-32,3.883149269812591e-42,7.269855247771426e-39,3.4666450634120393e-19,6.347624225081894e-33,8.327882490837852e-25,2.459699706448578e-33,2.43620771507457e-13,6.483170011886928e-33,5.124974547297349e-38,3.0803266156252404e-47,4.217149417618741e-43,3.4666450634120393e-19,7.550378459969261e-44
8.174673106587145e-20,0.2874476744041555,3.76,0.0,0.8684917969959032,0.9999999999995126,1.0246604762731834e-44,2.5428865188199325e-32,6.01917207343293e-18,9.440406922348032e-17,6.019172072708463e-18,9.440406922345236e-17,9.667439213767675e-35,1.311347139695979e-33,7.5248766533586465e-28,2.792078512014097e-29,6.487447404732189e-32,3.108880536844252e-41,2.911391286996215e-38,6.936301981787946e-19,2.5407039287501947e-32,1.6663000506132962e-24,9.845208987187257e-33,4.874532030313672e-13,2.5949575676200027e-32,2.0513254258491214e-37,2.46613426295295e-46,1.6879588450252544e-42,6.936301981787946e-19,6.044893463488085e-43
1.6352895788991307e-19,0.2874476744041555,3.76,0.0,0.8684917969959031,0.9999999999990249,8.200397963770787e-44,1.0174858339974935e-31,1.2040957769125501e-17,1.8884913022691003e-16,1.2040957767676446e-17,1.8884913022679824e-16,3.868234929435669e-34,5.247096666826733e-33,1.561174420235335e-27,1.1171950898716573e-28,2.5958239910093317e-31,2.488049281733216e-40,1.1661798332566825e-37,1.3875615818539759e-18,1.016612513594614e-31,3.33332370742966e-24,3.939365991899337e-32,9.751180658378051e-13,1.038321035923263e-31,8.207973678638521e-37,1.9736569189089636e-45,6.754034505436217e-42,1.3875615818539759e-18,4.837751521986753e-42
3.2709341153799626e-19,0.2874476744041555,3.76,0.0,0.8684917969959028,0.9999999999980496,6.561564300129118e-43,4.070605884270157e-31,2.4084529160498295e-17,3.777392522337694e-16,2.4084529157600642e-17,3.77739252233322e-16,1.5475458574318265e-33,2.0991803365809052e-32,3.346201357221545e-27,4.469507833224923e-28,1.0384986262787245e-30,1.990817447056758e-39,4.675433061473179e-37,2.775424349204337e-18,4.067112033350739e-31,6.667371236091755e-24,1.5760029122020284e-31,1.950447790485154e-12,4.153960257742088e-31,3.283723942714936e-36,1.579225402617102e-44,2.7020539642466123e-41,2.775424349204337e-18,3.870935575474015e-41
6.542223188341626e-19,0.2874476744041555,3.76,0.0,0.8684917969959024,0.9999999999960989,5.2497498673286956e-42,1.628374873577795e-30,4.8171671943194477e-17,7.555194962474879e-16,4.8171671937401963e-17,7.555194962456981e-16,6.190687244875977e-33,8.397404731294913e-32,7.586868939936978e-27,1.7879486383898957e-27,4.1543325887472914e-30,1.5928051824598801e-38,1.8782895679504753e-36,5.55114988390506e-18,1.6269772189588038e-30,1.3335467153533402e-23,6.304524712232682e-31,3.9011072359177406e-12,1.6617193355335318e-30,1.313596479017355e-35,1.2635002819017603e-43,1.0809098438672738e-40,5.55114988390506e-18,3.097041435509101e-40
1.3084801334264954e-18,0.2874476744041556,3.76,0.0,0.8684917969959016,0.9999999999921976,4.199999279141075e-41,6.513764549700989e-30,9.63459575083892e-17,1.5110799842749235e-15,9.634595749681627e-17,1.5110799842677646e-15,2.47637567093285e-32,3.3590985716626806e-31,1.8750658940291354e-26,7.152085574044836e-27,1.661800654478204e-29,1.2743046391118477e-37,7.577179664337846e-36,1.1102600953306501e-17,6.508173699662119e-30,2.667166242888655e-23,2.5219124980340448e-30,7.802426111334468e-12,6.647147816610712e-30,5.254599728078559e-35,1.0108482120036922e-42,4.323817653990117e-40,1.11026009533065e-17,2.4777490656477494e-39
2.6169957626111612e-18,0.2874476744041556,3.76,0.0,0.8684917969959,0.9999999999843948,3.3600791855367446e-40,2.605558836872717e-29,1.9269452863798824e-16,3.0222009603297915e-15,1.926945286148917e-16,3.0222009603011543e-15,9.905704284204017e-32,1.3436667628077595e-30,5.180805828030586e-26,2.860892434690033e-26,6.647337857040747e-29,1.0194679091728949e-36,3.081907101321558e-35,2.2205503092109357e-17,2.6033224481018934e-29,5.334406674147231e-23,1.008785519649067e-29,1.5605063800374153e-11,2.6589132224809637e-29,2.1018826548214138e-34,8.08697764702296e-42,1.7295641226622752e-39,2.220550309210936e-17,1.9822435741258652e-38
5.234027020980493e-18,0.28744767440415575,3.76,0.0,0.8684917969958967,0.9999999999687893,2.6880952633175515e-39,1.042234142218448e-28,3.8539167089402443e-16,6.044442912439512e-15,3.853916708480294e-16,6.044442912324962e-15,3.962322074870871e-31,5.374721702619736e-30,1.6084213431445135e-25,1.1443686149451442e-25,2.6589621898920547e-28,8.155840065883848e-36,1.273554652527452e-34,4.441130736971499e-17,1.0413395750054747e-28,1.0668893041416202e-22,4.035183099367606e-29,3.121033893127842e-11,1.0635761082386915e-28,8.407616150641977e-34,6.469658898942492e-41,6.918341851292765e-39,4.441130736971499e-17,1.585809313738406e-37
1.0468089537719155e-17,0.2874476744041561,3.76,0.0,0.8684917969958903,0.9999999999375784,2.1504889920107656e-38,4.168957815719144e-28,7.707859553934495e-16,1.208892681665889e-14,7.70785955302253e-16,1.208892681620069e-14,1.584936934810853e-30,2.1498995974676314e-29,5.505873957743577e-25,4.5774977416312e-25,1.0635902846035785e-27,6.524710769445308e-35,5.420480351983121e-34,8.882291592492593e-17,4.165379507829821e-28,2.133788779496169e-22,1.6140814275659046e-28,6.242088820438661e-11,4.2543260714050205e-28,3.363063569336238e-33,5.175757831731227e-40,2.7673628030163044e-38,8.882291592492593e-17,1.2686479937342982e-36
2.093621457119648e-17,0.2874476744041567,3.76,0.0,0.8684917969958773,0.9999999998751565,1.7203963306744468e-37,1.6675874011160475e-27,1.54157452434171e-15,2.4177894625097384e-14,1.541574524162492e-15,2.4177894623264582e-14,6.339764209714489e-30,8.59962011150532e-29,2.016786356061821e-24,1.831003752719961e-24,4.25437194939214e-27,5.219784101470411e-34,2.429186982718979e-33,1.7764613303534644e-16,1.6661560576503732e-27,4.267596537808505e-22,6.456341954962343e-28,1.248419827958018e-10,1.70173475615076e-27,1.3452288517436414e-32,4.1406185502049654e-39,1.1069575259588825e-37,1.7764613303534644e-16,1.0149102297203951e-35
4.187246463815113e-17,0.2874476744041579,3.76,0.0,0.8684917969958514,0.9999999997503128,1.3763191585792877e-36,6.670358357730633e-27,3.083151662035873e-15,4.8355830241973346e-14,3.083151661690139e-15,4.835583023464215e-14,2.535909186551739e-29,3.4398522999312834e-28,7.696018024516876e-24,7.324024320521124e-24,1.7017509368830174e-26,4.175833474219817e-33,1.180467755227794e-32,3.552925672561821e-16,6.664632843228426e-27,8.535247284847914e-22,2.5825399261479167e-27,2.4968415615942956e-10,6.806947678902747e-27,5.380922272485622e-32,3.3124997536971046e-38,4.427912451316542e-37,3.552925672561821e-16,8.119115063724275e-35
8.374496477206044e-17,0.28744767440416047,3.76,0.0,0.8684917969957996,0.9999999995006256,1.1010562272166833e-35,2.668145256628539e-26,6.1663059366147704e-15,9.671170147572121e-14,6.166305935974104e-15,9.671170144639638e-14,1.014364542008736e-28,1.3759416998367018e-27,3.004181634022371e-23,2.929611588134506e-23,6.807008021212323e-26,3.340669254463292e-32,6.392208877972559e-32,7.105854356978322e-16,2.665854942684048e-26,1.7070689700599847e-21,1.0330165154678075e-26,4.993684396098903e-10,2.722780801712059e-26,2.1523702960853425e-31,2.6500017677276725e-37,1.7712274803994217e-36,7.105854356978319e-16,6.495010776586392e-34
1.6748996503987903e-16,0.2874476744041654,3.76,0.0,0.868491796995696,0.9999999990012509,8.808454422957041e-35,1.0672586156674043e-25,1.2332614482534838e-14,1.934234439432006e-13,1.2332614481456727e-14,1.9342344382590126e-13,4.057461237647026e-28,5.5037677894587675e-27,1.1868275278503394e-22,1.1718450056365302e-22,2.722804030761644e-25,2.6725363901947855e-31,3.8931526412222767e-31,1.4211711725810471e-15,1.0663424044482984e-25,3.414213821890966e-21,4.132066481294546e-26,9.98736753403762e-10,1.0891126661471577e-25,8.609484070429283e-31,2.1200021990586185e-36,7.085403164351028e-36,1.4211711725810456e-15,5.195552859066396e-33
2.5123496530769765e-16,0.2874476744041704,3.76,0.0,0.8684917969955924,0.9999999985018768,2.518667896246759e-34,2.267925025428803e-25,1.8498923025217184e-14,2.901351864106636e-13,1.8498923023854045e-14,2.9013518616140257e-13,8.622108549817426e-28,1.1695506530085747e-26,2.512730289304777e-22,2.4901708665542196e-22,5.785959042519532e-25,7.641784460915682e-31,1.0235594222786018e-30,2.1317569094641768e-15,2.2659779510481984e-25,5.1214150424138735e-21,8.780640780085298e-26,1.4981048140907119e-09,2.314364630735764e-25,1.8295155612000705e-30,6.061881862903803e-36,1.5057311679792533e-35,2.1317569094641732e-15,1.485528447316044e-32
3.3497996557551626e-16,0.28744767440417535,3.76,0.0,0.8684917969954888,0.9999999980025028,5.312600743928495e-34,3.868813868873247e-25,2.466523156466181e-14,3.868469288781103e-13,2.466523156316606e-14,3.8684692845290013e-13,1.470830764612059e-27,1.9951157422787758e-26,4.278126446637922e-22,4.247938740054529e-22,9.870165808737832e-25,1.6118737457224018e-30,2.054347190565432e-30,2.8423426463472213e-15,3.865492191983243e-25,6.828672631640043e-21,1.497873882468359e-25,1.997472621670868e-09,3.9480339733380853e-25,3.120938505135671e-30,1.2786265145033265e-35,2.5687382644796695e-35,2.842342646347215e-15,3.133266235241258e-32
5.024699661111534e-16,0.28744767440418534,3.76,0.0,0.8684917969952817,0.9999999970037555,1.4510362979813163e-33,8.009889457290618e-25,3.699784863595234e-14,5.802704138129653e-13,3.699784863454907e-14,5.802704129326217e-13,3.0451698340558068e-27,4.130633311776022e-26,8.840382849816363e-22,8.794817980924994e-22,2.0434925205792452e-24,4.4025273376426075e-30,5.3186124008559385e-30,4.2635141201131106e-15,8.003011666428876e-25,1.0243320104022891e-20,3.1011570453843858e-25,2.9962076428054295e-09,8.173903237404395e-25,6.461507216093294e-30,3.492325751206096e-35,5.318775250373266e-35,4.2635141201130964e-15,8.55726898885207e-32
6.699599666467907e-16,0.2874476744041952,3.76,0.0,0.8684917969950745,0.9999999960050091,3.0360537502568582e-33,1.3622726622258298e-24,4.9330465695336625e-14,7.736938987477604e-13,4.9330465694586323e-14,7.736938972505263e-13,5.179038731415743e-27,7.025124575650937e-26,1.5018813207932077e-21,1.4957682218833884e-21,3.475445582948316e-24,9.211560090936312e-30,1.076958077910132e-29,5.684685593878687e-15,1.3611028199956084e-24,1.3658174864325973e-20,5.27425486646676e-25,3.994941733177105e-09,1.3901668859683037e-24,1.0989331944547435e-29,7.307113862843126e-35,9.046740237287834e-35,5.684685593878662e-15,1.79034570325347e-31
8.374499671824279e-16,0.28744767440420527,3.76,0.0,0.8684917969948673,0.9999999950062637,5.5270206069809956e-33,2.0812451952167406e-24,6.166308274196426e-14,9.671173836824907e-13,6.166308274246743e-14,9.671173813950558e-13,7.912404653387566e-27,1.073280160711671e-25,2.2928858510153125e-21,2.2851958943387353e-21,5.309695543284505e-24,1.676929346696953e-29,1.9149596847222544e-29,7.105857067643928e-15,2.0794577683892316e-24,1.7073251718905037e-20,8.057868000236348e-25,4.993674826303686e-09,2.123860914740093e-24,1.6789216781272785e-29,1.3302321827565909e-34,1.382277982060767e-34,7.105857067643889e-15,3.2590314230625624e-31
1.1724299682537024e-15,0.2874476744042251,3.76,0.0,0.868491796994453,0.999999993008776,1.4592969532302678e-32,4.00216232185808e-24,8.632831679614827e-14,1.3539643535517545e-12,8.632831680099767e-14,1.3539643491530978e-12,1.521528977926593e-26,2.0638790316719097e-25,4.405256388310752e-21,4.394350705401217e-21,1.0210355981173651e-23,4.427588128225633e-29,4.885311870288794e-29,9.948200015173388e-15,3.998724395082728e-24,2.3904085662076162e-20,1.5494986569953e-24,6.991137958186246e-09,4.0841092692571996e-24,3.2285070795762093e-29,3.5122053561868255e-34,2.658686786980779e-34,9.948200015173304e-15,8.603184903365914e-31
1.842389970396251e-15,0.2874476744042649,3.76,0.0,0.8684917969936243,0.9999999890138124,5.642874340441111e-32,9.764072098175695e-24,1.3565878474918758e-13,2.127658293289498e-12,1.3565878477004158e-13,2.127658282558109e-12,3.712078277671265e-26,5.035236133064309e-25,1.07384683192768e-20,1.0720884648232737e-20,2.491017400942439e-23,1.712078173917494e-28,1.823748750853977e-28,1.563288591022824e-14,9.755680562163105e-24,3.756845784582175e-20,3.780303179015975e-24,1.0986052079225691e-08,9.963989575974337e-24,7.876580385817407e-29,1.3581141672430335e-33,6.489561228120228e-34,1.563288591022801e-14,3.3252810879124154e-30
2.5123499725388e-15,0.2874476744043047,3.76,0.0,0.8684917969927957,0.9999999850188651,1.4004215690731074e-31,1.808828771058313e-23,1.8498925249494447e-13,2.9013522330261953e-12,1.8498925254156082e-13,2.9013522131459336e-12,6.876764868211388e-26,9.327939062257752e-25,1.9885391796605473e-20,1.9860801127086724e-20,4.614693611212135e-23,4.248951175591722e-28,4.455824327683512e-28,2.13175718052777e-14,1.807273522561744e-23,5.1236438863571375e-20,7.00313224840672e-24,1.498094999608908e-08,1.8458627525232168e-23,1.45916331202896e-28,3.3705007745881125e-33,1.2027484209355137e-33,2.1317571805277208e-14,8.249668060465876e-30
3.8522699768238975e-15,0.28744767440438435,3.76,0.0,0.8684917969911382,0.9999999770290192,5.086354427573504e-31,4.24213498824835e-23,2.8365018736480264e-13,4.448740112496452e-12,2.8365018749220824e-13,4.448740065872574e-12,1.6127699939701262e-25,2.187617465069123e-24,4.661782923165652e-20,4.6578237730462673e-20,1.0822537498152774e-22,1.5432238797854671e-27,1.5917401843108577e-27,3.268694359536052e-14,4.2384840734107644e-23,7.858322416818206e-20,1.6423951691588183e-23,2.2970697232275463e-08,4.32898122050093e-23,3.4220811564735145e-28,1.2241697113573794e-32,2.823423951333411e-33,3.26869435953591e-14,2.9937866343384806e-29
6.532109985394092e-15,0.2874476744045435,3.76,0.0,0.8684917969878234,0.9999999610495218,2.541744523124086e-30,1.2182567679926744e-22,4.809720546179652e-13,7.543515871424413e-12,4.809720550240047e-13,7.543515737530384e-12,4.631582006061305e-25,6.282361461281457e-24,1.3383649880722795e-19,1.3376295771765353e-19,3.108005494112243e-22,7.711747958607164e-27,7.851073375908435e-27,5.542568717546253e-14,1.2172062065715628e-22,1.3332008732110668e-19,4.716593685409991e-23,3.894999731991908e-08,1.2431929034246656e-22,9.82750672329507e-28,6.117381024434022e-32,8.124394581991957e-33,5.542568717545684e-14,1.4933226287658703e-28
1.1891790002534484e-14,0.287447674404862,3.76,0.0,0.8684917969811937,0.9999999290913045,1.5756692406070225e-29,4.0358653391001234e-22,8.756157791784715e-13,1.3733067389230133e-11,8.75615780609986e-13,1.3733066945666514e-11,1.5343783557732287e-24,2.081205643680332e-23,4.432866144780842e-19,4.431293775179768e-19,1.0296181467175737e-21,4.780607831825026e-26,4.8267592793227785e-26,1.0090317433541799e-13,4.03237082580637e-22,2.4296698229510567e-19,1.5624964531415053e-22,7.090781998763361e-08,4.118444554494455e-22,3.255655993972474e-27,3.792240243648374e-31,2.702360530459862e-32,1.0090317433538813e-13,9.222535497365786e-28
2.2611150036815267e-14,0.2874476744054988,3.76,0.0,0.8684917969679343,0.9999998651779799,1.1040701369532575e-28,1.4589286411500158e-21,1.6649031885180418e-12,2.611217042464074e-11,1.664903193873282e-12,2.6112168821221932e-11,5.546773847988846e-24,7.523167993644467e-23,1.6022367956262295e-18,1.6018489382164865e-18,3.7219168000943355e-21,3.349723246003873e-25,3.366400305409211e-25,1.918581486543821e-13,1.4576550665920002e-21,4.629534579906219e-19,5.64809226705072e-22,1.3482035543907343e-07,1.4887585956005412e-21,1.1768754167428916e-26,2.6571843798622306e-30,9.8481105951884e-32,1.91858148654194e-13,6.4135332306328214e-27
4.404987010537683e-14,0.2874476744067725,3.76,0.0,0.8684917969414157,0.9999997373637687,8.25621262376754e-28,5.536992859469773e-21,3.2434778480856353e-12,5.087037649465867e-11,3.2434778687790357e-12,5.0870370409468305e-11,2.1052399413216113e-23,2.8550738361700797e-22,6.0803336189751725e-18,6.079231269656178e-18,1.4125137396444654e-20,2.504848583359512e-24,2.511168663004765e-24,3.7376809728890216e-13,5.532080671725585e-21,9.056972485597038e-19,2.143444827519283e-21,2.626329879423297e-07,5.65003940652482e-21,4.4664197648754256e-26,1.9869837766364867e-29,3.7979302243657836e-31,3.737680972875791e-13,4.7246141046008906e-26
6.54885901739384e-14,0.2874476744080462,3.76,0.0,0.868491796914897,0.9999996095661406,2.5724038094445708e-27,1.223836202201976e-20,4.822052295522857e-12,7.562858256360554e-11,4.822052341541524e-12,7.562856911389633e-11,4.653380444791192e-23,6.310259844176385e-22,1.3438690872395246e-17,1.3436535923948621e-17,3.121982243447727e-20,7.804262242953802e-24,7.818207240621417e-24,5.556780459193732e-13,1.222736004323262e-20,1.352135620582118e-18,4.7373685117216436e-21,3.904290373797538e-07,1.248792269402573e-20,9.871878482305474e-26,6.190771164619501e-29,8.505437949749371e-31,5.556780459153285e-13,1.4572671408945102e-25
1.0836603031106153e-13,0.2874476744105936,3.76,0.0,0.8684917968618596,0.9999993540206227,1.1653779551430691e-26,3.3512015767156995e-20,7.97920055414467e-12,1.251449946982861e-10,7.97920068077136e-12,1.2514495787130432e-10,1.2743401511656943e-22,1.7277487970080995e-21,3.679617559622248e-17,3.679089781359806e-17,8.54833356234237e-20,3.535399965851801e-23,3.539193811628527e-23,9.19497943171904e-13,3.348099748988191e-20,2.256097084553643e-18,1.2970573477525373e-20,6.459713981231523e-07,3.419349028030132e-20,2.7030650620547955e-25,2.804475121567247e-28,2.397410586576013e-30,9.194979431539205e-13,6.431659960445493e-25
1.5124347044818466e-13,0.28744767441314095,3.76,0.0,0.8684917968088223,0.9999990985414108,3.07727350230123e-26,6.528127214479035e-20,1.1136347964573194e-11,1.7466140682868245e-10,1.1136348211747264e-11,1.7466133509345383e-10,2.4826120408536707e-22,3.365341128442615e-21,7.167467718978217e-17,7.166491628615609e-17,1.6651211662949672e-19,9.33515189230218e-23,9.342483589587693e-23,1.2833178404170954e-12,6.521928717925589e-20,3.1748391891322028e-18,2.5263730124728805e-20,9.014474528293139e-07,6.660545385930122e-20,5.265334585024511e-25,7.405161557858595e-28,4.78987250191778e-30,1.2833178403699698e-12,1.6642842506434344e-24
1.941209105853078e-13,0.28744767441568836,3.76,0.0,0.8684917967557849,0.9999988431284884,6.365621046413295e-26,1.0754765013638558e-19,1.429349452701518e-11,2.2417781895479456e-10,1.4293494934670281e-11,2.2417770078035334e-10,4.0903041368709797e-22,5.5437386918378e-21,1.1807418097581756e-16,1.180585717109814e-16,2.743057959024588e-19,1.9309915316948004e-22,1.9321874870118903e-22,1.6471377376605315e-12,1.0744302573116167e-19,4.108363394764662e-18,4.161608210322237e-20,1.1568572180200922e-06,1.0972380557842917e-19,8.674013233117273e-25,1.5317702262901171e-27,8.083301300196958e-30,1.6471377375634763e-12,3.377794083246478e-24
2.369983507224309e-13,0.28744767441823577,3.76,0.0,0.8684917967027476,0.9999985877818386,1.1413444717392176e-25,1.603127233304313e-19,1.7450640241683027e-11,2.736942310766225e-10,1.745064084974695e-11,2.7369405493201127e-10,6.09757099675304e-22,8.262875439928526e-21,1.7599467197852697e-16,1.759718440224271e-16,4.0886399398255775e-19,3.4621088812370067e-22,3.4638702161953198e-22,2.01095763490795e-12,1.6015304431916236e-19,5.056671202304235e-18,6.202685238014337e-20,1.41220071066834e-06,1.6354853746735145e-19,1.2929118293667975e-24,2.7463385990498347e-27,1.2334595609639614e-29,2.0109576347344404e-12,5.944399615808833e-24
3.2275323099667716e-13,0.2874476744233305,3.76,0.0,0.8684917965966729,0.9999980772872936,2.820459464207666e-25,2.9734484168055603e-19,2.3764929128481673e-11,3.727270553074256e-10,2.376493025712488e-11,3.7272672862963384e-10,1.131140060751941e-21,1.5323122237773358e-20,3.2639856040801715e-16,3.2635716525318487e-16,7.582725435515619e-19,8.554855851745377e-22,8.558023903745635e-22,2.7385974294359537e-12,2.9703506107352403e-19,6.997643174817249e-18,1.150207744990951e-19,1.922688941094445e-06,3.0331711242998987e-19,2.3978671607758585e-24,6.786193861045563e-27,2.3921243052560336e-29,2.738597429008741e-12,1.4165480844250248e-23
4.085081112709234e-13,0.28744767442842534,3.76,0.0,0.8684917964905982,0.9999975670576405,5.651638611511385e-25,4.763904188904836e-19,3.007921462666769e-11,4.717598795210918e-10,3.00792164355327e-11,4.717593561863891e-10,1.8125337229849387e-21,2.4545553209368785e-20,5.228862230228447e-16,5.228207198002168e-16,1.2147347305866015e-18,1.7141023025623293e-21,1.7145899261610023e-21,3.4662372240470132e-12,4.758721864283395e-19,8.99776711587633e-18,1.842392818186825e-19,2.432912279838e-06,4.859111153206722e-19,3.841413287276953e-24,1.3597231936827054e-26,4.0005076974670757e-29,3.466237223192872e-12,2.7412160339974276e-23
