Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46)
0.0,0.0899684226592749,3.76,0.0,0.9780327151262309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.812370210338244e-23,0.0899684226592749,3.76,0.0,0.9780327151262309,0.9999999999999998,1.0330050520125775e-53,6.282471440983032e-39,4.129409078046582e-22,2.058843148934801e-21,4.1294090780332393e-22,2.058843148934799e-21,2.2818461776394159e-41,3.22738117455437e-40,1.336413706869143e-33,1.8310527813162312e-36,1.2194885427187822e-37,2.8545473257367746e-51,4.2494363270678304e-48,1.776547945584133e-48,6.282403795503208e-39,1.307585213121465e-30,6.631781611818212e-40,2.3979157614694677e-16,4.651679894232104e-39
2.7474636588947084e-22,0.0899684226592749,3.76,0.0,0.9780327151262309,0.9999999999999993,1.2263835977494318e-52,3.7946127503540876e-38,1.1562345418530424e-21,5.7647608170174446e-21,1.1562345418493066e-21,5.764760817017433e-21,1.3782350913070692e-40,1.949338229428814e-39,3.747891154109852e-33,1.1059558799150009e-35,7.3657107980214096e-37,3.388918585114692e-50,2.568324313684133e-47,1.0744545604235637e-47,3.794571892484196e-38,3.6612386139604536e-30,4.005596093535607e-39,6.71416413210476e-16,2.809614656116189e-38
6.279916934616476e-22,0.0899684226592749,3.76,0.0,0.9780327151262309,0.9999999999999984,1.2040706886261687e-51,1.8269426950383694e-37,2.642821809949808e-21,1.3176596153182728e-20,2.64282180994127e-21,1.3176596153182675e-20,6.63560868476835e-40,9.38522445557372e-39,8.594577148096267e-33,5.324701488067558e-35,3.546272682226164e-36,3.3272603628787604e-49,1.2382332421140685e-46,5.187495445119859e-47,1.8269230237327183e-37,8.368545484519837e-30,1.928522092712846e-38,1.5346660873336342e-15,1.3527085132426916e-37
1.3344823486060013e-21,0.0899684226592749,3.76,0.0,0.9780327151262309,0.9999999999999967,1.0649868884235335e-50,7.978738730053652e-37,5.615996346143327e-21,2.80002668255133e-20,5.6159963461251915e-21,2.800026682551307e-20,2.897944645801417e-39,4.0987740916526483e-38,1.8382873534089102e-32,2.3254370322715694e-34,1.5487504492527965e-35,2.9429241109415335e-48,5.42258810347115e-46,2.2782197108984212e-46,7.978652820293051e-37,1.7783159501164225e-29,8.422362646968931e-38,3.261165435564351e-15,5.907633465674724e-37
2.7474636588947084e-21,0.0899684226592749,3.76,0.0,0.9780327151262309,0.9999999999999932,8.951856499944408e-50,3.3309663580138855e-36,1.1562345418530316e-20,5.764760817017445e-20,1.1562345418493016e-20,5.764760817017346e-20,1.209834843563841e-38,1.7111574987204645e-37,3.8339163898154776e-32,9.708241846538255e-34,6.465728253494472e-35,2.473705039726182e-47,2.2762747118968502e-45,9.617291587546215e-46,3.3309304923793793e-36,3.661238863655548e-29,3.5161706105498375e-37,6.714164131963385e-15,2.466320679921817e-36
5.573426279472123e-21,0.08996842265927489,3.76,0.0,0.9780327151262309,0.9999999999999863,7.339272807053824e-49,1.3608084440066525e-35,2.345504356330411e-20,1.1694229085949671e-19,2.3455043563228582e-20,1.1694229085949277e-19,4.942570096133189e-38,6.990636719092457e-37,7.977053499460595e-32,3.9661335664418656e-33,2.6414609630701574e-34,2.0280928465308628e-46,9.401075298765469e-45,4.01574302050312e-45,1.360793791724207e-35,7.427085131574793e-29,1.436470424215641e-36,1.3620161524511857e-14,1.0075724718102126e-35
1.1225351520626951e-20,0.0899684226592749,3.76,0.0,0.9780327151262309,0.9999999999999726,5.943533402666229e-48,5.500605305242415e-35,4.724043985285094e-20,2.3553165623814125e-19,4.724043985269939e-20,2.355316562381252e-19,1.9978658583894244e-37,2.825727132421892e-36,1.6870843866078681e-31,1.6031746005755797e-32,1.0677207545999872e-33,1.6424021689784403e-45,3.8823264140823007e-44,1.6933743640627562e-44,5.500546078370162e-35,1.4958779430777256e-28,5.806443126412242e-36,2.7432156308610404e-14,4.0727690280348116e-35
2.2529202002936608e-20,0.0899684226592749,3.76,0.0,0.9780327151262309,0.9999999999999449,4.783872758212551e-47,2.211769200710284e-34,9.481123243194157e-20,4.727103869954304e-19,9.481123243163968e-20,4.727103869953658e-19,8.033330752362222e-37,1.1362124518669066e-35,3.7088489188625486e-31,6.446294558732739e-32,4.293258194180285e-33,1.321948151353035e-44,1.6272209276411606e-43,7.373103607499857e-44,2.2117453858422976e-34,3.002217508263808e-28,2.3347452433626725e-35,5.5056145872813926e-14,1.6376425134837295e-34
4.513690296755592e-20,0.0899684226592749,3.76,0.0,0.9780327151262309,0.9999999999998896,3.838756610725939e-46,8.870183732908296e-34,1.8995281759011074e-19,9.470678485100089e-19,1.89952817589515e-19,9.470678485097496e-19,3.221724935296333e-36,4.556720114780204e-35,8.724403819095555e-31,2.585252435621842e-31,1.7217885565310577e-32,1.0607801380738796e-43,7.0565035589374506e-43,3.409419825811093e-43,8.870088224611005e-34,6.01489946001833e-28,9.363372665390182e-35,1.1030412498524668e-13,6.567678932584848e-34
9.035230489679455e-20,0.08996842265927492,3.76,0.0,0.9780327151262309,0.9999999999997792,3.0756766477375786e-45,3.5527001565170975e-33,3.8023598790640064e-19,1.8957827715391655e-18,3.8023598790524455e-19,1.8957827715381267e-18,1.2903704202057278e-35,1.825064817986314e-34,2.264361696245128e-30,1.0354494347582604e-30,6.896135027538822e-32,8.499149672229571e-43,3.251331722682313e-42,1.7279988970295483e-42,3.552661903361124e-33,1.204027464905681e-27,3.750232974743246e-34,2.2080008314621495e-13,2.6304972561744026e-33
1.807831087552718e-19,0.08996842265927489,3.76,0.0,0.9780327151262309,0.9999999999995581,2.4624114613749e-44,1.422005923056666e-32,7.608023285387868e-19,3.793212617597478e-18,7.608023285366195e-19,3.7932126175933235e-18,5.16484450947703e-35,7.305015523986154e-34,6.60344566206827e-30,4.1444961981319364e-30,2.760251195663181e-31,6.804487584630578e-42,1.6416413154137721e-41,9.81800941076048e-42,1.421990611809052e-32,2.409107016925151e-27,1.5010705282865663e-33,4.4179199921256265e-13,1.0528844298384582e-32
3.616447164722263e-19,0.0899684226592749,3.76,0.0,0.9780327151262309,0.9999999999991162,1.9706775463897905e-43,5.689875941265678e-32,1.521935009802785e-18,7.588072309714104e-18,1.5219350097990332e-18,7.588072309697476e-18,2.066610576979865e-34,2.922957728616453e-33,2.1502578942291422e-29,1.6583383248773946e-29,1.1044600176273261e-30,5.445658090378197e-41,9.291680549119253e-41,6.250446997019575e-41,5.689814676202039e-32,4.8192841778111896e-27,6.0062373438118766e-33,8.837758303229031e-13,4.212909164828284e-32
7.233679319061353e-19,0.0899684226592749,3.76,0.0,0.9780327151262309,0.9999999999982322,1.5768414522168285e-42,2.2763208794162417e-31,3.0442003723276847e-18,1.5177791693947354e-17,3.0442003723225144e-18,1.517779169388083e-17,8.267788172237846e-34,1.1693734203720168e-32,7.618470689679626e-29,6.634433144538512e-29,4.418559251634336e-30,4.357353858142257e-40,5.896013454676075e-40,4.3584597155683775e-40,2.27629636929794e-31,9.6397107269717e-27,2.402886036818774e-32,1.7677434884541632e-12,1.6854379940970717e-31
1.4468143627739533e-18,0.0899684226592749,3.76,0.0,0.9780327151262309,0.9999999999964643,1.2615929409513926e-41,9.106024578892923e-31,6.088731097365092e-18,3.035723046241385e-17,6.08873109736409e-18,3.0357230462147735e-17,3.307384561938483e-33,4.677874350537222e-32,2.8508440838004846e-28,2.653989242179042e-28,1.7675675470935529e-29,3.486214076178925e-39,4.101728144990408e-39,3.22994587530071e-39,9.105926529612325e-31,1.928085273484666e-26,9.612326381201593e-32,3.5356787883590015e-12,6.742300671767964e-31
2.8937072245095894e-18,0.0899684226592749,3.76,0.0,0.9780327151262309,0.9999999999929284,1.0093222675365407e-40,3.642558051188243e-30,1.2177792547390353e-17,6.071610799934685e-17,1.2177792547425701e-17,6.071610799828232e-17,1.3230077661105402e-32,1.8712258640063455e-31,1.1010255936275904e-27,1.0616388952640352e-27,7.070557891266423e-29,2.7891036638355574e-38,3.0353194195040533e-38,2.481215391435451e-38,3.642518829217568e-30,3.85642923888142e-26,3.845086988541826e-31,7.07154932273795e-12,2.6970300116697754e-30
