Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146)
0.0,0.23398120236328207,3.76,0.0,0.6072536147718672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8334498904385927e-20,0.23398120236328207,3.76,0.0,0.6072536147718671,1.0,7.431076236824372e-45,2.7287603009445423e-32,8.343010230521045e-18,1.6180356664893185e-16,8.343010227877693e-18,1.6180356664889162e-16,1.600263924096162e-34,2.0886802123580335e-33,2.683674291741055e-27,4.022877763829849e-29,4.873535459614709e-32,3.561672338353192e-41,3.883099658630841e-37,1.2171421929426503e-39,2.706416187455917e-32,1.5925353035974423e-23,1.707388968806413e-32
7.93365969322806e-20,0.23398120236328213,3.76,0.0,0.6072536147718667,1.0,8.822173710244798e-44,1.6481712221551286e-31,2.3360428645458614e-17,4.530499866170089e-16,2.33604286380575e-17,4.530499866167658e-16,9.66559410361948e-34,1.2615628481363793e-32,7.644658013442565e-27,2.429818169350577e-28,2.943615417586935e-31,4.2284174000886834e-40,2.3455999105263123e-36,7.457968259408011e-39,1.6346753774070198e-31,4.459098855674578e-23,1.031262936975481e-31
1.8134079298806993e-19,0.23398120236328213,3.76,0.0,0.607253614771866,1.0,8.661662467489518e-43,7.935234960916108e-31,5.339526547533252e-17,1.0355428265531621e-15,5.339526545841696e-17,1.0355428265519923e-15,4.653567494389633e-33,6.073882055619072e-32,1.8088105443114555e-26,1.1698528537177433e-27,1.4172241116254328e-30,4.151485277571383e-39,1.1295169557997576e-35,3.699093618128596e-38,7.870258275876502e-31,1.0192225982235815e-22,4.965087118535164e-31
3.853491850996486e-19,0.23398120236328218,3.76,0.0,0.6072536147718648,0.9999999999999999,7.661142369393015e-42,3.4655255881612594e-30,1.1346493913507537e-16,2.200528506425465e-15,1.1346493909913526e-16,2.200528506420356e-15,2.0323351868240522e-32,2.6526238677126787e-31,4.1060920247522624e-26,5.109054760022817e-27,6.1893900333952594e-30,3.6719417139211037e-38,4.934756175516729e-35,1.71073617678975e-37,3.4371485609155345e-30,2.1658480324986137e-22,2.1683839875384632e-30
7.93365969322806e-19,0.23398120236328226,3.76,0.0,0.6072536147718623,0.9999999999999998,6.439651791883526e-41,1.4467887169263178e-29,2.3360428645454124e-16,4.530499866170061e-15,2.3360428638056945e-16,4.5304998661487296e-15,8.484599354555195e-32,1.107418246808409e-30,9.535022963650045e-26,2.1329297903456058e-26,2.5839485004038394e-29,3.0864882616095662e-37,2.061717087155853e-34,7.93797823274621e-37,1.4349418651509954e-29,4.459098936899819e-22,9.052576287000474e-30
1.6093995377691207e-18,0.23398120236328251,3.76,0.0,0.6072536147718575,0.9999999999999996,5.279615625960094e-40,5.910604007685997e-29,4.738829810933938e-16,9.190442585659199e-15,4.738829809434281e-16,9.190442585572055e-15,3.466235694700336e-31,4.524164872072981e-30,2.373035675343466e-25,8.713714151252911e-26,1.0556272744540328e-28,2.5304895545898884e-36,8.435482605578723e-34,3.8934164847333864e-36,5.862205740367501e-29,9.045600889106793e-22,3.698272780309352e-29
3.2414666746617503e-18,0.2339812023632829,3.76,0.0,0.6072536147718477,0.9999999999999991,4.275569648927692e-39,2.3891606613396532e-28,9.544403703707819e-16,1.851032802463728e-14,9.544403700691063e-16,1.8510328024285035e-14,1.4011078984097948e-30,1.8287397701462052e-29,6.5470911980355e-25,3.5222225801081524e-25,4.267014222617653e-28,2.0492560486079158e-35,3.4200208571818036e-33,2.0996813847493856e-35,2.3695972979368273e-28,1.8218605367139008e-21,1.4949009790236047e-28
6.505600948447009e-18,0.2339812023632837,3.76,0.0,0.607253614771828,0.9999999999999981,3.4413504707146396e-38,9.606710092985416e-28,1.9155551489242903e-15,3.715009890259263e-14,1.9155551483203065e-15,3.715009890117627e-14,5.633793319143401e-30,7.353282134046996e-29,2.023515730187591e-24,1.4162702080584567e-24,1.7157476510955593e-27,1.6494195490521287e-34,1.3834295712158852e-32,1.2672008104004025e-34,9.528046589305911e-28,3.656461661767661e-21,6.010931015564551e-28
1.3033869496017527e-17,0.23398120236328532,3.76,0.0,0.6072536147717889,0.9999999999999962,2.7614671060829483e-37,3.852720540490905e-27,3.837784706026237e-15,7.442964065850012e-14,3.837784704822085e-15,7.442964065281992e-14,2.2594031647954135e-29,2.948994978577257e-28,6.897110973950941e-24,5.679876975802094e-24,6.880915461299764e-27,1.3235553111157375e-33,5.614377758789716e-32,8.474311637139747e-34,3.821172893145439e-27,7.325664829664533e-21,2.4106521241847884e-27
