Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6)
1.5728630000000002e-09,0.45127760604029943,3.76,0.0,0.662367950400011,0.999999999998991,1.5484869760257287e-20,1.94545846000888e-17,1.0078480163035514e-12,3.944486034513438e-13,1.0083380257232436e-12,3.941513947232477e-13,7.37610975493008e-21,4.035331799071624e-21,2.9704133227853933e-16,2.9678849930317496e-16,4.706780129337563e-16,3.776057650123096e-19,3.4639417868339036e-19,8.314327072471297e-20,1.944484321811849e-17,2.5220372992028577e-20
2.0971510000000003e-09,0.45127760604031036,3.76,0.0,0.6623679503995433,0.9999999999986544,3.266280376564461e-20,3.31881961133799e-17,1.3436153476173941e-12,5.259316356667947e-13,1.3444510412011397e-12,5.254246810919678e-13,1.3504416269103626e-20,5.817673609354852e-21,5.065936288183128e-16,5.060609804572288e-16,8.027769735420423e-16,7.962091919282533e-19,7.181461039423862e-19,1.7534048249964408e-19,3.3167657573315304e-17,5.318234749597676e-20
3.1457270000000003e-09,0.4512776060403321,3.76,0.0,0.6623679503986082,0.9999999999979807,8.92155333623791e-20,6.871524882275227e-17,2.014947626659261e-12,7.888977950587806e-13,2.016677096726101e-12,7.878483586184945e-13,3.018777257593606e-20,9.463446629150335e-21,1.0484092234366072e-15,1.0469565988963254e-15,1.6615487728895574e-15,2.173462696713433e-18,1.9067352226277655e-18,4.787601194197794e-19,6.865919169825791e-17,1.4519719739951876e-19
4.194303e-09,0.451277606040354,3.76,0.0,0.662367950397673,0.9999999999973065,1.8667480254340918e-19,1.1687195735305684e-16,2.6859630291937852e-12,1.0518641529822186e-12,2.6889031976340767e-12,1.0500795468679402e-12,5.385771306394539e-20,1.3174962799669061e-20,1.7823758734018486e-15,1.779339832088757e-15,2.8250518034558763e-15,4.545325733741364e-18,3.891401953546178e-18,1.0014494602832819e-18,1.1675474103678927e-16,3.0369469109305734e-19
5.2428790000000005e-09,0.45127760604037576,3.76,0.0,0.6623679503967379,0.9999999999966319,3.3984552278193697e-19,1.7856221911426506e-16,3.3566393837377004e-12,1.3148308309485066e-12,3.3611293605131855e-12,1.3121046361832334e-12,8.505905918261538e-20,1.6898022465378e-20,2.7219829588729386e-15,2.716461282807913e-15,4.31477840310726e-15,8.270361946355955e-18,6.909198508707925e-18,1.8225877936166996e-18,1.7834896784049627e-16,5.526722644412771e-19
7.340031000000001e-09,0.45127760604041905,3.76,0.0,0.6623679503948675,0.9999999999952808,8.973722786539204e-19,3.43405416706926e-16,4.696956999859162e-12,1.840766112851868e-12,4.7055819663290895e-12,1.835524516768088e-12,1.7053696163087872e-19,2.432909610327688e-20,5.229440861965941e-15,5.214893861148973e-15,8.29153975139673e-15,2.180574149930201e-17,1.7104126425485032e-17,4.8084744515349355e-18,3.4284335154527217e-16,1.457857780868097e-18
9.999999999999999e-09,0.45127760604050565,3.76,0.0,0.6623679503924952,0.9999999999935639,2.303797050965954e-18,6.315626484346634e-16,6.395015128028841e-12,2.507854834983544e-12,6.410848865672867e-12,2.4982166693182732e-12,3.228381259796326e-19,3.373580278867723e-20,9.603143108192161e-15,9.565924380269403e-15,1.5231735690891318e-14,5.584036517719585e-17,3.979601928135398e-17,1.2326705303359194e-17,6.301241574602112e-16,3.7362783359272004e-18
1.1534335e-08,0.45127760604050565,3.76,0.0,0.6623679503911267,0.9999999999925719,3.4706936743957795e-18,8.379945965839587e-16,7.373497986483986e-12,2.8926514951095926e-12,7.394488803854949e-12,2.8798638800103635e-12,4.330073648157528e-19,3.9152330807563536e-20,1.2732896283695023e-14,1.2676891517165637e-14,2.0199370822586512e-14,8.405044691141996e-17,5.784947145508393e-17,1.8560924376021233e-17,8.358298380680249e-16,5.625379263048742e-18
1.5728639000000002e-08,0.4512776060405918,3.76,0.0,0.6623679503873859,0.9999999999898542,8.614766863562248e-18,1.5527319593141008e-15,1.0044604736313331e-11,3.944567637534927e-12,1.0083398504967193e-11,3.920873799306636e-12,8.173208804092489e-19,5.3929674415980454e-20,2.354497352229243e-14,2.3406447300413026e-14,3.7369901623553836e-14,2.0805916572209322e-16,1.2959865412089478e-16,4.599869416675941e-17,1.5473767397203828e-15,1.3937169311198153e-17
2.4117247000000003e-08,0.4512776060407628,3.76,0.0,0.6623679503799039,0.9999999999843927,3.13006809681923e-17,3.643095429343342e-15,1.537075153080018e-11,6.048585878390579e-12,1.5461231660580912e-11,5.992962718220252e-12,1.9492974445534878e-18,8.33568272685626e-20,5.500039838940624e-14,5.4501170734912e-14,8.738837720752813e-14,7.510211678076967e-16,3.820855544726638e-16,1.6649959845305926e-16,3.6237953307062446e-15,5.041345896840672e-17
3.16669942e-08,0.4512776060409152,3.76,0.0,0.6623679503731696,0.9999999999794474,6.954037592912863e-17,6.2783230781039705e-15,2.0146154372132682e-11,7.942494109158472e-12,2.0301301205203572e-11,7.846564019395847e-12,3.3806840635204823e-18,1.0969571466401468e-19,9.444641187397546e-14,9.334360505406601e-14,1.5019486631054e-13,1.6608170981812027e-15,7.386398675839701e-16,3.689220571750213e-16,6.235690828493656e-15,1.1164989694636666e-16
3.9216741400000007e-08,0.45127760604106626,3.76,0.0,0.662367950366435,0.9999999999744741,1.3041758738509536e-16,9.628485790869376e-15,2.4904674682623155e-11,9.836805293341433e-12,2.5141395650875134e-11,9.689546587683496e-12,5.200447388575678e-18,1.3589756948780698e-19,1.443311722190468e-13,1.422746715578468e-13,2.297269225915172e-13,3.100325465763169e-15,1.2219531763977906e-15,6.900364033924218e-16,9.54899345884583e-15,2.087303770520468e-16
4.6766488600000004e-08,0.451277606041216,3.76,0.0,0.6623679503596995,0.9999999999694728,2.190088066321143e-16,1.3694196755745023e-14,2.964656994515572e-11,1.1731632327579277e-11,2.9981520441857564e-11,1.1521968426628965e-11,7.406389626250794e-18,1.6196308823989613e-19,2.0455746441016485e-13,2.0112306034854986e-13,3.258732642130545e-13,5.1828548195724075e-15,1.832437390099068e-15,1.1557524088611709e-15,1.3561459173512285e-14,3.4944043240769887e-16
5.43162358e-08,0.4512776060413645,3.76,0.0,0.6623679503529634,0.9999999999644436,3.4060952918583156e-16,1.847606913792951e-14,3.437210669663227e-11,1.3627092648389768e-11,3.482168120054978e-11,1.33438896234433e-11,9.996233958458367e-18,1.8789302892757925e-19,2.750247067676745e-13,2.6971256444402235e-13,4.3851923558014505e-13,8.024527206757898e-15,2.568778038062766e-15,1.792827618238488e-15,1.8270788027867976e-14,5.418050560264679e-16
6.941573020000001e-08,0.4512776060416575,3.76,0.0,0.6623679503394878,0.9999999999543026,7.018636075288091e-16,3.01903513925356e-14,4.377504528074332e-11,1.7420327033628622e-11,4.450213051831037e-11,1.6956443865295745e-11,1.6319528472625472e-17,2.3934893962838403e-19,4.463249605188373e-13,4.354949383942842e-13,7.129055151727774e-13,1.6391514716708013e-14,4.411358372231591e-15,3.675748593327035e-15,2.9771980970414515e-14,1.1098159501609632e-15
8.45152246e-08,0.45127760604194533,3.76,0.0,0.662367950326007,0.9999999999440522,1.2565748855988818e-15,4.4775744475471776e-14,5.311556607680168e-11,2.121741927291362e-11,5.418278763291293e-11,2.0527683661936747e-11,2.4152356836152322e-17,2.902714095934419e-19,6.574404745035459e-13,6.382534856836225e-13,1.0519916032896696e-12,2.909526499255578e-14,6.7328473201108865e-15,6.548336493293144e-15,4.403483077732518e-14,1.9753391710348404e-15
9.9614719e-08,0.4512776060422285,3.76,0.0,0.6623679503125204,0.9999999999336939,2.0495614796732493e-15,6.22364393085685e-14,6.239580536100488e-11,2.5019300398931568e-11,6.386369818371101e-11,2.4058104479344996e-11,3.3475944983053666e-17,3.406668171195739e-19,9.075470725076753e-13,8.765803199888302e-13,1.4548537023747363e-12,4.7048217146389775e-14,9.5146513068376e-15,1.0627793490996747e-14,6.104118539664934e-14,3.202988539227223e-15
9.999999999999998e-08,0.4512776060425763,3.76,0.0,0.6623679503121762,0.9999999999334283,2.073299465410525e-15,6.271961769796077e-14,6.263183024505722e-11,2.5116379993247573e-11,6.411072146905718e-11,2.4147657362878244e-11,3.373319292668742e-17,3.4194587194978927e-19,9.144320453637443e-13,8.831152707058946e-13,1.4659599501314314e-12,4.7582393188574355e-14,9.591501852517998e-15,1.0749487417490988e-14,6.151086906881957e-14,3.2395866336825665e-15
1.1852992434406251e-07,0.4512776060425763,3.76,0.0,0.6623679502956149,0.9999999999205677,3.446080655050962e-15,8.817161831369158e-14,7.393919223204592e-11,2.979000053975772e-11,7.5991442404399e-11,2.8423808908639774e-11,4.7231608362907173e-17,4.0306301496049737e-19,1.2746725802009168e-12,1.2233117876489577e-12,2.048180781514227e-12,7.822732239183553e-14,1.3622435986065135e-14,1.7754773881477554e-14,8.619053739575335e-14,5.34452811485207e-15
1.3744512968812503e-07,0.451277606042917,3.76,0.0,0.6623679502786959,0.9999999999072763,5.369285160934892e-15,1.1862953594245287e-13,8.539482129920851e-11,3.457114208917418e-11,8.811973305570305e-11,3.2727101219387524e-11,6.326438874718824e-17,4.646532448465063e-19,1.7002706081709716e-12,1.6213481477949403e-12,2.73859985969747e-12,1.2051137722026512e-13,1.839376149081061e-14,2.748343477394535e-14,1.1558778574725527e-13,8.262960059796945e-15
1.5636033503218755e-07,0.4512776060432508,3.76,0.0,0.6623679502617613,0.9999999998938222,7.904059809413506e-15,1.5361481378236478e-13,9.67663436446183e-11,3.9364267168001915e-11,1.0024865043331357e-10,3.696887948142078e-11,8.154025839699677e-17,5.254490691370109e-19,2.18286477037238e-12,2.0682799739610395e-12,3.524503356927149e-12,1.754117722807505e-13,2.379789764887367e-14,4.0195911372190683e-14,1.492025433380723e-13,1.2070229416687099e-14
1.7527554037625006e-07,0.4512776060435778,3.76,0.0,0.6623679502448091,0.9999999998802075,1.113441011023468e-14,1.9313070873037103e-13,1.0805722725010634e-10,4.41708208874123e-11,1.1237827166163627e-10,4.115001722746298e-11,1.0202612002022763e-16,5.854617266039483e-19,2.7210260588499108e-12,2.5618180480630017e-12,4.404352579696386e-12,2.443442260198336e-13,2.980545173510749e-14,5.6259246467981504e-14,1.870062063860683e-13,1.6873152110399947e-14
1.9419074572031258e-07,0.4512776060438984,3.76,0.0,0.6623679502278373,0.9999999998664345,1.5145193244086667e-14,2.3717950224798925e-13,1.1927086295906648e-10,4.8992200387446856e-11,1.2450867284521387e-10,4.527138509088066e-11,1.2468898674325904e-16,6.447024084399096e-19,3.3133357106622765e-12,3.099723559811598e-12,5.376633655450882e-12,3.2867694833557516e-13,3.638749360571564e-14,7.603562925889538e-14,2.289710175977024e-13,2.2776569687547686e-14
2.131059510643751e-07,0.4512776060442126,3.76,0.0,0.6623679502108448,0.9999999998525055,2.0020731379634272e-14,2.85762188304963e-13,1.3041048588223169e-10,5.3829719002537024e-11,1.3663992740439048e-10,4.9333833925520137e-11,1.4949662182157546e-16,7.031820588521954e-19,3.958414075193073e-12,3.679859913412376e-12,6.439890326223555e-12,4.2969571340154455e-13,4.351646300245632e-14,9.987447461840658e-14,2.750707475072616e-13,2.988092395044497e-14
2.3202115640843761e-07,0.4512776060445207,3.76,0.0,0.6623679501938294,0.9999999998384226,2.5845747798954633e-14,3.388790281284981e-13,1.4147926832017065e-10,5.8684652637763e-11,1.4877210782891782e-10,5.3338210326004314e-11,1.7641695028755742e-16,7.609115817697861e-19,4.654892463676541e-12,4.300131574513061e-12,7.592687374364544e-12,5.486494930107971e-13,5.1165426637863337e-14,1.281207686634559e-13,3.252798289807728e-13,3.828496377450079e-14
