Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68),CF2(42),OO[C](F)F(619),FC1(F)OO1(411)
0.0,0.48878917731686955,3.76,0.0,0.7901458080151684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2256351142438415e-22,0.48878917731686955,3.76,0.0,0.7901458080151684,0.9999999999999997,3.0897282670234246e-54,6.667642100655139e-39,1.370439781841195e-21,1.452733433717591e-20,1.3704397817624651e-21,1.452733433717591e-20,9.471998504365184e-42,1.3129731605489289e-40,7.873407581429159e-32,4.604667682791902e-36,1.5781975026951561e-38,8.881099950410669e-51,8.707994622006514e-46,1.0137359326514315e-22,6.666169035190663e-39,1.0895466985558947e-28,1.722494511000102e-39,2.692582395657949e-16,5.848720403635905e-39,1.2650517095542812e-44,4.017813469241263e-56,1.1163437606095425e-49,1.0137359326514315e-22,2.4483621737963655e-52,2.512763328240457e-48
3.4317783198827566e-22,0.48878917731686955,3.76,0.0,0.7901458080151684,0.9999999999999993,3.668125398610582e-53,4.027255828796132e-38,3.837231389155345e-21,4.067653614409256e-20,3.837231388934902e-21,4.0676536144092533e-20,5.721087096640467e-41,7.930357889714117e-40,2.204703325968611e-31,2.7812192804063025e-35,9.532312916278551e-38,1.0543641861127527e-49,5.259680546268895e-45,2.8384606114240086e-22,4.0263660972554395e-38,3.0507307562018575e-28,1.0403866846437833e-38,7.539230707838331e-16,3.532627123796085e-38,7.640912325708135e-44,4.7699481506832266e-55,6.7427163145460185e-49,2.8384606114240086e-22,2.906695700690608e-51,1.5177090502572363e-47
7.844064731160586e-22,0.48878917731686955,3.76,0.0,0.7901458080151684,0.9999999999999983,3.601387268043628e-52,1.9389503228711545e-37,8.770814603783642e-21,9.297493975792585e-20,8.770814603279771e-21,9.297493975792572e-20,2.754457165075238e-40,3.818125950874164e-39,5.040025274293787e-31,1.3390373621558747e-34,4.589398337837219e-37,1.0351810102198602e-48,2.532362527944935e-44,6.487909968969162e-22,1.93852195543386e-37,6.973098872475191e-28,5.009014037984117e-38,1.7232527332183382e-15,1.7008078933773179e-37,3.678770371384254e-43,4.68316337974761e-54,3.2463276565358524e-48,6.487909968969162e-22,2.853811130232532e-50,7.307115758523243e-47
1.6668637553716247e-21,0.48878917731686955,3.76,0.0,0.7901458080151684,0.9999999999999964,3.185386254172805e-51,8.46790546783863e-37,1.863798103304021e-20,1.9757174698559243e-19,1.8637981031969494e-20,1.975717469855918e-19,1.2029438100604148e-39,1.667475913894947e-38,1.0713056421639275e-30,5.847927957145606e-34,2.0043108284225416e-36,9.156058804875226e-48,1.1059955985891147e-43,1.3786808684059468e-21,8.466034674696418e-37,1.4817835108947492e-27,2.187568028965809e-37,3.661912058081064e-15,7.427874912617562e-37,1.6066156711343504e-42,4.1422049742489544e-53,1.4177565766740058e-47,1.3786808684059468e-21,2.5241636459083114e-49,3.1912094268653725e-46
3.431778319882756e-21,0.48878917731686955,3.76,0.0,0.7901458080151684,0.9999999999999926,2.677509080554443e-50,3.5351838417732974e-36,3.8372313891553277e-20,4.0676536144092556e-19,3.8372313889348864e-20,4.067653614409231e-19,5.022053607068751e-39,6.961383697210684e-38,2.206866771911082e-30,2.4413948054161682e-33,8.367603159286953e-36,7.696219119426391e-47,4.61770128293644e-43,2.838460611424008e-21,3.5344028224619366e-36,3.050730759759463e-27,9.132665897283652e-37,7.539230707781379e-15,3.100991558007723e-36,6.707304164060501e-42,3.481772867428936e-52,5.918854625024238e-47,2.838460611424008e-21,2.1217116408297467e-48,1.3322671166330827e-45
6.96160744890502e-21,0.48878917731686955,3.76,0.0,0.7901458080151684,0.9999999999999848,2.1951837125271563e-49,1.4442379495753363e-35,7.784097960857907e-20,8.251525903515919e-19,7.784097960410729e-20,8.25152590351582e-19,2.051672764085516e-38,2.8439523846586907e-37,4.4818086325176134e-30,9.973894387633737e-33,3.418438918735471e-35,6.309825420079384e-46,1.8867982128535674e-42,5.758020097460131e-21,1.4439188777016947e-35,6.188625263769906e-27,3.730992010573734e-36,1.529386800708146e-14,1.2668562343091225e-35,2.740152604966082e-41,2.8545677565744566e-51,2.4180452445303935e-46,5.758020097460131e-21,1.7395073873874456e-47,5.4427458795018924e-45
1.402126570694955e-20,0.48878917731686955,3.76,0.0,0.7901458080151684,0.9999999999999692,1.777716684391606e-48,5.83784070598578e-35,1.5677831104262936e-19,1.6619270481729245e-18,1.5677831103362292e-19,1.661927048172884e-18,8.29318934687831e-38,1.149571024758547e-36,9.046970758179569e-30,4.031607580332395e-32,1.3817876670878082e-34,5.109860218451297e-45,7.62929937743305e-42,1.1597139069532376e-20,5.836550966449892e-35,1.2464414296914848e-26,1.5081266240900305e-35,3.080314260527942e-14,5.12083545196237e-35,1.1076134941994012e-40,2.3117029789408865e-50,9.774125512691363e-46,1.1597139069532376e-20,1.4086981709921113e-46,2.2000449065142191e-44
2.8140582223038607e-20,0.48878917731686955,3.76,0.0,0.7901458080151684,0.9999999999999383,1.4308610454641858e-47,2.347370072137602e-34,3.146529739107247e-19,3.3354759638155895e-18,3.146529738926492e-19,3.3354759638154274e-18,3.3346549617626894e-37,4.622374530527423e-36,1.823840862729904e-29,1.6210916763970606e-31,5.556107436122744e-34,4.112860051600929e-44,3.0697659326012936e-41,2.3275377013676865e-20,2.3468514735367313e-34,2.5015992463700966e-26,6.064110825536591e-35,6.182169180006652e-14,2.05906541298144e-34,4.45366514557506e-40,1.8606596710654384e-49,3.9301328982820086e-45,2.3275377013676865e-20,1.1338428224287219e-45,8.846283807603195e-44
5.637921525521672e-20,0.4887891773168695,3.76,0.0,0.7901458080151684,0.9999999999998762,1.1481758765194e-46,9.414003876332696e-34,6.304022996468945e-19,6.682573795100921e-18,6.304022996106823e-19,6.68257379510027e-18,1.337345785879436e-36,1.8537789274502522e-35,3.686573883672015e-29,6.5013026733232825e-31,2.2282475848576582e-33,3.300311172530022e-43,1.232764308015149e-40,4.6631852901965844e-20,9.41192406394642e-34,5.0119149199258143e-26,2.4319796649370005e-34,1.2385879018320548e-13,8.257773245569542e-34,1.7861189184262067e-39,1.4930622057768445e-48,1.5761590859739818e-44,4.6631852901965844e-20,9.098374260074066e-45,3.547755466562357e-43
