Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13),F(37),H2(7),CF2O(48),O(6),[O]C(F)F(146),O2(176),CHFO(46),FC(F)C(F)F(130),CO(12),CHF2-CF2(68),CF2(42),OO[C](F)F(619),FC1(F)OO1(411),CF2O2(152),CHF3(41)
0.0,0.10548536595060158,3.76,0.0,0.7652660021438861,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.356151857706678e-23,0.10548536595060158,3.76,0.0,0.7652660021438861,0.9999999999999997,8.797377889978347e-54,9.750570024114e-39,9.68044607446423e-22,7.146122062761219e-21,9.68044607433927e-22,7.146122062761215e-21,4.4023346528063684e-41,6.182353291560934e-40,1.2500552609956264e-32,4.509746042548239e-36,1.0762707053939552e-37,5.951796614808489e-51,4.860651006867573e-42,1.0358948419219004e-23,9.762529204379413e-39,2.24807257635931e-29,1.7526460764701793e-39,2.783882179544882e-16,7.658830701917823e-39,2.965023134396122e-45,6.150785564157996e-56,1.0243410813122413e-50,1.0358948419219004e-23,5.662333515926447e-52,2.2883588681220348e-43,4.0731653047723034e-42,2.7402726502296996e-51
1.77972252015787e-22,0.1054853659506016,3.76,0.0,0.7652660021438861,0.9999999999999991,1.0444247030983477e-52,5.889344294565582e-38,2.7105249008499832e-21,2.0009141775731414e-20,2.7105249008149952e-21,2.0009141775731387e-20,2.659010130304603e-40,3.734141388100883e-39,3.501615964374567e-32,2.7238866096991296e-35,6.500675060579418e-37,7.065972941100621e-50,2.9358332116189747e-41,2.900505557381321e-23,5.896567639445653e-38,6.29460321685965e-29,1.0585982301874956e-38,7.794870102718938e-16,4.625933743958361e-38,1.7908739731761583e-44,7.302212621768365e-55,6.187020133900365e-50,2.900505557381321e-23,6.72232236908205e-51,1.382168756368825e-42,2.4601918440798873e-41,1.6551246822699527e-50
4.067937188932274e-22,0.10548536595060158,3.76,0.0,0.7652660021438861,0.9999999999999981,1.0254223668562428e-51,2.835465763013441e-37,6.195485487657099e-21,4.57351812016718e-20,6.195485487577128e-21,4.5735181201671674e-20,1.2801989170504278e-39,1.79782833718304e-38,8.010582305479698e-32,1.3114341491730186e-34,3.1297952112855135e-36,6.937414134220728e-49,1.4134773180035316e-40,6.629726988300162e-23,2.8389434926342665e-37,1.438766451007466e-28,5.096694790367894e-38,1.7816845949040123e-15,2.2271879681176965e-37,8.622287274837169e-44,7.16935565358254e-54,2.978783868538369e-49,6.629726988300162e-23,6.600015971360546e-50,6.65454758884562e-42,1.18447647062391e-40,7.968712889398691e-50
8.644366526481083e-22,0.10548536595060158,3.76,0.0,0.7652660021438861,0.9999999999999961,9.069744709459762e-51,1.2383223930636035e-36,1.316540666127131e-20,9.718726005355257e-20,1.316540666110138e-20,9.718726005355202e-20,5.590965009212226e-39,7.851588680252629e-38,1.7051894725078972e-31,5.727377474036169e-34,1.3668637958502115e-35,6.136064238002865e-48,6.1730268325217115e-40,1.4088169850137845e-22,1.2398412089569424e-36,3.0573787145361977e-28,2.2258605171094942e-37,3.786079764157477e-15,9.726714991435564e-37,3.7655793806966405e-43,6.341213885224285e-53,1.3009131774480044e-48,1.4088169850137845e-22,5.837639383431073e-49,2.9062157628732843e-41,5.172919937020778e-40,3.480146288869307e-49
1.77972252015787e-21,0.1054853659506016,3.76,0.0,0.7652660021438861,0.9999999999999921,7.623666921422935e-50,5.169752226795375e-36,2.7105249008499653e-20,2.0009141775731409e-19,2.710524900814982e-20,2.000914177573117e-19,2.33411783305126e-38,3.2778837151588265e-37,3.5228038513833523e-31,2.39106735175899e-33,5.706387279997746e-35,5.157731717647026e-47,2.5771172122610908e-39,2.900505557381321e-22,5.176092984168777e-36,6.294603261136583e-28,9.292529497376184e-37,7.794870102621321e-15,4.060712038156765e-36,1.572055265868981e-42,5.3301723573302136e-52,5.431056450592083e-48,2.900505557381321e-22,4.9068876407236544e-48,1.2132878722007733e-40,2.1595922445542322e-39,1.4528925798341187e-48
3.610294255177393e-21,0.1054853659506016,3.76,0.0,0.7652660021438861,0.9999999999999841,6.250342744749494e-49,2.1120124695117668e-35,5.498493370295601e-20,4.058997331648372e-19,5.498493370224648e-20,4.058997331648275e-19,9.53563295249352e-38,1.3391224523425902e-36,7.195440188956666e-31,9.76829031800046e-33,2.331245398710672e-34,4.228620079151882e-46,1.0528364916870624e-38,5.883882702116394e-22,2.1146028757911654e-35,1.2769052432509042e-27,3.7963015074192955e-36,1.581245077937666e-14,1.658933365358153e-35,6.422358710130091e-42,4.3699973339888646e-51,2.218763787428515e-47,5.883882702116394e-22,4.0229629392712883e-47,4.956676845437302e-40,8.822638976443836e-39,5.935540346052291e-48
7.27143772521644e-21,0.1054853659506016,3.76,0.0,0.7652660021438861,0.9999999999999681,5.0616896057969256e-48,8.537092083543525e-35,1.1074430309186744e-19,8.175163639798833e-19,1.1074430309043893e-19,8.175163639798439e-19,3.854455301523853e-37,5.412947059533081e-36,1.4690343183392888e-30,3.9484991280604293e-32,9.423266635655673e-34,3.424446174476084e-45,4.2557336049820917e-38,1.185063699158654e-21,8.547562919883424e-35,2.5717951087940713e-27,1.5345257669134616e-35,3.184761213219793e-14,6.705673903402296e-35,2.59602007535866e-41,3.5389371408960635e-50,8.968598110794631e-47,1.1850636991586539e-21,3.2578996732936647e-46,2.0035680325123623e-39,3.566251736011758e-38,2.399240381961259e-47
1.4593724665294533e-20,0.10548536595060158,3.76,0.0,0.7652660021438861,0.999999999999936,4.0740881518207436e-47,3.432727179326664e-34,2.222630418696851e-19,1.640749625609976e-18,2.222630418668202e-19,1.640749625609817e-18,1.549859524612245e-36,2.176522205555912e-35,3.0278670449423577e-30,1.5876741332627945e-31,3.789054069161962e-33,2.7562922013019887e-44,1.7112119030956204e-37,2.3784145570526835e-21,3.436937456557067e-34,5.161574964955107e-27,6.170260617668202e-35,6.391793483508285e-14,2.696321983932612e-34,1.0438482546251183e-40,2.848444491565968e-49,3.606233961336124e-46,2.3784145570526824e-21,2.6222410598407045e-45,8.056258947794698e-39,1.4339741380027022e-37,9.647240640185913e-47
2.923829854545072e-20,0.10548536595060158,3.76,0.0,0.7652660021438861,0.9999999999998719,3.2691991647777615e-46,1.3766771314087437e-33,4.453005194252999e-19,3.2872161488701608e-18,4.453005194195684e-19,3.2872161488695233e-18,6.215629888356122e-36,8.728827517016544e-35,6.384941009011682e-30,6.36728337899371e-31,1.5195801513169234e-32,2.2117509063246182e-43,6.8627261959573154e-37,4.765116272840742e-21,1.3783656408798008e-33,1.034113517757598e-26,2.4745504791791496e-34,1.2805858022982226e-13,1.0813457115050618e-33,4.186298373866116e-40,2.285697315713277e-48,1.446261196524267e-45,4.765116272840739e-21,2.1041832623589838e-44,3.230920170421776e-38,5.750877653176111e-37,3.868975450718976e-46
