Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66)
0.0,0.4828630702403437,3.76,0.0,0.6347469908003944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1684947940437274e-22,0.4828630702403437,3.76,0.0,0.6347469908003944,0.9999999999999998,4.8658596857511233e-54,1.2224577974867073e-38,8.407178553058105e-20,8.4071785530581e-20,2.0045263516182037e-21,6.872233562383365e-41,8.840539847462196e-40,1.0862999664554571e-31,2.8439957416658137e-35,5.878617083772702e-50,5.363655203079998e-26,2.0045263515096023e-21,2.1948883392051977e-38,4.1299394546293307e-22,3.947657286067007e-28,1.249561802646191e-38,2.911524551377531e-38,7.99315506644833e-44,7.698592665769624e-43,3.877040370191393e-39,2.771612356374552e-55,2.930732192995223e-48,4.1299394546293307e-22,2.8753392431793597e-44,9.002817523563391e-65,3.663707761652767e-42,5.779930763449923e-41,3.354101755394358e-16,8.316741492145383e-66,5.25964652766357e-59,1.1885275675834506e-58,3.230212315488159e-57,5.36365520308007e-26,5.770201509718151e-76,2.306822324091381e-68,6.413821786761335e-78,1.0032024697362665e-79,3.168780435623215e-58,6.561603682554066e-80,6.332709118107976e-78,4.889705567152839e-48
3.2717854233224366e-22,0.4828630702403437,3.76,0.0,0.6347469908003944,0.9999999999999991,5.776748618925943e-53,7.383645096822759e-38,2.3540099948562697e-19,2.3540099948562673e-19,5.612673784530968e-21,4.1508290716816765e-40,5.339686067866247e-39,3.0425613828390903e-31,1.7177734279661459e-34,6.979094201854933e-49,1.5018234568623774e-25,5.6126737842268845e-21,1.3257125568799303e-37,1.1563830472962124e-21,1.1053440402065624e-27,7.547353287983268e-38,1.7585608290320275e-37,4.827865660134847e-43,4.6499499701248506e-42,2.3417323835953211e-38,3.2904581894878654e-54,1.7701622446214731e-47,1.1563830472962124e-21,1.736704902880377e-43,1.0688144964263396e-63,2.2128794880501586e-41,3.491078181122424e-40,9.391484915099505e-16,9.87363549947695e-65,7.948339757445857e-58,1.7960898371301486e-57,4.881496848505029e-56,1.5018234568624192e-25,1.6272777683600992e-74,2.7386594631615083e-67,1.808800364064344e-76,2.8291914755640176e-78,3.7619761331718684e-57,1.850477223175147e-78,1.9911050700798266e-76,2.9533821657617916e-47
7.478366681879856e-22,0.4828630702403437,3.76,0.0,0.6347469908003944,0.9999999999999979,5.671646049718319e-52,3.554907275095917e-37,5.380594273957186e-19,5.380594273957179e-19,1.2828968650356488e-20,1.9984455199442683e-39,2.5708289876406295e-38,6.958770122661607e-31,8.27033961676411e-34,6.852116072845404e-48,3.4327393299710427e-25,1.2828968649661437e-20,6.382735290408578e-37,2.6431612509627713e-21,2.5265006638374874e-27,3.633725722095534e-37,8.466713395405837e-37,2.324409493323255e-42,2.2387507472058038e-41,1.1274433396512373e-37,3.2305913625901696e-53,8.522569218000528e-47,2.6431612509627713e-21,8.361486519166217e-43,1.049368410634466e-62,1.0654062171064565e-40,1.6808038660092438e-39,2.1466251234491015e-15,9.693993883250494e-64,8.550448100365895e-57,1.9321470034063667e-56,5.251291553264625e-55,3.432739329971244e-25,3.539675884433581e-73,2.688832100961554e-66,3.9345358825345127e-75,6.154109430935072e-77,3.6935304757623863e-56,4.0251921544562105e-77,4.442045880814947e-75,1.42192638363879e-46
1.5891529198994693e-21,0.4828630702403437,3.76,0.0,0.6347469908003944,0.9999999999999954,5.016506701636235e-51,1.552521402812843e-36,1.1433762832159021e-18,1.1433762832158985e-18,2.7261558382007495e-20,8.727736624259791e-39,1.1227485606262763e-37,1.4805931230527626e-30,3.611874591915508e-33,6.060619068686188e-47,7.294571076188017e-25,2.726155838053051e-20,2.7875081907904602e-36,5.616717658295889e-21,5.368813912824145e-27,1.586943489361087e-36,3.6976361802494425e-36,1.0151306934390211e-41,9.777212685527403e-41,4.923841270138732e-37,2.8574214749278925e-52,3.722029885893051e-46,5.616717658295889e-21,3.651680838838442e-42,9.281544755922629e-62,4.652908857483279e-40,7.340512069560806e-39,4.561578387319888e-15,8.57422780875429e-63,7.859330165879369e-56,1.7759743507960607e-55,4.826841654982862e-54,7.294571076188893e-25,6.561956123982361e-72,2.378241543246558e-65,7.293966428869534e-74,1.1408681717222646e-75,3.266885877910044e-55,7.462027878506446e-76,8.319460324038626e-74,6.209926118534931e-46
3.2717854233224366e-21,0.4828630702403438,3.76,0.0,0.6347469908003944,0.9999999999999906,4.216676149942779e-50,6.48147124231704e-36,2.354009994856269e-18,2.3540099948562537e-18,5.612673784530935e-20,3.6436582348052856e-38,4.687254227111652e-37,3.0559227959143605e-30,1.5078865422311463e-32,5.09431550692387e-46,1.5018234568620534e-24,5.612673784226851e-20,1.1637297974464684e-35,1.1563830472962124e-20,1.1053440417696686e-26,6.625176677633916e-36,1.543690317140346e-35,4.237970816231652e-41,4.081793831391035e-40,2.0556068042715726e-36,2.4018349222364546e-51,1.5538742094332818e-45,1.1563830472962124e-20,1.5245048667342837e-41,7.80169762414463e-61,1.942497855394135e-39,3.0645192907626157e-38,9.391484915031405e-15,7.207155109251104e-62,6.723820611679444e-55,1.5193828278329308e-54,4.1294646581905152e-53,1.501823456862419e-24,1.1278321063759542e-70,1.9990553169027498e-64,1.253646467433834e-72,1.960860894048376e-74,2.7460144250239863e-54,1.2825319366459313e-74,1.4369798806157485e-72,2.5925219349472372e-45
6.637050430168371e-21,0.4828630702403436,3.76,0.0,0.6347469908003944,0.9999999999999809,3.4570858685881905e-49,2.647892487704107e-35,4.775277418137004e-18,4.775277418136942e-18,1.1385709677191247e-19,1.4885532785715707e-37,1.9148962931088617e-36,6.2301719467911324e-30,6.160208536277249e-32,4.1766276381549356e-45,3.046556155347985e-24,1.1385709676574398e-19,4.7542159382509516e-35,2.3458056102294595e-20,2.242269345503869e-26,2.706600847006984e-35,6.306478639265618e-35,1.7313493600136066e-40,1.6675459657763477e-39,8.397824523416317e-36,1.9691693820032408e-50,6.348083165290761e-45,2.3458056102294595e-20,6.228099814301184e-41,6.396303073887022e-60,7.935737561454462e-39,1.2519561230706162e-37,1.905129797033421e-14,5.9088611965540874e-61,5.559384198999978e-54,1.2562548616436292e-53,3.414321235359069e-52,3.046556155349479e-24,1.869298618710602e-69,1.6389463266339747e-63,2.0778270816574422e-71,3.249983129100243e-73,2.2513485328380706e-53,2.125702628545689e-73,2.3875635635112713e-71,1.0591298212041973e-44
1.3367580443860241e-20,0.4828630702403437,3.76,0.0,0.6347469908003944,0.9999999999999616,2.799637767423388e-48,1.0703204797035041e-34,9.617812264698471e-18,9.61781226469822e-18,2.2931781462511643e-19,6.016970351283966e-37,7.740316982276666e-36,1.2673029469158976e-29,2.490054783623551e-31,3.382341347761636e-44,6.136021552317558e-24,2.293178146126927e-19,1.9217300956135485e-34,4.7246507360959537e-20,4.516119964011036e-26,1.0940513371859226e-34,2.5491794979093545e-34,6.998390932123897e-40,6.740487411329131e-39,3.39453494201315e-35,1.5946844197100862e-49,2.5659967150227916e-44,4.724650736095953e-20,2.5174975236912782e-40,5.179892069280734e-59,3.2077520044545446e-38,5.0606068199479834e-37,3.83709240804589e-14,4.7851489945722986e-60,4.520798622387704e-53,1.021565494256666e-52,2.776469324962247e-51,6.136021552323597e-24,3.0436679104974974e-68,1.3272612278645276e-62,3.383202760936011e-70,5.291755022556077e-72,1.823200412044533e-52,3.461155678215135e-72,3.892331198505486e-70,4.281172230145382e-44
2.6828640471243983e-20,0.4828630702403437,3.76,0.0,0.6347469908003944,0.999999999999923,2.253392038262651e-47,4.303711574604044e-34,1.9302881957821403e-17,1.93028819578204e-17,4.602392503315148e-19,2.4193973147386734e-36,3.1123474153861327e-35,2.593618139635179e-29,1.0012400768360364e-30,2.7224025737249723e-43,1.231495234624755e-23,4.6023925030658115e-19,7.727192193698295e-34,9.482340987828942e-20,9.063821245180436e-26,4.3991323087095595e-34,1.0250138644105514e-33,2.8140222137676123e-39,2.7103203423547523e-38,1.3649275704653117e-34,1.2835407553916552e-48,1.0317759954534399e-43,9.482340987828942e-20,1.0122746819215706e-39,4.169227785333783e-58,1.2898229732577268e-37,2.0348477448909108e-36,7.701017629878457e-14,3.8515042094354708e-59,3.646187754621754e-52,8.239295417301933e-52,2.239323095082926e-50,1.2314952346271832e-23,4.912492035047081e-67,1.0682953053078556e-61,5.460502896175475e-69,8.540913941115753e-71,1.4674703064642334e-51,5.5863192192615424e-71,6.286125282701617e-69,1.7214406471391461e-43
5.375076052601146e-20,0.4828630702403437,3.76,0.0,0.6347469908003944,0.9999999999998457,1.8082051971271745e-46,1.7259808297181742e-33,3.867302134406727e-17,3.8673021344063257e-17,9.220821217442735e-19,9.702865334675806e-36,1.2481905166810222e-34,5.397223278056542e-29,4.015420523680453e-30,2.184556614488111e-42,2.4672813934070914e-23,9.220821216943222e-19,3.098949676788004e-33,1.8997721491294919e-19,1.8159223984139497e-25,1.7642488118026897e-33,4.110764044941712e-33,1.128548767942192e-38,1.0869596793243276e-37,5.473970036253396e-34,1.029960621628432e-47,4.137883230953664e-43,1.8997721491294914e-19,4.059674225436089e-39,3.345542741054704e-57,5.172767013977199e-37,8.160649564487087e-36,1.542886807277412e-13,3.0905895688891217e-58,2.928816248226925e-51,6.618249999161326e-51,1.798746089581374e-49,2.467281393416829e-23,7.894242626456946e-66,8.57239703629783e-61,8.774881562978682e-68,1.372501941630284e-69,1.1775525028853181e-50,8.977065017561415e-70,1.0104762799149212e-67,6.9037479121536396e-43
