Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19)
0.0,0.30984451985116135,3.76,0.0,0.8983783940347327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5455380365250034e-23,0.3098445198511613,3.76,0.0,0.8983783940347327,0.9999999999999996,1.1299773919369844e-53,5.057175895044103e-38,2.3987526730901122e-18,2.398752673090111e-18,2.530198659329711e-20,1.2544066133222719e-39,1.4592272320003425e-38,1.5928246915436257e-29,3.338407003099189e-34,1.8496304155151984e-49,1.8665879176443868e-23,2.5301986577369196e-20,4.089941409493215e-38,3.4975222127470393e-20,1.8894711186317907e-25,5.695600252772694e-38,1.2462485865752222e-37,2.534759591875188e-41,9.677653713497695e-41,5.117264994273773e-38,2.1906921502607836e-54,1.1716510059413892e-45,3.4975222127470393e-20,1.762962178494092e-41,5.526744444198366e-63,6.8079596913230444e-40,8.755939323026592e-39,3.3164512395675504e-16,2.871793040349762e-62,7.735063357633989e-57,1.1135937559174664e-56,2.5495441526707482e-55,1.8665879176443956e-23,1.0925832544537814e-74,6.104652805038596e-64,8.171051671365007e-75,1.5257894468981354e-76,1.1092195339197401e-54,5.6656881793824814e-77,1.5527793535458425e-93
4.3275065022700095e-23,0.30984451985116135,3.76,0.0,0.8983783940347327,0.9999999999999991,1.3415091597094685e-52,3.0545342406086715e-37,6.716507484652314e-18,6.716507484652311e-18,7.084556246123188e-20,7.576615944466898e-39,8.813732481281636e-38,4.460017312406598e-29,2.016397829871908e-33,2.1958812292996413e-48,5.2264461694042544e-23,7.084556241663372e-20,2.470324611333887e-37,9.79306219569171e-20,5.290519132174974e-25,3.440142552674889e-37,7.527341462914339e-37,1.5309947934926139e-40,5.845302842952608e-40,3.0908280565411727e-37,2.6007897207896016e-53,7.076772075966766e-45,9.79306219569171e-20,1.0648291558104376e-40,6.561351004220611e-62,4.112007653562393e-39,5.288587351107711e-38,9.286063470788106e-16,3.409392697503372e-61,1.1689185984939089e-55,1.6828628839424798e-55,3.8528711235160324e-54,5.2264461694043085e-23,3.0812595908767793e-73,7.247443810142055e-63,2.3043673081516573e-73,4.302970366564146e-75,1.3168654306695138e-53,1.5978147175987687e-75,8.920466908622728e-92
9.891443433760022e-23,0.30984451985116135,3.76,0.0,0.8983783940347327,0.9999999999999979,1.3171016480457939e-51,1.4706267502818755e-36,1.5352017107776718e-17,1.5352017107776706e-17,1.6193271419710132e-19,3.647814431541731e-38,4.243432790656346e-37,1.0194835258470323e-28,9.70808756501241e-33,2.1559292123245087e-47,1.1946162672923872e-22,1.6193271409516266e-19,1.1893549618806036e-36,2.238414216158105e-19,1.2092615159285188e-24,1.6562805535065722e-36,3.62409088976074e-36,7.371080893173055e-40,2.814261699885131e-39,1.4881006603345346e-36,2.5534707703439666e-52,3.4071611253964173e-44,2.238414216158105e-19,5.12669401506091e-40,6.441973324365466e-61,1.9797546782416526e-38,2.5462271551356066e-37,2.122528793322508e-15,3.347361967832085e-60,1.2574678498451434e-54,1.8103470971199238e-54,4.144742938113775e-53,1.1946162672924133e-22,6.702412641438637e-72,7.115583309553683e-62,5.01250223201272e-72,9.359900433575825e-74,1.2929062887368436e-52,3.475596017170934e-74,3.9112849137292813e-90
2.1019317296740046e-22,0.3098445198511613,3.76,0.0,0.8983783940347327,0.9999999999999954,1.1649614919981982e-50,6.422613386737527e-36,3.2623036354025525e-17,3.2623036354025475e-17,3.441070176688398e-19,1.5930963989198671e-37,1.853218584639762e-36,2.16662019679489e-28,4.239776893935934e-32,1.906894973179534e-46,2.5385595679962643e-22,3.4410701745222014e-19,5.194225590056141e-36,4.756630209335974e-19,2.5696807213601007e-24,7.233412321024144e-36,1.5827357049505252e-35,3.2191446816814994e-39,1.229062021614209e-38,6.498926542724815e-36,2.2585159792328502e-51,1.4879967776673071e-43,4.756630209335974e-19,2.2389619666875897e-39,5.697852452623314e-60,8.646108808031019e-38,1.1120042940238333e-36,4.510373685808245e-15,2.960703752879824e-59,1.1558290755646564e-53,1.6640208775923907e-53,3.809732836452832e-52,2.538559567996378e-22,1.2425143463470686e-70,6.293652855884032e-61,9.292334369071576e-71,1.7351677957273377e-72,1.1435609706898838e-51,6.44316926526913e-73,1.457734976288995e-88
4.3275065022700095e-22,0.30984451985116135,3.76,0.0,0.8983783940347327,0.9999999999999907,9.792203282253306e-50,2.6813146595807474e-35,6.716507484652313e-17,6.716507484652296e-17,7.0845562461231485e-19,6.650863863839919e-37,7.736822784059758e-36,4.461585865631055e-28,1.7700233930431584e-31,1.602860123998796e-45,5.226446169403833e-22,7.084556241663332e-19,2.1684869353130843e-35,9.793062195691709e-19,5.2905191322614186e-24,3.019807254022623e-35,6.607610006021764e-35,1.3439295356122334e-38,5.131091998896494e-38,2.713173899961366e-35,1.8984187663415777e-50,6.212093634592318e-43,9.793062195691709e-19,9.34722547037651e-39,4.789388308212524e-59,3.609580228385155e-37,4.642399029063805e-36,9.286063470773088e-15,2.4886499000799597e-58,9.888359097256964e-53,1.4236048944398907e-52,3.2593066502444275e-51,5.226446169404309e-22,2.1355646975825358e-69,5.290194446404161e-60,1.5971148578741368e-69,2.9823101035669686e-71,9.612319005822838e-51,1.1074161730156848e-71,5.024823368032808e-87
8.778656047462018e-22,0.30984451985116135,3.76,0.0,0.8983783940347326,0.9999999999999811,8.028239870879718e-49,1.0954045275941474e-34,1.3624915183151833e-16,1.362491518315176e-16,1.4371528384992577e-18,2.7170949007250037e-36,3.1607445535968903e-35,9.054286511065178e-28,7.231123104992695e-31,1.314121570383928e-44,1.0602219372218225e-21,1.4371528375945523e-18,8.85897669061683e-35,1.986592616840318e-18,1.0732195954216674e-23,1.2336897971537275e-34,2.6994242884653386e-34,5.490390666385406e-38,2.0962185049584664e-37,1.1084200668174846e-34,1.5564384022775858e-49,2.5378429458311516e-42,1.986592616840318e-18,3.8186465971060466e-38,3.92662989841095e-58,1.4746313010180097e-36,1.8965714811207095e-35,1.8837443040676254e-14,2.0403455459807202e-57,8.175885746442274e-52,1.1770640565423624e-51,2.6948577672327926e-50,1.060221937222017e-21,3.539541871336893e-68,4.33722102725038e-59,2.6471007500643956e-68,4.942960284385983e-70,7.880759872826314e-50,1.8354610927210463e-70,1.6680000631415543e-85
1.7680955137846038e-21,0.30984451985116135,3.76,0.0,0.8983783940347325,0.999999999999962,6.501476793750936e-48,4.427800240751615e-34,2.744173058015088e-16,2.7441730580150583e-16,2.8945472662731165e-18,1.0982932014847322e-35,1.2776234845192146e-34,1.8250765032980615e-27,2.9229355747492635e-30,1.0642097185993775e-43,2.135376577784404e-21,2.8945472644509626e-18,3.5809400211974448e-34,4.001165411382613e-18,2.1615549598737658e-23,4.986771410132323e-34,1.0911504574787165e-33,2.2193036911471996e-37,8.473250353545584e-37,4.480411131188387e-34,1.2604441715550029e-48,1.025836695707505e-41,4.001165411382613e-18,1.5435580094567244e-37,3.179886697597144e-57,5.960695492136629e-36,7.666245162363213e-35,3.794020218037654e-14,1.6523247226678876e-56,6.64849419986922e-51,9.571689425952062e-51,2.19141358124848e-49,2.1353765777851888e-21,5.7632263711205506e-67,3.512394037919887e-58,4.310117355394345e-67,8.048329444290049e-69,6.382043667512006e-49,2.9885725772837476e-69,5.43565672166966e-84
3.548555331861408e-21,0.3098445198511614,3.76,0.0,0.8983783940347322,0.9999999999999238,5.232954139530325e-47,1.7803990027140834e-33,5.507536137414893e-16,5.507536137414776e-16,5.809336121820718e-18,4.416188658495142e-35,5.137267839312243e-34,3.6688031001000224e-27,1.1752995390688988e-29,8.565685656817843e-43,4.285685858908377e-21,5.809336118163669e-18,1.4398802329764896e-33,8.0303110004672e-18,4.3382256890221543e-23,2.005158851403992e-33,4.3874679989811575e-33,8.923722533580778e-37,3.4070567004517986e-36,1.8015536102794366e-33,1.0145151254320735e-47,4.124844238598213e-41,8.0303110004672e-18,6.206578867880282e-37,2.559449459901764e-56,2.3967694414270731e-35,3.0825634624011677e-34,7.614572045935282e-14,1.329934685808611e-55,5.362251308126021e-50,7.7199142802945615e-50,1.7674544426857585e-48,4.285685858911532e-21,9.301870598550876e-66,2.827080293099063e-57,6.956546788687558e-66,1.2990036171484412e-67,5.136823968863883e-48,4.823568188825982e-68,1.7552568878157985e-82
7.109474968015016e-21,0.3098445198511614,3.76,0.0,0.8983783940347316,0.9999999999998475,4.1991161373885285e-46,7.140196304448048e-33,1.10342622962145e-15,1.103426229621403e-15,1.1638913832915473e-17,1.7710891709338395e-34,2.0602741734703074e-33,7.373979863379433e-27,4.7134768172322516e-29,6.87342329155529e-42,8.586304421151567e-21,1.1638913825588633e-17,5.77456373640507e-33,1.608860217863637e-17,8.6915671482957e-23,8.041583823403879e-33,1.7595709018937333e-32,3.578811859211431e-36,1.3663821212165778e-35,7.225035741707396e-33,8.140844962283007e-47,1.6542470303282577e-40,1.6088602178636367e-17,2.489115722046516e-36,2.0537970059394012e-55,9.612117442499322e-35,1.2362458194322696e-33,1.5255675701560844e-13,1.0671888290059632e-54,4.307251813626549e-49,6.201054976883773e-49,1.4197155266610128e-47,8.586304421164218e-21,1.494785633636481e-64,2.2685538919235887e-56,1.1178983935872825e-64,2.087463940058048e-66,4.121977729138842e-47,7.751344587495632e-67,5.642303146285092e-81
