Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42)
0.0,0.26690589732147574,3.76,0.0,0.9215436532906709,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1390770378623635e-20,0.26690589732147574,3.76,0.0,0.9215436532906708,1.0,1.5283002388333754e-45,6.669747500905455e-33,1.8368658531959455e-16,1.8368658531956968e-16,2.931355739700313e-18,1.1207107298923e-34,1.411546484191713e-33,3.3782978373467656e-28,2.4891685907011174e-29,1.408190749767315e-41,5.00584565428208e-38,2.9313557393874e-18,1.465305662161165e-32,8.034470458894702e-19,1.3404427111865117e-24,6.661512760292082e-33,1.9028153819621196e-32,2.0426690077189395e-37,7.173046663550819e-42,3.0119664326414576e-33,1.2086894926432484e-46,6.285528901242318e-42,8.034470458894702e-19
5.989415706014618e-20,0.26690589732147574,3.76,0.0,0.9215436532906703,1.0,1.8143980440354392e-44,4.028527491740733e-32,5.143224388948644e-16,5.143224388947142e-16,8.207796071160796e-18,6.769092809750931e-34,8.52574076394997e-33,1.0265756973863969e-27,1.5034578287824609e-28,1.6718040581227238e-40,3.024352032068127e-37,8.207796070284716e-18,8.850446199426764e-32,2.249651728490516e-18,3.753239662757272e-24,4.0235537073072927e-32,1.1493004907049643e-31,1.233772080666187e-36,4.332520297916014e-41,1.8192277252246405e-32,1.4349561656658863e-45,3.7964595198349396e-41,2.249651728490516e-18
1.3690093042319126e-19,0.26690589732147574,3.76,0.0,0.9215436532906697,1.0,1.7813867599107285e-43,1.9395625750540632e-31,1.1755941460454037e-15,1.1755941460446791e-15,1.876067673408144e-17,3.259026804328967e-33,4.1047771751775337e-32,2.7266767364064148e-27,7.238502261743636e-28,1.641387137925581e-39,1.4569318015878191e-36,1.876067673207932e-17,4.261108865524659e-31,5.142061093692606e-18,8.578833851638943e-24,1.9371679108292508e-31,5.5333871307435065e-31,5.940081474504763e-36,2.085922136225232e-40,8.758798384759359e-32,1.4088484726244183e-44,1.8278318978942518e-40,5.142061093692606e-18
2.9091447714928146e-19,0.26690589732147585,3.76,0.0,0.9215436532906683,1.0,1.5756164174333407e-42,8.470579344654408e-31,2.49813756034648e-15,2.4981375603433155e-15,3.986643805992143e-17,1.4233026288254506e-32,1.792664034043109e-31,7.4173156613077e-27,3.161244110174699e-27,1.451788335373388e-38,6.370153462604516e-36,3.9866438055668446e-17,1.8609381909033357e-30,1.0926879824096778e-17,1.8230023372362896e-23,8.460121206979507e-31,2.4165755350894767e-30,2.5941896398625493e-35,9.109770967760119e-40,3.825197368047249e-31,1.2461105193343239e-43,7.982622661380474e-40,1.0926879824096778e-17
5.989415706014618e-19,0.26690589732147596,3.76,0.0,0.9215436532906657,1.0,1.3244005399851542e-41,3.5363001416341004e-30,5.14322438894862e-15,5.143224388935411e-15,8.207796071159622e-17,5.942008306649038e-32,7.48401945126117e-31,2.1960340898514777e-26,1.3197571867755842e-26,1.2203155726841613e-37,2.66555589939923e-35,8.207796070284634e-17,7.769050620406398e-30,2.249651728490509e-17,3.753240698565323e-23,3.531934066774567e-30,1.0088727155141424e-29,1.083023107945903e-34,3.803150869095534e-39,1.5969446013198385e-30,1.0474309752906531e-42,3.332588280933369e-39,2.249651728490509e-17
1.2149957575058226e-18,0.26690589732147624,3.76,0.0,0.9215436532906602,0.9999999999999999,1.0858235847089488e-40,1.4446940017865353e-29,1.0433398046152856e-14,1.0433398046098893e-14,1.6650100601492503e-16,2.427504283566104e-31,3.0574661399102312e-30,7.169338092222303e-26,5.391638734082461e-26,1.0004884348371865e-36,1.0939860571278853e-34,1.665010059972007e-16,3.1739106761525236e-29,4.563579220652157e-17,7.613719249960373e-23,1.4429103110036292e-29,4.121574229926831e-29,4.42450277793005e-34,1.553711890614894e-38,6.524039761034293e-30,8.587471966554544e-42,1.3614714266373864e-38,4.563579220652157e-17
2.4471041313145438e-18,0.26690589732147674,3.76,0.0,0.9215436532906495,0.9999999999999997,8.793280990657393e-40,5.839684200910007e-29,2.1013745360561153e-14,2.101374536034304e-14,3.3534709662149954e-16,9.812360498083165e-31,1.2358766956228976e-29,2.537474191642247e-25,2.179386581152649e-25,8.102214739281212e-36,4.4626473632197705e-34,3.353470965859037e-16,1.2829454416347318e-28,9.1914342049754e-17,1.5334683667698431e-22,5.832474183077156e-29,1.6660062020310367e-28,1.7884547647405102e-33,6.280357269683046e-38,2.637121177344668e-29,6.954357443731797e-41,5.503288212031464e-38,9.191434204975398e-17
4.911320878931987e-18,0.26690589732147774,3.76,0.0,0.9215436532906279,0.9999999999999993,7.077597672903537e-39,2.3481113807623057e-28,4.217443998937704e-14,4.217443998849999e-14,6.730392778343168e-16,3.945507047692574e-30,4.969405814697654e-29,9.482073284058377e-25,8.763217589507704e-25,6.521367298645351e-35,1.8270459025858568e-33,6.730392777632873e-16,5.158667193762857e-28,1.8447144173621667e-16,3.077664176296671e-22,2.345212220473124e-28,6.6989376646901765e-28,7.191297951436104e-33,2.5253083711988998e-37,1.0603748233217814e-28,5.597471886091023e-40,2.212850418377183e-37,1.8447144173621664e-16
9.839754374166872e-18,0.26690589732147973,3.76,0.0,0.9215436532905847,0.9999999999999987,5.679326615168635e-38,9.41697723585713e-28,8.449582924700596e-14,8.449582924348863e-14,1.3484236402586226e-15,1.5823248315344332e-29,1.9929539756977637e-28,3.658534477753657e-24,3.514442197555594e-24,5.232986555346798e-34,7.589033905832756e-33,1.3484236401179634e-15,2.068856270878181e-27,3.6958564110913336e-16,6.16606749926744e-22,9.405349954864586e-28,2.6865736208011548e-27,2.8840321184012685e-32,1.0127650811369347e-36,4.252577276810496e-28,4.491618672044416e-39,8.874539411288782e-37,3.6958564110913326e-16
1.969662136463664e-17,0.2669058973214837,3.76,0.0,0.9215436532904984,0.9999999999999973,4.550372772668899e-37,3.771703068398183e-27,1.6913860776225244e-13,1.6913860774816472e-13,2.6991923651019216e-15,6.337552995385953e-29,7.982210950515094e-28,1.436481809858091e-23,1.407610002079899e-23,4.192757232409075e-33,3.249255299412708e-32,2.6991923648269546e-15,8.286216173711884e-27,7.398140398549319e-16,1.2342920960879424e-21,3.767045809635277e-27,1.0760307576405353e-26,1.1551171514977187e-31,4.056370732303171e-36,1.7032490200706797e-27,3.598760760388286e-38,3.554460329682717e-36,7.398140398549317e-16
3.941035534557618e-17,0.26690589732149167,3.76,0.0,0.9215436532903256,0.9999999999999947,3.6430655891789676e-36,1.509664405553807e-26,3.3842416479270016e-13,3.384241647363125e-13,5.400729814767264e-15,2.5366730576916573e-28,3.1949644883268327e-27,5.691990261814773e-23,5.634108343780873e-23,3.3567551606672227e-32,1.4684048660334005e-31,5.400729814243487e-15,3.3166459142897576e-26,1.4802708373463898e-15,2.469681514680114e-21,1.5078000628985144e-26,4.306927247328295e-26,4.623478935946298e-31,1.623627710699696e-35,6.817434689747524e-27,2.8811968087199976e-37,1.4227229631045317e-35,1.4802708373463894e-15
7.883782330745526e-17,0.26690589732150766,3.76,0.0,0.9215436532899801,0.9999999999999892,2.915560553030592e-35,6.040626003860511e-26,6.769952788534136e-13,6.769952786277897e-13,1.0803804714012926e-14,1.0149998365562963e-27,1.278401865826356e-26,2.266001406840176e-22,2.2543772124502387e-22,2.686424313109293e-31,7.218817190201319e-31,1.0803804713070752e-14,1.3270903744893114e-25,2.9611844323287495e-15,4.94053525695631e-21,6.033164400765474e-26,1.7233319019299085e-25,1.8499938166250253e-30,6.496804150841468e-35,2.7278617393731897e-26,2.3058331011867345e-36,5.692845164574045e-35,2.9611844323287463e-15
1.5769275923121344e-16,0.26690589732153963,3.76,0.0,0.9215436532892892,0.9999999999999785,2.332892825770546e-34,2.416645305897079e-25,1.3541375069741141e-12,1.3541375060714719e-12,2.1609954512164185e-14,4.0606618467836866e-27,5.114439165279187e-26,9.042408922433984e-22,9.018976798810668e-22,2.1495476093149938e-30,3.962799890381976e-30,2.1609954510702085e-14,5.309225612403601e-25,5.9230116222912454e-15,9.882542361978188e-21,2.4136587353095948e-25,6.89444977202425e-25,7.401179959947124e-30,2.5992874788281866e-34,1.0913222046054785e-25,1.845016817108319e-35,2.2775888784260483e-34,5.923011622291232e-15
3.154026310787298e-16,0.26690589732160347,3.76,0.0,0.9215436532879074,0.9999999999999568,1.8664937225175867e-33,9.667380464303416e-25,2.7084219632126086e-12,2.7084219596017455e-12,4.322225410710643e-14,1.6243981918063215e-26,2.0459415722937177e-25,3.6126434916382955e-21,3.6078843222702485e-21,1.71980136488182e-29,2.4451612672966684e-29,4.322225410587198e-14,2.1238630592103686e-24,1.1846666002207342e-14,1.9767755054716526e-20,9.65542166090096e-25,2.7580043564310278e-24,2.960712969722525e-29,1.039913839629785e-33,4.365643148321878e-25,1.4761536025104087e-34,9.111737970628619e-34,1.1846666002207279e-14
