Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300)
0.0,0.26519817454476874,3.76,0.0,0.6629223446104662,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.152035758310093e-22,0.26519817454476874,3.76,0.0,0.6629223446104662,0.9999999999999998,8.154062131981881e-54,8.568653228940505e-39,1.3095120604490535e-20,1.3095120604490525e-20,5.421104458803932e-22,4.705989271340158e-41,6.2064730904206696e-40,4.009741308577544e-33,9.938627955832127e-36,2.8979890092439867e-50,1.3122676422298731e-27,5.421104458763933e-22,5.058803775888049e-38,1.563191049485147e-23,7.032545524124057e-30,8.587047861457843e-39,1.9538658679997315e-38,2.8925618240985585e-45,7.274099308076191e-44,1.2039400002863547e-39,1.354942966746889e-55,5.435816445649916e-50,1.563191049485147e-23,3.70082860710423e-46,1.4021138234013934e-65,1.9975993321917323e-43,3.350538772759508e-42,3.464101610174753e-16,3.969557187754369e-68,1.2453207980509257e-59,3.5282416086991685e-59,1.144591903922523e-43,1.3122676422299305e-27,1.3048646780590712e-75,2.7000653693320987e-71,5.2106725087748965e-65,7.165410383881183e-67,2.8389172454654046e-60,5.498050115451242e-67,4.274125958273231e-79,1.6739317410988671e-50,2.7954125484695607e-64,5.191000068838644e-47,2.408441588854134e-80
6.02570012326826e-22,0.26519817454476874,3.76,0.0,0.6629223446104662,0.999999999999999,9.680502563091961e-53,5.17546655028186e-38,3.6666337692573495e-20,3.6666337692573435e-20,1.5179092484651002e-21,2.842417519899683e-40,3.7487097466118746e-39,1.12594771186971e-32,6.002931285322578e-35,3.440492551774446e-49,3.6743493982434565e-27,1.5179092484539003e-21,3.0555174806363603e-37,4.3769349385584114e-23,1.9691127534814235e-29,5.186576908320686e-38,1.1801349842718358e-37,1.7471073417558858e-44,4.3935559820780165e-43,7.271797601728031e-39,1.6085882901219042e-54,3.2832331335628364e-49,4.3769349385584114e-23,2.2353004786915873e-45,1.6645895313232456e-64,1.2065499966698625e-42,2.0237254187439173e-41,9.699484508475551e-16,4.712658293309763e-67,1.8819286522431088e-58,5.331864668999521e-58,6.913335099692071e-43,3.6743493982438045e-27,3.679917817321651e-74,3.205517606479322e-70,6.186110402417568e-64,8.506775207743741e-66,3.370362553816516e-59,6.52728509707744e-66,1.3433694391039165e-77,1.0110548479730395e-49,3.318713777543046e-63,3.13536404157236e-46,5.3915475610820515e-79
1.3773028853184593e-21,0.26519817454476874,3.76,0.0,0.6629223446104662,0.9999999999999978,9.504374821047613e-52,2.491764358978592e-37,8.380877186873941e-20,8.380877186873912e-20,3.46950685363451e-21,1.368501680121059e-39,1.8048423746910182e-38,2.588775455765613e-32,2.890153009555944e-34,3.3778959891747485e-48,8.398512910269877e-27,3.469506853608913e-21,1.471100138028213e-36,1.0004422716704939e-22,4.500829182526211e-29,2.497113518112165e-37,5.681841944143194e-37,8.411569784483853e-44,2.1153080787885524e-42,3.5010575208303944e-38,1.579321522040167e-53,1.5807354229692755e-48,1.0004422716704939e-22,1.0762009589468414e-44,1.634303873107755e-63,5.809018858404404e-42,9.74336675114227e-41,2.217025030502211e-15,4.6269158580698024e-66,2.0244929193399633e-57,5.735771867335532e-57,3.3284732566067457e-42,8.398512910271553e-27,8.004617894153224e-73,3.1471961945180745e-69,6.073559876228058e-63,8.35200234345191e-65,3.309041941314441e-58,6.408527214611001e-65,2.996678764147017e-76,4.867794626541271e-49,3.2583328664960707e-62,1.509542820009008e-45,1.0656290791555662e-77
2.9267686313017263e-21,0.26519817454476874,3.76,0.0,0.6629223446104662,0.9999999999999953,8.406511895608071e-51,1.0882189600782287e-36,1.7809364022107124e-19,1.7809364022107e-19,7.372702063973318e-21,5.976606374760532e-39,7.882220824800029e-38,5.565953271045383e-32,1.2622057503906422e-33,2.987710748970096e-47,1.7846839934319718e-26,7.372702063918925e-21,6.424680795377501e-36,2.1259398272997994e-22,9.564262148242798e-29,1.0905550784053784e-36,2.4814096523596352e-36,3.6735535166105425e-43,9.238106121256731e-42,1.5290038003612695e-37,1.3968920009973599e-52,6.903486891857583e-48,2.1259398272997994e-22,4.700052331031914e-44,1.4455232685208375e-62,2.5369511522873764e-41,4.255184241360786e-40,4.711178189789512e-15,4.092454678335537e-65,1.8608577650983478e-56,5.272160779452057e-56,1.453631717981654e-41,1.7846839934327041e-26,1.4839207265510387e-71,2.7836593932174134e-68,5.371994929646648e-62,7.387251489366144e-64,2.926810123384944e-57,5.668269747110549e-64,5.612227267535248e-75,2.1258944618889426e-48,2.881958520970078e-61,6.592570087329294e-45,1.8965161235220468e-76
6.02570012326826e-21,0.26519817454476874,3.76,0.0,0.6629223446104662,0.9999999999999903,7.066179778617736e-50,4.543099942009321e-36,3.666633769257349e-19,3.666633769257296e-19,1.5179092484650886e-20,2.49511551180723e-38,3.2906720325102424e-37,1.1726398211556774e-31,5.269460542181853e-33,2.5113509075865393e-46,3.6743493982407424e-26,1.5179092484538914e-20,2.6821777619755564e-35,4.376934938558411e-22,1.9691128510184007e-28,4.552852776147042e-36,1.0359396832134369e-35,1.5336362791418716e-42,3.8567274531419703e-41,6.38328988149665e-37,1.1741718958953639e-51,2.8820698847552535e-47,4.376934938558411e-22,1.9621793274952147e-43,1.2150494076101743e-61,1.059127166291546e-40,1.7764556572776818e-39,9.699484508276066e-15,3.43995474608002e-64,1.5920029892711824e-55,4.510443876027792e-55,6.068626274597666e-41,3.674349398243799e-26,2.55048018068557e-70,2.3398334481087812e-67,4.51548542534433e-61,6.209429992105288e-63,2.4601602622442682e-56,4.7645222614013204e-63,9.693556510979314e-74,8.875196403918441e-48,2.4224597879027668e-60,2.752268236412046e-44,3.198984498173909e-75
1.2223563107201328e-20,0.26519817454476874,3.76,0.0,0.6629223446104662,0.9999999999999803,5.79328110314305e-49,1.8560045640226514e-35,7.438028503350622e-19,7.438028503350406e-19,3.079187332600581e-20,1.019336100250165e-37,1.3443468972514046e-36,2.4871645332386898e-31,2.1527465697447748e-32,2.0589572034702715e-45,7.453680207853493e-26,3.079187332577875e-20,1.0957571330722119e-34,8.878925161075633e-22,3.994486295609859e-28,1.8599889149849866e-35,4.2321516247219646e-35,6.265404613511134e-42,1.575599006526513e-40,2.6077821982019655e-36,9.626570607329218e-51,1.1774195898476824e-46,8.878925161075633e-22,8.016142796204308e-43,9.961709163676577e-61,4.326880060578127e-40,7.257401003014343e-39,1.967609714489698e-14,2.8202827342244014e-63,1.316298855284351e-54,3.729321958624421e-54,2.4792318475727225e-40,7.45368020786598e-26,4.227233538624566e-69,1.9183368276221164e-66,3.70206776583582e-60,5.0908658654862974e-62,2.0169880196101798e-55,3.906243210341092e-62,1.610585453053899e-72,3.625811821801846e-47,1.9860788929782497e-59,1.124391378837742e-43,5.254529960147271e-74
2.4619289075067464e-20,0.26519817454476874,3.76,0.0,0.6629223446104662,0.9999999999999604,4.691549238332698e-48,7.502267197466976e-35,1.4980817971537169e-18,1.4980817971536298e-18,6.201743500871482e-20,4.120319495537025e-37,5.434065101157159e-36,5.445956853327607e-31,8.701745829470549e-32,1.66739692544039e-44,1.5012341827059826e-25,6.201743500825776e-20,4.4292255283692295e-34,1.7882905606110078e-21,8.045233873605637e-28,7.518372581018271e-35,1.710703352995287e-34,2.5325767199992847e-41,6.36882310098731e-40,1.054107259355672e-35,7.795846463512353e-50,4.7593182539572215e-46,1.7882905606110078e-21,3.2402530853522744e-42,8.067250384902094e-60,1.748994102633338e-39,2.933557521137579e-38,3.9629322416730054e-14,2.28393807906609e-62,1.0703923675646948e-53,3.032622578301278e-53,1.0021451522958704e-39,1.5012341827110303e-25,6.882953727352204e-68,1.5535188993788938e-65,2.9980304593625662e-59,4.122715167481587e-61,1.6334091922259546e-54,3.16337702814562e-61,2.62565007088108e-71,1.4656147481279496e-46,1.6083781801061146e-58,4.544969727671187e-43,8.517971060677964e-73
4.9410741010799735e-20,0.26519817454476874,3.76,0.0,0.6629223446104662,0.9999999999999205,3.77616698265279e-47,3.0166286440030233e-34,3.0066396907910264e-18,3.0066396907906755e-18,1.244685583741296e-19,1.6567623477383836e-36,2.185013677200995e-35,1.268251307719664e-30,3.4989337263606134e-31,1.3420661058481578e-43,3.0129665065395824e-25,1.2446855837321333e-19,1.7809721045148704e-33,3.589086649617897e-21,1.614673178484864e-27,3.0231045478295072e-34,6.878662942926627e-34,1.0183379604483037e-40,2.560875757805307e-39,4.2385189284860915e-35,6.2747754571483765e-49,1.9137009526294743e-45,3.589086649617896e-21,1.3028915144936124e-41,6.493224992026149e-59,7.032628373487817e-39,1.1795705768824567e-37,7.953577295476113e-14,1.8383120643533246e-61,8.633102216638607e-53,2.4459199325509507e-52,4.02958158143794e-39,3.01296650655988e-25,1.1109114865659587e-66,1.2504071635184293e-64,2.4130757364505656e-58,3.318319834902656e-60,1.3147098212912804e-53,2.546161040182561e-60,4.2404233327506696e-70,5.893201698399526e-46,1.2945626850882682e-57,1.82751233774797e-42,1.3718051432228975e-71
9.899364488226428e-20,0.26519817454476874,3.76,0.0,0.6629223446104662,0.9999999999998407,3.030136189022932e-46,1.2098030083162357e-33,6.023755478065645e-18,6.0237554780642384e-18,2.4937080510494593e-19,6.644358022761935e-36,8.762882116125112e-35,3.243151185969651e-30,1.403228917905627e-30,1.0769235295715016e-42,6.036431154176115e-25,2.493708051031145e-19,7.142494698340627e-33,7.190678827631675e-21,3.234973862834044e-27,1.212400135340044e-33,2.7586514958326897e-33,4.08399068429213e-40,1.0270257168475736e-38,1.6998356626660056e-34,5.035112132805635e-48,7.674796863670393e-45,7.190678827631669e-21,5.225177705786495e-41,5.21040420304148e-58,2.8203985280655203e-38,4.730605588233291e-37,1.5934867400828306e-13,1.4751296591125645e-60,6.934577187032143e-52,1.9646958882459445e-51,1.6160424415988338e-38,6.036431154257517e-25,1.7852049196968546e-65,1.0033730011657484e-63,1.9363413083004813e-57,2.662742687025745e-59,1.0549718340533325e-52,2.0431338836858596e-59,6.816349833313528e-69,2.3634609270150764e-45,1.0388050260725312e-56,7.329141847270431e-42,2.2020608103007967e-70
1.9815945262519336e-19,0.26519817454476874,3.76,0.0,0.6629223446104662,0.999999999999681,2.427796305349452e-45,4.845522332708249e-33,1.2057987052614883e-17,1.2057987052609251e-17,4.991752985665259e-19,2.661208890458542e-35,3.509723540928396e-34,9.303305476371979e-30,5.620234874788115e-30,8.628493252136332e-42,1.2083360449326516e-24,4.991752985628768e-19,2.860723384783708e-32,1.439386318365923e-20,6.475579639934721e-27,4.855924386925639e-33,1.1048995033125348e-32,1.635726472034497e-39,4.1134598050842543e-38,6.808208946006245e-34,4.0342169029383867e-47,3.0739219943454204e-44,1.4393863183659213e-20,2.092796520690111e-40,4.174663992691971e-57,1.129630529939815e-37,1.8947097053449175e-36,3.1897447602516593e-13,1.1818988039253348e-59,5.558921943239394e-51,1.5749469284475008e-50,6.472598999020828e-38,1.2083360449652546e-24,2.8625392831735453e-64,8.039193998449238e-63,1.5514293683580195e-56,2.1334344246654195e-58,8.452612559172666e-52,1.636993384785871e-58,1.093156428821662e-67,9.466359428011688e-45,8.323081362440362e-56,2.9354795974191287e-41,3.5290468651663855e-69
3.964910681110515e-19,0.26519817454476874,3.76,0.0,0.6629223446104662,0.9999999999993617,1.943713248712648e-44,1.9394717130144655e-32,2.4126450201713356e-17,2.4126450201690815e-17,9.987842854894753e-19,1.0651770893261484e-34,1.4048040762721501e-33,2.986503219276704e-29,2.2495586253894023e-29,6.908041094984862e-41,2.417721903913665e-24,9.98784285482242e-19,1.1450348799393378e-31,2.880023189571434e-20,1.295680882774535e-26,1.9436352452183922e-32,4.4224774644541597e-32,6.547168715052646e-39,1.6464559205965489e-37,2.725057848543011e-33,3.229826498933716e-46,1.2303699618509602e-43,2.8800231895714264e-20,8.376640069144081e-40,3.3422697635004153e-56,4.521466075138624e-37,7.583776571602151e-36,6.38226079698288e-13,9.46237689029454e-59,4.451646038407113e-50,1.2612348783093474e-49,2.590726407595577e-37,2.4177219040441623e-24,4.585037655240047e-63,6.436243381463732e-62,1.2420868301616961e-55,1.708044759196519e-57,6.767229597625618e-51,1.3105900713262142e-57,1.7510853165700074e-66,3.7891612521895357e-44,6.663525879721625e-55,1.1749568457659978e-40,5.6510792404639264e-68
7.931542990827677e-19,0.26519817454476874,3.76,0.0,0.6629223446104662,0.9999999999987232,1.5555613336565566e-43,7.760413133892131e-32,4.8263376499910306e-17,4.8263376499820117e-17,1.9980022593345308e-18,4.26209583144419e-34,5.621046143524983e-33,1.0475415816776674e-28,9.001164687320971e-29,5.5285323706794135e-40,4.836493621679427e-24,1.998002259320334e-18,4.581630996723344e-31,5.761296931982457e-20,2.5919337737803726e-26,7.777072683266055e-32,1.7695670401454202e-31,2.6197202948011324e-38,6.587968290533936e-37,1.0903780943862408e-32,2.5848428093526385e-45,4.923083094068076e-43,5.761296931982427e-20,3.3517471365532284e-39,2.674831906801026e-55,1.809175420904635e-36,3.0344984566639816e-35,1.2767292856019569e-12,7.572777334842884e-58,3.5631211055973106e-49,1.00949908658039e-48,1.0366280207853582e-36,4.8364936222015865e-24,7.340042359280795e-62,5.150950824676054e-61,9.940469596760742e-55,1.366954917028655e-56,5.415840377307519e-50,1.0488703744415197e-56,2.803365598713781e-65,1.5162784823966445e-43,5.332845885299044e-54,4.701357825121888e-40,9.045412029982449e-67
1.5864807610262002e-18,0.26519817454476874,3.76,0.0,0.6629223446104662,0.9999999999974463,1.2446854119596539e-42,3.1046705836644486e-31,9.653722909630421e-17,9.653722909594337e-17,3.99643820702127e-18,1.7051158769767325e-33,2.248784475064489e-32,3.895951002853882e-28,3.601051995541776e-28,4.423665873871153e-39,9.674037056425887e-24,3.996438206993964e-18,1.8329507365563004e-30,1.1523844416804501e-19,5.184467769566908e-26,3.1113354860634735e-31,7.079420433419678e-31,1.0480587043115463e-37,2.635616298943719e-36,4.36222238709379e-32,2.0682669754748203e-44,1.9695543020849904e-42,1.1523844416804379e-19,1.340917108086784e-38,2.1402724252048527e-54,7.237880088915004e-36,1.2139969736414373e-34,2.553735691638995e-12,6.05937245848446e-57,2.8512187706976635e-48,8.078037927964594e-48,4.147187094813071e-36,9.674037058514863e-24,1.1747254370475035e-60,4.121543291266694e-60,7.953885982329546e-54,1.0937716218682372e-55,4.3334951573264096e-49,8.392556633201219e-56,4.486688661143469e-64,6.067064790947283e-43,4.267086953941186e-53,1.880849255998493e-39,1.4475608179693065e-65
3.1731336849130656e-18,0.26519817454476874,3.76,0.0,0.6629223446104661,0.9999999999948922,9.958428787375461e-42,1.24196930809621e-30,1.93084934289092e-16,1.9308493428764852e-16,7.993310102381264e-18,6.821018716561976e-33,8.995869970364088e-32,1.4995277451813906e-27,1.4405380306688265e-27,3.539268725879895e-38,1.9349123922778563e-23,7.99331010233101e-18,7.332399664291583e-30,2.304893938644859e-19,1.0369648616239545e-25,1.2446354843078018e-30,2.831998644336547e-30,4.192576017026368e-37,1.0543323222322899e-35,1.7450309656442109e-31,1.6547706883535246e-43,7.878862338628779e-42,2.3048939386448104e-19,5.364104975160386e-38,1.7123813166814358e-53,2.895387938044927e-35,4.856383082475522e-34,5.10774848063187e-12,4.84795827735938e-56,2.2812638062924275e-47,6.46324853665061e-47,1.6590098498994594e-35,1.9349123931135143e-23,1.8798156629424473e-59,3.297547745473055e-59,6.363712972415981e-53,8.751003816679129e-55,3.467125303181531e-48,6.714682873955992e-55,7.179744999099102e-63,2.427794308879102e-42,3.4139936960071115e-52,7.52400927096791e-39,2.316333252525112e-64
6.3464395326867955e-18,0.2651981745447688,3.76,0.0,0.6629223446104658,0.9999999999897842,7.967121263677865e-41,4.968079400133316e-30,3.8618034467466743e-16,3.861803446688933e-16,1.5987053893047306e-17,2.728518596570127e-32,3.598494393510514e-31,5.880396077538595e-27,5.762386595775919e-27,2.831549398526451e-37,3.8699297642923055e-23,1.5987053892964244e-17,2.933079213450106e-29,4.6099129325736755e-19,2.0740461729984058e-25,4.978744525152206e-30,1.1328455535604827e-29,1.6770986513567153e-36,4.217500900337248e-35,6.980407884574001e-31,1.3238793972188952e-42,3.1516763306453133e-41,4.609912932573483e-19,2.1457293055717435e-37,1.3699713662173643e-52,1.1582025211035738e-34,1.9426322556374624e-33,1.0215773966292823e-11,3.878550796204946e-55,1.8251265679632325e-46,5.170926127430762e-46,6.636309433363519e-35,3.86992976763506e-23,3.0079090452123065e-58,2.63816349029974e-58,5.091212065530325e-52,7.001135407785115e-54,2.7738319204492085e-47,5.372001410505496e-54,1.148842660515252e-61,9.71773968391383e-42,2.731324616789805e-51,3.009726123318444e-38,3.7063219701637785e-63
1.2693051228234257e-17,0.26519817454476874,3.76,0.0,0.6629223446104654,0.9999999999795681,6.373848335530729e-40,1.9872722033547452e-29,7.723711654458182e-16,7.72371165422721e-16,3.197454147416361e-17,1.0914297124214572e-31,1.4394270279026969e-30,2.32861449118911e-26,2.3050015336436807e-26,2.2652932872744028e-36,7.739964503296931e-23,3.197454147406729e-17,1.1732555552483185e-28,9.219950920431305e-19,4.148389363907788e-25,1.9915383291208396e-29,4.531474407461961e-29,6.708531114231987e-36,1.687034683018134e-34,2.7922199514568805e-30,1.0591286570449436e-41,1.2606987034094562e-40,9.219950920430531e-19,8.583091887100794e-37,1.0960051528843123e-51,4.63290608755811e-34,7.770686928665584e-33,2.0431824568315542e-11,3.102914373065773e-54,1.460147464927384e-45,4.13687182585795e-45,2.6545777812221213e-34,7.739964516668105e-23,4.812817662698e-57,2.1105809787438846e-57,4.073066330154332e-51,5.601041271551572e-53,2.2191182088364202e-46,4.297703288884811e-53,1.838215036163661e-60,3.8921088841196934e-41,2.185111558678438e-50,1.203914901690521e-37,5.930266167713456e-62
2.5386274619329177e-17,0.2651981745447688,3.76,0.0,0.6629223446104646,0.999999999959136,5.0991392423279203e-39,7.949169772997235e-29,1.5447528069881186e-15,1.5447528068957296e-15,6.394951663553311e-17,4.365763808940221e-31,5.757766564362494e-30,9.267369125416703e-26,9.22009992510297e-26,1.8122561373094427e-35,1.5480033961209694e-22,6.394951663561965e-17,4.693069960327901e-28,1.8440026896146554e-18,8.297798018374724e-25,7.966234361360135e-29,1.8126082017345588e-28,2.683439761523227e-35,6.748207378374767e-34,1.1168993339825694e-29,8.473129814526876e-41,5.042866289644783e-40,1.8440026896143453e-18,3.4332717126659066e-36,8.768178009175105e-51,1.8531826835754208e-33,3.108306239376256e-32,4.086392429516435e-11,2.482361096339667e-53,1.1681364564063768e-44,3.3095498321286953e-44,1.0618419142900337e-33,1.5480034014694029e-22,7.700638805149386e-56,1.6884849660208033e-56,3.258491735906886e-50,4.480886196075292e-52,1.7753156361955256e-45,3.438203676996977e-52,2.941197508277152e-59,1.5608065714737881e-40,1.7481099931071125e-49,4.81570826345119e-37,9.488546675678373e-61
5.0772721401519017e-17,0.2651981745447689,3.76,0.0,0.662922344610463,0.9999999999182717,4.0793356928012274e-38,3.179684158991042e-28,3.0895160900727153e-15,3.0895160897031572e-15,1.2789946695481967e-16,1.7463148444842956e-30,2.3031182453341808e-29,3.6975297859315013e-25,3.688058727451738e-25,1.4498135126152909e-34,3.0960172796654013e-22,1.2789946695610944e-16,1.8772375313790864e-27,3.688017884757701e-18,1.659950441795135e-24,3.1865099584199834e-28,7.250469684135057e-28,1.0733813788608198e-34,2.699296680611247e-33,4.467619993016888e-29,6.778544074749587e-40,2.0171729177031167e-39,3.68801788475646e-18,1.3733156963041318e-35,7.014636394169226e-50,7.412779613617426e-33,1.2433286984850098e-31,8.172811784007628e-11,1.9859008811899767e-52,9.345165589028137e-44,2.6476608161643346e-43,4.247389261896218e-33,3.0960173010585183e-22,1.2321126493744319e-54,1.3507962191308328e-55,2.6068088578222438e-49,3.584730228527234e-51,1.420260936430051e-44,2.7505796499055873e-51,4.70595885672862e-58,6.274835646277118e-40,1.3984962926687954e-48,1.9262928379833672e-36,1.5181771305599871e-59
1.015456149658987e-16,0.26519817454476907,3.76,0.0,0.6629223446104597,0.9999999998365432,3.2634783845943916e-37,1.2718769598056602e-27,6.17904265624189e-15,6.1790426547636555e-15,2.5579936757958305e-16,6.98528065193516e-30,9.212495652460957e-29,1.4771283315700227e-24,1.4752272418482868e-24,1.1598542507537514e-33,6.192045014605589e-22,2.5579936758662955e-16,7.508969214762754e-27,7.376048275043773e-18,3.321447358007602e-24,1.2746072300131462e-27,2.9001952487363176e-27,4.2935365524597955e-34,1.0797214180547106e-32,1.787052488782868e-28,5.4228513484528225e-39,8.068841327333725e-39,7.376048275038812e-18,5.49327696485567e-35,5.611809545499378e-49,2.96512832695963e-32,4.973326472432299e-31,1.634564812947643e-10,1.5887257704306058e-51,7.476162045414396e-43,2.1181370359073763e-42,1.6989600265453737e-32,6.192045100172474e-22,1.9713885814637556e-53,1.0806405507216552e-54,2.0854532743653045e-48,2.8677926915032063e-50,1.1362121197716467e-43,2.200470867018755e-50,7.529568710432408e-57,2.535202790262975e-39,1.118800352878495e-47,7.705188826955317e-36,2.42909113181254e-58
2.0309140209465808e-16,0.26519817454476935,3.76,0.0,0.6629223446104533,0.9999999996730863,2.6107868170161954e-36,5.0875148015972555e-27,1.2358095788580176e-14,1.235809578266723e-14,5.115991687738707e-16,2.7941186212906756e-29,3.685002340729556e-28,5.9047461481688494e-24,5.9009164641537495e-24,9.278847761386066e-33,1.2384100355921708e-21,5.115991688058316e-16,3.00359149952508e-26,1.475210905561585e-17,6.649063735941467e-24,5.098435444252134e-27,1.1600795742138427e-26,1.71741689918098e-33,4.318891163460044e-32,7.148218619483267e-28,4.338287513191404e-38,3.227643944470419e-38,1.4752109055595993e-17,2.1973137475792184e-34,4.4895883450762094e-48,1.1860599915908207e-31,1.9893323430706372e-30,3.2691311366365155e-10,1.2709830646439755e-50,5.98094146437998e-42,1.6945129863376867e-41,6.79584875640533e-32,1.2384100698143284e-21,3.1542283722871876e-52,8.645143137551328e-54,1.6683650954564387e-47,2.2942375566587687e-49,9.089710434736523e-43,1.7603802944554594e-49,1.2047338415540163e-55,1.0342921501704364e-38,8.950416089370152e-47,3.0820777536099927e-35,3.886551966606136e-57
4.061829763521768e-16,0.2651981745447699,3.76,0.0,0.6629223446104404,0.9999999993461728,2.0886313808590893e-35,2.0350076090736904e-26,2.471620205325649e-14,2.471620202960468e-14,1.0231987709414903e-15,1.1176504051895306e-28,1.4740013886536633e-27,2.3611450203542464e-23,2.3603680810281105e-23,7.423083699555075e-32,2.476821052454052e-21,1.023198771076883e-15,1.2014373591476124e-25,2.950423061675972e-17,1.332278667640773e-23,2.0393755072631062e-26,4.6403212439053686e-26,6.869672719451105e-33,1.7275575633246066e-31,2.859288925616292e-27,3.470632582658362e-37,1.2911410462784383e-37,2.9504230616680286e-17,8.789261919241993e-34,3.5918878180848035e-47,4.7443002039461395e-31,7.957328227658352e-30,6.538260002399084e-10,1.0167881064032625e-49,4.784757900086514e-41,1.3556117391801901e-40,2.718341237920215e-31,2.476821189305651e-21,5.046770606689035e-51,6.916129090895212e-53,1.3346930678989519e-46,1.8353914066753828e-48,7.271773728867763e-42,1.4083068630972912e-48,1.9275766958514426e-54,4.298849290266162e-38,7.160338164191349e-46,1.232830528267189e-34,6.218487998693938e-56
