Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401)
0.0,0.4629231271305608,3.76,0.0,0.7904361902891013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.67281403226642e-21,0.4629231271305607,3.76,0.0,0.7904361902891013,0.9999999999999996,8.334339504250334e-54,2.78161220609946e-39,5.063835812051508e-22,5.063835812051497e-22,5.404169168602911e-23,3.152485666433128e-42,4.09053866993818e-41,2.3516936832660128e-35,9.924363370173386e-37,7.222796222546111e-51,3.101026452362905e-30,5.404169168600663e-23,2.7781977780161e-38,1.9988029147366857e-25,9.30462787322665e-33,2.7819767641367148e-39,5.073392430279123e-39,1.363999981394463e-47,1.1945219904630094e-45,1.0600642096575386e-40,1.3697219987052794e-56,1.6320322677826005e-52,1.9988029147366857e-25,1.2353078379830702e-48,2.4480085915588786e-67,8.244620139213302e-46,1.35709805723755e-44,3.1224989991743916e-16,2.057930012263327e-71,1.2354230268784655e-61,4.6108859847882244e-61,6.836602328257909e-60,3.1010264523634898e-30,8.251128380984188e-77,1.5357288307323577e-75
4.683879290345976e-21,0.4629231271305608,3.76,0.0,0.7904361902891013,0.9999999999999991,9.894527859447467e-53,1.6800937724843466e-38,1.4178740273744219e-21,1.4178740273744159e-21,1.5131673672088138e-22,1.9041013425731444e-41,2.470685356635886e-40,6.906292283964603e-35,5.9943154755846684e-36,8.574903675406668e-50,8.68287406661424e-30,1.513167367208185e-22,1.6780314579217147e-37,5.59664816126272e-25,2.605297482747361e-32,1.6803139655386025e-38,3.064329027888582e-38,8.238559887650755e-47,7.214912822396569e-45,6.402787826328636e-40,1.6261339568629034e-55,9.857474900050216e-52,5.59664816126272e-25,7.461259341448491e-48,2.906275800612214e-66,4.979750564622967e-45,8.196872265656788e-44,8.742997197634834e-16,2.4431745106352355e-70,1.866971278162336e-60,6.967970900211957e-60,1.033147343846331e-58,8.682874066617768e-30,2.3269502214914493e-75,1.8232172685446113e-74
1.0706009806505087e-20,0.4629231271305608,3.76,0.0,0.7904361902891013,0.999999999999998,9.71450612615875e-52,8.088928295341322e-38,3.240854919712964e-21,3.2408549197129354e-21,3.4586682679058523e-22,9.16742831870057e-41,1.1895286452078617e-39,1.7301689368640826e-34,2.886004868046336e-35,8.418891276999518e-49,1.9846569295109333e-29,3.45866826790442e-22,8.07899913847067e-37,1.279233865431479e-24,5.954973586572353e-32,8.089988430109969e-38,1.4753425187251575e-37,3.966511945936588e-46,3.473669948266421e-44,3.082666721679777e-39,1.596547961690862e-54,4.7459498386012465e-51,1.279233865431479e-24,3.592275192900009e-47,2.853398816492142e-65,2.3975355372904266e-44,3.946441150359778e-43,1.9983993594341868e-15,2.3987232225224166e-69,2.0084025062556497e-59,7.495825127750509e-59,1.1114127673002205e-57,1.9846569295126317e-29,5.061625001251299e-74,1.7900455271909914e-73
2.2750270838823312e-20,0.4629231271305608,3.76,0.0,0.7904361902891013,0.9999999999999958,8.592370655311506e-51,3.5326475017505446e-37,6.886816704390049e-21,6.886816704389922e-21,7.349670069299906e-22,4.003656797106875e-40,5.1949841107164965e-39,4.3237283071109285e-34,1.2603941480119332e-34,7.44641399359566e-48,4.2173959752069196e-29,7.349670069296881e-22,3.5283111780802965e-36,2.7183719640418928e-24,1.2654352646124732e-31,3.5331104904540443e-37,6.443208386454374e-37,1.7322799764134642e-45,1.5170429278880122e-43,1.3462815462605855e-38,1.4121285917851716e-53,2.0726809840677503e-50,2.7183719640418928e-24,1.5688409542848382e-46,2.5237989420720985e-64,1.0470667585141946e-43,1.7235145326017712e-42,4.246598638690052e-15,2.1216435259158316e-68,1.8460679205231623e-58,6.889954709349339e-58,1.0215798127068992e-56,4.217395975214337e-29,9.383399704458331e-73,1.5832749996562373e-72
4.683879290345976e-20,0.4629231271305608,3.76,0.0,0.7904361902891013,0.9999999999999913,7.222405264968656e-50,1.474810791677741e-36,1.4178740273744218e-20,1.417874027374369e-20,1.5131673672087913e-21,1.671447901005967e-39,2.1688036027067315e-38,1.1568766860850891e-33,5.261897458865148e-34,6.259159641718033e-47,8.682874066586765e-29,1.5131673672081769e-21,1.4730004619040003e-35,5.59664816126272e-24,2.6053218172839077e-31,1.4750040803456614e-36,2.689912666533891e-36,7.231927901734298e-45,6.333355593434788e-43,5.620460439563877e-38,1.1869791685259745e-52,8.65303511948693e-50,5.59664816126272e-24,6.549602157401533e-46,2.1214050854692907e-63,4.3712976053178415e-43,7.195333898664231e-42,8.742997196859613e-15,1.783369222599812e-67,1.579349972413136e-57,5.89450131232144e-57,8.739830377216549e-56,8.682874066617733e-29,1.6127666622967483e-71,1.3308380408469783e-71
9.501583703273265e-20,0.4629231271305608,3.76,0.0,0.7904361902891013,0.9999999999999823,5.921364195583161e-49,6.025083302931908e-36,2.8762587412452556e-20,2.8762587412450395e-20,3.0695680877663533e-21,6.828410058535251e-39,8.860270379832867e-38,3.42905232213148e-33,2.1496568034323743e-33,5.131637236776944e-46,1.7613830249297947e-28,3.0695680877651405e-21,6.017687515092841e-35,1.1353200555704376e-23,5.28513788567061e-31,6.025872950193866e-36,1.0989170939680944e-35,2.9544785200214534e-44,2.5873824122224237e-42,2.2961414806524165e-37,9.731572366182994e-52,3.535047203474427e-49,1.1353200555704376e-23,2.6757261897357394e-45,1.7392560661176541e-62,1.785817706990042e-42,2.939528675213651e-41,1.7735794311830072e-14,1.4621138360636798e-66,1.3058370988237502e-56,4.873687673506328e-56,7.226260767630392e-55,1.7613830249424466e-28,2.673042468042546e-70,1.0911014385555764e-70
1.9136992529127845e-19,0.4629231271305608,3.76,0.0,0.7904361902891013,0.9999999999999644,4.7952742473420795e-48,2.435435003852484e-35,5.793028168986924e-20,5.79302816898605e-20,6.1823695288813196e-21,2.760152524892521e-38,3.5814629507289482e-37,1.1266075295416985e-32,8.689256500023125e-33,4.155732881020707e-45,3.547574261452628e-28,6.182369528879011e-21,2.4324455081454925e-34,2.2866305344587688e-23,1.0644941874619353e-30,2.4357541918889865e-35,4.4419985955453285e-35,1.194247455974387e-43,1.0458613397058473e-41,9.281370986091077e-37,7.880879610186296e-51,1.4289226127816083e-48,2.2866305344587685e-23,1.0815713072187413e-44,1.4084946671855557e-61,7.218560725930202e-42,1.1882044892546136e-40,3.572138853629633e-14,1.1840576935140806e-65,1.0618850419688873e-55,3.963201875938799e-55,5.876275245534691e-54,3.5475742615037695e-28,4.3523567181595054e-69,8.836022447055917e-70
3.8407810180837005e-19,0.4629231271305608,3.76,0.0,0.7904361902891013,0.9999999999999284,3.8596538937318455e-47,9.79277703627645e-35,1.1626567024470258e-19,1.1626567024466745e-19,1.2407972411110622e-20,1.1098451925564269e-37,1.440090500372636e-36,4.011080804675189e-32,3.4939118219186055e-32,3.344895363233119e-44,7.119956734420682e-28,1.240797241110653e-20,9.780756405409115e-34,4.5892514922354307e-23,2.1365237261218188e-30,9.794060477235075e-35,1.7861080986489209e-34,4.802016496642171e-43,4.2053624483041604e-41,3.73199845243958e-36,6.343217531307682e-50,5.745635080984094e-48,4.589251492235429e-23,4.3489506582704855e-44,1.13367906306619e-60,2.902551540897331e-41,4.7777179898555886e-40,7.169257696333015e-14,9.530326443769367e-65,8.564487557744767e-55,3.196465889792503e-54,4.739428868212907e-53,7.119956734626319e-28,7.024721290452065e-68,7.111999759819387e-69
7.694944548425532e-19,0.4629231271305608,3.76,0.0,0.7904361902891013,0.9999999999998564,3.097129177272001e-46,3.927341584291822e-34,2.3293644735436926e-19,2.3293644735422847e-19,2.48591781755667e-20,4.450975627697232e-37,5.775407000554041e-36,1.5048302076842139e-31,1.4012149096132014e-31,2.6840678748394513e-43,1.4264721680046337e-27,2.485917817556067e-20,3.9225207735880726e-33,9.194493407788756e-23,4.2808577669221315e-30,3.927856301441124e-34,7.163092331951962e-34,1.9258233914572973e-42,1.6865384312023912e-40,1.4966982970464263e-35,5.090032586986478e-49,2.3042567285270314e-47,9.194493407788747e-23,1.744123726483729e-43,9.09706081425569e-60,1.1640530048425655e-40,1.916078600742959e-39,1.4363495372980317e-13,7.647486803353931e-64,6.87946216318168e-54,2.567575233953495e-53,3.806967008145578e-52,1.4264721680871036e-27,1.1288538529902826e-66,5.706932194580301e-68
1.5403271609109196e-18,0.4629231271305608,3.76,0.0,0.7904361902891013,0.9999999999997126,2.481472219188241e-45,1.572985124279556e-33,4.662780015737027e-19,4.662780015731386e-19,4.976158970446877e-20,1.7827118797756323e-36,2.3131752347880417e-35,5.819584350873119e-31,5.612168336598809e-31,2.1505205253999528e-42,2.855425157005585e-27,4.9761589704465376e-20,1.5710542854043782e-32,1.8404977238895403e-22,8.570625702444985e-30,1.5731912795515096e-33,2.8689731819003077e-33,7.713338614243177e-42,6.754950662554565e-40,5.994599924311086e-35,4.078220098641629e-48,9.229046504172477e-47,1.840497723889537e-22,6.9855922145565585e-43,7.288719287816266e-59,4.662283824999778e-40,7.674308601073894e-39,2.875197069123705e-13,6.127295671930621e-63,5.514740430377416e-53,2.0582293520776993e-52,3.0517552650191226e-51,2.855425157335894e-27,1.810093887753881e-65,4.5724909433966336e-67
