Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54)
0.0,0.1441902118526218,3.76,0.0,0.5264274631798084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.1441902118526218,3.76,0.0,0.5264274631798084,1.0,2.64513059700043e-37,1.0764115253042672e-28,3.8809136795847115e-18,3.8809136702792874e-18,1.509459778931848e-18,1.0293398083688933e-31,1.2532335244457781e-30,9.193946170253678e-27,9.193923966328416e-27,2.4288236055233855e-35,2.428823051403957e-35,1.5094597840378928e-18,4.997179602292009e-27,1.6952676899010974e-22,1.1807678714892262e-28,1.076411495667741e-28,1.1014402080436857e-28,1.7298564565643288e-39,3.3934182995237433e-48,1.2460226942847277e-30,4.752469300084025e-41,7.908025742086574e-45,1.6952676899010549e-22,3.785055768532127e-41
3.0000000000000002e-15,0.1441902118526218,3.76,0.0,0.5264274631798084,1.0,2.234865469136465e-36,5.404025293985009e-28,9.583480718974495e-18,9.583480672257465e-18,3.727441481887659e-18,5.1680063185149005e-31,6.2917102451738e-30,4.615731790646015e-26,4.6157250777649004e-26,2.0521081024428175e-34,2.052107269205612e-34,3.727441507522131e-18,2.508788119698588e-26,4.186273275062369e-22,5.757356656581922e-28,5.404025060996345e-28,5.529679402927132e-28,8.68745634334678e-39,1.7661737814017043e-47,6.2555411694097964e-30,4.015351607978112e-40,3.9790155704967274e-44,4.186273275061882e-22,1.901037833759464e-40
7e-15,0.1441902118526218,3.76,0.0,0.5264274631798084,1.0,3.4926522831633254e-35,3.32589218904678e-27,2.510713543731334e-17,2.5107135149794727e-17,9.765280485906819e-18,3.181335927427418e-30,3.872136795039603e-29,2.8407374479311773e-25,2.8407348286668225e-25,3.207038466930366e-33,3.207034526149071e-33,9.765280643673598e-18,1.5440264927102205e-25,1.0967344034676265e-21,3.484984522190361e-27,3.325891849082377e-27,3.403225432931178e-27,5.34680060209061e-38,1.1151249175568705e-46,3.849951892053765e-29,6.275199213791632e-39,2.4492761639761124e-43,1.09673440346669e-21,1.1700239741779363e-39
1.5e-14,0.1441902118526218,3.76,0.0,0.5264274631798084,1.0,3.4525977901960222e-34,1.5785907415343502e-26,5.615444487399103e-17,5.615444350932212e-17,2.184095816715689e-17,1.5105732237287546e-29,1.8377918867366212e-28,1.3483180076759235e-24,1.3483170418311056e-24,3.170259071141259e-32,3.1702509165523445e-32,2.184095891597623e-17,7.328516619474568e-25,2.452948555397768e-21,1.6432447593823157e-26,1.5785904135314615e-26,1.615295752631764e-26,2.5388508578017036e-37,6.061127796628851e-46,1.8273259080072145e-28,6.20323318761148e-38,1.165798256357336e-42,2.452948555387928e-21,5.5562711974479134e-39
3.1e-14,0.1441902118526218,3.76,0.0,0.5264274631798083,1.0,3.029172287869976e-33,6.82620916881875e-26,1.182490637473464e-16,1.1824905784618842e-16,4.599231222250416e-17,6.537170065241282e-29,7.946487535440795e-28,5.830452014762485e-24,5.8304483533169225e-24,2.7814588335876556e-31,2.7814443133341563e-31,4.59923154605803e-17,3.1690275077994364e-24,5.165376859320063e-21,7.08432462343524e-26,6.826206324184669e-26,6.984928908417937e-26,1.0988421089095656e-36,3.8473283670231074e-45,7.901776033059412e-28,5.442469444620979e-37,5.071502411043105e-42,5.165376859231339e-21,2.4053513057537294e-38
6.300000000000001e-14,0.14419021185262182,3.76,0.0,0.526427463179808,1.0,2.5317557548230744e-32,2.8343915705286157e-25,2.42438301494057e-16,2.42438276991168e-16,9.429501510458814e-17,2.7185925228918313e-28,3.29908287452225e-27,2.4209300713274965e-23,2.42092862658006e-23,2.324717899245713e-30,2.3246934759488248e-30,9.429502854978392e-17,1.315848979658522e-23,1.059023346767321e-20,2.9372842200832873e-25,2.834389206550617e-25,2.9002941319342293e-25,4.5708391441538115e-36,3.5299766796578186e-44,3.2809703292874445e-27,4.548766473731966e-36,2.1311402197445093e-41,1.0590233466921901e-20,1.0009994676838462e-37
1.2700000000000001e-13,0.1441902118526218,3.76,0.0,0.5264274631798077,0.9999999999999999,2.0691728168216365e-31,1.1546927273617761e-24,4.908167769874782e-16,4.908166771661212e-16,1.9090039995432176e-16,1.1109509605267105e-27,1.3436166743697476e-26,9.86253109199678e-23,9.862525137095838e-23,1.8999615068829537e-29,1.8999214693307222e-29,1.9090045472817465e-16,5.36058512831692e-23,2.1439946688497813e-20,1.1957537955579737e-24,1.1546908007911497e-24,1.1815394374586636e-24,1.8687897424323475e-35,4.500455880929617e-43,1.3366064395092455e-26,3.717647619329947e-35,8.888628708955809e-41,2.1439946682317994e-20,4.096242962267195e-37
2.55e-13,0.14419021185262185,3.76,0.0,0.526427463179807,0.9999999999999997,1.67293588695776e-30,4.6608028447228585e-24,9.875737279743195e-16,9.875733250560495e-16,3.841110859961133e-16,4.5119356249148175e-27,5.420270277955593e-26,3.9809050314836758e-22,3.9809024367707745e-22,1.5361248115039919e-28,1.536059980527279e-28,3.841113070849031e-16,2.16374278057898e-22,4.3139373163292876e-20,4.824830294890033e-24,4.6607872903425584e-24,4.769158046747184e-24,7.597212849175758e-35,6.690831448720184e-42,5.394946949412322e-26,3.0057302382051412e-34,3.7546534683997685e-40,4.313937311317005e-20,1.668188369996865e-36
5.11e-13,0.14419021185262185,3.76,0.0,0.5264274631798057,0.9999999999999993,1.3454094728567916e-29,1.8727476733754244e-23,1.9810876299479987e-15,1.9810860109963687e-15,7.705321234494902e-16,1.8351495749795047e-26,2.1754162154371606e-25,1.5995529394417786e-21,1.5995517164394006e-21,1.2353784596719669e-27,1.2352741150825476e-27,7.705330117982535e-16,8.694055961381824e-22,8.653822637884723e-20,1.9383131616067e-23,1.8727351730377887e-23,1.9162785160759336e-23,3.0960390421726285e-34,1.0466084024843196e-40,2.167626081765017e-25,2.4172617159508276e-33,1.6427321101087652e-39,8.653822597511364e-20,6.82169343244972e-36
1e-12,0.1441902118526219,3.76,0.0,0.526427463179803,0.9999999999999986,1.0367266970349057e-28,7.254755823059432e-23,3.878854419264899e-15,3.878848147724809e-15,1.5086554048843691e-15,7.278703631334171e-26,8.408231480804085e-25,6.196389794997317e-21,6.196383624428384e-21,9.519332996805654e-27,9.517729188212821e-27,1.5086588461925076e-15,3.367925966971058e-21,1.6943681912654815e-19,7.508095598308465e-23,7.254659533069293e-23,7.423333387928942e-23,1.2326100834029151e-33,1.5923159064729927e-39,8.396256748268609e-25,1.862646634855675e-32,7.390486134402444e-39,1.6943681601310042e-19,2.733585332437542e-35
1.023e-12,0.1441902118526219,3.76,0.0,0.5264274631798029,0.9999999999999986,1.0791607916038877e-28,7.50789731067238e-23,3.968115433895346e-15,3.968108943521852e-15,1.543372859839384e-15,7.534739916193389e-26,8.701390481015617e-25,6.412600935442669e-21,6.412594532166107e-21,9.90896685029047e-27,9.907292514760871e-27,1.5433764212253661e-15,3.485443285026592e-21,1.7333593494085718e-19,7.770069005351697e-23,7.507797079655641e-23,7.682356418711395e-23,1.2760234619740194e-33,1.662287412655334e-39,8.689218926856712e-25,1.9388862476470732e-32,7.660830393213804e-39,1.733359316999587e-19,2.830073201049871e-35
2.047e-12,0.144190211852622,3.76,0.0,0.5264274631797974,0.999999999999997,8.644708799745354e-28,3.0065723203733193e-22,7.942171041790007e-15,7.942145051176155e-15,3.089048978583473e-15,3.158636275959151e-25,3.468664641254772e-24,2.5679148740993982e-20,2.5679110976778808e-20,7.937540129656652e-26,7.934857667277753e-26,3.0890632400879473e-15,1.395739643067704e-20,3.469313691248005e-19,3.111425300917439e-22,3.006492042820628e-22,3.0763894312406386e-22,5.3887071373904134e-33,2.652586187150499e-38,3.4789541685379945e-24,1.553139624464008e-31,3.9288300402168804e-38,3.4693134315348044e-19,1.209590488395072e-34
4.095e-12,0.1441902118526222,3.76,0.0,0.5264274631797864,0.9999999999999939,6.920468698318362e-27,1.203336188816409e-21,1.5890282257579464e-14,1.5890178237089768e-14,6.1803798001829034e-15,1.375885608945241e-24,1.3757561261886532e-23,1.0277372602925898e-19,1.0277347764422708e-19,6.3541544910406435e-25,6.349860800517691e-25,6.180436877900218e-15,5.586063425118722e-20,6.941223740223519e-19,1.245276301777039e-21,1.2032719274519013e-21,1.2312427574042021e-21,2.379919331181223e-32,4.23955900076904e-37,1.3918529093872388e-23,1.2433218276920383e-30,2.2616401696097626e-37,6.941221660758502e-19,5.451730002807957e-34
8.191e-12,0.14419021185262265,3.76,0.0,0.5264274631797643,0.9999999999999877,5.538465737933135e-26,4.81495484729882e-21,3.178650468916315e-14,3.1786088492870247e-14,1.2362955781861224e-14,6.376937409102362e-24,5.407112394376521e-23,4.1120620058689045e-19,4.112044282327483e-19,5.084931709025988e-24,5.078063825856661e-24,1.236318415430262e-14,2.235029997030567e-19,1.3885054762466493e-18,4.982729789028209e-21,4.814440563584022e-21,4.926324784346264e-21,1.1308618654391315e-31,6.779979621166216e-36,5.564899869035815e-23,9.949777284816267e-30,1.4564370976023134e-36,1.3885038119818944e-18,2.6699506827131932e-33
1e-11,0.14419021185262354,3.76,0.0,0.5264274631797545,0.999999999999985,1.4102283368125478e-25,8.005801220834349e-21,3.8807077535553096e-14,3.880638557195816e-14,1.509341721795155e-14,1.2068613084083476e-23,8.825954267572126e-23,6.836641564394294e-19,6.836598341844934e-19,1.2946374092066429e-23,1.2916784887389857e-23,1.5093796905507095e-14,3.7159208559078206e-19,1.6951819746113464e-18,8.284758779569294e-21,8.004491674130193e-21,8.190456577218824e-21,2.1957612708767315e-31,2.9231688755280534e-35,9.245017663276286e-23,2.533260120960443e-29,3.395907326272552e-36,1.6951777371932776e-18,5.3023797321101126e-33
1.6383e-11,0.14419021185262354,3.76,0.0,0.5264274631797201,0.9999999999999754,4.431944640489589e-25,1.9264602991026315e-20,6.35789495524171e-14,6.35772845525099e-14,2.472776511544437e-14,3.2151512936711687e-23,2.088923103739387e-22,1.6450235440606308e-18,1.6450102245603851e-18,4.068522800635449e-23,4.05754673283884e-23,2.4728678713654214e-14,8.94119799919887e-19,2.777280420748361e-18,1.9935864941329232e-20,1.9260487383702437e-20,1.9707843660638135e-20,5.953225563252736e-31,1.0845184320693975e-34,2.223019836014577e-22,7.9610414980706e-29,1.0239267453194684e-35,2.777267104039193e-18,1.4590823414973857e-32
3.2767e-11,0.14419021185262523,3.76,0.0,0.5264274631796317,0.9999999999999506,3.5465615798252246e-24,7.708048428893699e-20,1.2716383928034757e-13,1.2715717896222542e-13,4.9456013394511904e-14,1.7692044565709833e-22,7.816292615229272e-22,6.580300273712047e-18,6.580197168758553e-18,3.254943622060141e-22,3.2374267639278494e-22,4.945966788602541e-14,3.576589766473469e-18,5.55490023028141e-18,7.976691997960872e-20,7.704754506841011e-20,7.883515636634527e-20,3.524734202961121e-30,1.7348979579160528e-33,8.866788781259863e-22,6.369222508060716e-28,7.626187435353277e-35,5.554793689134579e-18,8.964253164510821e-32
6.5535e-11,0.14419021185262873,3.76,0.0,0.5264274631794551,0.9999999999999011,2.838510716744824e-23,3.0846610334182516e-19,2.543336187590012e-13,2.543069777283115e-13,9.890702945654019e-14,1.0312329728140097e-21,2.7649406051411615e-21,2.6320075893803365e-17,2.6319265090288358e-17,2.603835545892275e-21,2.5759548697072963e-21,9.892164666525538e-14,1.4305740008860395e-17,1.111069917586408e-17,3.1922310119459746e-19,3.08202389539578e-19,3.1533769943373034e-19,2.3244076139606082e-29,2.7752414412319204e-32,3.526274645353756e-21,5.0953755672348845e-27,5.874490118125417e-34,1.1109846863248079e-17,6.0874091375050965e-31
