Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81)
0.0,0.45217961827134534,3.76,0.0,0.8688614318297718,1.0,0.0,0.0,0.0,0.0,0.0
8.977397663830209e-20,0.45217961827134534,3.76,0.0,0.8688614318297717,1.0,0.0,0.0,1.0606601717798213e-16,1.0606601717798213e-16,0.0
2.5136713458724583e-19,0.45217961827134534,3.76,0.0,0.8688614318297715,1.0,0.0,0.0,2.969848480983499e-16,2.969848480983499e-16,0.0
5.745534504851333e-19,0.45217961827134545,3.76,0.0,0.8688614318297712,1.0,0.0,0.0,6.788225099390852e-16,6.788225099390852e-16,0.0
1.2209260822809084e-18,0.4521796182713455,3.76,0.0,0.8688614318297704,1.0,0.0,0.0,1.4424978336205547e-15,1.4424978336205547e-15,0.0
2.5136713458724584e-18,0.4521796182713456,3.76,0.0,0.8688614318297688,1.0,0.0,0.0,2.9698484809834897e-15,2.9698484809834897e-15,0.0
5.0991618730555585e-18,0.4521796182713459,3.76,0.0,0.8688614318297657,1.0,0.0,0.0,6.024549775709346e-15,6.024549775709346e-15,0.0
1.027014292742176e-17,0.45217961827134634,3.76,0.0,0.8688614318297596,1.0,0.0,0.0,1.2133952365160996e-14,1.2133952365160996e-14,0.0
2.061210503615416e-17,0.4521796182713474,3.76,0.0,0.8688614318297474,1.0,0.0,0.0,2.435275754406405e-14,2.435275754406405e-14,0.0
4.129602925361896e-17,0.4521796182713493,3.76,0.0,0.868861431829723,1.0,0.0,0.0,4.8790367901869196e-14,4.8790367901869196e-14,0.0
8.266387768854857e-17,0.4521796182713533,3.76,0.0,0.8688614318296741,1.0,0.0,0.0,9.766558861747559e-14,9.766558861747559e-14,0.0
1.6539957455840776e-16,0.4521796182713611,3.76,0.0,0.8688614318295764,1.0,0.0,0.0,1.9541603004867285e-13,1.9541603004867285e-13,0.0
3.308709682981262e-16,0.4521796182713767,3.76,0.0,0.8688614318293809,1.0,0.0,0.0,3.90916912911005e-13,3.90916912911005e-13,0.0
6.61813755777563e-16,0.4521796182714082,3.76,0.0,0.8688614318289899,1.0,0.0,0.0,7.819186786354202e-13,7.819186786354202e-13,0.0
1.3236993307364367e-15,0.4521796182714711,3.76,0.0,0.8688614318282079,1.0,0.0,0.0,1.5639222100832542e-12,1.5639222100832542e-12,0.0
2.6474704806541837e-15,0.4521796182715966,3.76,0.0,0.8688614318266439,1.0,0.0,0.0,3.127929272974937e-12,3.127929272974937e-12,0.0
5.295012780489678e-15,0.452179618271848,3.76,0.0,0.8688614318235158,1.0,0.0,0.0,6.255943398742357e-12,6.255943398742357e-12,0.0
1.0590097380160666e-14,0.45217961827235054,3.76,0.0,0.8688614318172598,1.0,0.0,0.0,1.251197165021343e-11,1.251197165021343e-11,0.0
