Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300),O[C](F)F(239),H2O2(11)
0.0,0.1409292279316289,3.76,0.0,1.0023374630346693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8229310232963785e-22,0.1409292279316289,3.76,0.0,1.0023374630346693,0.9999999999999998,2.819763729597898e-53,1.0223953273890734e-38,5.943104373965689e-21,5.943104373965681e-21,3.167594179722167e-22,8.590009432782128e-41,1.1326999004387935e-39,4.789448954439036e-34,8.546175740259127e-36,2.8215518152225945e-50,1.262163172573739e-28,3.167594179717465e-22,1.5859327900074898e-37,1.7240895232925996e-24,4.13359276218724e-31,1.0226697483254436e-38,2.6470390902198963e-38,4.6433624651242446e-46,3.096710021128936e-44,8.090648840336494e-40,1.544817596918441e-55,5.1706967026647244e-51,1.7240895232925996e-24,2.452209806196127e-47,6.99515678996739e-66,3.6718265428679573e-44,6.212574911620359e-43,3.5355339049217025e-16,1.3441710500797493e-69,1.5102646856626548e-59,4.8225803193379265e-59,3.49316052614852e-44,1.2621631725739597e-28,9.191943604768146e-75,3.2742329774226064e-73,8.253774205816557e-66,1.031000453862455e-67,2.0508890016114474e-53,6.189132251135071e-68,1.2703960826412749e-79,5.235268514624941e-52,1.8007593016952995e-65,4.216146258412605e-45,2.120271240949264e-80,4.7373781241091874e-58,1.259081613828378e-40
7.90420686522986e-22,0.1409292279316289,3.76,0.0,1.0023374630346693,0.999999999999999,3.347623499779784e-52,6.175267777432338e-38,1.6640692247103935e-20,1.6640692247103884e-20,8.869263703222058e-22,5.188365697481537e-40,6.841507398637785e-39,1.3687354298042413e-33,5.161890147116487e-35,3.3497463150322496e-49,3.5340568832057523e-28,8.869263703208898e-22,9.579034051645175e-37,4.827450665219279e-24,1.1574060618069782e-30,6.176925279885836e-38,1.5988116104928141e-37,2.804590928940783e-45,1.870412852761876e-43,4.886751899561619e-39,1.8340074510616134e-54,3.123100809525369e-50,4.827450665219279e-24,1.4811347229462382e-46,8.304650143766124e-65,2.2177832320274057e-43,3.752395246604621e-42,9.899494933751017e-16,1.5957998707255202e-68,2.2823119858308654e-58,7.287880911626902e-58,2.1098689577937268e-43,3.5340568832070846e-28,2.5922743212689373e-73,3.887169391932352e-72,9.798880737145453e-65,1.2240037388255169e-66,2.434815422709031e-52,7.347737808577784e-67,3.993862771983473e-78,3.1621115702496055e-51,2.1378614429726397e-64,2.5465523400695847e-44,4.745510305223083e-79,5.624215308940531e-57,7.604852947523399e-40
1.8066758549096823e-21,0.14092922793162893,3.76,0.0,1.0023374630346693,0.9999999999999978,3.2867166032229015e-51,2.973125612050926e-37,3.8035867993380416e-20,3.803586799338017e-20,2.0272602750221802e-21,2.497974743174736e-39,3.293891310457216e-38,3.259075388770161e-33,2.4852279052673143e-34,3.2888007958234085e-48,8.077844304466908e-28,2.0272602750191747e-21,4.611892553341686e-36,1.1034172949072642e-23,2.6454999865616897e-30,2.973923628130622e-37,7.697589674359413e-37,1.3502898048665762e-44,9.005232741442922e-43,2.3527606827674184e-38,1.8006393909682605e-53,1.5036386027768319e-49,1.1034172949072642e-23,7.131026116473916e-46,8.153554762652908e-64,1.0677671588687412e-42,1.8066167842780875e-41,2.2627416991290643e-15,1.566765776184884e-67,2.4552070840456457e-57,7.839968870463011e-57,1.0158110810040197e-42,8.077844304473325e-28,5.638762225009711e-72,3.816445961879609e-71,9.620599214299893e-64,1.2017341290221085e-65,2.390516220265655e-51,7.214052552013388e-66,8.909795143985102e-77,1.5224298969652555e-50,2.09896504205598e-63,1.226055331928942e-43,9.378581847134637e-78,5.521887941455791e-56,3.661409333012918e-39
3.839186191683075e-21,0.1409292279316289,3.76,0.0,1.0023374630346693,0.9999999999999952,2.9070636146737927e-50,1.298442065787741e-36,8.082621948593338e-20,8.082621948593229e-20,4.307928084422116e-21,1.0909311980890803e-38,1.4385288735378454e-37,7.482790867682959e-33,1.085364319012869e-33,2.9089070594217863e-47,1.716541914697774e-27,4.30792808441574e-21,2.0141346433094154e-35,2.3447617516779362e-23,5.621689250383926e-30,1.2987905803735533e-36,3.361739644579222e-36,5.897070330794299e-44,3.932821726833725e-42,1.0275124027202206e-37,1.5926451497192995e-52,6.566784829202027e-49,2.3447617516779362e-23,3.1143064539260096e-45,7.211726861390038e-63,4.6632197115372805e-42,7.889970137539691e-41,4.808326110589389e-15,1.3857865862290096e-66,2.256758304278117e-56,7.206281791832577e-56,4.4363138682089254e-42,1.7165419147005763e-27,1.0453314373849084e-70,3.3756032374323214e-70,8.509311055228874e-63,1.0629202279141003e-64,2.1143845250747762e-50,6.380747785817228e-65,1.66868481940346e-75,6.64893249534552e-50,1.8565108096756577e-62,5.3545057480037586e-43,1.6690526476790886e-76,4.884047350819269e-55,1.5990336495620356e-38
7.90420686522986e-21,0.1409292279316289,3.76,0.0,1.0023374630346693,0.9999999999999901,2.4435621318635525e-49,5.420740025849432e-36,1.664069224710393e-19,1.6640692247103478e-19,8.869263703221928e-21,4.554423002392837e-38,6.00557487195168e-37,1.7702364069432286e-32,4.531182377485028e-33,2.4451116582426753e-46,3.534056883195348e-27,8.869263703208847e-21,8.40861565261884e-35,4.82745066521928e-23,1.1574073435279652e-29,5.4221950056236616e-36,1.4034601256345474e-35,2.461910779086402e-43,1.6418756532025404e-41,4.289662015123784e-37,1.3387142124084482e-51,2.741503406825117e-48,4.82745066521928e-23,1.300161639296206e-44,6.061890982754824e-62,1.946802434914067e-41,3.2939072179447664e-40,9.899494933319636e-15,1.164837126053429e-65,1.9307042418966538e-55,6.165125673776384e-55,1.8520737109642182e-41,3.5340568832070475e-27,1.7966576208901741e-69,2.837397923177687e-69,7.152588666373756e-62,8.934484973100565e-64,1.7772675945242644e-49,5.363402983054779e-64,2.8822216565560797e-74,2.7758661636250235e-49,1.560509198700087e-61,2.2354007460481367e-42,2.815251089371041e-75,4.1053360842806514e-54,6.675650716518022e-38
1.603424821232343e-20,0.14092922793162893,3.76,0.0,1.0023374630346693,0.9999999999999799,2.0033798695194253e-48,2.2145491749653993e-35,3.3756832844125115e-19,3.375683284412326e-19,1.7991934940821318e-20,1.8606304041365563e-37,2.453473292198444e-36,4.523007944862494e-32,1.851135850042782e-32,2.0046502648512646e-45,7.169086820172126e-27,1.7991934940794963e-20,3.4351938604670863e-34,9.79282849230197e-23,2.347886443407612e-29,2.215143581664672e-35,5.733592550979551e-35,1.005770883461276e-42,6.707597774165935e-41,1.7524669013930895e-36,1.0975587930388254e-50,1.1199936013188308e-47,9.79282849230197e-23,5.311584529044127e-44,4.969904498926512e-61,7.953323180877408e-41,1.3456685759903732e-39,2.0081832578018523e-14,9.550038531258276e-65,1.5963436032264007e-54,5.097445083003172e-54,7.566325426061045e-41,7.169086820219924e-27,2.977828217256605e-68,2.326270256870777e-68,5.86412432989891e-61,7.325030579794474e-63,1.457111351933854e-48,4.397241808962801e-63,4.78884144123819e-73,1.1340872345580033e-48,1.2793997230887338e-60,9.132341440198519e-42,4.624179551583709e-74,3.365802555832543e-53,2.727221138816788e-37
3.229433090651057e-20,0.14092922793162893,3.76,0.0,1.0023374630346693,0.9999999999999596,1.622388959487031e-47,8.951561841275273e-35,6.798911403816749e-19,6.798911403815998e-19,3.6237277416019155e-20,7.520965586735632e-37,9.917331323076423e-36,1.2863978610977888e-31,7.482587077029884e-32,1.6234177585442072e-44,1.4439146694052212e-26,3.623727741596683e-20,1.3885602824248707e-33,1.9723584146467346e-22,4.728853694768911e-29,8.953964528083486e-35,2.31760978136356e-34,4.065486720152874e-42,2.7113182655792434e-40,7.083751410701355e-36,8.888315667368675e-50,4.527193261271905e-47,1.9723584146467344e-22,2.1470273917496318e-43,4.0247575608177096e-60,3.2148603990863813e-40,5.439407537351896e-39,4.044650786436987e-14,7.733868815295577e-64,1.2981201066873343e-53,4.1451576671106457e-53,3.0584297123501774e-40,1.443914669424541e-26,4.848621277447376e-67,1.8838739846011297e-67,4.7489199200430503e-60,5.931999677761834e-62,1.1800065508902855e-47,3.561000423568613e-62,7.807009888455696e-72,4.584609233351741e-48,1.036091066434754e-59,3.6914384231308067e-41,7.49609185468308e-73,2.7257141740054785e-52,1.1023863888241826e-36
6.481449629488486e-20,0.1409292279316289,3.76,0.0,1.0023374630346693,0.9999999999999188,1.3058397792761053e-46,3.5993836460702796e-34,1.3645367642625225e-18,1.3645367642622209e-18,7.27279623664111e-20,3.024147187241942e-36,3.9877153065033264e-35,4.088763030431029e-31,3.008715354059149e-31,1.30666784622899e-43,2.897926644151849e-26,7.272796236630907e-20,5.583339824528048e-33,3.9585095454798096e-22,9.490824403899535e-29,3.6003497557818503e-34,9.319006998680412e-34,1.634714329733227e-41,1.090209149778401e-39,2.84834528670801e-35,7.154089715096136e-49,1.820364541797252e-46,3.958509545479809e-22,8.63310271397741e-43,3.239475101948476e-59,1.2926812323738826e-39,2.1871618468264113e-38,8.117585842488682e-14,6.224890471981127e-63,1.0469808936525959e-52,3.343219819949842e-52,1.229781135874226e-39,2.897926644229533e-26,7.825694271815228e-66,1.5163057050475024e-66,3.822343898347316e-59,4.7745894129738066e-61,9.497719302957108e-47,2.866202941692422e-61,1.2608333602750468e-70,1.8438109247695056e-47,8.339362281517743e-59,1.4843111539427718e-40,1.2072303112928376e-71,2.193891898962077e-51,4.4326471847471485e-36
1.2985482707163342e-19,0.1409292279316289,3.76,0.0,1.0023374630346693,0.9999999999998374,1.0478541840027485e-45,1.443513828516844e-33,2.733828012024218e-18,2.7338280120230077e-18,1.4570933226718005e-19,1.212818282958698e-35,1.5992521924347165e-34,1.4230177513533475e-30,1.206629425060101e-30,1.0485186555315261e-42,5.805950593527546e-26,1.4570933226698758e-19,2.239168990610873e-32,7.930811807145961e-22,1.9014910647792892e-28,1.4439012816520257e-33,3.7373386092450444e-33,6.555935607848293e-41,4.3722262985708095e-39,1.1423138552748496e-34,5.74070644754945e-48,7.30047633351334e-46,7.9308118071459535e-22,3.462260314422072e-42,2.5994748682563256e-58,5.18422995071145e-39,8.771497233332714e-38,1.626345594971778e-13,4.9950826028253105e-62,8.409919910365574e-52,2.685455968596569e-51,4.9319723879182996e-39,5.805950593839098e-26,1.257568059380481e-64,1.2167398810963707e-65,3.0671902556148613e-58,3.83130731077751e-60,7.62132159337948e-46,2.2999473547863793e-60,2.0267521457943465e-69,7.397391708056411e-47,6.69181303621773e-58,5.9527515979933366e-40,1.937878282746777e-70,1.760460082348912e-50,1.7776897760744358e-35
2.5993548862513055e-19,0.14092922793162893,3.76,0.0,1.0023374630346693,0.9999999999996745,8.395584745341406e-45,5.7815846428131745e-33,5.472410507547608e-18,5.4724105075427595e-18,2.9167207206865824e-19,4.857599179122233e-35,6.405350421682164e-34,5.2659743057444716e-30,4.832811445895947e-30,8.400908602665924e-42,1.162199849180871e-25,2.916720720683208e-19,8.96835540586627e-32,1.5875416330478265e-21,3.806366243810806e-28,5.783136475742231e-33,1.4968848291648593e-32,2.625793802408086e-40,1.7511710605558785e-38,4.575213698116731e-34,4.599550988104028e-47,2.92399871637148e-45,1.5875416330478235e-21,1.386710032089655e-41,2.0827433620446836e-57,2.076396094777502e-38,3.5131740784026324e-37,3.255519614467882e-13,4.002144613689716e-61,6.7415917473948e-51,2.1527253504536963e-50,1.9753614583101725e-38,1.162199849305654e-25,2.0164844637719282e-63,9.748726224270696e-65,2.4574846492744957e-57,3.0697081427094806e-59,6.106331610791412e-45,1.8427566774646104e-59,3.250358242253879e-68,2.9651263386030425e-46,5.361593654699757e-57,2.384205574974866e-39,3.1056631962880206e-69,1.4105103586918427e-49,7.120031484933945e-35
5.200968117321247e-19,0.1409292279316289,3.76,0.0,1.0023374630346693,0.9999999999993486,6.721572672513386e-44,2.3141405820445705e-32,1.0949575498594388e-17,1.0949575498574982e-17,5.8359755167137545e-19,1.944305615111716e-34,2.5638094486073364e-33,2.021058204557928e-29,1.9343840453642832e-29,6.725834994195604e-41,2.3254094286490115e-25,5.835975516708921e-19,3.5896793832050337e-31,3.1764625377142863e-21,7.616348322885256e-28,2.3147617191900427e-32,5.991440311101401e-32,1.051001823708412e-39,7.009247925712605e-38,1.831277814015872e-33,3.682437514439631e-46,1.170361722533183e-44,3.1764625377142742e-21,5.550454006443451e-41,1.6674613791627952e-56,8.310995899753682e-38,1.4061851880722197e-36,6.513867645661221e-13,3.204149240541698e-60,5.398741069385497e-50,1.7239262169901002e-49,7.906593773811093e-38,2.325409429148468e-25,3.229879593198933e-62,7.804909812695636e-64,1.9674819752971623e-56,2.4576330281457814e-58,4.888778195115511e-44,1.4753258200888853e-58,5.206624963833339e-67,1.1886734310539689e-45,4.292535002214017e-56,9.54303569517919e-39,4.9731115154065244e-68,1.1292659374250967e-48,2.849868127728969e-34
1.0404194579461132e-18,0.1409292279316289,3.76,0.0,1.0023374630346693,0.9999999999986969,5.379300963234894e-43,9.259576639693487e-32,2.190390548068795e-17,2.1903905480610297e-17,1.167448510875854e-18,7.779755168489633e-34,1.0258577290389346e-32,7.913457604921924e-29,7.740055833315967e-29,5.382712113889535e-40,4.6518285868329245e-25,1.1674485108756535e-18,1.4363393306644153e-30,6.3543043470472074e-21,1.5237239365080057e-27,9.262061993778939e-32,2.3973565456765904e-31,4.205376297158265e-39,2.8046121671045545e-37,7.327496603226035e-33,2.9470691795604696e-45,4.682973116863151e-44,6.35430434704716e-21,2.2209045886495237e-40,1.3344763469001852e-55,3.3254811383224627e-37,5.626572370295225e-36,1.3030563676852435e-12,2.5642933177720968e-59,4.321180992942511e-49,1.379839689555761e-48,3.163667391087888e-37,4.651828588831401e-25,5.1706125084682135e-61,6.246301826921206e-63,1.5745835381818285e-55,1.9668533473829182e-57,3.9125083482997314e-43,1.180709042775929e-57,8.33544453910889e-66,4.771048153403378e-45,3.435332590753991e-55,3.81845729701335e-38,7.960220364049308e-67,9.037559565734792e-48,1.1403184636051975e-33
