Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300),O[C](F)F(239),H2O2(11),CF2CH(72),C2HF2O(1089)
0.0,0.4821550614809868,3.76,0.0,0.7950982567386657,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8059449358830775e-21,0.4821550614809868,3.76,0.0,0.7950982567386657,0.9999999999999998,1.6249416883778586e-53,2.172858617346011e-39,6.885828781421509e-23,6.885828781421476e-23,1.4958191671963827e-23,1.1078539640457437e-42,1.3851344185292428e-41,1.189306380490423e-36,3.309364918481336e-37,4.2790153582011836e-51,7.306672737837598e-32,1.4958191671963004e-23,3.5002888451205707e-38,1.1666314417952934e-26,1.8656453120133682e-34,2.1728903626051998e-39,2.9709192181063784e-39,5.5620007761513224e-49,1.316820392836978e-46,3.625751728510123e-41,5.49378664632995e-57,4.309056071902257e-54,1.1666314417952934e-26,3.556062949008811e-50,3.0672078456270365e-68,4.0508017427796707e-47,6.315826501613708e-46,3.6055512754051903e-16,2.4807837311763134e-73,1.5053807108041576e-62,6.362232733248106e-62,2.6857228089743093e-47,7.30667273784181e-32,4.990670909532682e-77,4.558568837781439e-78,2.23783491576758e-70,2.1845877196547466e-72,8.755518891329339e-55,2.708077010200411e-72,1.1755264702642476e-82,3.590670685020996e-56,1.7392157637770665e-69,2.731654981419896e-48,3.2411429064313948e-84,2.637335736529018e-60,2.9570559798693164e-42,4.885334075220118e-66,2.971292829258006e-79
1.625664582047262e-20,0.48215506148098686,3.76,0.0,0.7950982567386657,0.999999999999999,1.9291307724423937e-52,1.312406604877139e-38,1.9280320587980226e-22,1.9280320587980028e-22,4.1882936681498584e-23,6.691437943545424e-42,8.366211887829666e-41,4.402292880455553e-36,1.9988564107626925e-36,5.080047033256365e-50,2.045868366593161e-31,4.188293668149639e-23,2.1141744624528083e-37,3.2665680370268225e-26,5.223904307194991e-34,1.312425779013556e-38,1.794435207736243e-38,3.3594484689002334e-48,7.953595172735326e-46,2.1899540440181127e-40,6.522223506522968e-56,2.6026698692672987e-53,3.2665680370268225e-26,2.1478620212854525e-49,3.641389156683546e-67,2.446684253511056e-46,3.8147592068829335e-45,1.0095543570944466e-15,2.9451864470245016e-72,2.2749313299934398e-61,9.614606016912864e-61,1.6221765766205496e-46,2.0458683665957057e-31,1.4074490345754642e-75,5.41193302927216e-77,2.6567576119992745e-69,2.5935425407742133e-71,1.0394552027687281e-53,3.2150290265788555e-71,3.6960185763487957e-81,2.168859374155366e-55,2.064796954756041e-68,1.6499196087288506e-47,7.253643963854477e-83,3.131044986404161e-59,1.7860618118410663e-41,7.382716848115604e-65,8.37952118016632e-78
3.7158047589651696e-20,0.48215506148098686,3.76,0.0,0.7950982567386657,0.9999999999999977,1.894032031973852e-51,6.318672859244429e-38,4.406930420109767e-22,4.40693042010967e-22,9.573242670056755e-23,3.221639328508723e-41,4.0279708889525984e-40,1.511720594071514e-35,9.6236331829432e-36,4.987620301519047e-49,4.676270552206499e-31,9.573242670056311e-23,1.0178839961610378e-36,7.466441227489883e-26,1.1940812031788472e-33,6.318765174456156e-38,8.639433086253208e-38,1.61742982585906e-47,3.8293137023699e-45,1.0543686026477415e-39,6.403557714962354e-55,1.253073508414154e-52,7.466441227489883e-26,1.0341031056955537e-48,3.575137472029175e-66,1.1779731481085306e-45,1.8366423465316478e-44,2.3075528161262757e-15,2.8916015211653266e-71,2.4472673136932534e-60,1.0342954382594987e-59,7.810081928498268e-46,4.67627055221875e-31,3.061509065853853e-74,5.3134681513122556e-76,2.608420377818691e-68,2.5463554460298624e-70,1.0205432819426844e-52,3.15653456329561e-70,8.24559856935766e-80,1.0443057620823409e-54,2.027229894258263e-67,7.9436526852375585e-47,1.4334928535594948e-81,3.0740785344886466e-58,8.599118789459964e-41,7.94198989037597e-64,1.8227288878873788e-76
7.896085112800985e-20,0.48215506148098686,3.76,0.0,0.7950982567386657,0.9999999999999951,1.6752498830513397e-50,2.759530444031737e-37,9.364727142733254e-22,9.36472714273283e-22,2.0343140673870326e-22,1.406974535437251e-40,1.7591207113973522e-39,5.370279230255043e-35,4.202893446470752e-35,4.41149367369056e-48,9.937074923411306e-31,2.0343140673869628e-22,4.445366833302876e-36,1.5866187608416001e-25,2.5376186417896363e-33,2.7595707605088496e-37,3.773067406994957e-37,7.063740987292171e-47,1.6723618989029285e-44,4.6047046951768326e-39,5.663874280900671e-54,5.472501239022185e-52,1.5866187608416001e-25,4.5161999465091474e-48,3.1621686154422865e-65,5.144518226848269e-45,8.021099655627345e-44,4.903549733885829e-15,2.5575888039964933e-70,2.2494602882917476e-59,9.506957000550436e-59,3.4108679673983706e-45,9.937074923464813e-31,5.675521837460515e-73,4.699702778925029e-75,2.3071182847597364e-67,2.2522225554558535e-69,9.026589755560971e-52,2.791919074862634e-69,1.5443082303807307e-78,4.561572710331403e-54,1.7930618838230051e-66,3.4692018256473827e-46,2.5510650337497293e-80,2.718987650911845e-57,3.755461094434022e-40,7.300056992826713e-63,3.3790321689312225e-75
1.6256645820472616e-19,0.4821550614809868,3.76,0.0,0.7950982567386657,0.9999999999999899,1.4081484680836008e-49,1.152049638918928e-36,1.928032058798023e-21,1.928032058797846e-21,4.188293668149658e-22,5.873841727262944e-40,7.343982685828971e-39,1.9949700599147617e-34,1.7546252797783143e-34,3.708126245170449e-47,2.045868366573346e-30,4.1882936681496154e-22,1.855853145682703e-35,3.266568037026823e-25,5.22531709377959e-33,1.1520664702534983e-36,1.5751813694398727e-36,2.948972812931428e-46,6.981781722821354e-44,1.9223735664281457e-38,4.760827607123823e-53,2.2846615541532114e-51,3.266568037026823e-25,1.885424576700824e-47,2.657993270635058e-64,2.1477350961880578e-44,3.348651209875728e-43,1.0095543568188518e-14,2.1498075042288609e-69,1.924460635902287e-58,8.133401865545872e-58,1.4239702333190722e-44,2.045868366595684e-30,9.754771931014381e-72,3.950383989380119e-74,1.9392719326455112e-66,1.89312876445036e-68,7.587392581755478e-51,2.3467762085762467e-68,2.667407555083741e-77,1.9050470560658138e-53,1.5071765534358982e-65,1.4483234704685303e-45,4.302940265179622e-79,2.285472951867776e-56,1.567831080526704e-39,6.245352449667231e-62,5.807692951699342e-74
3.297776723581588e-19,0.48215506148098686,3.76,0.0,0.7950982567386657,0.9999999999999795,1.1544851908840052e-48,4.706498679533703e-36,3.911150747847418e-21,3.911150747846695e-21,8.496252869674556e-22,2.3996560086572174e-39,3.0002565548840115e-38,7.6557759723027325e-34,7.168216788023157e-34,3.040145931341188e-46,4.1501901150027926e-30,8.496252869674876e-22,7.581765650083065e-35,6.62646658939727e-25,1.0603208296833004e-32,4.706567441019243e-36,6.435129863186045e-36,1.2047516173138809e-45,2.8522856437003496e-43,7.85352327378566e-38,3.90321410940935e-52,9.333588023781663e-51,6.626466589397269e-25,7.702574599672283e-47,2.1791834960669754e-63,8.774198709938282e-44,1.3680332824719193e-42,2.047953123192822e-14,1.76254209128293e-68,1.5911812691802438e-57,6.724853945336588e-57,5.817383033158258e-44,4.150190115094052e-30,1.6167819090207887e-70,3.2387644919292605e-73,1.589932296257883e-65,1.552101339119659e-67,6.220602848446321e-50,1.9240289227099604e-67,4.431936859735567e-76,7.788296014196035e-53,1.2356743982776926e-64,5.916873950194885e-45,7.067750989937678e-78,1.8737688083687763e-55,6.405101534636063e-39,5.163778178535927e-61,9.62582515119817e-73
6.642001006650241e-19,0.4821550614809868,3.76,0.0,0.7950982567386657,0.9999999999999587,9.349320396311127e-48,1.902442016714501e-35,7.877388125946208e-21,7.877388125943286e-21,1.7112171272722935e-21,9.699793294019087e-39,1.2127516690295938e-37,2.9957074351510512e-33,2.897507835643078e-33,2.4619889963047544e-45,8.358833611721749e-30,1.7112171272725215e-21,3.064670897766066e-34,1.3346263694138163e-24,2.1368967899233902e-32,1.9024698111998008e-35,2.6011823795737023e-35,4.869798665389023e-45,1.1529394613074178e-42,3.1745196741991164e-37,3.1609239834602294e-51,3.7727855980415755e-50,1.3346263694138157e-24,3.1135038107684795e-46,1.7647593325012305e-62,3.546671449019479e-43,5.529809252921255e-42,4.124750653994493e-14,1.4273523042415971e-67,1.2939221824258243e-56,5.468539544140101e-56,2.3514792339580383e-43,8.358833612090633e-30,2.632510215133729e-69,2.6228371167687707e-72,1.2875683952880709e-64,1.2569319053652913e-66,5.037605465026448e-49,1.5581285065184995e-66,7.225175097515193e-75,3.152646193498342e-52,1.0006811647459524e-63,2.39169505093427e-44,1.1457256637865803e-76,1.5174265617020214e-54,2.5890444490625606e-38,4.199098656872194e-60,1.5673160926233485e-71
1.3330449572787548e-18,0.4821550614809868,3.76,0.0,0.7950982567386657,0.9999999999999172,7.525146427497248e-47,7.649635676828417e-35,1.5809862882143787e-20,1.5809862882132036e-20,3.434400807881404e-21,3.9002442504637994e-38,4.8764211189562885e-37,1.1847841732760549e-32,1.1650751570082545e-32,1.9816229324257595e-44,1.6776120604599934e-29,3.434400807882518e-21,1.2322906890788131e-33,2.6785857903619947e-24,4.294039588921236e-32,7.649747437178636e-35,1.0459239944104918e-34,1.9581246292173833e-44,4.635918865796571e-42,1.276460398871171e-36,2.5441866160617876e-50,1.5170205661016348e-49,2.6785857903619925e-24,1.2519261918465251e-45,1.4204319029434918e-61,1.426101025479802e-42,2.2235119759691727e-41,8.278345707812756e-14,1.1488573462794823e-66,1.0435951156752705e-55,4.41057525353634e-55,9.455194577956666e-43,1.6776120606083186e-29,4.248882100404189e-68,2.1110901663645385e-71,1.0363470604465466e-63,1.0116881480448077e-65,4.054703137342821e-48,1.254117377916416e-65,1.1668676645500331e-73,1.2712778941280519e-51,8.054352586788387e-63,9.616900589857895e-44,1.845166110150319e-75,1.2213569099013575e-53,1.0410433859368635e-37,3.386725189530422e-59,2.5296544924151116e-70
2.6707346705062158e-18,0.48215506148098686,3.76,0.0,0.7950982567386657,0.9999999999998341,6.038456090985231e-46,3.0678460447734497e-34,3.1674812394538947e-20,3.167481239449181e-20,6.880768169097367e-21,1.5641724097261707e-37,1.9556629691950348e-36,4.711960881501298e-32,4.672472472191941e-32,1.5901276050149633e-43,3.3610694588117414e-29,6.880768169102224e-21,4.9420368186824833e-33,5.366504632258353e-24,8.624288700987897e-32,3.067890865630199e-34,4.194623018523196e-34,7.852955588028047e-44,1.8592108117227842e-41,5.119177109702526e-36,2.041549532115483e-49,6.0839315391134264e-49,5.366504632258344e-24,5.0207839928367305e-45,1.139807245222193e-60,5.719303229426257e-42,8.917277484431364e-41,1.6585535784308966e-13,9.218857240221975e-66,8.382723500458813e-55,3.542813900907046e-54,3.791955919694437e-42,3.361069459406583e-29,6.827839470710675e-67,1.6940211967023313e-70,8.316032491501204e-63,8.11816024915796e-65,3.253643907130854e-47,1.0063502170389583e-64,1.8757056562343465e-72,5.1273701585854514e-51,6.4631107054495265e-62,3.856807247380954e-43,2.96190846220647e-74,9.800620016899933e-53,4.175049595641215e-37,2.7204018502176262e-58,4.0650868588626135e-69
