Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46)
0.0,0.06341893443026847,3.76,0.0,0.8162192959386354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.77450743378385e-19,0.06341893443026847,3.76,0.0,0.8162192959386353,1.0,1.8404739307368847e-41,1.2444416427362624e-30,1.6188742469641982e-16,1.6188742469486895e-16,6.516266197818151e-18,3.178812107774302e-32,4.196331972287074e-31,1.5693080785649131e-27,1.5471101877493588e-27,2.0293408110521334e-38,2.967640265236273e-38,6.516266197820548e-18,2.3347974172563442e-29,2.0458077667956856e-38,5.1615319366364196e-26,1.244411552885749e-30,3.276082976461614e-30
1.896862081459478e-18,0.06341893443026847,3.76,0.0,0.8162192959386348,1.0,2.185010659643312e-40,7.516427556206811e-30,4.532847891499753e-16,4.532847891406082e-16,1.8245545353811143e-17,1.9200026743360819e-31,2.5345844851689885e-30,9.40674167736228e-27,9.34454553381127e-27,2.409233410835086e-37,2.975966277905442e-37,1.8245545353897484e-17,1.4102176399555285e-28,2.4119162134853448e-37,1.4453350882954038e-25,7.516245779425457e-30,1.9787541177659233e-29
4.3356847576216645e-18,0.06341893443026847,3.76,0.0,0.8162192959386343,1.0,2.145256441791604e-39,3.61883634819673e-29,1.0360795180570858e-15,1.0360795180119874e-15,4.1704103665478403e-17,9.243988028013674e-31,1.2202932984024765e-29,4.51323251025393e-26,4.498996425682848e-26,2.3653996492197442e-36,2.6382571227257617e-36,4.1704103666051184e-17,6.789590888371893e-28,2.3592933820042744e-36,3.3041234617104505e-25,3.618748795785055e-29,9.526849295297006e-29
9.213330109946037e-18,0.0634189344302685,3.76,0.0,0.8162192959386331,1.0,1.8974550626943442e-38,1.5804409390987191e-28,2.201668975871304e-15,2.201668975674348e-15,8.862122028753794e-17,4.037093876099463e-30,5.32934120037235e-29,1.9678635684770383e-25,1.964829938139653e-25,2.0921692022627989e-35,2.2113332189517269e-35,8.86212202903578e-17,2.9651927188723463e-27,2.0830024857289968e-35,7.023398545168216e-25,1.5804026721579726e-28,4.1606253798444335e-28
1.896862081459478e-17,0.06341893443026851,3.76,0.0,0.8162192959386306,0.9999999999999999,1.5949253679487518e-37,6.598030065200657e-28,4.53284789149973e-15,4.532847890677476e-15,1.824554535265572e-16,1.6854084288452388e-29,2.2248948477176238e-28,8.209058797931266e-25,8.202778212728798e-25,1.758594276861406e-34,1.8083428905963843e-34,1.8245545353896806e-16,1.237909589690423e-26,1.749335136868195e-34,1.4468742058767073e-24,6.597870053337884e-28,1.7369791938843126e-27
3.847920222389227e-17,0.06341893443026857,3.76,0.0,0.8162192959386257,0.9999999999999997,1.3076162722877637e-36,2.6955107783487867e-27,9.195205722756545e-15,9.19520571939737e-15,3.701239199841965e-16,6.885453222021631e-29,9.089419823479808e-28,3.352390762511158e-24,3.3511025487711234e-24,1.441801837483659e-33,1.4621257410579625e-33,3.7012392003617634e-16,5.0572645897246525e-26,1.4335799069933077e-33,2.9386602474079306e-24,2.695445199959851e-27,7.096126768339866e-27
7.750036504248725e-17,0.06341893443026868,3.76,0.0,0.8162192959386161,0.9999999999999993,1.0589417122952178e-35,1.0895687225165928e-26,1.8519921385270018e-14,1.8519921371691687e-14,7.454608528178783e-16,2.783218248639005e-28,3.674087530666104e-27,1.3548343867310462e-23,1.3545692287704068e-23,1.1676085084566073e-32,1.1758237094679943e-32,7.454608530305446e-16,2.044227202545033e-25,1.160696084728248e-32,5.93310168682112e-24,1.0895420462625818e-26,2.868367896233924e-26
1.555426906796772e-16,0.06341893443026889,3.76,0.0,0.8162192959385967,0.9999999999999986,8.523286618049468e-35,4.381109266524992e-26,3.7169352710296346e-14,3.716935265569848e-14,1.4961347181588545e-15,1.119126224082089e-27,1.4773334000014486e-26,5.447218337079804e-23,5.446663285023424e-23,9.397929060033559e-32,9.430961287073092e-32,1.4961347190190876e-15,8.219747646309698e-25,9.341271917579684e-32,1.1965461999890007e-23,4.381000648044128e-26,1.1533581148641108e-25
3.116273419540571e-16,0.0634189344302693,3.76,0.0,0.8162192959385579,0.999999999999997,6.839404679579433e-34,1.7570218520170342e-25,7.446821536034651e-14,7.446821514138467e-14,2.997482447535258e-15,4.4882480926401265e-27,5.924759371008924e-26,2.1844759504481684e-22,2.1843555790529907e-22,7.541246189765245e-31,7.554492412215007e-31,2.9974824509954e-15,3.2964864219170304e-24,7.495373707630487e-31,2.4204092433714086e-23,1.7569772047663166e-25,4.625481887246074e-25
