Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176)
0.0,0.07328638616924275,3.76,0.0,0.6355548362934756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.184632416622866e-23,0.07328638616924275,3.76,0.0,0.6355548362934756,0.9999999999999997,1.1411679388950503e-53,1.4902705471133178e-38,3.8853157696123597e-20,3.885315769612356e-20,1.2359276958562897e-21,4.109324567894072e-40,5.3768009311165036e-39,1.410655329475178e-32,2.4963064512080474e-35,2.56175809726971e-50,1.4340456681854594e-41,1.2359276958422082e-21,1.698688313324757e-37,2.833311562191533e-23,5.958383545316234e-29,1.4925694115471485e-38,3.611153288364281e-38,1.234863232253771e-44,2.5787310129705117e-50,3.187039615216487e-39,3.6544193515333566e-55,1.6401309971973383e-49,2.833311562191533e-23,8.00351492591877e-46,6.018774412865224e-65,1.2879323105814597e-42,2.1601796051175462e-41,2.8284270713191196e-16
1.1716970766544024e-22,0.07328638616924275,3.76,0.0,0.6355548362934756,0.9999999999999991,1.3547945770568113e-52,9.001234104568847e-38,1.0878884154914604e-19,1.087888415491459e-19,3.460597548397609e-21,2.4820320390160608e-39,3.2475877623927396e-38,3.957923086045202e-32,1.5077690965296573e-34,3.0413192130785937e-49,8.66163585078006e-41,3.4605975483581814e-21,1.0260077412481473e-36,7.933272374136291e-23,1.6683473939626473e-28,9.015119245745079e-38,2.181136586172023e-37,7.45857392281441e-44,1.5575535332886572e-49,1.9249719275904494e-38,4.3385266541403963e-54,9.90639122508299e-49,7.933272374136291e-23,4.8341230152571863e-45,7.145488984281668e-64,7.77911115602655e-42,1.3047484814898195e-40,7.919595799687861e-16
2.678164746638634e-22,0.07328638616924275,3.76,0.0,0.6355548362934756,0.9999999999999981,1.3301453495779539e-51,4.3337067510121385e-37,2.48660209255191e-19,2.4866020925519016e-19,7.909937253480242e-21,1.1949915843556585e-38,1.563573710766237e-37,9.084811253244067e-32,7.259259160112954e-34,2.985985238177556e-48,4.170204825493145e-40,7.909937253390123e-21,4.939785615148303e-36,1.813319399802581e-22,3.8133654779211038e-28,4.340391848779562e-37,1.0501233762563293e-36,3.590982279396369e-43,7.498949807119707e-49,9.267911201044912e-38,4.259591196147266e-53,4.7695009428090034e-48,1.813319399802581e-22,2.32742214046049e-44,7.015483459676835e-63,3.7453071593426876e-41,6.281802291664147e-40,1.8101933256402645e-15
5.691100086607098e-22,0.07328638616924275,3.76,0.0,0.6355548362934756,0.9999999999999961,1.176498498287195e-50,1.892643594840743e-36,5.284029446672808e-19,5.284029446672775e-19,1.6808616663645476e-20,5.21884220135012e-38,6.8285371824927254e-37,1.946799820387706e-31,3.1703091930341734e-33,2.641070127961144e-47,1.821238021752357e-39,1.680861666345399e-20,2.1573341579223476e-35,3.8533037245804844e-22,8.103401666223648e-28,1.8955631526653472e-36,4.5861646762226e-36,1.56827630496475e-42,3.2749884083934633e-48,4.047540311320155e-37,3.7675601746568016e-52,2.0829663694715878e-47,3.8533037245804844e-22,1.0164463955950759e-43,6.205115677097996e-62,1.6356740346159839e-40,2.743428098481019e-39,3.846660816974142e-15
1.1716970766544026e-21,0.07328638616924275,3.76,0.0,0.6355548362934756,0.999999999999992,9.889178771666016e-50,7.901414440856276e-36,1.0878884154914606e-18,1.0878884154914475e-18,3.460597548397583e-20,2.1787638860096218e-37,2.8507798536552633e-36,4.075201457008408e-31,1.3235416804304652e-32,2.2199785789643096e-46,7.603310341130722e-39,3.4605975483581653e-20,9.00644543724702e-35,7.933272374136292e-22,1.668347412437127e-27,7.913603020027192e-36,1.914633473490711e-35,6.54724485743155e-42,1.367243202722675e-47,1.689768403983476e-36,3.166861339329135e-51,8.695974574304085e-47,7.933272374136292e-22,4.243463613752531e-43,5.2157736209901536e-61,6.828617112300674e-40,1.1453272266168852e-38,7.91959579960558e-15
2.376871212641788e-21,0.07328638616924275,3.76,0.0,0.6355548362934756,0.9999999999999839,8.107746236090374e-49,3.2279856159213736e-35,2.2068593571398195e-18,2.2068593571397656e-18,7.020069312463613e-20,8.90096138799111e-37,1.164636588864335e-35,8.53906171622621e-31,5.407099625574328e-32,1.8200725644912312e-45,3.1062004555714325e-38,7.020069312383667e-20,3.6794268341932462e-34,1.6093209673247906e-21,3.384361936683665e-27,3.232965048191152e-35,7.821902468728306e-35,2.674763155609593e-41,5.585634689324789e-47,6.903255288107072e-36,2.5963842596850874e-50,3.5525893681205065e-46,1.6093209673247906e-21,1.733593347039395e-42,4.2762063515712173e-60,2.7897129033646478e-39,4.679035431729637e-38,1.6065465764723188e-14
4.7872194846165585e-21,0.07328638616924275,3.76,0.0,0.6355548362934756,0.9999999999999676,6.565863109604677e-48,1.3048033970267808e-34,4.444801240436538e-18,4.444801240436319e-18,1.4139012840595487e-19,3.5979109075518356e-36,4.707647301479058e-35,1.829501017856731e-30,2.1856361207420145e-31,1.4739419512927737e-44,1.2555759618369106e-37,1.413901284043456e-19,1.4872831553542801e-33,3.2413084271471137e-21,6.81639111564479e-27,1.306816163144216e-34,3.1617380393205555e-34,1.0811820332886374e-40,2.2578029173449552e-46,2.7904061609935853e-35,2.1026192893006683e-49,1.4360134331940283e-45,3.2413084271471134e-21,7.007461486569395e-42,3.46298279320197e-59,1.1276465597777485e-38,1.8913409327869775e-37,3.235720569437732e-14
9.6079160285661e-21,0.07328638616924275,3.76,0.0,0.6355548362934756,0.999999999999935,5.284777847955193e-47,5.2465570722815535e-34,8.920685007029976e-18,8.920685007029096e-18,2.8376899896858526e-19,1.4467041520591142e-35,1.8929242748750265e-34,4.111981887887067e-30,8.788346713733638e-31,1.186356712451972e-43,5.048616313988993e-37,2.8376899896535875e-19,5.980300154587603e-33,6.505283346791759e-21,1.3680449995439243e-26,5.254650316151989e-34,1.271320959781626e-33,4.3473854038028325e-40,9.078526786201083e-46,1.1220100446711083e-34,1.692370927773068e-48,5.774146933769967e-45,6.5052833467917585e-21,2.8176694439005174e-41,2.787309859373977e-58,4.534217225720277e-38,7.604998706071971e-37,6.49406855513613e-14
1.9249309116465185e-20,0.07328638616924275,3.76,0.0,0.6355548362934756,0.9999999999998699,4.2407013995647315e-46,2.1041040441257117e-33,1.7872452540216847e-17,1.787245254021332e-17,5.685267400938175e-19,5.801930706567042e-35,7.5914729728046325e-34,1.0002108338195535e-29,3.524520100620051e-30,9.519765476064461e-43,2.0247214229784645e-36,5.685267400873664e-19,2.3983678374495296e-32,1.303323318608105e-20,2.7408569842516956e-26,2.1073497967661132e-33,5.098565660920407e-33,1.7434959885396777e-39,3.640895735334178e-45,4.499762110290594e-34,1.3580210877395307e-47,2.3156912372858995e-44,1.3033233186081044e-20,1.130011470419313e-40,2.2366406792105663e-57,1.8184239089865076e-37,3.049944622639873e-36,1.3010764525603204e-13
