Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637)
0.0,0.16143252204162375,3.76,0.0,0.6579903237410649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.537893143900818e-17,0.16143252204162375,3.76,0.0,0.6579903237410647,1.0,5.455970512537666e-38,1.32758268470426e-28,1.8963081284348684e-16,1.8963081278171008e-16,1.7033863098140196e-17,5.286101459000636e-31,6.92206197308567e-30,6.152787801774217e-26,6.151741594983933e-26,4.4304430020271397e-35,4.4312886930926153e-35,1.703386310058138e-17,2.3117373189459712e-27,4.825130963419863e-20,9.58564048483308e-27,1.327581453139616e-28,2.518586921708951e-28,1.0010048725332117e-36,7.61079564579313e-44,7.152651542693327e-30,1.7629216059434791e-40,1.0014864465160852e-41,4.825130963419874e-20,4.936726089271831e-38,3.722168596617759e-51
2.390610080292229e-16,0.16143252204162375,3.76,0.0,0.6579903237410644,1.0,6.477328430534121e-37,8.018599737412093e-28,5.30966275961763e-16,5.309662755886316e-16,4.769481666684919e-17,3.192818773257468e-30,4.180923530667787e-29,3.7159511348159545e-25,3.715651919672596e-25,5.25982192721312e-34,5.2603325935625675e-34,4.769481668162722e-17,1.3962893393869206e-26,1.3510366697575628e-19,2.767899053944082e-26,8.018592004671589e-28,1.5212265002460633e-27,6.046074479941793e-36,4.6002043336550175e-43,4.3202012462454793e-29,2.0929405299887875e-39,6.049428964230375e-41,1.3510366697575679e-19,2.981785479286176e-37,4.41926012132307e-50
5.464251612096523e-16,0.1614325220416238,3.76,0.0,0.6579903237410636,0.9999999999999999,6.359479967367028e-36,3.8606109298175304e-27,1.2136372021983142e-15,1.213637200401847e-15,1.0901672377249372e-16,1.5372185422907001e-29,2.0129327701619517e-28,1.788997802562991e-24,1.788926450274777e-24,5.1641243483029764e-33,5.164369839785697e-33,1.090167238437163e-16,6.722532104648191e-26,3.0880838165887274e-19,6.722247962908911e-26,3.860606907292456e-27,7.324050761337466e-27,2.910929599807186e-35,2.218057783593532e-42,2.079990640303341e-28,2.0548614220670523e-38,2.9129859465321147e-40,3.088083816588742e-19,1.4356042453416309e-36,4.33947732833085e-49
1.1611534675705113e-15,0.16143252204162384,3.76,0.0,0.6579903237410621,0.9999999999999998,5.624888909307373e-35,1.6860305083618688e-26,2.5789790546714127e-15,2.578979046825769e-15,2.31660537856689e-16,6.713557978690053e-29,8.790989239221333e-28,7.812876037548713e-24,7.812711768315233e-24,4.567609486164198e-32,4.567715945212056e-32,2.3166053816788406e-16,2.9359063755864674e-25,6.562178110251161e-19,1.5973661575251745e-25,1.6860284884351677e-26,3.1986053833451305e-26,1.2712837989492464e-34,9.715404004902718e-42,9.083863033332277e-28,1.8175016550400874e-37,1.2725672480780454e-39,6.562178110251142e-19,6.269686162533991e-36,3.839316687267265e-48
2.390610080292229e-15,0.16143252204162387,3.76,0.0,0.6579903237410591,0.9999999999999996,4.728059562238282e-34,7.038847883389088e-26,5.309662759617593e-15,5.309662726863573e-15,4.769481655167046e-16,2.802879206064447e-28,3.670050738288164e-27,3.2616923808477205e-23,3.2616533420775503e-23,3.839350961852622e-31,3.8393940623472764e-31,4.769481668161782e-16,1.2256831089777307e-24,1.3510366697576919e-18,3.9847353595510355e-25,7.038837251076744e-26,1.3353547793873705e-25,5.307396043097169e-34,4.0800217739937486e-41,3.7923318646386764e-27,1.5277196500281788e-36,5.3159705267338046e-39,1.3510366697576147e-18,2.6174916318395146e-35,3.229021319826524e-47
4.849523305735664e-15,0.16143252204162406,3.76,0.0,0.6579903237410532,0.9999999999999991,3.876351361051299e-33,2.875600999137175e-25,1.0771030169509887e-14,1.077103003569903e-14,9.675234188032364e-16,1.1451500725241623e-27,1.4993238583144703e-26,1.3325018354348467e-22,1.3324917927663468e-22,3.147731832511477e-30,3.147747174108832e-30,9.675234241126009e-16,5.007315353930889e-24,2.7406743872235796e-18,1.0907820976168094e-24,2.87559485802067e-25,5.455359960842117e-25,2.1682742250531812e-33,1.6867716768899145e-40,1.549289562232016e-26,1.2525168639213123e-35,2.174404735653021e-38,2.7406743872226975e-18,1.0693479577210076e-34,2.6503700458552293e-46
9.767349756622536e-15,0.1614325220416244,3.76,0.0,0.6579903237410413,0.9999999999999981,3.1391738414644197e-32,1.162365490859266e-24,2.169376498929421e-14,2.1693764448409334e-14,1.9486739172423062e-15,4.629546340776343e-27,6.060412822550653e-26,5.386173517006755e-22,5.386144690754728e-22,2.54911476771739e-29,2.549117248071341e-29,1.948673938704784e-15,2.0240368640584984e-23,5.519949822161342e-18,3.334739141435223e-24,1.1623615553324034e-24,2.20514369684013e-24,8.764751717628819e-33,6.984599461430539e-40,6.262462011250935e-26,1.0143206202073999e-34,8.810773318348127e-38,5.519949822153192e-18,4.322614620958868e-34,2.151234662785614e-45
1.9603002658396276e-14,0.16143252204162503,3.76,0.0,0.6579903237410175,0.9999999999999961,2.5266866617149787e-31,4.6738333036431915e-24,4.353923462886179e-14,4.353923245398755e-14,3.9109748815844954e-15,1.8620563209424178e-26,2.4367898029622487e-25,2.1657542180802674e-21,2.1657449440884804e-21,2.0517492031071685e-28,2.051744170233238e-28,3.910974967886503e-15,8.138562710718763e-23,1.1078500692085121e-17,1.1260021194801985e-23,4.6738057925290786e-24,8.866785634014503e-24,3.5244616214551044e-32,2.950535968046036e-39,2.5180970847443513e-25,8.164134631238112e-34,3.5600484205151685e-37,1.1078500692015496e-17,1.738216271193626e-33,1.7393825603452408e-44
3.9274308461943756e-14,0.16143252204162634,3.76,0.0,0.6579903237409699,0.9999999999999922,2.0275172757622334e-30,1.874426453876215e-23,8.723017390799267e-14,8.723016518577462e-14,7.835576680125302e-15,7.471978300037716e-26,9.772011157074526e-25,8.685637553631089e-21,8.685604700309542e-21,1.646399312329125e-27,1.6463875839365205e-27,7.835577026239384e-15,3.263927252640091e-22,2.2195602432320217e-17,4.0860123434438435e-23,1.874406047013302e-23,3.5559774673431734e-23,1.4136219531401808e-31,1.3104661312524785e-38,1.0098604546766818e-24,6.551203626852752e-33,1.4415948758073417e-36,2.2195602431745356e-17,6.971922569421277e-33,1.4083940937206052e-43
