Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6)
0.0,0.2540922862127628,3.76,0.0,0.7635613338978953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.227315717463959e-19,0.2540922862127628,3.76,0.0,0.763561333897895,1.0,5.366625944047308e-47,1.9927078222765623e-35,1.5404563920118816e-16,1.5404563920089828e-16,4.465539508021855e-18,1.4079255767763432e-33,1.8416183387011973e-32,3.7275264923706268e-28,2.8989930235503777e-28,2.161704150795994e-39,2.0938935581832258e-38,4.465539507939729e-18,7.271585433496234e-31,1.074400273129254e-39,1.896274569462453e-25
1.1836484008899085e-18,0.2540922862127628,3.76,0.0,0.7635613338978948,1.0,6.371331231086036e-46,1.2036105648846593e-34,4.3132778976332674e-16,4.3132778976157567e-16,1.2503510622458835e-17,8.503870535645029e-33,1.1123374751910616e-31,1.9829964944642697e-27,1.7509917862087247e-27,2.566375167803927e-38,1.3907822950340522e-37,1.2503510622231225e-17,4.392037601738918e-30,1.1362610332345292e-38,5.309568795119695e-25
2.7054820591769338e-18,0.2540922862127628,3.76,0.0,0.7635613338978943,1.0,6.255565222220852e-45,5.795019950624474e-34,9.858920908876034e-16,9.858920908791726e-16,2.857945285132336e-17,4.094247655139482e-32,5.355426108176158e-31,8.960640491244119e-27,8.430271712248952e-27,2.519682358102472e-37,7.980101255071459e-37,2.8579452850814136e-17,2.114577043921494e-29,1.043420501814734e-37,1.2136157248933615e-24
5.749149375750985e-18,0.2540922862127629,3.76,0.0,0.7635613338978932,1.0,5.533251329025088e-44,2.5309720578502677e-33,2.095020693136154e-15,2.095020693099335e-15,6.073133730901465e-17,1.788065562975628e-31,2.3388552686913657e-30,3.7944553709493176e-26,3.68172113966558e-26,2.2286305111674267e-36,4.61333889867263e-36,6.073133730797968e-17,9.234913499101701e-29,8.917999004727043e-37,2.578933416656014e-24
1.1836484008899086e-17,0.254092286212763,3.76,0.0,0.7635613338978908,0.9999999999999999,4.651493320007839e-43,1.0567434985741521e-32,4.313277897633247e-15,4.313277897479533e-15,1.2503510622424628e-16,7.4648221322952155e-31,9.764260238661352e-30,1.560268810398499e-25,1.5370461008673505e-25,1.8732982295644549e-35,2.8688670345083195e-35,1.250351062223095e-16,3.8553945955450402e-28,7.36780661658525e-36,5.3095688041815664e-24
2.401115327519529e-17,0.2540922862127632,3.76,0.0,0.7635613338978863,0.9999999999999998,3.814333181019874e-42,4.318061252883481e-32,8.749792306627397e-15,8.74979230599942e-15,2.536426440541054e-16,3.0496237294995135e-30,3.9890188228415825e-29,6.3264953923680635e-25,6.27933484687635e-25,1.5358430682897037e-34,1.9425654043896484e-34,2.5364264405096437e-16,1.5750544901408692e-27,5.988494517294263e-35,1.0770839595239819e-23
4.836049180778769e-17,0.2540922862127636,3.76,0.0,0.7635613338978772,0.9999999999999996,3.0901735088458235e-41,1.746172581886322e-31,1.762282112461555e-14,1.762282112207717e-14,5.108577197114077e-16,1.2327069272844352e-29,1.6124251187057955e-28,2.5477268694621633e-24,2.538207542257838e-24,1.2437655357666634e-33,1.4081691989914926e-33,5.108577197082548e-16,6.366622074110049e-27,4.828658112262265e-34,2.169338124143419e-23
9.70591688729725e-17,0.2540922862127644,3.76,0.0,0.763561333897859,0.999999999999999,2.4892166572661926e-40,7.027259823973094e-31,3.5368878760591265e-14,3.536887875038455e-14,1.0252878710163478e-15,4.9566624012195837e-29,6.483489935127053e-28,1.0225209582730407e-23,1.0206020886755336e-23,1.0010907077698496e-32,1.0671966854113127e-32,1.0252878710227583e-15,2.5599907308905272e-26,3.87810260581449e-33,4.35384647905287e-23
1.944565230033421e-16,0.2540922862127661,3.76,0.0,0.7635613338978224,0.999999999999998,2.0006111234844475e-39,2.8230393271232696e-30,7.086099403254035e-14,7.086099399160683e-14,2.0541481735875706e-15,1.9878449697705274e-28,2.600169003885669e-27,4.0969487200471115e-23,4.0930708460246583e-23,8.033122455778775e-32,8.298236800205649e-32,2.054148173651456e-15,1.0266707785129172e-25,3.1085586085346805e-32,8.722863291869488e-23
3.8925123126408135e-16,0.2540922862127693,3.76,0.0,0.7635613338977494,0.9999999999999959,1.6080055847183447e-38,1.1345282919750432e-29,1.4184522457642912e-13,1.4184522441248156e-13,4.111868778575386e-15,7.961761678549175e-28,1.0414234890247989e-26,1.640152910402422e-22,1.6393632688175724e-22,6.4362734067761155e-31,6.542457122405926e-31,4.111868778907615e-15,4.11203817670197e-25,2.48927869516045e-31,1.7460897332016933e-22
7.788406477855599e-16,0.25409228621277585,3.76,0.0,0.7635613338976033,0.9999999999999918,1.2955198324230535e-37,4.571810425999394e-29,2.83813685664169e-13,2.838136850079516e-13,8.2273099879325e-15,3.18679017742323e-27,4.1684051543552575e-26,6.56335891852725e-22,6.56172534715236e-22,5.152932231669698e-30,5.195432904531536e-30,8.227309989414985e-15,1.6458868797881243e-24,1.9923959141341133e-30,3.493696709055529e-22
1.5580194808285169e-15,0.2540922862127889,3.76,0.0,0.7635613338973111,0.9999999999999836,1.0498347528359258e-36,1.8539201587893048e-28,5.677506078394986e-13,5.677506052137742e-13,1.6458192404172658e-14,1.2751396611837217e-26,1.6679027571774938e-25,2.6258930557357106e-21,2.6255448174827812e-21,4.12391182898291e-29,4.14091685896516e-29,1.6458192410409935e-14,6.585691234293152e-24,1.5943059554773308e-29,6.988911348209912e-22
