Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908)
3.3301090928960423e-19,0.2081939881011282,3.76,0.0,0.581331168063383,0.9999999999997161,1.7231845077963323e-45,2.3814696535489366e-33,1.9271795990813184e-18,1.9271795990798516e-18,1.3666024121215263e-19,9.241562364334096e-36,1.2182738874998128e-34,1.674772696806909e-30,1.4618061128569557e-30,2.7255687055180145e-42,5.0821453701448157e-26,1.366602412119689e-19,2.664557628793875e-32,9.662476409224724e-22,2.646056047423697e-28,2.3823521529303273e-33,4.6056784109846163e-33,6.644620526918687e-41,3.878875061123171e-39,1.809831182138601e-34,1.0888054003215502e-47,8.578838812610463e-46,9.662476409224707e-22,4.895801855266333e-42,3.9545866861680504e-58,7.108545994498635e-39,1.1987272572021042e-37,2.838096202777418e-13,1.1550019959094864e-61,6.286576568794336e-52,2.0456812927438517e-51,1.6921457581635397e-50,5.0821453703862845e-26,1.1921349342669887e-64
6.663111416976182e-19,0.20819398810112816,3.76,0.0,0.581331168063383,0.999999999999432,1.3795953763532475e-44,9.532084904445294e-33,3.856033550551066e-18,3.856033550545196e-18,2.734392141715557e-19,3.6990333885781614e-35,4.8762704598138036e-34,6.2771659735738894e-30,5.8510340280868114e-30,2.1821122268655602e-41,1.0168706157154573e-25,2.7343921417124652e-19,1.066517455272892e-31,1.933334767197614e-21,5.294506848411778e-28,9.535617200720132e-33,1.843471638826204e-32,2.659579850703724e-40,1.5525608884633374e-38,7.244041283608448e-34,8.717063605525441e-47,3.433771666848777e-45,1.9333347671976077e-21,1.9595966265207798e-41,3.1660742785194256e-57,2.84527101440343e-38,4.798032994148896e-37,5.678658163029383e-13,9.247038931486332e-61,5.0343598929536654e-51,1.6382041547276487e-50,1.3550889971264043e-49,1.0168706158121071e-25,1.9094877083433325e-63
1.3329116065136463e-18,0.2081939881011282,3.76,0.0,0.581331168063383,0.9999999999988639,1.1040955885448314e-43,3.814075574309217e-32,7.713741453490559e-18,7.713741453467072e-18,5.46997160090031e-19,1.480095194596499e-34,1.951143344713882e-33,2.4264261373929478e-29,2.3411757436975e-29,1.7463529699363904e-40,2.0341827729717504e-25,5.469971600896462e-19,4.267459024382917e-31,3.867509019747898e-21,1.0591696078210878e-27,3.815488952033369e-32,7.376287788299554e-32,1.0641783680814104e-39,6.212265858056777e-38,2.89856009261468e-33,6.976300177994626e-46,1.3739562818338302e-44,3.867509019747872e-21,7.840939011925175e-41,2.533822252178247e-56,1.138479080336076e-37,1.9198381639566137e-36,1.1359782059153719e-12,7.400441601306294e-60,4.029528366215168e-50,1.3112272963319048e-49,1.0846204222218805e-48,2.0341827733584752e-25,3.056838729148921e-62
2.6661125361457023e-18,0.20819398810112816,3.76,0.0,0.581331168063383,0.9999999999977277,8.834442219802678e-43,1.5258785881899413e-31,1.5429157259369548e-17,1.5429157259275584e-17,1.0941130519256582e-18,5.921344700550607e-34,7.805843864276182e-33,9.536768756152646e-29,9.366227456779203e-29,1.3973477080095714e-39,4.068807086901711e-25,1.094113051925824e-18,1.707261489975598e-30,7.735857524848463e-21,2.118722504910134e-27,1.526444030602172e-31,2.950995430324924e-31,4.257406435520036e-39,2.485310861678685e-37,1.1596127792225058e-32,5.582100086290177e-45,5.496722559364696e-44,7.735857524848363e-21,3.1368861864844654e-40,2.027443729722819e-55,4.554658141379275e-37,7.68060272781713e-36,2.272202975388402e-12,5.921477814434589e-59,3.224439073014164e-49,1.0492474909562883e-48,8.679160812421111e-48,4.068807088448856e-25,4.892269060859769e-61
5.332514395409814e-18,0.2081939881011282,3.76,0.0,0.581331168063383,0.9999999999954553,7.068224857164637e-42,6.104011109747625e-31,3.0859988871127515e-17,3.085998887075163e-17,2.1883448355916188e-18,2.368730763626827e-33,3.122591647193782e-32,3.7809148148105736e-28,3.7467959007620214e-28,1.1179843105533722e-38,8.138055712431165e-25,2.1883448355956917e-18,6.829601759800167e-30,1.5472554535049598e-20,4.2382885036055356e-27,6.106273057787743e-31,1.1804942419661253e-30,1.7031011838318538e-38,9.942052541224035e-37,4.6388286237962554e-32,4.4661040918633575e-44,2.198870182421692e-43,1.5472554535049198e-20,1.2548566044669651e-39,1.6221105137853564e-54,1.822011923352577e-36,3.0724910923987274e-35,4.544652475327119e-12,4.737632290064499e-58,2.5798778502183225e-48,8.395042672969777e-48,6.944207731070567e-47,8.1380557186201895e-25,7.828692322392447e-60
1.0665318113938039e-17,0.2081939881011282,3.76,0.0,0.581331168063383,0.9999999999909104,5.654848340691495e-41,2.4417038025784112e-30,6.172165209464347e-17,6.172165209313983e-17,4.376808402902363e-18,9.475309517016113e-33,1.24908747002592e-31,1.5056068354718184e-27,1.4987793460370348e-27,8.94429908341284e-38,1.6276552954168491e-24,4.376808402925478e-18,2.7319518677559177e-29,3.094594855545187e-20,8.479261319068806e-27,2.4426086140603647e-30,4.7221691143281135e-30,6.812682021364093e-38,3.976982841136857e-36,1.855606950123518e-31,3.573052891646884e-43,8.795856335995259e-43,3.094594855545026e-20,5.0196307349501354e-39,1.297752454103001e-53,7.288347375448346e-36,1.2290464142485093e-34,9.089551319175175e-12,3.7902861404467714e-57,2.0640329247421477e-47,6.716459262474314e-47,5.555717838701796e-46,1.6276552978925156e-24,1.2526757231224877e-58
2.1330925550994487e-17,0.20819398810112816,3.76,0.0,0.5813311680633829,0.9999999999818205,4.523986070354205e-40,9.767013961164194e-30,1.2344497854167537e-16,1.234449785356607e-16,8.75373553743915e-18,3.7902016462553275e-32,4.996451416546867e-31,6.008908607854951e-27,5.995239357390023e-27,7.1556091104211905e-37,3.2553547400359184e-24,8.753735537545256e-18,1.0928029801839696e-28,6.189273659625639e-20,1.6968570222311042e-26,9.770633244315984e-30,1.8889060756680292e-29,2.7251283122751053e-37,1.5908255019472502e-35,7.422578776675658e-31,2.8585101623351942e-42,3.518428277905026e-42,6.189273659624995e-20,2.0078931981745934e-38,1.0382305056208627e-52,2.9154007579443685e-35,4.9162854153848815e-34,1.8179348382753825e-11,3.032301491043186e-56,1.651278599008178e-46,5.373337464843648e-46,4.4447149366765244e-45,3.2553547499384264e-24,2.0043491190116385e-57
4.266214042510738e-17,0.2081939881011282,3.76,0.0,0.5813311680633828,0.999999999963641,3.619231836696687e-39,3.906845358952998e-29,2.4689163143573913e-16,2.4689163141168025e-16,1.750758980617391e-17,1.5160966629886353e-31,1.9986008039577282e-30,2.4008596408586143e-26,2.398120137506345e-26,5.7245552260181994e-36,6.51075361436235e-24,1.7507589806625617e-17,4.37125638664394e-28,1.2378631267786544e-19,3.3976641118264955e-26,3.908293057811321e-29,7.555701162909193e-29,1.0900624621827349e-36,6.363366739245232e-35,2.9690616840019634e-30,2.2868352697470196e-41,1.4073969567675475e-41,1.2378631267783973e-19,8.031654922221472e-38,8.306005006844986e-52,1.1661741610772832e-34,1.9665339596359608e-33,3.635894001344164e-11,2.4258709501424093e-55,1.3210437828794456e-45,4.2987379949145716e-45,3.5558282163003297e-44,6.510753653969923e-24,3.2070129557640474e-56
8.532457017333317e-17,0.2081939881011282,3.76,0.0,0.5813311680633826,0.9999999999272817,2.8954026947884666e-38,1.562746117684807e-28,4.937849372238666e-16,4.937849371276304e-16,3.501529834228817e-17,6.0644221527399e-31,7.99444312964495e-30,9.598030902077605e-26,9.59252933682173e-26,4.579671354944932e-35,1.3021551303383413e-23,3.501529834414958e-17,1.748511447358011e-27,2.4757346484108346e-19,6.811059526970381e-26,1.563325176869815e-28,3.022295837023002e-28,4.3602724147998095e-36,2.5453596419629887e-34,1.187630690555246e-29,1.829479071676716e-40,5.629707092622441e-41,2.475734648409805e-19,3.212678651191359e-37,6.644943256422965e-51,4.664736330137089e-34,7.866174158692578e-33,7.2718113288942e-11,1.9407098238326e-54,1.0568433873055433e-44,3.4390176054447296e-44,2.8446850796988134e-43,1.3021551461791614e-23,5.131264205133843e-55
1.7064942966978475e-16,0.2081939881011282,3.76,0.0,0.581331168063382,0.9999999998545634,2.3163290990679047e-37,6.251000572347971e-28,9.875715488001214e-16,9.875715484151754e-16,7.003071540909569e-17,2.425778754605964e-30,3.19778478580311e-29,3.8381308218300934e-25,3.837021490092511e-25,3.6637479518467104e-34,2.604314644301856e-23,7.00307154166505e-17,6.994063570706446e-27,4.951477691675194e-19,1.3684975302393161e-25,6.253316628548535e-28,1.208921408982704e-27,1.744113712283396e-35,1.0181464459767618e-33,4.750534654246698e-29,1.463587599475639e-39,2.2519610695431466e-40,4.951477691671076e-19,1.2850750020047125e-36,5.316130091060342e-50,1.865912045162895e-33,3.1464763139306263e-32,1.4543641989646376e-10,1.5525749417187363e-53,8.454780534084381e-44,2.7512249683459243e-43,2.2757570659819192e-42,2.6043147076469784e-23,8.210057455491248e-54
