Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67)
0.0,0.6205081961293164,3.76,0.0,0.7652008342253374,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.863365181832753e-22,0.6205081961293163,3.76,0.0,0.7652008342253374,0.9999999999999997,4.4461690124477455e-54,5.3414001646976924e-39,1.113061606198028e-20,1.1130616061980272e-20,4.397129785063132e-22,1.3227247442555484e-41,1.7450180890210893e-40,3.8316172952168576e-33,6.398024935617398e-36,2.3313588028566534e-50,1.288548278368415e-41,4.39712978502488e-22,1.6677071522272125e-38,2.2496720651015141e-23,4.5919587643807024e-30,5.3630494364466654e-39,1.285629870563715e-38,2.4670834744884955e-45,3.741920882264984e-51,7.228989916774704e-40,6.606996195941426e-56,6.527426524583907e-50,2.2496720651015141e-23,5.747005957971216e-46,7.022087684067683e-66,9.93902482405076e-44,1.6594446863532478e-42,2.915475943163474e-16,4.389044581337969e-68,2.5061469059892927e-60
1.081742250913171e-21,0.6205081961293163,3.76,0.0,0.7652008342253374,0.9999999999999991,5.278491851579263e-53,3.226205699478273e-38,3.1165724973544795e-20,3.116572497354475e-20,1.2311963398176768e-21,7.989257455320941e-41,1.0539909257683053e-39,1.074925818749199e-32,3.864407061112891e-35,2.767789170751408e-49,7.782831614941361e-41,1.2311963398069659e-21,1.0072951199452305e-37,6.29908178228424e-23,1.285748458433344e-29,3.239281859613863e-38,7.765204418204833e-38,1.4901184185911766e-44,2.2601202132952353e-50,4.36630990973113e-39,7.843825883821656e-55,3.94256562106073e-49,6.29908178228424e-23,3.471191598615e-45,8.336622498935327e-65,6.0031709938260064e-43,1.0023045905562386e-41,8.16333264084764e-16,5.210673726967913e-67,3.787289182247143e-59
2.4725537163729623e-21,0.6205081961293164,3.76,0.0,0.7652008342253374,0.9999999999999981,5.182454600913119e-52,1.5532791678953892e-37,7.123594279667381e-20,7.123594279667361e-20,2.8141630624404008e-21,3.8464835563212774e-40,5.074512602866836e-39,2.466745901558142e-32,1.8605456512775138e-34,2.717431820609681e-48,3.7470984138895556e-40,2.8141630624159204e-21,4.849692398676643e-37,1.439790121664969e-22,2.938853640050877e-29,1.5595747761188054e-37,3.7386116635992723e-37,7.174278743814385e-44,1.0881505931617997e-49,2.102190267796896e-38,7.701114765989305e-54,1.8981756336610167e-48,1.439790121664969e-22,1.6712293325785958e-44,8.184945405797362e-64,2.8902684189829816e-42,4.825665147898396e-41,1.865904603617562e-15,5.11587036401795e-66,4.074192870769562e-58
5.254176647292545e-21,0.6205081961293163,3.76,0.0,0.7652008342253374,0.999999999999996,4.5838224050815864e-51,6.7835782091795085e-37,1.5137637844293185e-19,1.5137637844293103e-19,5.980096507685844e-21,1.6798604252315603e-39,2.2161729730500747e-38,5.283553684591693e-32,8.125491668233832e-34,2.4035376713930223e-47,1.636456334601899e-39,5.980096507633823e-21,2.117988083328467e-36,3.0595540085380593e-22,6.245064073793893e-29,6.811072784288455e-37,1.632749935615907e-36,3.133196012602276e-43,4.75223952661338e-49,9.180817194291607e-38,6.811548798167729e-53,8.289831689417463e-48,3.0595540085380593e-22,7.298697566629253e-44,7.239491521363905e-63,1.262256152808435e-41,2.1074947516512157e-40,3.965047282667016e-15,4.524929401597767e-65,3.744885167101717e-57
1.081742250913171e-20,0.6205081961293163,3.76,0.0,0.7652008342253374,0.9999999999999918,3.852978927498361e-50,2.832010367334811e-36,3.1165724973544793e-19,3.1165724973544455e-19,1.2311963398176696e-20,7.013086594286038e-39,9.252085907929435e-38,1.1049839720321448e-31,3.3922328208641043e-33,2.020318236814597e-46,6.831883161575441e-39,1.2311963398069601e-20,8.842183321107843e-36,6.299081782284239e-22,1.285748522331171e-28,2.8434888112050927e-36,6.816409573728715e-36,1.3080476581754913e-42,1.9839664572767926e-48,3.832810453862907e-37,5.7255171914636254e-52,3.4608415461985816e-47,6.299081782284239e-22,3.047062558921544e-43,6.0852288383019054e-62,5.269670963097608e-41,8.798375726888237e-40,8.163332640701358e-15,3.803475809513088e-64,3.2038281027851864e-56
2.1943914232810038e-20,0.6205081961293164,3.76,0.0,0.7652008342253374,0.9999999999999833,3.158904911958409e-49,1.1569686412844181e-35,6.3221899232048e-19,6.322189923204662e-19,2.4975697179158267e-20,2.865074705253127e-38,3.779778981492114e-37,2.3113093670431546e-31,1.385837793154266e-32,1.656378953027057e-45,2.7910472734610906e-38,2.4975697178941043e-20,3.61232040000952e-35,1.2778137329776599e-21,2.6082328650474495e-28,1.1616579601329989e-35,2.7847257248357395e-35,5.343801489095348e-42,8.105150354290876e-48,1.5658281319237195e-36,4.694124914740236e-51,1.4138666973509822e-46,1.2778137329776599e-21,1.2448244785247949e-42,4.989038259792621e-61,2.15283253416208e-40,3.594423568295931e-39,1.6559903356511783e-14,3.1183192650022195e-63,2.6489870309325117e-55
4.4196897680166697e-20,0.6205081961293164,3.76,0.0,0.7652008342253374,0.9999999999999666,2.5581630978663297e-48,4.6766522314849627e-35,1.2733424774905444e-18,1.2733424774904881e-18,5.030316474112092e-20,1.1581090045527756e-37,1.5278470977641807e-36,4.936232908525386e-31,5.601777936328257e-32,1.3413786206855094e-44,1.1281860001221743e-37,5.030316474068352e-20,1.4601576617176474e-34,2.573624842476132e-21,5.253202001730868e-28,4.695607207989454e-35,1.1256306619122458e-34,2.160050001933195e-41,3.2762313828112724e-47,6.329327663575362e-36,3.8014240593635407e-50,5.715075258632565e-46,2.573624842476132e-21,5.0317795725259214e-42,4.04025253899136e-60,8.70209331630007e-40,1.4529234761380926e-38,3.3353044787099586e-14,2.525295788740532e-62,2.1541122601283688e-54
8.870286457488001e-20,0.6205081961293163,3.76,0.0,0.7652008342253374,0.9999999999999329,2.059032216357683e-47,1.8804612936507999e-34,2.555589447830673e-18,2.5555894478304472e-18,1.0095809986504423e-19,4.656705372514792e-37,6.143405982781186e-36,1.1035170997330497e-30,2.2524502706824804e-31,1.0796582112299697e-43,4.536386827350293e-37,1.0095809986416675e-19,5.871229737697258e-34,5.165247061473077e-21,1.0543142080101151e-27,1.8880830063048372e-34,4.526111384513784e-34,8.685466055370917e-41,1.3173582452421892e-46,2.544994816097831e-35,3.0597167993943896e-49,2.2980066338075525e-45,5.1652470614730745e-21,2.0232564355568958e-41,3.25194674812722e-59,3.499073453235271e-39,5.842141395208972e-38,6.693932764414301e-14,2.0325777466355425e-61,1.7373695758044877e-53
1.7771479836430665e-19,0.6205081961293163,3.76,0.0,0.7652008342253374,0.9999999999998658,1.6522436803639814e-46,7.541490844685998e-34,5.1200833885109305e-18,5.1200833885100246e-18,2.0226797011288282e-19,1.8675471311722023e-36,2.4637805695055644e-35,2.662941119830178e-30,9.033333018437578e-31,8.663577200124258e-43,1.8192944459826993e-36,2.0226797011112642e-19,2.354625721982876e-33,1.0348491499466964e-20,2.1123029456855507e-27,7.572057321071103e-34,1.8151731004692032e-33,3.483260355206118e-40,5.283195891445844e-46,1.0206567489052303e-34,2.4552300372803773e-48,9.21603447533003e-45,1.034849149946696e-20,8.114163230259748e-41,2.609482482123684e-58,1.403284957799108e-38,2.3429599952810815e-37,1.341118933417011e-13,1.6310156345422503e-60,1.3955497254708213e-52
