Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45)
0.0,0.08584565488872985,3.76,0.0,0.6098707500108576,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2706426803218831e-21,0.08584565488872985,3.76,0.0,0.6098707500108576,0.9999999999999997,1.5211552612537049e-53,2.1644527039504112e-39,5.526448168516489e-23,5.526448168516455e-23,1.3705080057157445e-23,5.917987582871959e-42,7.395328732199292e-41,6.864449084020482e-37,3.2526625055117866e-37,1.8651539529080346e-51,4.7289995331501863e-32,1.3705080057157204e-23,1.1496715896548534e-37,2.262976140850612e-27,2.0903365426262346e-34,2.1644588587371694e-39,2.9384609850558435e-39,1.4716195551043877e-49,1.1102568233207103e-46,4.0053864004375907e-41,6.339218212673583e-57,7.319539092537005e-55,2.262976140850612e-27,2.5635067953625875e-51,1.6579956505031217e-68,4.595862608173585e-47,7.171388814570341e-46,3.041381265106791e-16,2.1429914057777905e-74,6.409846231010915e-62,2.5766180952694625e-61,6.389760809935433e-61,4.72899953315346e-32
3.557799504901273e-21,0.08584565488872985,3.76,0.0,0.6098707500108576,0.9999999999999991,1.805915526160617e-52,1.3073294331862212e-38,1.547405487184617e-22,1.5474054871845967e-22,3.8374224160040456e-23,3.574464500721511e-41,4.466778554172463e-40,2.9759092435649604e-36,1.9646081533290972e-36,2.214310772892396e-50,1.3241198692809796e-31,3.837422416004015e-23,6.944016401515233e-37,6.336333194381713e-27,5.853038823436913e-34,1.3073331506772573e-38,1.774830434973718e-38,8.888582114613426e-49,6.705951212857034e-46,2.419253385862469e-40,7.525919862086034e-56,4.4210016205620334e-54,6.336333194381713e-27,1.5483581047729295e-50,1.9683724398121194e-67,2.7759010165536634e-46,4.331518843876463e-45,8.515867542162244e-16,2.544159448830619e-73,9.686559624303229e-61,3.893785265571153e-60,9.656206535974264e-60,1.3241198692829563e-31
8.132113154060052e-21,0.08584565488872985,3.76,0.0,0.6098707500108576,0.999999999999998,1.7730585725179948e-51,6.294228463090385e-38,3.536926827850553e-22,3.536926827850457e-22,8.771251236580489e-23,1.7209507900994375e-40,2.1505615952096906e-39,1.1770291914047498e-35,9.458742566027941e-36,2.1740234475095337e-49,3.026559701208612e-31,8.7712512365806e-23,3.3432449827161915e-36,1.4483047301443915e-26,1.3378829401392098e-33,6.294246361207792e-38,8.545044544542234e-38,4.279469668867007e-48,3.22862684221654e-45,1.1647663652444974e-39,7.3889927486922e-55,2.1285219808665774e-53,1.4483047301443915e-26,7.454677766416472e-50,1.9325597409823659e-66,1.3364768482821059e-45,2.0854398670910218e-44,1.9464840095726075e-15,2.4978709376945166e-72,1.0420358820828806e-59,4.188756505117468e-59,1.0387706353495314e-58,3.026559701218127e-31
1.728074045237761e-20,0.08584565488872985,3.76,0.0,0.6098707500108576,0.9999999999999958,1.5682502281435406e-50,2.748854934019697e-37,7.515969509182425e-22,7.515969509182007e-22,1.8638908877732745e-22,7.515844240583528e-40,9.392067488716511e-39,4.6220873255637995e-35,4.130881381999625e-35,1.9228991192899183e-48,6.431439365046716e-31,1.8638908877733742e-22,1.4600829188615376e-35,3.077647551556832e-26,2.8431954622637774e-33,2.7488627505963114e-37,3.7318454510207568e-37,1.8689568376696968e-47,1.410026165617213e-44,5.0868407285272865e-39,6.535480408537688e-54,9.295814778186465e-53,3.077647551556832e-26,3.2556536357460992e-49,1.7093272182281501e-65,5.83674553124114e-45,9.10766379258199e-44,4.1362785200665425e-15,2.2093387407973894e-71,9.578105026073254e-59,3.8501888873988464e-58,9.548091783069208e-58,6.431439365088271e-31
3.557799504901273e-20,0.08584565488872985,3.76,0.0,0.6098707500108576,0.9999999999999915,1.3182088109208594e-49,1.147592823636916e-36,1.5474054871846168e-21,1.5474054871844428e-21,3.837422416003475e-22,3.13771702574124e-39,3.921003292753136e-38,1.8256929994130908e-34,1.7245616604220412e-34,1.616312573126587e-47,1.3241198692654285e-30,3.8374224160039946e-22,6.0955587683489e-35,6.336333194381713e-26,5.8544381326470395e-33,1.1475960869025438e-36,1.5579720142764606e-36,7.802526905245705e-47,5.886581677245605e-44,2.1236558694864036e-38,5.493465075611038e-53,3.8808197439657255e-52,6.336333194381713e-26,1.359171307951928e-48,1.4367925432302932e-64,2.436726371828253e-44,3.802270347755088e-43,8.515867540179086e-15,1.8570826432577245e-70,8.194270503566777e-58,3.293917653574594e-57,8.168593542289706e-57,1.3241198692827764e-30
7.217250424228297e-20,0.08584565488872983,3.76,0.0,0.6098707500108576,0.9999999999999827,1.0807472260169736e-48,4.688291134885138e-36,3.1390225597173658e-21,3.139022559716655e-21,7.784485472462868e-22,1.281859790276538e-38,1.6018577838127361e-37,7.250552093225179e-34,7.045397093436141e-34,1.3251507009414206e-46,2.686071734759486e-30,7.7844854724652025e-22,2.49023465005504e-34,1.2853704480031476e-25,1.1879393977950069e-32,4.6883044663798765e-36,6.36482403206911e-36,3.187586841485828e-46,2.4048606895849142e-43,8.675827158587038e-38,4.5038745701656205e-52,1.5854415445419873e-51,1.2853704480031474e-25,5.552658301701323e-48,1.177969369727204e-63,9.954822387526755e-44,1.553351501326371e-42,1.727504557690288e-14,1.5225490577154107e-69,6.775181314001426e-57,2.723474814096724e-56,6.753951105874179e-56,2.686071734830358e-30
1.4536152262882345e-19,0.08584565488872983,3.76,0.0,0.6098707500108576,0.9999999999999651,8.75217123896258e-48,1.895082236055146e-35,6.3222567047828626e-21,6.322256704779987e-21,1.567861158537763e-21,5.181482256995979e-38,6.474965273444698e-37,2.8891832521236576e-33,2.847862151373686e-33,1.0731413944740095e-45,5.409975465637778e-30,1.5678611585387482e-21,1.0065926609783389e-33,2.5888447051331e-25,2.3939187686702217e-32,1.8950876248502845e-35,2.5727636385426454e-35,1.2884735749528968e-45,9.720831411442444e-43,3.5069080519519965e-37,3.6473543977531645e-51,6.408608626438871e-51,2.588844705133099e-25,2.244473282733151e-47,9.539501939161042e-63,4.023898433081176e-43,6.278895121770083e-42,3.4793401636345285e-14,1.233000522125022e-68,5.509464925178678e-56,2.214684488497312e-55,5.4922008725125864e-55,5.409975465924253e-30
2.917395594019044e-19,0.08584565488872985,3.76,0.0,0.6098707500108576,0.9999999999999301,7.044508834865534e-47,7.620042322501612e-35,1.2688724994913858e-20,1.26887249949023e-20,3.146686381119105e-21,2.083451253050348e-37,2.6035550555038024e-36,1.1534064233874858e-32,1.1451128457137048e-32,8.637575554633727e-45,1.085778292695507e-29,3.1466863811231477e-21,4.0474648182370986e-33,5.195793219393004e-25,4.8098303176791307e-32,7.62006399054401e-35,1.0344969436320163e-34,5.1808956440788954e-45,3.908703556768976e-42,1.4101123036750058e-36,2.935708131971807e-50,2.576873674819333e-50,5.195793219393001e-25,9.024928497633636e-47,7.6782220024234805e-62,1.617991910547507e-42,2.524716107951385e-41,6.983011369920935e-14,9.924274095371631e-68,4.443583056224645e-55,1.786223272426794e-54,4.4296589723171626e-54,1.0857782928106969e-29
5.844956329480662e-19,0.08584565488872985,3.76,0.0,0.6098707500108576,0.99999999999986,5.6527746924045474e-46,3.055977786100937e-34,2.5421661575175848e-20,2.5421661575129496e-20,6.304336826275348e-21,8.355571583627423e-37,1.0441420216834983e-35,4.6090325781925205e-32,4.5924146755430316e-32,6.931110407076003e-44,2.1753397847832513e-29,6.304336826291726e-21,1.6232144193989955e-32,1.0409690247912816e-24,9.657464644731238e-32,3.055986475902253e-34,4.148795434027721e-34,2.0777709292953333e-44,1.567564947301932e-41,5.655181025294263e-36,2.355720891465357e-49,1.0334418635583687e-49,1.04096902479128e-24,3.619400092270751e-46,6.161291082108562e-61,6.488871613706393e-42,1.012524076023339e-40,1.3990353760085455e-13,7.9636261482818e-67,3.569327563163599e-54,1.4347916713990958e-53,3.5581429817465198e-53,2.17533978524521e-29
