Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50)
0.0,0.4399004412316399,3.76,0.0,0.8993306343808674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3195112759672255e-22,0.4399004412316399,3.76,0.0,0.8993306343808674,0.9999999999999996,8.158251058066807e-54,1.2919190703566832e-38,7.925942428063787e-20,7.925942428063782e-20,1.829508441058832e-21,8.436033306160098e-41,1.0954621292141937e-39,6.374225809636693e-32,2.9853886673963097e-35,6.5139618446072785e-50,2.810850749667007e-26,1.8295084409951193e-21,3.1513587700505563e-38,2.4487192216536963e-22,1.3447557694591304e-28,1.3091719775804835e-38,3.620534875080029e-38,6.014353105247899e-44,6.804937277288216e-43,3.327706371481352e-39,3.0441471760872683e-55,1.85600087005348e-48,2.4487192216536963e-22,1.6616607571896797e-44,8.936659029535185e-65,2.1429308948435305e-42,3.456118865942189e-41,3.2403701552285605e-16,3.382543778264673e-66,6.2991915914891625e-59,1.5166419785301786e-58,3.393715977095445e-57,2.810850749667073e-26,1.119120075311661e-75,6.560743298357259e-69,5.894908871998508e-78,8.926477615523238e-80,1.2206514818179947e-58
3.694631572708231e-22,0.4399004412316399,3.76,0.0,0.8993306343808674,0.9999999999999991,9.685475656140714e-53,7.803191184957696e-38,2.2192638798578596e-19,2.2192638798578586e-19,5.122623634964727e-21,5.095364116924842e-40,6.616591260452271e-39,1.7857505088671694e-31,1.8031747551073654e-34,7.733375501917737e-49,7.870382099067402e-26,5.122623634786332e-21,1.9034206971105236e-37,6.856413820630349e-22,3.765316155772178e-28,7.907398744586378e-38,2.1868030645483353e-37,3.632669275569805e-43,4.1101821154820814e-42,2.0099346483744708e-38,3.6140115274508005e-54,1.1210245255554392e-47,6.856413820630349e-22,1.0036430973426095e-43,1.0609601600237485e-63,1.2943302604950316e-41,2.0874957950280254e-40,9.073036434634294e-16,4.015755973556976e-65,9.51933806209984e-58,2.2919493579548103e-57,5.1285835845866305e-56,7.870382099067804e-26,3.156097671590788e-74,7.788914443810638e-68,1.6624586204455267e-76,2.517409511219382e-78,1.4491574392143185e-57
8.444872166190243e-22,0.4399004412316399,3.76,0.0,0.8993306343808674,0.9999999999999979,9.509257433294426e-52,3.756900656602228e-37,5.072603153960823e-19,5.072603153960814e-19,1.1708854022776507e-20,2.4531984854375692e-39,3.185603871752687e-38,4.086275493349753e-31,8.681510244788388e-34,7.592673926074177e-48,1.7989444797867326e-25,1.1708854022368748e-20,9.164151303306826e-37,1.5671803018583656e-21,8.606436933544724e-28,3.807072110804434e-37,1.0528515416732698e-36,1.7489738830061978e-42,1.978875760235411e-41,9.676970128263777e-38,3.54825794844731e-53,5.397250530750252e-47,1.5671803018583656e-21,4.832109481908221e-43,1.0416569765962114e-62,6.231643042348077e-41,1.0050393662144039e-39,2.0738368993423057e-15,3.9426930279487625e-64,1.024046940169071e-56,2.465574531656959e-56,5.5170961896445055e-55,1.7989444797869264e-25,6.865201813675699e-73,7.647202388567846e-67,3.6162106258555067e-75,5.475915557923146e-77,1.4227913672070415e-56
1.7945353353154266e-21,0.4399004412316399,3.76,0.0,0.8993306343808674,0.9999999999999956,8.410830510849219e-51,1.6407372193581486e-36,1.0779281702166749e-18,1.077928170216671e-18,2.488131479840004e-20,1.0713762298887523e-38,1.3912369040997657e-37,8.702801977017254e-31,3.791443607593231e-33,6.715634103316183e-47,3.822757019546371e-25,2.4881314797533554e-20,4.002225637964011e-36,3.330258141449027e-21,1.828867850967562e-27,1.6626484115276158e-36,4.598079291351609e-36,7.63822844366595e-42,8.642270342156015e-41,4.226187091777191e-37,3.1383939726589112e-52,2.357121105618059e-46,3.330258141449027e-21,2.1103091616315414e-42,9.213337995453631e-62,2.721522236599145e-40,4.389270959730205e-39,4.406903411090977e-15,3.4872673336469136e-63,9.41275562385904e-56,2.26628777567812e-55,5.071161910254148e-54,3.822757019547219e-25,1.2726927153547745e-71,6.763863910879769e-66,6.703845051645332e-74,1.015142457514488e-75,1.258442851695053e-55
3.694631572708231e-21,0.4399004412316399,3.76,0.0,0.8993306343808674,0.9999999999999909,7.069809834948491e-50,6.849754911077583e-36,2.21926387985786e-18,2.219263879857844e-18,5.1226236349646965e-20,4.472784858983862e-38,5.80814020907331e-37,1.7997761003161586e-30,1.5828530714534493e-32,5.644895111146907e-46,7.870382099064265e-25,5.1226236347863036e-20,1.6708504198806293e-35,6.856413820630349e-21,3.765316174428063e-27,6.941229825135341e-36,1.9196075907674055e-35,3.1888100164034406e-41,3.6079777444181957e-40,1.7643499181557004e-36,2.6380092364423751e-51,9.840516618850155e-46,6.856413820630349e-21,8.810125334625487e-42,7.744365732720834e-61,1.1361819605791153e-39,1.8324342227078108e-38,9.073036434551997e-15,2.9312583175566344e-62,8.052810595871026e-55,1.938856905649323e-54,4.338485780527035e-53,7.870382099067803e-25,2.1874336032999937e-70,5.685435170473254e-65,1.1522196803965158e-72,1.7447705144484699e-74,1.0577970437197166e-54
7.49482404749384e-21,0.4399004412316399,3.76,0.0,0.8993306343808674,0.9999999999999816,5.796257242649118e-49,2.7983483831947177e-35,4.5019352991402304e-18,4.501935299140166e-18,1.0391607945214027e-19,1.8272785582964211e-37,2.3728147903458884e-36,3.683530329068758e-30,6.466471269126479e-32,4.628026062315525e-45,1.5965632258094514e-24,1.0391607944852152e-19,6.825969150278823e-35,1.3908725178992993e-20,7.63821285428635e-27,2.835718870321495e-35,7.842223360818132e-35,1.3027329400099646e-40,1.4739766340097225e-39,7.207945108852041e-36,2.1627993538403e-50,4.020172129493643e-45,1.3908725178992993e-20,3.59922366650804e-41,6.34929892629668e-60,4.641674036593589e-39,7.486091708260646e-38,1.840530248132875e-14,2.4032226679123267e-61,6.658219521709875e-54,1.6030843834072752e-53,3.587143941428606e-52,1.5965632258108969e-24,3.6255107786770227e-69,4.661263252287081e-64,1.909719620464012e-71,2.8918291722827246e-73,8.672459258468848e-54
1.5095208997065057e-20,0.4399004412316399,3.76,0.0,0.8993306343808674,0.9999999999999629,4.693959393278242e-48,1.131137158245003e-34,9.06727813770497e-18,9.06727813770471e-18,2.092957656571248e-19,7.38615208954426e-37,9.591296762950606e-36,7.55008848066887e-30,2.61385107696099e-31,3.747895494941301e-44,3.2156132576132866e-24,2.0929576564983654e-19,2.7591658683990044e-34,2.801334789571828e-20,1.5384006345752062e-26,1.1462429066291577e-34,3.1699520688063916e-34,5.265854832600563e-40,5.958049223255026e-39,2.913566658111904e-35,1.7514909910997643e-49,1.6250178538190102e-44,2.801334789571828e-20,1.454863752639941e-40,5.141826893267168e-59,1.8762388600452724e-38,3.0259979607353167e-37,3.7069834574301056e-14,1.9461920242490096e-60,5.414353536146104e-53,1.3036015972352354e-52,2.9170058793907085e-51,3.2156132576191296e-24,5.903204450735633e-68,3.774811833126534e-63,3.109483339423391e-70,4.708594149273399e-72,7.02318235619764e-53
3.02959788962075e-20,0.4399004412316399,3.76,0.0,0.8993306343808674,0.9999999999999256,3.778106885050865e-47,4.5482527642159125e-34,1.819796381483445e-17,1.8197963814833395e-17,4.2005513806708534e-19,2.969939269893277e-36,3.856618244268818e-35,1.5679403560248668e-29,1.0510180219111231e-30,3.0166323538671405e-43,6.453713321212099e-24,4.200551380524586e-19,1.1094484604303894e-33,5.622259332916886e-20,3.0875593855680046e-26,4.6089923139716425e-34,1.2746237849112798e-33,2.1173770681206e-39,2.3957053882183324e-38,1.1715323388845285e-34,1.4097523259094575e-48,6.534125335854283e-44,5.622259332916885e-20,5.84994316214924e-40,4.138589622287806e-58,7.544273940049897e-38,1.2167404711471634e-36,7.439889875792097e-14,1.5664646560245895e-59,4.3668722745320665e-52,1.051401914381466e-51,2.3526709175235804e-50,6.453713321235594e-24,9.527795783387045e-67,3.0382969645295317e-62,5.018718646321258e-69,7.599689940544286e-71,5.65286816332276e-52
6.069751869449238e-20,0.4399004412316399,3.76,0.0,0.8993306343808674,0.999999999999851,3.031692838557351e-46,1.8240527841335422e-33,3.6459335169093415e-17,3.645933516908919e-17,8.4157388288697255e-19,1.1910784811396712e-35,1.5466764073721764e-34,3.3522828824925923e-29,4.2150523471614864e-30,2.4206574831077652e-42,1.2929913448374286e-23,8.415738828576714e-19,4.449384539273792e-33,1.1264108419607002e-19,6.185877098352228e-26,1.8484120601304903e-33,5.1118114669150786e-33,8.491629063226428e-39,9.607850112178822e-38,4.698368659487399e-34,1.131237458441882e-47,2.620476518834313e-43,1.1264108419606997e-19,2.346088853137887e-39,3.320957548273486e-57,3.0255912788996097e-37,4.87967348944001e-36,1.4905702711586197e-13,1.2569892340088919e-58,3.50770929128423e-51,8.445431953204551e-51,1.8897932246878135e-49,1.292991344846851e-23,1.5310912043233545e-65,2.4380419688107863e-61,8.064946133498634e-68,1.221249771525798e-69,4.5360706958629017e-51
