Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68)
3.552169074419562e-16,0.5731220289604583,3.76,0.0,0.5527235096236074,0.9999999999999958,2.213432927956791e-35,4.396584387773159e-26,1.6594534360571005e-13,1.659453435105456e-13,4.243080905178918e-15,1.9081669406048385e-28,2.456729193637444e-27,9.529218810015725e-23,9.506312877278342e-23,3.1435718347207927e-31,3.5806444338926447e-31,4.243080905076081e-15,6.857375077022418e-26,6.024424103620737e-32,8.948882806775791e-22,4.395111756016043e-26,9.864890211195577e-26,3.675375553117421e-39,5.58453539182666e-44,1.3712726020795397e-26,1.3133878275439775e-36,1.028316151059678e-43
7.107424307895961e-16,0.5731220289604763,3.76,0.0,0.5527235096234371,0.9999999999999916,1.7720931553169587e-34,1.7597805498697012e-25,3.3203486214061454e-13,3.320348617597088e-13,8.489848240081632e-15,7.637646110119898e-28,9.83331672268681e-27,3.8096433135749225e-22,3.8050025531075384e-22,2.516768885117705e-30,2.6917118090307586e-30,8.489848240122778e-15,2.7447370892839307e-25,4.816527612344279e-31,1.7907789955321424e-21,1.7591901995322787e-25,3.9485269470808793e-25,2.9432813030635544e-38,4.840238328308978e-43,5.488663068792244e-26,1.0515088575689088e-35,8.234869218636192e-43
1.4217934774848759e-15,0.5731220289605121,3.76,0.0,0.5527235096230964,0.999999999999983,1.418214621674247e-33,7.041422516843332e-25,6.642138992101552e-13,6.642138976860362e-13,1.698338290912281e-14,3.056057711868927e-27,3.934605558916461e-26,1.523448031911613e-21,1.5224966342230123e-21,2.0141799912707554e-29,2.0841798753727934e-29,1.698338291019297e-14,1.0982523342327154e-24,3.852015432399877e-30,3.583235558504706e-21,7.039053033300098e-25,1.5799250966986948e-24,2.355817969198143e-37,4.463380034477493e-42,2.196179375484404e-25,8.415266602746999e-35,6.591233008375184e-42
2.8438955708754356e-15,0.5731220289605837,3.76,0.0,0.552723509622415,0.999999999999966,1.1347896096031999e-32,2.8170339953290763e-24,1.3285719733481635e-12,1.3285719672506953e-12,3.3970452244148197e-14,1.2226256185212545e-26,1.574096846257884e-25,6.092973067369529e-21,6.0909778347128634e-21,1.6116499945491163e-28,1.6396543572983205e-28,3.397045225024053e-14,4.393724315533347e-24,3.081129274609655e-29,7.170849221737544e-21,2.8160801960859483e-24,6.320729159543912e-24,1.8851316622868484e-36,4.5146112056914514e-41,8.786141299011833e-25,6.733491842803966e-34,5.274321784637515e-41
5.688099757656555e-15,0.573122028960727,3.76,0.0,0.5527235096210523,0.999999999999932,9.079217854036968e-32,1.1269104902293713e-23,2.6572881216198884e-12,2.65728809722803e-12,6.794459090197114e-14,4.89092878482742e-26,6.2968871647784565e-25,2.4370253501218997e-20,2.436589352091444e-20,1.2894423819275832e-27,1.3006447743078764e-27,6.794459092996442e-14,1.7576326358823063e-23,2.4647100930105442e-28,1.435687873122575e-20,1.1265242578717408e-23,2.5284974254055447e-23,1.5082962674001254e-35,5.121141835972592e-40,3.51473753735493e-24,5.3873049379799696e-33,4.219991641646936e-40
1.1376508131218794e-14,0.5731220289610137,3.76,0.0,0.552723509618327,0.9999999999998641,7.263781470248397e-31,4.507866854431292e-23,5.3147204181461705e-12,5.314720320574768e-12,1.3589286816870645e-13,1.9564737506822802e-25,2.5188472238570554e-24,9.747773442493186e-20,9.746753415068967e-20,1.0316028188291748e-26,1.036083514283375e-26,1.3589286828792727e-13,7.030815603152228e-23,1.971690697750573e-27,2.877214675326581e-20,4.5062844077207943e-23,1.0114401178528344e-22,1.206713392792979e-34,6.511718382314601e-39,1.405948210915849e-23,4.3100485225756733e-32,3.376207008005553e-39
2.275332487834327e-14,0.5731220289615871,3.76,0.0,0.5527235096128762,0.9999999999997282,5.8112628990327606e-30,1.803216603356448e-22,1.0629585011130063e-11,1.062958462083652e-11,2.7178942250653984e-13,7.826235251419557e-25,1.0075512802542812e-23,3.899043653306466e-19,3.8987802137161044e-19,8.253017507513358e-26,8.270933386248943e-26,2.7178942299791315e-13,2.8123826382835926e-22,1.5773215561723243e-26,5.777552097738843e-20,1.8025536476299215e-22,4.0458427195192373e-22,9.654012654080263e-34,9.072934078727989e-38,5.623875160967902e-23,3.448120610353654e-31,2.7010510805995097e-38
4.5506958372592225e-14,0.5731220289627339,3.76,0.0,0.5527235096019747,0.9999999999994564,4.6492251600277314e-29,7.213205195040578e-22,2.1259314196823172e-11,2.1259312635633154e-11,5.435825303996996e-13,3.1306707656020952e-24,4.030181254140873e-23,1.5596042140490648e-18,1.559527571114074e-18,6.602490867410011e-25,6.609645530376446e-25,5.435825323941259e-13,1.1249638420839677e-21,1.2618447663857001e-25,1.1647363948810406e-19,7.210313629032881e-22,1.6183534985848512e-21,7.723332308897796e-33,1.3439988918613283e-36,2.2495472670668663e-22,2.758529143606714e-30,2.1608750446174233e-37
9.101422536109013e-14,0.5731220289650273,3.76,0.0,0.5527235095801717,0.9999999999989129,3.7196576659226105e-28,2.8855090805901738e-21,4.251877256711067e-11,4.2518766322319234e-11,1.087168743056326e-12,1.2523905266945546e-23,1.612028811428988e-22,6.238389544504013e-18,6.238138983443967e-18,5.282021642859904e-24,5.284864597912421e-24,1.0871687510915187e-12,4.4998730001004314e-21,1.0094706981908153e-24,2.3663549549776547e-19,2.884160673828914e-21,6.4734465041125086e-21,6.178714688266731e-32,2.0642590207497148e-35,8.998029391699173e-22,2.2068362778533893e-29,1.728713691755227e-36
1.8202875933808595e-13,0.5731220289696141,3.76,0.0,0.5527235095365656,0.9999999999978257,2.9761437100356028e-27,1.15437642962689e-20,8.503768930329074e-11,8.503766432406461e-11,2.174341155853489e-12,5.010501573603314e-23,6.44771656286812e-22,2.495349702059937e-17,2.4952595152645098e-17,4.22562602056674e-23,4.2267328409980585e-23,2.1743411881061922e-12,1.7999495729143567e-20,8.075743151680193e-24,4.8802279337594e-19,1.153683644621402e-20,2.5893848540719574e-20,4.94299123359374e-31,3.2338999738793296e-34,3.599056564876906e-21,1.7654740486890546e-28,1.3829763900955494e-35
3.640578272920776e-13,0.5731220289787876,3.76,0.0,0.5527235094493534,0.9999999999956513,2.3815724977368766e-26,4.6188704869871e-20,1.7007552275807134e-10,1.7007542284106497e-10,4.348685931404895e-12,2.0049444260121044e-22,2.578757898913035e-21,9.98138134983046e-17,9.981031361485107e-17,3.3804997016473307e-22,3.3808937797012884e-22,4.348686060615246e-12,7.19977380972503e-20,6.460582389472336e-23,1.035060611801402e-18,4.614871959105498e-20,1.0357549924815841e-19,3.954400694431448e-30,5.119100777045354e-33,1.439492997095417e-20,1.4123809954396762e-27,1.1063832455605961e-34
7.281159632000609e-13,0.573122028997135,3.76,0.0,0.5527235092749291,0.9999999999913023,1.9063058062424648e-25,1.8486364854210642e-19,3.4015118959731425e-10,3.401507899292359e-10,8.69737528250763e-12,8.025710643497938e-22,1.0312383061883176e-20,3.992544866718525e-16,3.9923995700512725e-16,2.704391959711759e-21,2.7044716974420673e-21,8.697375799553428e-12,2.879884445704385e-19,5.168456005540753e-22,2.306260172978581e-18,1.8460551406209865e-19,4.1430204745577946e-19,3.1635235016425155e-29,8.146426450726508e-32,5.756924241997623e-20,1.1299050924228701e-26,8.85107383960051e-34
1e-12,0.5731220290154821,3.76,0.0,0.5527235091446664,0.9999999999880542,4.554703476147599e-25,3.4029923832090757e-19,4.671662300035642e-10,4.67165494547757e-10,1.1945041093594987e-11,1.47751484794924e-21,1.8973596034087058e-20,7.346941222811205e-16,7.346665116487401e-16,6.4597238719582205e-21,6.4597499185695564e-21,1.1945042044977297e-11,5.299438943834591e-19,1.2345410199581927e-21,3.387942766621192e-18,3.3971651887267117e-19,7.623847421738858e-19,7.81482795448395e-29,2.522948738539924e-31,1.0592549260258904e-19,2.698901195883559e-26,2.1864739686050912e-33
