Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168)
0.0,0.2571904364160497,3.76,0.0,0.7679138055211994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.451408771605859e-16,0.2571904364160497,3.76,0.0,0.7679138055211991,1.0,8.886776644034043e-59,1.1435803704149884e-49,1.4497131702944154e-16,1.4497131695355063e-16,1.5274725485412104e-17,4.305761227618152e-31,5.5929800096060926e-30,7.58907423863545e-26,7.588491239748601e-26,1.0830716908151885e-34,1.0831035498454605e-34,1.5274725488500556e-17,3.094285497655285e-27
6.863944560496406e-16,0.2571904364160497,3.76,0.0,0.7679138055211989,1.0,5.118133317760649e-57,3.595460231701096e-48,4.059196876824362e-16,4.05919687224055e-16,4.276923134912839e-17,2.600699443890229e-30,3.378157231696539e-29,4.583617259317867e-25,4.5834487002475225e-25,1.2858227091365138e-33,1.2858418344030045e-33,4.2769231367801024e-17,1.8689484382592793e-26
1.56890161382775e-15,0.2571904364160497,3.76,0.0,0.7679138055211984,1.0,2.295142587089186e-55,8.021124921310962e-47,9.278164289884251e-16,9.278164267815167e-16,9.7758243036459e-17,1.2521448585578698e-29,1.626434545641547e-28,2.206774280068241e-24,2.206733239677946e-24,1.2624283559964229e-32,1.2624373232745763e-32,9.77582431263998e-17,8.998182192313876e-26
3.3339159293839686e-15,0.25719043641604983,3.76,0.0,0.7679138055211973,0.9999999999999999,8.634822319103358e-54,1.5022546810245042e-45,1.9716099116004005e-15,1.9716099019622514e-15,2.0773626625071225e-16,5.46862152496207e-29,7.103042853762432e-28,9.637481720888407e-24,9.637383741790927e-24,1.1166035760455278e-31,1.1166070649482951e-31,2.0773626664358865e-16,3.929742545992262e-25
6.863944560496406e-15,0.25719043641604994,3.76,0.0,0.7679138055211949,0.9999999999999997,2.989951632636893e-52,2.594760229093884e-44,4.0591968768243425e-15,4.059196836586968e-15,4.2769231203758693e-16,2.2831888904410013e-28,2.9653604187378535e-27,4.023442580763695e-23,4.023417935893887e-23,9.385725721377178e-31,9.385733099096386e-31,4.2769231367793147e-16,1.6405901384298762e-24
1.3924001822721281e-14,0.2571904364160501,3.76,0.0,0.7679138055211903,0.9999999999999992,9.947735560790476e-51,4.311223730297937e-43,8.23437080727219e-15,8.234370642889391e-15,8.67604401044809e-16,9.328773321321987e-28,1.2114300226767082e-26,1.643704298009195e-22,1.64369745538487e-22,7.694984779426133e-30,7.694976006464732e-30,8.676044077464783e-16,6.702345884793029e-24
2.804411634717103e-14,0.2571904364160505,3.76,0.0,0.767913805521181,0.9999999999999983,3.2454503399220083e-49,7.028375117402716e-42,1.658471866816775e-14,1.65847180037062e-14,1.7474285687931457e-15,3.771810838713704e-27,4.896660728487425e-26,6.644108930614368e-22,6.644087496270973e-22,6.231597810034909e-29,6.231575172698011e-29,1.747428595883017e-15,2.7091952530630426e-23
5.628434539607053e-14,0.25719043641605127,3.76,0.0,0.7679138055211626,0.9999999999999966,1.0486048441720118e-47,1.1350837731660985e-40,3.328541438995831e-14,3.328541171818773e-14,3.507076863225394e-15,1.5174097750259208e-26,1.968818700554086e-25,2.6715655766365828e-21,2.6715580203102743e-21,5.015731458174382e-28,5.015691623348304e-28,3.507076972153879e-15,1.0893554034117987e-22
1.1276480349386953e-13,0.2571904364160528,3.76,0.0,0.7679138055211256,0.999999999999993,3.3717230904572197e-46,1.8246132410185453e-39,6.668680583353721e-14,6.668679511854294e-14,7.026373287832237e-15,6.09175706543228e-26,7.894985120451612e-25,1.0714169459666924e-20,1.0714139816401423e-20,4.0248076587858644e-27,4.024742361941287e-27,7.0263737246867835e-15,4.368801652892343e-22
2.2572571968946752e-13,0.25719043641605593,3.76,0.0,0.7679138055210518,0.999999999999986,1.0815484316360277e-44,2.926181651582288e-38,1.3348958872068607e-13,1.3348954580482585e-13,1.4064965480015706e-14,2.4448974318726256e-25,3.1614246082837017e-24,4.29125511905113e-20,4.2912422065054673e-20,3.224742357485276e-26,3.224637172057085e-26,1.4064967229717648e-14,1.7497988225050516e-21
4.5164755208066347e-13,0.25719043641606215,3.76,0.0,0.7679138055209042,0.9999999999999719,3.4651144231066444e-43,4.68733586147988e-37,2.670951544949482e-13,2.670949827197127e-13,2.81421472362649e-14,9.826100319084168e-25,1.2648437568430553e-23,1.717619777207189e-19,1.7176134628824504e-19,2.581752212727256e-25,2.58158356762131e-25,2.8142154239642274e-14,7.00375064631432e-21
9.034912168630554e-13,0.2571904364160746,3.76,0.0,0.7679138055206088,0.9999999999999437,1.1095015268503946e-41,7.504089078519453e-36,5.343062860433301e-13,5.343055987190193e-13,5.6296500236317455e-14,3.9638026235735705e-24,5.056626659240452e-23,6.872712207187135e-19,6.872677144289896e-19,2.066182488393439e-24,2.0659124772072592e-24,5.629652825896445e-14,2.8024087372293095e-20
1e-12,0.25719043641609945,3.76,0.0,0.7679138055205458,0.9999999999999377,4.783777229416769e-41,1.95287081087497e-35,5.913796128515583e-13,5.913787052725275e-13,6.230995252246312e-14,5.261362326025036e-24,6.673289991470409e-23,9.075089052093788e-19,9.075034247570885e-19,3.6111086542981106e-24,3.610406036825293e-24,6.230998952504697e-14,3.700445391975019e-20
1.8071785464278395e-12,0.25719043641609945,3.76,0.0,0.7679138055200181,0.9999999999998874,3.5514622903475638e-40,1.2010001565903875e-34,1.068728549139527e-12,1.0687257993977536e-12,1.1260516418684154e-13,1.61138704655373e-23,2.0194711733167033e-22,2.749529167588543e-18,2.7495071756683954e-18,1.653253628398597e-23,1.6528215441287688e-23,1.1260527629567128e-13,1.1211429346543942e-19
3.6145532055574073e-12,0.25719043641614914,3.76,0.0,0.7679138055188366,0.9999999999997748,1.136632777287156e-38,1.921869510882142e-33,2.1375730753296964e-12,2.1375620754916305e-12,2.2522232389120551e-13,6.649960204982196e-23,8.050605642315592e-22,1.099898611087788e-17,1.0998834165102225e-17,1.3227184242545088e-22,1.322027185139082e-22,2.252227723627013e-13,4.484912388537036e-19
7.229302523816543e-12,0.25719043641624856,3.76,0.0,0.7679138055164737,0.9999999999995496,3.6374606890501703e-37,3.0751826134083113e-32,4.275262127701817e-12,4.275218126752389e-12,4.5045597052665514e-13,2.821638309062262e-22,3.198238213876628e-21,4.399752979772511e-17,4.3996409712229316e-17,1.0582088747275852e-21,1.0571034057134623e-21,4.504577644821568e-13,1.794018483780596e-18
1e-11,0.25719043641644757,3.76,0.0,0.7679138055146625,0.9999999999993768,4.685385863703924e-36,2.0753880473084437e-31,5.9137961284757405e-12,5.913701536796139e-12,6.230960385906833e-13,6.551780094562811e-22,6.808924781630684e-21,9.458428987306607e-17,9.45803109563403e-17,3.897088934861695e-21,3.8896352841125006e-21,6.230998951830294e-13,3.856681627545911e-18
1.4458801160334814e-11,0.25719043641644757,3.76,0.0,0.7679138055117478,0.9999999999990989,1.164007243531092e-35,4.920368389172125e-31,8.55064023242405e-12,8.550464226584895e-12,9.009205728175307e-13,1.255458648694932e-21,1.2619495439847548e-20,1.7599206046525843e-16,1.7598348091633983e-16,8.465614302565608e-21,8.447944711487433e-21,9.009277487500914e-13,7.176064164923904e-18
2.1688299796853087e-11,0.25719043641664646,3.76,0.0,0.7679138055070219,0.9999999999986482,5.463101927602149e-35,1.8758883787330007e-30,1.282601833714055e-11,1.2825644324747346e-11,1.3513824842468825e-12,2.851155084006589e-21,2.6565436875794334e-20,3.7398295781317233e-16,3.739587055180224e-16,2.4206090230294025e-20,2.414108652644153e-20,1.3513977331344899e-12,1.524899881602359e-17
2.891779843337136e-11,0.25719043641684536,3.76,0.0,0.767913805502296,0.9999999999981976,1.70300935151526e-34,5.047198698915259e-30,1.7101396441873006e-11,1.7100758422258683e-11,1.8018417049386098e-12,5.147774939726488e-21,4.492846440772082e-20,6.379691445390181e-16,6.37918316273144e-16,5.105701722568313e-20,5.089222768171889e-20,1.8018677177227915e-12,2.6012720219759074e-17
4.33767957064079e-11,0.2571904364172432,3.76,0.0,0.7679138054928444,0.9999999999972958,8.390850433031968e-34,2.041404834440772e-29,2.5652152651463725e-11,2.5650831720954778e-11,2.702753831731042e-12,1.1622333667335515e-20,9.169734734836513e-20,1.3208250771759203e-15,1.3206871640751964e-15,1.3944934609102682e-19,1.388735061207642e-19,2.702807687649175e-12,5.385495772718864e-17
5.7835792979444444e-11,0.25719043641764106,3.76,0.0,0.7679138054833927,0.9999999999963941,2.6328101041935453e-33,5.529549311990029e-29,3.420290886137129e-11,3.420066232018134e-11,3.6036560648288193e-12,2.129999721534703e-20,1.5385219619763603e-19,2.246360267665453e-15,2.246072831363894e-15,2.9176842930722403e-19,2.903304640564741e-19,3.6037476590517237e-12,9.159132874180576e-17
8.675378752551753e-11,0.25719043641843664,3.76,0.0,0.7679138054644893,0.9999999999945893,2.039958782505161e-32,2.772853653968772e-28,5.130442128422795e-11,5.1299526620585363e-11,5.40542804982088e-12,5.4061049299337533e-20,3.247263667568079e-19,4.8942597802342026e-15,4.893356955382964e-15,9.212552831059224e-19,9.146107830869511e-19,5.405627610323222e-12,1.9954871641031886e-16
9.999999999999999e-11,0.2571904364192323,3.76,0.0,0.7679138054558303,0.9999999999937622,4.1559687936259987e-32,4.9003876979730945e-28,5.913796129312935e-11,5.913150284343752e-11,6.230735665692635e-12,7.586846751702047e-20,4.222619485252299e-19,6.457910209620765e-15,6.456548613978509e-15,1.3914522089076995e-18,1.379956991377275e-18,6.230998982227514e-12,2.632981735303734e-16
1.1567178207159062e-10,0.2571904364192323,3.76,0.0,0.7679138054455859,0.9999999999927836,7.716080075503982e-32,8.318745813323817e-28,6.840593371388755e-11,6.839734049032755e-11,7.207157225070861e-12,1.0718754539583625e-19,5.532896683252628e-19,8.592496441413175e-15,8.590448537670427e-15,2.095310115789425e-18,2.0760751174786397e-18,7.207507576419445e-12,3.5032317721050527e-16
1.7350777116373677e-10,0.2571904364208237,3.76,0.0,0.7679138054077791,0.9999999999891688,6.279955503161008e-31,4.303387605084028e-27,1.0260895862433598e-10,1.0258980275427353e-10,1.081048661881636e-11,2.9358818638585286e-19,1.158551968915659e-18,1.9154141758467705e-14,1.9147325792223028e-14,6.994833659190937e-18,6.8975372543445555e-18,1.0811267581961562e-11,7.808815742004741e-16
2.891797493480291e-10,0.2571904364240062,3.76,0.0,0.7679138053321656,0.999999999981926,9.396290296299404e-30,3.5161629943743256e-26,1.7101500898166805e-10,1.7096206431339206e-10,1.8016629996185055e-11,1.0795295535916635e-18,2.8349693978462477e-18,5.293903573197376e-14,5.290707569800884e-14,3.2881217731809575e-17,3.2084356465187955e-17,1.8018788071801847e-11,2.1579512943248945e-15
5.205237057166138e-10,0.25719043643037126,3.76,0.0,0.7679138051809384,0.999999999967388,2.0223915732906695e-28,3.8944756033472346e-25,3.0782711634244717e-10,3.076559393928878e-10,3.242686080419065e-11,4.793518991302031e-18,7.380589285877177e-18,1.7115008367477675e-13,1.7095940315656322e-13,1.9650215000566288e-16,1.8763200554180322e-16,3.243383246474315e-11,6.974709065558601e-15
7.518676620851985e-10,0.25719043643673617,3.76,0.0,0.7679138050297113,0.9999999999527798,1.0216220439501957e-27,1.5444606374279573e-24,4.446392407443103e-10,4.442823057510994e-10,4.683436077313446e-11,1.1773345309321285e-17,1.2953564574230289e-17,3.568590188749699e-13,3.563052570616803e-13,5.709873381891312e-16,5.369654371227181e-16,4.684888335772189e-11,1.4539380965149493e-14
9.832116184537833e-10,0.257190436443101,3.76,0.0,0.7679138048784842,0.9999999999381012,3.371175082585033e-27,4.247052193007691e-24,5.814513965246632e-10,5.808411933708236e-10,6.12391473413295e-11,2.2400069763250705e-17,1.902928406404418e-17,6.100332790191725e-13,6.088286205706004e-13,1.2425143712316132e-15,1.151924827278157e-15,6.126394347379533e-11,2.484886609137063e-14
9.999999999999999e-10,0.2571904364494658,3.76,0.0,0.7679138048675097,0.9999999999370333,3.661757755559536e-27,4.543000994153813e-24,5.91379709152471e-10,5.907484997913913e-10,6.228438243553143e-11,2.3321260664396e-17,1.947855770692722e-17,6.310300898727583e-13,6.297636436750309e-13,1.3062678184102587e-15,1.2096180506759002e-15,6.231002931675275e-11,2.5703709372925156e-14
1.214555574822368e-09,0.2571904364494658,3.76,0.0,0.7679138047272569,0.9999999999233524,8.806174988496011e-27,9.51467044287304e-24,7.182636025063652e-10,7.173326344599078e-10,7.56412425806643e-11,3.688163158955542e-17,2.5319950820342416e-17,9.30637922498415e-13,9.284084263841112e-13,2.3000225521183765e-15,2.1026266133722453e-15,7.56790156265736e-11,3.789991541975674e-14
1.6772434875595373e-09,0.25719043646219497,3.76,0.0,0.7679138044248022,0.9999999998936444,3.9491944452506545e-26,3.2993532554667217e-23,9.91888256408256e-10,9.901132982149565e-10,1.0443746248608432e-10,7.766431552233562e-17,3.8185247845411625e-17,1.7740068717550636e-12,1.7682873734429468e-12,5.9019108450241e-15,5.24885139659977e-15,1.045092064669461e-10,7.221462781037347e-14
2.1399314002967065e-09,0.2571904364749237,3.76,0.0,0.767913804122347,0.999999999863656,1.224470951012861e-25,8.477872461993058e-23,1.2655134199847675e-09,1.26262455897468e-09,1.332232641000993e-10,1.3453104419951345e-16,5.096332216831375e-17,2.886681543092454e-12,2.874969680025302e-12,1.208728843030621e-14,1.0468741164753969e-14,1.333394784203668e-10,1.174574422549704e-13
2.602619313033876e-09,0.25719043648765205,3.76,0.0,0.7679138038198907,0.9999999998333873,3.085365976395695e-25,1.8229502229455247e-22,1.5391393780800237e-09,1.5348666927591216e-09,1.6199895959245336e-10,2.0749331482220696e-16,6.36117738355747e-17,4.268362238268534e-12,4.247433672091715e-12,2.160184015277079e-14,1.822313658395499e-14,1.6216985519585201e-10,1.7360103317441646e-13
3.0653072257710452e-09,0.25719043650038015,3.76,0.0,0.7679138035174335,0.999999999802839,6.795887387156908e-25,3.479026744469042e-22,1.8127664792358842e-09,1.8068399733907943e-09,1.907649244087793e-10,2.964179752186412e-16,7.628645397363313e-17,5.918751632430355e-12,5.884669321513469e-12,3.518174887679174e-14,2.8899678606674675e-14,1.9100036027295377e-10,2.4061849683397946e-13
3.5279951385082146e-09,0.25719043651310797,3.76,0.0,0.767913803214975,0.9999999997720108,1.3558316595481735e-24,6.08587759278771e-22,2.086395120522585e-09,2.078544667387477e-09,2.1952158158879575e-10,4.0125644157440907e-16,8.902814422915733e-17,7.837560375918809e-12,7.785696318646843e-12,5.3540814217371553e-14,4.2815096560025e-14,2.1983101649126127e-10,3.1848386378874475e-13
4.453370963982554e-09,0.25719043653856266,3.76,0.0,0.7679138026100512,0.9999999997095173,4.3523455678991776e-24,1.543887915831829e-21,2.6336587535296063e-09,2.6211493512534553e-09,2.770088049428205e-10,6.587288161621776e-16,1.1453664958103957e-16,1.2479289702102191e-11,1.2375247985574268e-11,1.0741712931384074e-13,8.14532335169029e-14,2.7749287290416905e-10,5.066564459121547e-13
5.2862092069094585e-09,0.2571904365614714,3.76,0.0,0.76791380206561,0.9999999996523192,1.0286107368758161e-23,3.0655984806296798e-21,3.1262058840020557e-09,3.108577639745603e-09,3.2872032042262943e-10,9.449569026477803e-16,1.3736222244367355e-16,1.7571974921583042e-11,1.739833616393081e-11,1.7928623815281967e-13,1.2974670290911156e-13,3.2938928690555107e-10,7.128585407509082e-13
6.119047449836363e-09,0.2571904365843797,3.76,0.0,0.7679138015211562,0.9999999995942196,2.1397354848752768e-23,5.502329733151259e-21,3.6187654836571305e-09,3.5951398035436103e-09,3.804095481021151e-10,1.2826675434049548e-15,1.601164559947931e-16,2.352989196733294e-11,2.3261118520245893e-11,2.77533965650501e-13,1.919491220256563e-13,3.8128654183172124e-10,9.538180602126398e-13
6.951885692763268e-09,0.2571904366072876,3.76,0.0,0.7679138009766868,0.9999999995352198,4.0485862266732964e-23,9.16072901404209e-21,4.111340786973144e-09,4.080837383583685e-09,4.320798648064564e-10,1.6716897323049033e-15,1.828846962817661e-16,3.035136788599093e-11,2.9957990478300325e-11,4.0622403716755157e-13,2.688897376062172e-13,4.331847697847615e-10,1.229392657631199e-12
7.784723935690173e-09,0.25719043663019553,3.76,0.0,0.7679138004321981,0.9999999994753214,7.122626800318249e-23,1.4391899481180155e-20,4.603935195470617e-09,4.5656719192344835e-09,4.837348115910124e-10,2.111929115408058e-15,2.0564750835812445e-16,3.8034731474729876e-11,3.748337318430975e-11,5.693960513145682e-13,3.6120662742935964e-13,4.850841027118482e-10,1.5394427983609947e-12
8.617562178617078e-09,0.2571904366531036,3.76,0.0,0.7679137998876868,0.9999999994145259,1.1828175653208657e-22,2.159103613478619e-20,5.096552239168162e-09,5.049644945425571e-09,5.353780548271089e-10,2.603306742822471e-15,2.2836480552674713e-16,4.657831637978134e-11,4.583172412248093e-11,7.710577130402853e-13,4.693774775189555e-13,5.369846721553706e-10,1.883832129870921e-12
9.450400421543982e-09,0.25719043667601205,3.76,0.0,0.7679137993431494,0.9999999993528349,1.874185539138435e-22,3.1196935977932e-20,5.58919554209845e-09,5.532757992990752e-09,5.870133517026995e-10,3.145712130586956e-15,2.5104007599659763e-16,5.5980460703872357e-11,5.4997535476160545e-11,1.015186111872836e-12,5.937553444138889e-13,5.888866092848824e-10,2.2624274970524346e-12
9.999999999999999e-09,0.25719043672183045,3.76,0.0,0.7679137989837868,0.9999999993116346,2.4847144827326247e-22,3.908649755518673e-20,5.914312723956987e-09,5.851099608458381e-09,6.210855842630466e-10,3.531543187255907e-15,2.6598618956499237e-16,6.265446968229565e-11,6.149122053913384e-11,1.2014669887338677e-12,6.848365473710715e-13,6.231381098719734e-10,2.5309382443006043e-12
1.1116076907397792e-08,0.25719043672183045,3.76,0.0,0.767913798253981,0.9999999992267723,4.2116258045822675e-22,5.960051802768116e-20,6.574575759985863e-09,6.49641026049445e-09,6.902754577104343e-10,4.383171266835478e-15,2.9627038034096985e-16,7.735379650199542e-11,7.575966042613145e-11,1.6466143015240282e-12,8.92068979413425e-13,6.926951098831293e-10,3.121719329588341e-12
1.2781753393251602e-08,0.25719043676765246,3.76,0.0,0.7679137971646626,0.9999999990971458,8.448919972600664e-22,1.0397405722273089e-19,7.560105880569822e-09,7.456640913303584e-09,7.935521639620631e-10,5.823342150429296e-15,3.414820116248954e-16,1.0214150389394544e-10,9.972627229839556e-11,2.4949656162995185e-12,1.2574010889138307e-12,7.965106487359805e-10,4.1163153862172446e-12
1.4447429879105411e-08,0.2571904368134793,3.76,0.0,0.767913796075164,0.9999999989639673,1.556035373258571e-21,1.6936980460197192e-19,8.545816233323825e-09,8.413462102283022e-09,8.968747527997941e-10,7.465510850533493e-15,3.864797416783028e-16,1.303303924835007e-10,1.268543474248004e-10,3.5911137660241604e-12,1.6902959066272923e-12,9.003342662743494e-10,5.245262799110148e-12
1.611310636495922e-08,0.25719043685931237,3.76,0.0,0.7679137949854548,0.9999999988272489,2.680548853105663e-21,2.615160766632237e-19,9.531737300251823e-09,9.366885932109268e-09,1.000274608842247e-09,9.308719318442993e-15,4.3140713245259825e-16,1.619073222542315e-10,1.5710133224725413e-10,4.9655084441045055e-12,2.190721119354877e-12,1.0041669986419493e-09,6.507658954202183e-12
1.777878285081303e-08,0.25719043690515325,3.76,0.0,0.7679137938955041,0.9999999986870024,4.376265867078601e-21,3.868113954740356e-19,1.0517899609706665e-08,1.0316924460561158e-08,1.1037831133033496e-09,1.1352229826676233e-14,4.761107693528177e-16,1.9685920452264315e-10,1.9042514294912708e-10,6.648176576777321e-12,2.7581752977704708e-12,1.108009877622769e-09,7.902650990728661e-12
1.944445933666684e-08,0.2571904369510031,3.76,0.0,0.767913792805282,0.9999999985432396,6.836382556427865e-21,5.523152053716751e-19,1.1504333439547216e-08,1.1263589705931938e-08,1.2074313481987952e-09,1.3595042070112731e-14,5.208006505778495e-16,2.351729936929813e-10,2.2678413174733675e-10,8.6687484414295e-12,3.3920108576428773e-12,1.2118639312966409e-09,9.429434751834889e-12
2.111013582252065e-08,0.2571904369968634,3.76,0.0,0.7679137917147585,0.9999999983959724,1.029318549187236e-20,7.657381410398021e-19,1.249106855792575e-08,1.2206893652159439e-08,1.3112498380708925e-09,1.603645074093268e-14,5.652863420484687e-16,2.7683568186380903e-10,2.6613706192024913e-10,1.1056477714822497e-11,4.091713320660508e-12,1.3157301845087578e-09,1.1087253847088778e-11
2.277581230837446e-08,0.2571904370427354,3.76,0.0,0.7679137906239042,0.9999999982452125,1.5021656619221105e-20,1.0354379294057027e-18,1.347813443522696e-08,1.3146848238328964e-08,1.4152687621785426e-09,1.867554548577881e-14,6.096625742174192e-16,3.2183431005657226e-10,3.084431452653875e-10,1.384021432690428e-11,4.856662229256064e-12,1.419609657952592e-09,1.2875399401459105e-11
2.444148879422827e-08,0.2571904370886205,3.76,0.0,0.7679137895326902,0.9999999980909711,2.1342856175858338e-20,1.3704155271311614e-18,1.4465560392786883e-08,1.408346535334476e-08,1.5195181038880921e-09,2.1511457631577166e-14,6.539719843610885e-16,3.701559741257743e-10,3.5366206031345794e-10,1.704839166588456e-11,5.685969632713307e-12,1.523503367678793e-09,1.4793209383405448e-11
2.6107165280082078e-08,0.2571904371345198,3.76,0.0,0.7679137884410868,0.9999999979332596,2.9626574490199334e-20,1.7803071327430814e-18,1.5453375372410906e-08,1.5016756844849296e-08,1.6240274213994115e-09,2.45434043221725e-14,6.981438258215774e-16,4.217878150696541e-10,4.01753913776027e-10,2.0709056228412604e-11,6.578740219378365e-12,1.6274123258823422e-09,1.6840067396739836e-11
2.7772841765935888e-08,0.2571904371804349,3.76,0.0,0.767913787349066,0.9999999977720896,4.029494842432065e-20,2.2753763018209337e-18,1.6441607871680947e-08,1.5946734520994562e-08,1.7288257840801357e-09,2.7770560619347285e-14,7.421688937675993e-16,4.76717017048608e-10,4.526792292112219e-10,2.4849877135541748e-11,7.534145525422704e-12,1.7313375410657682e-09,1.9015401653562172e-11
2.9438518251789697e-08,0.2571904372263667,3.76,0.0,0.7679137862565996,0.9999999976074723,5.382604966259206e-20,2.8665073003274264e-18,1.7430285984853833e-08,1.6873410148944983e-08,1.833941814261468e-09,3.119207781272338e-14,7.860746024747679e-16,5.349308090171796e-10,5.063989489512179e-10,2.949814570896686e-11,8.551382612708676e-12,1.835280017910852e-09,2.1318684076796e-11
