Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245)
2.018960923260822e-20,0.18586518622629816,3.76,0.0,0.8445810234291456,0.9999999999997354,2.496567011423402e-45,1.3957174091198037e-32,4.224261807645913e-16,4.2242618076453405e-16,6.373761996861721e-18,3.6138158360514547e-34,4.491804103770731e-33,9.570924526568053e-28,5.718042906527072e-29,2.0721365479488618e-41,2.3234820833376732e-34,6.373761995961863e-18,3.441351709744968e-32,1.9144359353655397e-18,5.6320150170744625e-24,1.4358106472585678e-32,3.766285873800299e-32,6.817063945393559e-37,3.4843610545788915e-41,7.521646724442423e-33,2.5239697887350605e-46,1.8735484189346496e-41,1.9144359353655385e-18,1.7919788815036712e-37,2.4379139095376617e-55,2.7016142181137726e-35,4.034274403142765e-34,2.644789893493226e-13,5.707072794544012e-56
4.039675939417613e-20,0.1858651862262982,3.76,0.0,0.8445810234291452,0.9999999999994708,1.9987716293272556e-44,5.586506982715206e-32,8.452193695055199e-16,8.452193695052908e-16,1.2753061580164914e-17,1.446468122213949e-33,1.7978922393404719e-32,2.029482074763046e-27,2.2887073275970264e-28,1.6589691860889728e-40,9.299984331938451e-34,1.2753061578364524e-17,1.3774375260321182e-31,3.830535151300465e-18,1.1268923274966146e-23,5.746984419700097e-32,1.5074958719451773e-31,2.728602156300307e-36,1.3946525030212333e-40,3.010618887353094e-32,2.020710512672101e-45,7.499076413635747e-41,3.830535151300461e-18,7.172585557867376e-37,1.9518135151432288e-54,1.0813497496681147e-34,1.6147611233577204e-33,5.291877605559935e-13,4.569128380477764e-55
8.081105971731196e-20,0.18586518622629822,3.76,0.0,0.8445810234291443,0.9999999999989413,1.5996247718694888e-43,2.235330470673686e-31,1.6908057469873754e-15,1.690805746986459e-15,2.5511660746764194e-17,5.787756602487469e-33,7.193910819645198e-32,4.517807362382329e-27,9.157810489724262e-28,1.3276795434724156e-39,3.7212057756687064e-33,2.5511660743163063e-17,5.511544299557837e-31,7.662733583170312e-18,2.2542740064969886e-23,2.299542347370012e-31,6.031947092081873e-31,1.0917962794150527e-35,5.580426875114082e-40,1.2046397061058647e-31,1.6171825453135908e-44,3.0006074692691528e-40,7.662733583170297e-18,2.869968495768722e-36,1.5620440584859186e-53,4.326807533456722e-34,6.461147815985637e-33,1.0586053027827866e-12,3.656691356189109e-54
1.6163966036358363e-19,0.18586518622629825,3.76,0.0,0.8445810234291425,0.9999999999978825,1.2799428578755862e-42,8.942777453327963e-31,3.3819785019510822e-15,3.3819785019474156e-15,5.1028859079934334e-17,2.3154795183931521e-32,2.878032766552671e-31,1.0868642111241448e-26,3.663720516686555e-27,1.0623453557181212e-38,1.488725151791411e-32,5.102885907273298e-17,2.204976610006565e-30,1.532713044690999e-17,4.5090374741858876e-23,9.199666762360336e-31,2.413171613635882e-30,4.3678960527434343e-35,2.2325343208678763e-39,4.819343237848037e-31,1.293991742820184e-43,1.200438458647642e-39,1.5327130446909923e-17,1.1481742795030882e-35,1.2498726565485512e-52,1.7310047673772718e-33,2.5848798501046757e-32,2.1174403864901774e-12,2.9259086648827806e-53
3.232968616561269e-19,0.18586518622629836,3.76,0.0,0.8445810234291391,0.9999999999957647,1.0240515145772051e-41,3.57740212269772e-30,6.764324011878477e-15,6.764324011863809e-15,1.0206325574616094e-16,9.262671889979452e-32,1.1513068006446064e-30,2.906704830338875e-26,1.465607479321548e-26,8.49956981567552e-38,5.955389512180248e-32,1.0206325573176423e-16,8.82062427134226e-30,3.065592417438929e-17,9.018564848316285e-23,3.6801662013450545e-30,9.653472064075046e-30,1.7473006182649652e-34,8.930865648543904e-39,1.9278941884904012e-30,1.0352916873818542e-42,4.802145303075288e-39,3.065592417438902e-17,4.5930709074437713e-35,9.999931960865147e-52,6.924582672886585e-33,1.0340360901951951e-31,4.235110550920179e-12,2.3409491884175625e-52
6.466112642412135e-19,0.18586518622629858,3.76,0.0,0.8445810234291322,0.9999999999915293,8.192801078316302e-41,1.431019084631653e-29,1.3529015031733185e-14,1.3529015031674514e-14,2.0413204907815938e-16,3.705219530985149e-31,4.6054145941967374e-30,8.745080746497443e-26,5.862668471024352e-26,6.799978657699746e-37,2.382256139288881e-31,2.041320490493923e-16,3.5283932797762814e-29,6.131351162934763e-17,1.8037621351587487e-22,1.4721263823485547e-29,3.8615459531147334e-29,6.989486877718859e-34,3.5724928749440504e-38,7.711890547784152e-30,8.282726692525331e-42,1.920936816729731e-38,6.131351162934652e-17,1.8373031238629933e-34,8.000327421194748e-51,2.7699458380494494e-32,4.13631266242902e-31,8.47045086784106e-12,1.872848259361662e-51
1.2932400694113868e-18,0.18586518622629902,3.76,0.0,0.8445810234291184,0.9999999999830584,6.554396495998503e-40,5.724192853353163e-29,2.7058397071442297e-14,2.7058397071207607e-14,4.082696357403373e-16,1.4821179730046925e-30,1.8422033141887733e-29,2.9216611289390807e-25,2.345115099967206e-25,5.440112051586041e-36,9.529245629140434e-31,4.082696356829108e-16,1.4113860265610175e-28,1.226286865392633e-16,3.6075741378171566e-22,5.88862533832853e-29,1.5446498072893866e-28,2.7958516331900226e-33,1.4290272234695289e-37,3.084818975753311e-29,6.626338635556785e-41,7.683907852858398e-38,1.2262868653925882e-16,7.349362022583574e-34,6.400417160138394e-50,1.1080009247650597e-31,1.654558722179694e-30,1.6941131453926336e-11,1.4983141739295285e-50
2.586497679751733e-18,0.18586518622629994,3.76,0.0,0.8445810234290908,0.9999999999661167,5.243579522186441e-39,2.2897004778324454e-28,5.411716115085926e-14,5.411716114992051e-14,8.165448090574175e-16,5.9285322543780635e-30,7.368888190596006e-29,1.0533878721476098e-24,9.3805558235168e-25,4.352141291991986e-35,3.8117587861582706e-30,8.165448089429972e-16,5.645601535187799e-28,2.452590363590907e-16,7.215200951150668e-22,2.3554740998759176e-28,6.178662081700754e-28,1.1183520299242106e-32,5.716175040332392e-37,1.2339401391472673e-28,5.301133821817367e-40,3.073597812335332e-37,2.452590363590727e-16,2.9397747168849582e-33,5.120399783194708e-49,4.432049161472196e-31,6.61830217396762e-30,3.388249243507095e-11,1.198665569172797e-49
5.173012900432426e-18,0.18586518622630174,3.76,0.0,0.8445810234290356,0.9999999999322331,4.1948886620201034e-38,9.15884885106783e-28,1.082346893096882e-13,1.0823468930593319e-13,1.6330951556624743e-15,2.3714250067577427e-29,2.9475702471961323e-28,3.982995984020632e-24,3.752241413968193e-24,3.4817336938016224e-34,1.5247286772062061e-29,1.6330951554353681e-15,2.25825209922021e-27,4.905197359987292e-16,1.4430465809884704e-21,9.421944349160871e-28,2.4714774031623006e-27,4.4734308741060624e-32,2.286488044638853e-36,4.935785633642957e-28,4.240932222838399e-39,1.2294481021809814e-36,4.905197359986575e-16,1.1759158700781273e-32,4.096352592750964e-48,1.77282898344747e-30,2.647334302883473e-29,6.776521363325641e-11,9.589381526089492e-49
1.0346043341793813e-17,0.18586518622630532,3.76,0.0,0.8445810234289253,0.999999999864466,3.3559211296772504e-37,3.6635491416341706e-27,2.164697456273262e-13,2.164697456123061e-13,3.2661958487561743e-15,9.485724496945508e-29,1.1790310803749319e-27,1.5470870579487417e-23,1.5009003823056174e-23,2.785395218801455e-33,6.099069480808582e-29,3.266195848308901e-15,9.033031361663944e-27,9.810411352779422e-16,2.88610404556227e-21,3.768787345901045e-27,9.885934753008453e-27,1.7893769013436357e-31,9.146026628940788e-36,1.9743192522793523e-27,3.3927558442464944e-38,4.9178267070904297e-36,9.810411352776548e-16,4.7036754608051675e-32,3.277105331110125e-47,7.091336382235676e-30,1.0589363887680507e-28,1.3553065297321248e-10,7.67152809356728e-48
