Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56)
0.0,0.1540103695738995,3.76,0.0,0.947631392590659,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.186981329570074e-24,0.15401036957389946,3.76,0.0,0.947631392590659,0.9999999999999997,1.506485016394404e-53,6.002071042509156e-38,2.7631825922887743e-18,2.763182592288774e-18,2.8335529335801406e-20,3.1223248817761066e-39,3.632684350591576e-38,1.5426923652566093e-29,4.0947137690175854e-34,1.381483601523407e-49,2.491315044584474e-39,2.8335529320374894e-20,8.921905003816418e-38,2.6320756919157202e-20,2.0155364664682843e-25,6.392181995880147e-38,1.5293723198950061e-37,3.25725120304352e-41,1.2564565420997468e-44,6.088514648866491e-38,2.8839900256463546e-54,9.806520268610569e-46,2.6320756919157202e-20,1.3184998937232387e-41,9.007975989297142e-63,8.866479887743607e-40,1.1656252311737279e-38,2.999745433408286e-16,2.2784255708418354e-62,2.0584726382541064e-56,2.922234849995757e-56,3.3941174898338366e-55
2.2923547722796206e-23,0.1540103695738995,3.76,0.0,0.947631392590659,0.9999999999999991,1.7884990114658646e-52,3.6252509096781847e-37,7.736911258408567e-18,7.736911258408564e-18,7.933948214024392e-20,1.8858842285929124e-38,2.1941413477571916e-37,4.319671305918631e-29,2.473207116486619e-33,1.640097331728587e-48,1.504754287009583e-38,7.933948209704967e-20,5.388830622305083e-37,7.369811937364017e-20,5.64350210611832e-25,3.860877925511827e-37,9.23740881216583e-37,1.967379726638287e-40,7.588997514362238e-44,3.677462847915138e-37,3.4238729584473496e-53,5.923138242363896e-45,7.369811937364017e-20,7.963739358088464e-41,1.0694269094696692e-61,5.3553538522018855e-39,7.040376396288819e-38,8.399287213542352e-16,2.704946837703546e-61,3.110760353354955e-55,4.4160813053136e-55,5.1291903506368914e-54
5.2396680509248474e-23,0.1540103695738995,3.76,0.0,0.947631392590659,0.999999999999998,1.7559589351147813e-51,1.7454022591656452e-36,1.7684368590648153e-17,1.768436859064814e-17,1.813473877491288e-19,9.079720756207081e-38,1.0563846091518502e-36,9.874159920043175e-29,1.1907427640303101e-32,1.6102572859356787e-47,7.244744150860062e-38,1.813473876503991e-19,2.594489975109764e-36,1.684528442826061e-19,1.2899433385446895e-24,1.8588465244022737e-36,4.447414706254668e-36,9.472086498450574e-40,3.653775624543437e-43,1.7705400598900414e-36,3.361578773893384e-52,2.8517360942931035e-44,1.684528442826061e-19,3.83419769094733e-40,1.0499696813742807e-60,2.5783723513629625e-38,3.3896381722524562e-37,1.919837077380709e-15,2.655732845373601e-60,3.3464128320008745e-54,4.7506187509411434e-54,5.51774892087306e-53
1.11342946082153e-22,0.1540103695738995,3.76,0.0,0.947631392590659,0.9999999999999959,1.5531257925115433e-50,7.622630224027789e-36,3.7579283255127326e-17,3.757928325512727e-17,3.8536319896689815e-19,3.965352599857895e-37,4.6135091252494426e-36,2.098526007949425e-28,5.200286486652297e-32,1.4242543338265626e-46,3.1639701078709754e-37,3.853631987570976e-19,1.133081935484634e-35,3.5796229410053795e-19,2.7411295944218057e-24,8.118071134771172e-36,1.9423028462666492e-35,4.136709027865291e-39,1.595699808586901e-42,7.732413604056995e-36,2.9732783568403534e-51,1.2454280742990896e-43,3.5796229410053795e-19,1.6744948650286705e-39,9.28686292721208e-60,1.1260429457507973e-37,1.4803440435898663e-36,4.0796537894322995e-15,2.348965626515841e-59,3.075929492358421e-53,4.366637091651754e-53,5.071761882708887e-52
2.2923547722796207e-22,0.15401036957389952,3.76,0.0,0.947631392590659,0.9999999999999916,1.3054958114628625e-49,3.1822980667754005e-35,7.736911258408566e-17,7.736911258408544e-17,7.93394821402435e-19,1.6554566523197066e-36,1.92604924268198e-35,4.32159521232044e-28,2.1710172403330913e-31,1.1971715853425434e-45,1.320895237762512e-36,7.933948209704927e-19,4.730394033023006e-35,7.369811937364017e-19,5.6435021062216396e-24,3.389134894218701e-35,8.10873204008324e-35,1.7269945878536924e-38,6.661732587290302e-42,3.2281304668259087e-35,2.499219612384697e-50,5.199417048080215e-43,7.369811937364017e-19,6.990686436522025e-39,7.8061678670324825e-59,4.701007636547894e-37,6.180144975676192e-36,8.399287213530048e-15,1.9744471448837397e-58,2.6315222736546454e-52,3.73574996541655e-52,4.338999069593663e-51
4.650205395195802e-22,0.15401036957389952,3.76,0.0,0.9476313925906589,0.9999999999999829,1.07032434098447e-48,1.3000725961230195e-34,1.5694877124200232e-16,1.5694877124200143e-16,1.6094580662735015e-18,6.763080586939382e-36,7.868539610741214e-35,8.771130310985659e-28,8.869313812242583e-31,9.815135957244314e-45,5.3962880486867974e-36,1.6094580653972755e-18,1.932520311446263e-34,1.4950189930081289e-18,1.1448247130003718e-23,1.3845721890382044e-34,3.3126816197853117e-34,7.055336395840539e-38,2.721535129360089e-41,1.318796627000449e-34,2.0490112347219298e-49,2.1241315176671304e-42,1.4950189930081289e-18,2.85592350980148e-38,6.399968048226918e-58,1.9205150096608935e-36,2.5247908757256896e-35,1.7038554061703817e-14,1.6187710604487893e-57,2.175793439409482e-51,3.0887903137276283e-51,3.587568338754947e-50
9.365906641028164e-22,0.1540103695738995,3.76,0.0,0.9476313925906588,0.9999999999999656,8.667764013819351e-48,5.255101297384821e-34,3.1610808855783563e-16,3.161080885578321e-16,3.2415845560156046e-18,2.733745305603346e-35,3.1805895177801064e-34,1.7683787268008862e-27,3.585118451035591e-30,7.948551572760515e-44,2.1812659124827376e-35,3.2415845542508134e-18,7.811556082278268e-34,3.0110945915515837e-18,2.3057737178297526e-23,5.5966621621501035e-34,1.3390388759393787e-33,2.851879776322476e-37,1.100088013270423e-40,5.330786823764139e-34,1.6593424220815122e-48,8.586079219686944e-42,3.0110945915515837e-18,1.1544099449505774e-37,5.182860059128848e-57,7.763028733215421e-36,1.0205608398988818e-34,3.431708775796446e-14,1.310922774227259e-56,1.769319064513815e-50,2.511752985792206e-50,2.9173509922483056e-49
1.879730913269289e-21,0.15401036957389952,3.76,0.0,0.9476313925906584,0.999999999999931,6.976570557073758e-47,2.1130531190087976e-33,6.34426723189502e-16,6.344267231894877e-16,6.505837535499696e-18,1.0992269639401934e-34,1.2789010563537203e-33,3.556344822082632e-27,1.4415603612375404e-29,6.397685814115678e-43,8.770774330546202e-35,6.5058375319577736e-18,3.140992344211001e-33,6.043245788638491e-18,4.6276717277803726e-23,2.2503932403948127e-33,5.384216427082729e-33,1.1467283150363866e-36,4.423405520788464e-40,2.1434859361745085e-33,1.3355831408192712e-47,3.4524246960053395e-41,6.043245788638491e-18,4.641831615856381e-37,4.171616679530105e-56,3.121479710773838e-35,4.103630251317315e-34,6.887415515013813e-14,1.0551446964049736e-55,1.4270199132709706e-49,2.0258197775426394e-49,2.3529492635458502e-48
3.7660114116022345e-21,0.15401036957389952,3.76,0.0,0.9476313925906578,0.9999999999998619,5.598258503506958e-46,8.474288094178196e-33,1.2710639924528345e-15,1.2710639924527767e-15,1.3034343494467408e-17,4.408391766722125e-34,5.128965238418051e-33,7.154015828154537e-27,5.781301802191893e-29,5.133739953648186e-42,3.517472814696289e-34,1.3034343487371236e-17,1.2596784143437562e-32,1.2107548182812303e-17,9.271467748849045e-23,9.025083407029942e-33,2.1593116022254885e-32,4.598893430070758e-36,1.773983457935265e-39,8.596337301505459e-33,1.0717213584191675e-46,1.384576720350573e-40,1.2107548182812302e-17,1.861582088954898e-36,3.347459674600688e-55,1.2518529757639704e-34,1.645739270111351e-33,1.37988289933095e-13,8.46687168178005e-55,1.1462599949236079e-48,1.6272486141284736e-48,1.8900168073500767e-47
