Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10)
0.0,0.20667551323382402,3.76,0.0,0.7633981002701251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.20667551323382402,3.76,0.0,0.7633981002701251,1.0,-1.1148560730625256e-73,1.0291153434267565e-49,2.1803184672211387e-17,2.1803184630782467e-17,5.0321246931464535e-18,3.233358878876926e-31,4.032172131022605e-30,4.1424842854488683e-26,4.142456079799305e-26,1.325553402080041e-34,1.3255533164853587e-34,5.032124693146173e-18
3.0000000000000002e-15,0.20667551323382402,3.76,0.0,0.7633981002701251,1.0,9.670503232296821e-72,3.745015912795177e-48,5.384051725178731e-17,5.3840517043797254e-17,1.2426267099402473e-17,1.6233376339576906e-30,2.0243080217943688e-29,2.079689781925429e-25,2.079682024757118e-25,1.1199573613768298e-33,1.119956993226583e-33,1.24262670994017e-17
7e-15,0.20667551323382402,3.76,0.0,0.763398100270125,1.0,8.016186761278646e-70,8.602892904155444e-47,1.4105325594063281e-16,1.4105325466056388e-16,3.2554765871988287e-17,9.992174378192426e-30,1.2458383485708366e-28,1.2799369590413325e-24,1.2799343676687164e-24,1.7502715056996204e-32,1.7502693182030815e-32,3.255476587198571e-17
1.5e-14,0.20667551323382405,3.76,0.0,0.7633981002701248,1.0,7.742114941074311e-68,1.8330290999458463e-45,3.1547873331832376e-16,3.1547872724264644e-16,7.281176341715988e-17,4.74383047815237e-29,5.91306845673706e-28,6.0750467117590625e-24,6.0750384095527425e-24,1.7301988026377283e-31,1.7301941979906713e-31,7.281176341715177e-17
3.1e-14,0.20667551323382405,3.76,0.0,0.7633981002701243,0.9999999999999999,6.001037717668444e-66,3.3649083631269527e-44,6.643296880737054e-16,6.643296618010093e-16,1.5332575850750304e-16,2.052354693012333e-28,2.5568356596386558e-27,2.626996101521583e-23,2.6269932486065348e-23,1.5180074029705045e-30,1.5179991943013235e-30,1.5332575850747605e-16
6.300000000000001e-14,0.20667551323382405,3.76,0.0,0.7633981002701234,0.9999999999999998,4.213179155785715e-64,5.753503252099452e-43,1.3620315975844672e-15,1.3620314884945285e-15,3.143537486881892e-16,8.530179299354334e-28,1.0615558853618755e-26,1.0907856588572485e-22,1.0907845778407387e-22,1.2687367262840177e-29,1.268722932932783e-29,3.143537486880938e-16
1.2700000000000001e-13,0.2066755132338241,3.76,0.0,0.7633981002701218,0.9999999999999994,2.8219109928917093e-62,9.510753293827372e-42,2.7574354166059872e-15,2.757434972188761e-15,6.364097290495605e-16,3.481882045017215e-27,4.3238344395760593e-26,4.443708572529598e-22,4.4437040235182875e-22,1.036921914191885e-28,1.0368993222923706e-28,6.364097290492093e-16
2.55e-13,0.20667551323382424,3.76,0.0,0.7633981002701183,0.9999999999999988,1.8472000661565895e-60,1.5465096458118963e-40,5.5482430546490096e-15,5.5482412608061695e-15,1.2805216897722997e-15,1.410915694092476e-26,1.7446271465802402e-25,1.7936555790630337e-21,1.793653430504954e-21,8.38354599971307e-28,8.383180373566435e-28,1.2805216897709894e-15
5.11e-13,0.20667551323382446,3.76,0.0,0.7633981002701115,0.9999999999999974,1.1955503373188184e-58,2.4943975663106174e-39,1.1129858330734984e-14,1.1129851122958074e-14,2.568745611217763e-15,5.713231781912177e-26,7.004866308815055e-25,7.20702407948846e-21,7.207012547866688e-21,6.742194334931139e-27,6.741606034817598e-27,2.568745611212973e-15
1e-12,0.20667551323382488,3.76,0.0,0.7633981002700984,0.999999999999995,7.354201639779638e-57,3.8382803837870806e-38,2.1791615635445824e-14,2.179158771375409e-14,5.029454586166276e-15,2.2468948745453916e-25,2.7096227510095078e-24,2.7918773067774685e-20,2.79187054604356e-20,5.195265528277959e-26,5.194361430250457e-26,5.0294545861506125e-15
1.023e-12,0.20667551323382488,3.76,0.0,0.7633981002700977,0.9999999999999949,7.694481541495586e-57,4.0070806586839893e-38,2.229308888290666e-14,2.2293059986940815e-14,5.14519345410864e-15,2.3257049952328067e-25,2.8041219959235037e-24,2.8892945310577517e-20,2.889287506573025e-20,5.407911868114465e-26,5.406968013104608e-26,5.145193454092465e-15
2.047e-12,0.2066755132338257,3.76,0.0,0.7633981002700702,0.9999999999999898,4.9382542163236645e-55,6.42418310053854e-37,4.4619549987249025e-14,4.4619434273706535e-14,1.0298089139890285e-14,9.594584419921528e-25,1.119614888661693e-23,1.157014287018356e-19,1.1570095353005418e-19,4.33198695502567e-25,4.330474923145528e-25,1.0298089139848161e-14
4.095e-12,0.20667551323382735,3.76,0.0,0.7633981002700152,0.9999999999999795,3.164896189900616e-53,1.0288967040999297e-35,8.927247219593128e-14,8.927200908311516e-14,2.060388051145463e-14,4.063326340482176e-24,4.454823962184871e-23,4.630641910121847e-19,4.630607342990892e-19,3.467839020821685e-24,3.4654189023353724e-24,2.0603880511463336e-14
8.191e-12,0.2066755132338307,3.76,0.0,0.7633981002699053,0.9999999999999588,2.02694069407105e-51,1.6470509954411056e-34,1.7857831661330968e-13,1.7857646365085058e-13,4.121546325461134e-14,1.8016164701240017e-23,1.76184321892728e-22,1.852766748263273e-18,1.852740468413111e-18,2.7751482704440824e-23,2.771277378851211e-23,4.121546325604427e-14
1e-11,0.2066755132338374,3.76,0.0,0.7633981002698568,0.9999999999999497,3.0235519818876943e-50,7.104105950495419e-34,2.1802027768543663e-13,2.1801719696563632e-13,5.031857682463477e-14,3.2961801793711905e-23,2.8940200180388393e-22,3.080392304242222e-18,3.08032661370696e-18,7.065600763285264e-23,7.048924351173881e-23,5.031857682943347e-14
1.6383e-11,0.2066755132338374,3.76,0.0,0.7633981002696855,0.9999999999999176,1.297686102299526e-49,2.635915392070639e-33,3.571900054485024e-13,3.571825926252699e-13,8.243862874141719e-14,8.569701548152174e-23,6.88887049273706e-22,7.412030736422222e-18,7.411825986515491e-18,2.220432838175141e-22,2.2142468090441757e-22,8.243862875809195e-14
