Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136)
7.14658284285899e-14,0.2052423264492286,3.76,0.0,0.5271080596167389,0.999999999999996,0.0,0.0,7.699261479406102e-09,7.699257498348315e-09,1.0878820768058225e-19,2.1102644701680746e-20,2.4538097635756446e-19,3.9809000895342475e-15,3.980791301326567e-15
8.933228577238711e-14,0.20524232652394883,3.76,0.0,0.5271080576919235,0.9999999999999939,0.0,0.0,9.624076853166346e-09,9.624070771010031e-09,1.3598525972625775e-19,3.2241021317157846e-20,3.7487741399362377e-19,6.0818851788464795e-15,6.081749193586753e-15
1.2506520045998153e-13,0.20524232667338912,3.76,0.0,0.5271080538422928,0.9999999999999883,0.0,0.0,1.3473707573135347e-08,1.3473695877366475e-08,1.9037936351808778e-19,6.200257172032356e-20,7.20834601314175e-19,1.1695176414003274e-14,1.1694986034639757e-14
1.6079811514757598e-13,0.20524232682282947,3.76,0.0,0.527108049992662,0.9999999999999807,0.0,0.0,1.732333825656894e-08,1.7323319075541268e-08,2.447734669127584e-19,1.01690804991085e-19,1.1821009244360219e-18,1.9179988647540127e-14,1.9179743874073217e-14
2.3226394452276483e-13,0.20524232712171012,3.76,0.0,0.5271080422934008,0.9999999999999601,0.0,0.0,2.5022599513845284e-08,2.502255974815515e-08,3.535616725110206e-19,2.1085331485993825e-19,2.4504128384485095e-18,3.9763382426137356e-14,3.976302886446484e-14
3.7519560327314257e-13,0.2052423277194714,3.76,0.0,0.5271080268948787,0.9999999999998966,0.0,0.0,4.0421121590038066e-08,4.042101819864967e-08,5.711380789447543e-19,5.48386943999617e-19,6.3695038098301654e-18,1.0338504164354383e-13,1.0338447050546486e-13
6.610589207738981e-13,0.20524232891499392,3.76,0.0,0.5271079960978363,0.9999999999996796,0.0,0.0,7.121816398899845e-08,7.121784352170974e-08,1.0062908727732496e-18,1.7008126220247285e-18,1.9732346792308927e-17,3.2044686184139855e-13,3.204458555505258e-13
1e-12,0.2052423313060386,3.76,0.0,0.5271079595825463,0.999999999999267,0.0,0.0,1.0773345392882403e-07,1.0773272089411851e-07,1.522240766124099e-18,3.89374621979491e-18,4.5103359807132335e-17,7.329872306435277e-13,7.329857084027614e-13
1.232785555775409e-12,0.2052423313060386,3.76,0.0,0.5271079345037585,0.9999999999988861,0.0,0.0,1.3281224177322505e-07,1.328111278584287e-07,1.8765963843703854e-18,5.919298197113922e-18,6.851556377969551e-17,1.1138422380669621e-12,1.1138403614705776e-12
2.376238825778431e-12,0.20524233608812698,3.76,0.0,0.527107811315631,0.9999999999958621,0.0,0.0,2.5600036928691746e-07,2.5599623131090996e-07,3.617207104093168e-18,2.2044294881628e-17,2.5398449795585783e-16,4.137703595862301e-12,4.137699978655197e-12
4.663145365784475e-12,0.2052423456522993,3.76,0.0,0.5271075649394882,0.9999999999840654,0.0,0.0,5.023765120952822e-07,5.023605774597308e-07,7.098427335794656e-18,8.53122941559515e-17,9.739306788174041e-16,1.59335834068696e-11,1.5933576308442267e-11
6.950051905790519e-12,0.2052423552164657,3.76,0.0,0.527107318563495,0.9999999999646041,0.0,0.0,7.487525052783089e-07,7.48717109433296e-07,1.0579645965189002e-17,1.9028213804972977e-16,2.1558493717318785e-15,3.5393509461119325e-11,3.5393498881473365e-11
9.236958445796563e-12,0.20524236478062627,3.76,0.0,0.5271070721876515,0.9999999999374787,0.0,0.0,9.951283488360259e-07,9.95065827463777e-07,1.406086300347881e-17,3.374316931428703e-16,3.795061759782873e-15,6.251725381605013e-11,6.251723975518714e-11
1e-11,0.20524237434478118,3.76,0.0,0.5271069899827483,0.9999999999267228,0.0,0.0,1.0773332519073917e-06,1.0772599747291515e-06,1.522239383530709e-17,3.960225792013374e-16,4.442673896051904e-15,7.327235476598865e-11,7.327233954359483e-11
1.1523864985802606e-11,0.20524237434478118,3.76,0.0,0.5271068258119574,0.9999999999026891,0.0,0.0,1.2415040427684608e-06,1.2414067317911225e-06,1.7542078462245423e-17,5.272500754488424e-16,5.886776593044674e-15,9.730458085353917e-11,9.730456331146073e-11
1.6097678065814695e-11,0.2052423934730733,3.76,0.0,0.5271063330610184,0.9999999998101184,0.0,0.0,1.734254981757584e-06,1.7340651002259817e-06,2.4504504684150626e-17,1.0366788271531204e-15,1.1410210013250866e-14,1.89869109217738e-10,1.8986908471323333e-10
2.0671491145826784e-11,0.20524241260134213,3.76,0.0,0.5271058403106781,0.9999999996868945,0.0,0.0,2.227005322245897e-06,2.226692216662067e-06,3.1466924723788725e-17,1.7224022931071126e-15,1.868855178664023e-14,3.130852043425438e-10,3.130851728756191e-10
2.5245304225838874e-11,0.20524243172958764,3.76,0.0,0.527105347560936,0.999999999533019,0.0,0.0,2.719755064233629e-06,2.7192880831250483e-06,3.8429338678943254e-17,2.5883759512541216e-15,2.7682972802652844e-14,4.669508756605856e-10,4.669508372312469e-10
2.981911730585096e-11,0.20524245085780982,3.76,0.0,0.5271048548117925,0.9999999993484938,0.0,0.0,3.212504207721005e-06,3.211852701623368e-06,4.5391746646566956e-17,3.638418229041787e-15,3.8355938302192405e-14,6.51464148671827e-10,6.514641032800806e-10
3.8966743465875135e-11,0.20524248911418438,3.76,0.0,0.527103869315301,0.9999999988875032,0.0,0.0,4.1980006991955625e-06,4.196888202431254e-06,5.931654499117052e-17,6.3046626102393945e-15,6.459998492310877e-14,1.1124259189768048e-09,1.1124258596602598e-09
4.678941661264633e-11,0.20524252182938638,3.76,0.0,0.5271030265611881,0.9999999983960528,0.0,0.0,5.040754812013255e-06,5.039150864893309e-06,7.122444090816579e-17,9.2010678080053e-15,9.205021867355669e-14,1.6038459398821856e-09,1.6038458686577448e-09
5.461208975941753e-11,0.20524255454452017,3.76,0.0,0.527102183808826,0.9999999978149741,0.0,0.0,5.883507174108876e-06,5.881322148032427e-06,8.313232060411373e-17,1.2683447257096319e-14,1.2394147791968876e-13,2.1848895346564318e-09,2.184889451524111e-09
7.025743605295992e-11,0.20524261997458337,3.76,0.0,0.5271004983093539,0.9999999963839692,0.0,0.0,7.569006646138328e-06,7.5653906153293865e-06,1.0694803321482748e-16,2.1469194154513194e-14,2.0042156008560622e-13,3.6158090251327396e-09,3.615808918184706e-09
8.590278234650231e-11,0.205242685404374,3.76,0.0,0.5270988128168846,0.999999994594567,0.0,0.0,9.254499115292746e-06,9.249093682314106e-06,1.3076368658802148e-16,3.278420078205449e-14,2.928249360405849e-13,5.405107500264986e-09,5.4051073695013005e-09
9.999999999999999e-11,0.20524275083389198,3.76,0.0,0.5270972941122227,0.999999992675337,0.0,0.0,1.0773203777276591e-05,1.0765879114379005e-05,1.5222270052599475e-16,4.523959500893497e-14,3.887860614939767e-13,7.3242290241483065e-09,7.324228871925607e-09
1.015481286400447e-10,0.20524275083389198,3.76,0.0,0.5270971273314184,0.9999999924468453,0.0,0.0,1.0939984581580977e-05,1.0932431426981344e-05,1.5457928448847931e-16,4.6741712022180603e-14,4.0002073330409127e-13,7.552707991764382e-09,7.552707837185098e-09
1.171934749335871e-10,0.20524281626313762,3.76,0.0,0.527095441852955,0.9999999899408821,0.0,0.0,1.2625463045011875e-05,1.2615403927317367e-05,1.7839483068051039e-16,6.344618094535782e-14,5.209600885955869e-13,1.005853346663024e-08,1.0058533288235412e-08
1.328388212271295e-10,0.2052428816921108,3.76,0.0,0.5270937563814944,0.9999999870767556,0.0,0.0,1.4310934505594307e-05,1.4298011261293651e-05,2.0221032892764556e-16,8.299395318960916e-14,6.546697791475973e-13,1.2922506839130405e-08,1.2922506636920078e-08
1.6412951381421427e-10,0.20524301254923982,3.76,0.0,0.5270903854595816,0.9999999802743237,0.0,0.0,1.7681856418249274e-05,1.766213074197075e-05,2.4984119663707863e-16,1.3097108203644133e-13,9.568218456446188e-13,1.9724588735431854e-08,1.972458848559066e-08
1.9542020640129906e-10,0.2052431434052795,3.76,0.0,0.5270870145656802,0.9999999720401729,0.0,0.0,2.1052750319617016e-05,2.1024790492452648e-05,2.974719177077085e-16,1.9130450142569867e-13,1.2999917392935263e-12,2.7958336165595582e-08,2.7958335868123663e-08
2.2671089898838384e-10,0.20524327426022984,3.76,0.0,0.5270836436997899,0.9999999623749262,0.0,0.0,2.4423616209768832e-05,2.438599113591302e-05,3.4510252221654987e-16,2.6452971840765963e-13,1.6785895004877734e-12,3.762313108168831e-08,3.7623130736585794e-08
2.5800159157546866e-10,0.20524340511409114,3.76,0.0,0.527080272861911,0.9999999512792064,0.0,0.0,2.7794454088776185e-05,2.774573329526444e-05,3.9273304022694786e-16,3.511015983045771e-13,2.087778303225808e-12,4.871835502457608e-08,4.871835463184305e-08
2.8929228416255344e-10,0.20524353596686346,3.76,0.0,0.5270769020520429,0.9999999387536364,0.0,0.0,3.11652639567107e-05,3.110401759316096e-05,4.4036350178869436e-16,4.514057353927873e-13,2.523368543375041e-12,6.124338921581907e-08,6.124338877545557e-08
3.205829767496382e-10,0.20524366681854705,3.76,0.0,0.5270735312701859,0.9999999247988384,0.0,0.0,3.453604581364417e-05,3.446084465199796e-05,4.879939369380027e-16,5.657672225100499e-13,2.9817361629257363e-12,7.51976146308178e-08,7.519761414282389e-08
3.51873669336723e-10,0.20524379766914191,3.76,0.0,0.5270701605163399,0.9999999094154342,0.0,0.0,3.790679965964856e-05,3.781621509391123e-05,5.356243756974574e-16,6.944577251545638e-13,3.4597567642044734e-12,9.058041205846774e-08,9.05804115228434e-08
4.144550545108926e-10,0.20524405936706594,3.76,0.0,0.5270634190926803,0.9999998743652948,0.0,0.0,4.4648223319158735e-05,4.452258861421054e-05,6.308853840688803e-16,9.956937075996737e-13,4.464306754786696e-12,1.256292455786129e-07,1.2562924494772746e-07
4.770364396850622e-10,0.2052443210606363,3.76,0.0,0.5270566777810636,0.99999983360819,0.0,0.0,5.13895349358202e-05,5.122314312594771e-05,7.261467668104621e-16,1.3564850270182843e-12,5.519533620378341e-12,1.6638493457997888e-07,1.663849338538321e-07
5.333596863418148e-10,0.20524455658112759,3.76,0.0,0.5270506106964047,0.9999997920514453,0.0,0.0,5.745661959466052e-05,5.724867104011015e-05,8.118825294718802e-16,1.732872061010592e-12,6.501665601667469e-12,2.079403208245958e-07,2.0794032001271324e-07
5.932529690988301e-10,0.2052448070261632,3.76,0.0,0.5270441591505378,0.9999997427976671,0.0,0.0,6.390816546148041e-05,6.365096312890806e-05,9.030533750860404e-16,2.1873060398930642e-12,7.57133136052489e-12,2.57192574837992e-07,2.571925739349386e-07
6.531462518558455e-10,0.20524505746721217,3.76,0.0,0.5270377077072936,0.999999688329653,0.0,0.0,7.035960870556976e-05,7.004793835882406e-05,9.94225190307756e-16,2.6978603305378754e-12,8.660609881485918e-12,3.1165898926972585e-07,3.1165898827550065e-07
7.130395346128608e-10,0.2052453079042745,3.76,0.0,0.5270312563666716,0.9999996286517465,0.0,0.0,7.681094932744496e-05,7.643960107425025e-05,1.085398184704884e-15,3.2646371812674317e-12,9.76452614670824e-12,3.713352251168323e-07,3.713352240314341e-07
7.729328173698761e-10,0.20524555833735064,3.76,0.0,0.5270248051286714,0.9999995637682884,0.0,0.0,8.326218732762466e-05,8.28259556161058e-05,1.1765725676623139e-15,3.887611621584375e-12,1.0879316653017775e-11,4.362169457671845e-07,4.36216944590612e-07
8.328261001268915e-10,0.20524580876644055,3.76,0.0,0.5270183539932923,0.9999994936836152,0.0,0.0,8.971332270662967e-05,8.920700632184058e-05,1.267748548382126e-15,4.566664031337906e-12,1.2002125899857804e-11,5.062998172669089e-07,5.062998159991603e-07
8.927193828839068e-10,0.20524605919154448,3.76,0.0,0.5270119029605338,0.9999994184020604,0.0,0.0,9.616435546498299e-05,9.558275752543827e-05,1.3589263358837451e-15,5.3016030756484265e-12,1.3130792610988388e-11,5.815795085079915e-07,5.815795071490653e-07
9.526126656409221e-10,0.20524630961266235,3.76,0.0,0.5270054520303956,0.999999337927954,0.0,0.0,0.00010261528560320988,0.0001019532135574187,1.4501061390040575e-15,6.09218312269776e-12,1.4263687345649539e-11,6.620516913708204e-07,6.620516899207144e-07
9.999999999999999e-10,0.20524656002979438,3.76,0.0,0.5270003481520615,0.9999992705805945,0.0,0.0,0.00010771916393710394,0.00010698974453177765,1.522248813450321e-15,6.756926436537689e-12,1.516220470469417e-11,7.293974877174147e-07,7.293974861951661e-07
1.0125059483979375e-09,0.20524656002979438,3.76,0.0,0.5269990012028769,0.9999992522656228,0.0,0.0,0.00010906611312183775,0.00010831837874484034,1.541288166397524e-15,6.93811832231113e-12,1.5399581210047485e-11,7.477120408391669e-07,7.477120392978788e-07
1.0723992311549528e-09,0.20524681044294052,3.76,0.0,0.5269925504779772,0.9999991614193897,0.0,0.0,0.00011551683802139624,0.00011467825741130263,1.6324726265363115e-15,7.839093551470534e-12,1.6537543747032594e-11,8.385562350888031e-07,8.385562334563307e-07
1.1322925139119681e-09,0.2052470608521009,3.76,0.0,0.526986099855696,0.9999990653935744,0.0,0.0,0.00012196746030241717,0.00012103285387694876,1.7236597277104402e-15,8.794772308547501e-12,1.767686924387653e-11,9.345799555505236e-07,9.34579953826864e-07
