Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300),O[C](F)F(239),H2O2(11),CF2CH(72),C2HF2O(1089),C2HF2O3(622),CHFCF[Z](71)
0.0,0.04722064077690324,3.76,0.0,0.7410376794518441,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.989399514909554e-22,0.04722064077690323,3.76,0.0,0.7410376794518441,0.9999999999999997,6.775496401845724e-53,5.490973052219119e-39,1.1885091058478017e-22,1.1885091058477916e-22,2.6201870296804748e-23,3.4128792594476654e-41,4.272371612553365e-40,1.5424850286250218e-36,1.0108557810324521e-36,5.598934332641136e-51,8.395696305671401e-32,2.6201870296804648e-23,4.328058162808581e-37,2.6437283034348316e-27,3.7276111823770353e-34,5.490981361836978e-39,8.940825214172804e-39,3.534077639794137e-49,3.9992554588269804e-46,1.1260086424493765e-40,3.0032004092793633e-56,1.5393742054579006e-54,2.6437283034348316e-27,3.84526135006647e-51,6.5930933195006054e-68,1.3516358590859624e-46,2.1196401060868457e-45,3.6742346141150397e-16,4.963581188260474e-74,6.19471445477421e-61,2.3562660948126996e-60,7.556709833541587e-47,8.395696305682067e-32,1.4250571916888964e-74,9.47423599990288e-79,1.1076404190837459e-69,1.0852552426419726e-71,3.823525148333255e-53,1.4177272255508345e-71,4.650323472951696e-82,1.400020064534007e-56,3.2138035395249846e-69,9.500800116519356e-48,9.850277651149435e-83,1.2491484759431652e-58,8.756716920720975e-42,2.7421181087633193e-66,2.883965633595986e-79,2.4020338658510525e-93,1.6597403682635653e-68
2.7970318641746755e-21,0.04722064077690323,3.76,0.0,0.7410376794518441,0.999999999999999,8.04386932827304e-52,3.316547723541157e-38,3.3278254963738445e-22,3.3278254963737834e-22,7.336523683105186e-23,2.0613790733518194e-40,2.580512453909948e-39,7.594133348352647e-36,6.105568917435933e-36,6.64705483971148e-50,2.3507949655844867e-31,7.336523683105301e-23,2.6141471303363308e-36,7.402439249617528e-27,1.0437604641939057e-33,3.316552742549546e-38,5.400258429360329e-38,2.134582895487096e-48,2.4155502971314565e-45,6.801092200387689e-40,3.5653995258970814e-55,9.297820235814034e-54,7.402439249617528e-27,2.322537856799305e-50,7.827320415776576e-67,8.163880594076976e-46,1.28026262402395e-44,1.0287856919329905e-15,5.892764489683245e-73,9.361452484024335e-60,3.5607893180830293e-59,4.564252739459383e-46,2.3507949655909287e-31,4.018889284925296e-73,1.1247895953478242e-77,1.3149907055361364e-68,1.2884150240646212e-70,4.539289055984827e-52,1.683125762209886e-70,1.4621283961241795e-80,8.496424856417051e-56,3.815427562123777e-68,5.738483270113794e-47,2.2041391520249214e-81,1.4829890706380762e-57,5.289057020115468e-41,4.143888851914537e-65,8.133244466304992e-78,1.243361899303634e-91,2.5081996445198865e-67
6.3932156895421154e-21,0.04722064077690324,3.76,0.0,0.7410376794518441,0.9999999999999977,7.897518605996948e-51,1.596774963586534e-37,7.606458277425931e-22,7.606458277425635e-22,1.6769196989954022e-22,9.924652896155252e-40,1.2424056648220917e-38,3.279813106061728e-35,2.939568611242252e-35,6.526117858126264e-49,5.373245635605158e-31,1.6769196989954957e-22,1.258599313744656e-35,1.6919861141982925e-26,2.3858764886196518e-33,1.5967773800222079e-37,2.599991972281384e-37,1.0277097791992501e-47,1.162983487426826e-44,3.2744331322329674e-39,3.500530397057949e-54,4.476500240748368e-53,1.6919861141982925e-26,1.1182020025992326e-49,7.684909654957613e-66,3.930557086018621e-45,6.163913427712973e-44,2.3515101528990806e-15,5.785552931982531e-72,1.0070623394793594e-58,3.830534658769849e-58,2.1974912195942777e-45,5.3732456356361735e-31,8.741962026277895e-72,1.1043417470817446e-76,1.2910656724837382e-67,1.2649735108236928e-69,4.456700912536359e-51,1.652502854209455e-69,3.261923170831734e-79,4.1305623142800266e-55,3.7460094056694376e-67,2.7628326734879857e-46,4.3556012035691614e-80,1.4560074635542392e-56,2.546453280545657e-40,4.457806518704504e-64,1.7691583192880683e-76,5.429004640524831e-90,2.6982067218786657e-66
1.3585583340276994e-20,0.04722064077690324,3.76,0.0,0.7410376794518441,0.999999999999995,6.985265770458573e-50,6.97353577633083e-37,1.6163723839530104e-21,1.616372383952881e-21,3.5634543603649373e-22,4.334356669502689e-39,5.425911946822366e-38,1.356089307763764e-34,1.2837868419110912e-34,5.772277339579191e-48,1.1418146975590412e-30,3.563454360365421e-22,5.496633866766079e-35,3.5954704926713715e-26,5.070577867524513e-33,6.973546329533117e-37,1.1354848021998771e-36,4.4882786183852175e-47,5.079054432709647e-44,1.4300309759005618e-38,3.096179493954692e-53,1.9550052934529045e-52,3.5954704926713715e-26,4.88348193506886e-49,6.797215658807325e-65,1.7165775490957014e-44,2.6919429339164657e-43,4.9969590745237284e-15,5.1172592484118066e-71,9.256637915434965e-58,3.520921293867058e-57,9.597021488601743e-45,1.1418146975725867e-30,1.620612429008654e-70,9.768071651040073e-76,1.1419329664579937e-66,1.1188547449545987e-68,3.941901486167797e-50,1.4616200606761986e-68,6.109217585437923e-78,1.8387688652387295e-54,3.313302897106822e-66,1.206601614388921e-45,7.751044738177936e-79,1.2878221127476252e-55,1.1121030489315609e-39,4.097492198870804e-63,3.2797213602030487e-75,2.0210823042299564e-88,2.480116837488778e-65
2.7970318641746757e-20,0.04722064077690324,3.76,0.0,0.7410376794518441,0.9999999999999897,5.871536773918316e-49,2.9113139122978724e-36,3.3278254963738448e-21,3.327825496373304e-21,7.336523683103079e-22,1.8095085923628914e-38,2.2652114279674265e-37,5.508417473727528e-34,5.359557351032956e-34,4.851946909716555e-47,2.350794965533656e-30,7.336523683105254e-22,2.2947364379203737e-34,7.40243924961753e-26,1.0441857945547714e-32,2.9113183180461068e-36,4.7404255285538e-36,1.8737679788207658e-46,2.1204052442695084e-43,5.97009782217528e-38,2.6025254234822766e-52,8.16176250803877e-52,7.402439249617528e-26,2.038757586163575e-48,5.7134694884998286e-64,7.166373397382534e-44,1.1238331835147998e-42,1.0287856916542893e-14,4.30137011175489e-70,7.919248622368095e-57,3.012222294824344e-56,4.006567553747266e-44,2.3507949655902068e-30,2.785418696990809e-69,8.211146695261333e-75,9.598634649302029e-66,9.404648291904242e-68,3.3134057157682576e-49,1.2285797304275168e-67,1.055215141001956e-76,7.96729376501936e-54,2.7850307264923515e-65,5.0373242180972287e-45,1.3073664681508126e-77,1.0824920828572457e-54,4.6428113113662343e-39,3.5054908415446478e-62,5.637003043293147e-74,6.9629349746783015e-87,2.1217921699035328e-64
5.673978924468628e-20,0.04722064077690323,3.76,0.0,0.7410376794518441,0.9999999999999791,4.813840590586947e-48,1.1893667270124344e-35,6.750731721215514e-21,6.750731721213305e-21,1.4882662328575646e-21,7.39243306736568e-38,9.254127799117583e-37,2.2197522492244482e-33,2.1895540559465988e-33,3.97791921886988e-46,4.768755501393144e-30,1.488266232858484e-21,9.374747102963672e-34,1.5016376763509846e-25,2.1191927382448063e-32,1.189368526899457e-35,1.936618504690161e-35,7.654953650894229e-46,8.662547294032882e-43,2.438979759813736e-37,2.133707580140411e-51,3.3343465016937683e-51,1.5016376763509841e-25,8.328990049810837e-48,4.68424774929581e-63,2.92769739760531e-43,4.591225249186977e-42,2.0869652595660703e-14,3.526531908636528e-69,6.547787904223222e-56,2.4905636439454096e-55,1.636813576787413e-43,4.7687555016241714e-30,4.616627217148785e-68,6.7328039203680945e-74,7.86954061056733e-65,7.710498874626722e-67,2.716530192118057e-48,1.007263891016012e-66,1.7532555245522735e-75,3.4924621771831136e-53,2.2833364540446243e-64,2.0579113053216973e-44,2.147385279328336e-76,8.874924109261436e-54,1.8967399118958243e-38,2.8984076166963953e-61,9.342919144083048e-73,2.3107442518891e-85,1.754338797513561e-63
1.1427873045056531e-19,0.04722064077690323,3.76,0.0,0.7410376794518441,0.9999999999999579,3.898372917533109e-47,4.807610474003023e-35,1.3596544170898854e-20,1.3596544170889922e-20,2.9974939619505918e-21,2.9881396725575732e-37,3.740666413605085e-36,8.911352727559686e-33,8.850527573706338e-33,3.2214221179599006e-45,9.604676572753152e-30,2.997493961954369e-21,3.789422668325607e-33,3.024425179129448e-25,4.272210337966481e-32,4.8076177493946323e-35,7.828121634614256e-35,3.0942547079707226e-45,3.5015401184611716e-42,9.85874614815672e-37,1.7279317185129227e-50,1.347796333649103e-50,3.024425179129446e-25,3.3667110119903568e-47,3.79342571090259e-62,1.18342212364984e-42,1.8558466505029963e-41,4.2033243934214234e-14,2.8558912450327396e-68,5.324552380799616e-55,2.0252849929876862e-54,6.6162621813620795e-43,9.604676573686999e-30,7.516980640468542e-67,5.4537106734729206e-73,6.372958018040705e-64,6.244161896866713e-66,2.199916578418515e-47,8.157084145926933e-66,2.858248833382387e-74,1.6037542804334165e-52,1.8491050599758346e-63,8.318406514779593e-44,3.481029772791155e-75,7.187143641348118e-53,7.666925986503227e-38,2.356936938102843e-60,1.5212521830852737e-71,7.529223718470196e-84,1.4265991748163271e-62
2.293566128623234e-19,0.04722064077690323,3.76,0.0,0.7410376794518441,0.9999999999999156,3.1377496748582414e-46,1.9331190269897673e-34,2.7288169070265526e-20,2.728816907022961e-20,6.0159494201307006e-21,1.2015178456676796e-36,1.5041055099895998e-35,3.570967158272614e-32,3.5587582113497583e-32,2.5928807779222913e-44,1.9276518714037305e-29,6.015949420146012e-21,1.52371018844526e-32,6.0700001846863745e-25,8.590260386776461e-32,1.933121952360959e-34,3.147653279946893e-34,1.244186249338389e-44,1.4079538812987315e-41,3.964158465572904e-36,1.3907897737380711e-49,5.419431114716833e-50,6.070000184686368e-25,1.3537397426698305e-46,3.0532797348801968e-61,4.758488516948226e-42,7.462277737707154e-41,8.436042653259298e-14,2.2986927085429184e-67,4.2944443902636383e-54,1.6334657178158232e-53,2.6603699237574355e-42,1.927651871779225e-29,1.21324370597008e-65,4.391732016080113e-72,5.129511047711659e-63,5.025844724423655e-65,1.770684247572742e-46,6.565530980067799e-65,4.6160793646916964e-73,7.993019410485811e-52,1.4883206207653296e-62,3.344794663425275e-43,5.606111758249258e-74,5.7848384694752205e-52,3.0828372188073544e-37,1.900955026370918e-59,2.4553071565884403e-70,2.431140713707463e-82,1.1506039165932189e-61
4.595123776858396e-19,0.04722064077690323,3.76,0.0,0.7410376794518441,0.999999999999831,2.5178465055798257e-45,7.75267190710392e-34,5.467141886899889e-20,5.467141886885483e-20,1.2052860336467135e-20,4.818624158838754e-36,6.032135799650356e-35,1.4296678088679185e-31,1.4272212121000151e-31,2.0806235303515915e-43,3.8620202990862235e-29,1.2052860336528784e-20,6.11075935168701e-32,1.2161150195800227e-24,1.7274419881864617e-31,7.75268363889593e-34,1.2623497474911115e-33,4.989743658908559e-44,5.646524786759746e-41,1.5898048458069178e-35,1.1160212045712829e-48,2.173435338049568e-49,1.2161150195800202e-24,5.42910226074328e-46,2.4500658252852071e-60,1.9083668895673469e-41,2.992707114614662e-40,1.690147914144372e-13,1.8445930081224158e-66,3.4495312761514963e-53,1.3120884962155818e-52,1.0669273273877696e-41,3.862020300592113e-29,1.949650065048691e-64,3.527476572693616e-71,4.1161095704272235e-62,4.032923874733208e-64,1.4208625898144312e-45,5.268425143480286e-64,7.420212652477406e-72,4.4442969643467614e-51,1.1942835669930605e-61,1.3414122512200118e-42,8.999067463755652e-73,4.641968554634787e-51,1.2363556080063227e-36,1.5269504554885427e-58,3.9456126859847157e-69,7.814684585699988e-81,9.242276383322058e-61
