Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300),O[C](F)F(239)
0.0,0.09529450763765925,3.76,0.0,0.8430413002627544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3257038387213926e-22,0.09529450763765925,3.76,0.0,0.8430413002627544,0.9999999999999998,2.8881040582202364e-53,1.0443243150526828e-38,4.506448933033147e-21,4.5064489330331406e-21,2.7512391042382645e-22,1.1217827110544333e-40,1.4782126560736523e-39,3.0497509987707786e-34,7.717685090316536e-36,2.2624117510976313e-50,8.428392308415964e-29,2.751239104235294e-22,2.181356943087819e-37,9.62193974058666e-25,3.48969296632574e-31,1.0444857894550002e-38,2.4874824488788345e-38,2.6446629827601076e-46,2.385497128315531e-44,7.98408426954134e-40,1.5525203328778857e-55,2.5594471655938596e-51,9.62193974058666e-25,1.0321474661589031e-47,5.397466742887913e-66,3.067909512223599e-44,5.200332752115105e-43,3.4999999994080035e-16,5.989621589140916e-70,1.6671456896294636e-59,5.297021874539694e-59,2.2939049569654175e-44,8.428392308417478e-29,1.6157762764936898e-74,1.330866555964378e-73,4.658396377967926e-66,5.76870387070176e-68,5.369913899647601e-61,4.174633744338542e-68,1.0229131931652523e-79,2.369574995262099e-52,1.1971213539464478e-65,3.518849213834834e-45,1.88465813168245e-80,6.956689171555339e-58
6.511970748419899e-22,0.09529450763765923,3.76,0.0,0.8430413002627544,0.999999999999999,3.4287571379202785e-52,6.307718862920641e-38,1.2618057012492817e-20,1.2618057012492773e-20,7.703469491867129e-22,6.775567574912096e-40,8.928404442664133e-39,8.789356820520786e-34,4.661481794551166e-35,2.685935230903097e-49,2.3599498463559763e-28,7.70346949185882e-22,1.3175395936250341e-36,2.694143127364265e-24,9.771141137579026e-31,6.30869416830836e-38,1.5024393991228132e-37,1.5973764415932106e-45,1.4408402655025795e-43,4.8223868988012656e-39,1.8431521391926226e-54,1.5459060888155313e-50,2.694143127364265e-24,6.234170695628894e-47,6.407872520180929e-65,1.853017345518243e-43,3.141000982263595e-42,9.79999999831129e-16,7.110878751488576e-69,2.519390562551829e-58,8.004858050595635e-58,1.3855185940071285e-43,2.359949846356891e-28,4.556746851819302e-73,1.5800047766991e-72,5.5304481799235475e-65,6.848605235297208e-67,6.375161781661615e-60,4.9561251813001184e-67,3.215909985458246e-78,1.4312337346452033e-51,1.4212224714052077e-64,2.1253849251448557e-44,4.218001098935182e-79,8.258981384467523e-57
1.4884504567816912e-21,0.09529450763765925,3.76,0.0,0.8430413002627544,0.9999999999999978,3.366374090265273e-51,3.036895108176862e-37,2.884127317141215e-20,2.8841273171411924e-20,1.7607930267124818e-21,3.262144123961269e-39,4.2986424038310865e-38,2.1268784559871192e-33,2.244302824264014e-34,2.6370671370793616e-48,5.3941710773827625e-28,1.7607930267105856e-21,6.343385990499248e-36,6.158041433975463e-24,2.233404080755342e-30,3.0373646757353805e-37,7.233598961339602e-37,7.690679953956229e-45,6.93702564914154e-43,2.3217717055800662e-38,1.8096177000024525e-53,7.442872369271868e-50,6.158041433975463e-24,3.0014848316329357e-46,6.291287244712938e-64,8.921480863574073e-43,1.5122567642941822e-41,2.23999999959934e-15,6.981502926876049e-68,2.71024539958178e-57,8.611260524185295e-57,6.670675614855664e-43,5.394171077387165e-28,9.911919130237781e-72,1.5512580619903112e-71,5.429826818159478e-64,6.724001231690192e-66,6.259171641429189e-59,4.865953092464965e-66,7.174334108478888e-77,6.890877666680787e-51,1.3953646501599312e-63,1.023281351366093e-43,8.335912811069412e-78,8.10871689835568e-56
3.162957220661094e-21,0.09529450763765923,3.76,0.0,0.8430413002627544,0.9999999999999952,2.9775197598706467e-50,1.3262918801206912e-36,6.128770548925083e-20,6.128770548924983e-20,3.741685181764003e-21,1.4246640432612736e-38,1.8773300731814084e-37,5.022850442197348e-33,9.801460064701649e-34,2.332456018911536e-47,1.146261353942844e-27,3.741685181759988e-21,2.770323317721396e-35,1.308583804719786e-23,4.7459853457373464e-30,1.3264969526080998e-36,3.159102710076071e-36,3.3587219881973533e-44,3.0295813529606997e-42,1.0139787022291107e-37,1.600586362383762e-52,3.250497912313711e-49,1.308583804719786e-23,1.3108272820656924e-45,5.564572332400736e-63,3.896245082619413e-42,6.604422594970316e-41,4.759999999085975e-15,6.175060278868351e-67,2.4911824559282717e-56,7.91523183580877e-56,2.913259295346314e-42,1.146261353944767e-27,1.8375027152581564e-70,1.3720701935579802e-70,4.802620329829937e-63,5.947302942539142e-65,5.5361664339805784e-58,4.303880405195657e-65,1.343660050705308e-75,3.0095175521225064e-50,1.2341842310645285e-62,4.4689385013937786e-43,1.4834825991880497e-76,7.172068268287332e-55
6.5119707484199e-21,0.09529450763765925,3.76,0.0,0.8430413002627544,0.9999999999999902,2.5027847672030796e-49,5.5370075184433814e-36,1.2618057012492813e-19,1.2618057012492404e-19,7.703469491866975e-21,5.947691936009893e-38,7.837483502213328e-37,1.2415140167978276e-32,4.0919166348855105e-33,1.9605698249130484e-46,2.3599498463488207e-27,7.703469491858772e-21,1.1565554512250402e-34,2.6941431273642654e-23,9.771153199649867e-30,5.537863655692658e-36,1.318863194395514e-35,1.4022003135418744e-43,1.2647905774328715e-41,4.233161479687061e-37,1.3453892801466077e-51,1.3570188979608887e-48,2.6941431273642654e-23,5.472445865967806e-45,4.677358354514728e-62,1.6266056252668493e-41,2.757216424977148e-40,9.799999997860098e-15,5.190510244809215e-66,2.131259039277709e-55,6.77164741285796e-55,1.2162284081832732e-41,2.359949846356848e-27,3.1581976501324823e-69,1.153307679796398e-69,4.036891766805176e-62,4.99906647508903e-64,4.653481466812013e-57,3.6176708089425466e-64,2.320828287116969e-74,1.2564896433846756e-49,1.0374062113881447e-61,1.8656938530164135e-42,2.5022334949133553e-75,6.028555529007986e-54
1.320999780393751e-20,0.09529450763765925,3.76,0.0,0.8430413002627544,0.9999999999999801,2.0519341640522758e-48,2.26204823940555e-35,2.5596629939628283e-19,2.559662993962661e-19,1.5627038112072653e-20,2.4298262251450762e-37,3.2018677413169395e-36,3.360110263298113e-32,1.6716814613026553e-32,1.607393595103163e-45,4.787326831148141e-27,1.562703811205626e-20,4.7249063930049115e-34,5.465261772653224e-23,1.9821510203268937e-29,2.2623979993930125e-35,5.387986483569139e-35,5.7284458078744665e-43,5.167082199816379e-41,1.729384589099619e-36,1.1030314168607168e-50,5.543865029501656e-48,5.465261772653224e-23,2.2356726979311382e-44,3.834781003440698e-61,6.645214735824067e-41,1.1264128752746495e-39,1.9879999994611755e-14,4.255493904520449e-65,1.76216618811619e-54,5.598929005599384e-54,4.968689892987136e-41,4.787326831180934e-27,5.234480967623169e-68,9.455513300430562e-69,3.3096877691545526e-61,4.098536727153516e-63,3.815205258000372e-56,2.965985099843998e-63,3.8560827713410344e-73,5.133785395756611e-49,8.50528289539144e-61,7.621968149790167e-42,4.110025713444041e-74,4.942574052633446e-53
2.660605191497273e-20,0.09529450763765923,3.76,0.0,0.8430413002627544,0.9999999999999599,1.6617094860557823e-47,9.143560654194674e-35,5.155377579389922e-19,5.155377579389245e-19,3.147417535248293e-20,9.82174610490695e-37,1.2942461343985789e-35,1.0157855961674362e-31,6.757203745454262e-32,1.3017090078075615e-44,9.642080800696246e-27,3.147417535245093e-20,1.909882708805807e-33,1.1007499063231141e-22,3.992230939368321e-29,9.144974439873132e-35,2.177910283150661e-34,2.3155293858022044e-42,2.0886172397022475e-40,6.990449013862936e-36,8.932634393944487e-50,2.240918921669316e-47,1.1007499063231136e-22,9.036946499735658e-44,3.1055051291030246e-60,2.6861020507427075e-40,4.5531409390958084e-39,4.0039999984928717e-14,3.4462093086246184e-64,1.4329642788338496e-53,4.5529560723410135e-53,2.0084238972626072e-40,9.642080800828804e-27,8.522995284361537e-67,7.657320051910577e-68,2.6802709649117684e-60,3.319101303390551e-62,3.0896521338044927e-55,2.4019316325485796e-62,6.286381667130684e-72,2.075655481821624e-48,6.887798603035711e-60,3.080921390368587e-41,6.662609023388865e-73,4.002624612658399e-52
5.3398160137043175e-20,0.09529450763765923,3.76,0.0,0.8430413002627544,0.9999999999999196,1.3374883598686695e-46,3.676585524307979e-34,1.034680675024411e-18,1.0346806750241385e-18,6.316844983329916e-20,3.9492809168695515e-36,5.204106782579994e-35,3.3995560179923866e-31,2.7170419067845127e-31,1.0477286556074594e-43,1.935158873959032e-26,6.316844983323898e-20,7.679554372411525e-33,2.209197364438698e-22,8.012424850721631e-29,3.677154001220616e-34,8.757281460573424e-34,9.310641821967984e-42,8.39823806011867e-40,2.8108288032949143e-35,7.189761281874492e-49,9.010636730178041e-47,2.2091973644386965e-22,3.633716442724842e-43,2.4995807797890303e-59,1.080069826069792e-39,1.8307979456156442e-38,8.035999995281722e-14,2.7738090869300794e-63,1.1557376035646541e-52,3.672124010386122e-52,8.075784157206783e-40,1.935158874012333e-26,1.375614873449681e-65,6.16327772059214e-67,2.1573152508654765e-59,2.6715014842579457e-61,2.486820830946158e-54,1.9332835417489834e-61,1.0152518017195667e-70,8.35011894428578e-48,5.543899540654594e-59,1.238824940230259e-40,1.0729990821551093e-71,3.221660508658211e-51
1.0698237658118405e-19,0.09529450763765923,3.76,0.0,0.8430413002627544,0.999999999999839,1.0732501767727569e-45,1.4744752346319796e-33,2.0729665091952488e-18,2.0729665091941552e-18,1.2655699879491433e-19,1.5838382881389197e-35,2.0870795785186165e-34,1.226398199023651e-30,1.0896553272892997e-30,8.407362624785116e-43,3.877060461656991e-26,1.2655699879480997e-19,3.079844779798503e-32,4.426092280669865e-22,1.6052948966510073e-28,1.4747032192270161e-33,3.5120615446753445e-33,3.733983801119105e-41,3.36806908248489e-39,1.1272680674578867e-34,5.769330633353128e-48,3.6136685842888655e-46,4.42609228066986e-22,1.4572828163677288e-42,2.0057562845411426e-58,4.331563118666023e-39,7.342318601874418e-38,1.6099999983761256e-13,2.2258071390377482e-62,9.283512948855771e-52,2.9496497021707347e-51,3.238750645319193e-39,3.877060461870751e-26,2.2105761709166655e-64,4.945642816551035e-66,1.731109625851454e-58,2.1437116958332223e-60,1.995517102328082e-53,1.55133828918281e-60,1.631987206891732e-69,3.351979146819041e-47,4.448630238770851e-58,4.968242084691474e-40,1.722406319536623e-70,2.5851796649769684e-50
