Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5)
0.0,0.12708014322434735,3.76,0.0,0.6086734458956055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.69909458331418e-16,0.12708014322434735,3.76,0.0,0.6086734458956053,1.0,0.0,0.0,1.2247448713915885e-16,1.224744871391032e-16,2.563782768569127e-30,4.046008182882635e-30,5.167231146347472e-29,2.563782768569127e-30
2.1557464833279705e-15,0.12708014322434738,3.76,0.0,0.6086734458956051,1.0,0.0,0.0,3.429285639896447e-16,3.4292856398930815e-16,7.178591751993555e-30,2.4439434030201774e-29,3.120992166336486e-28,7.178591751993555e-30
4.927420533321076e-15,0.12708014322434738,3.76,0.0,0.6086734458956047,1.0,0.0,0.0,7.838367176906159e-16,7.838367176889957e-16,1.6408209718842404e-29,1.1768108681404832e-28,1.5026076484998044e-27,1.6408209718842404e-29
1.0470768633307286e-14,0.1270801432243474,3.76,0.0,0.6086734458956038,1.0,0.0,0.0,1.6656530250925567e-15,1.6656530250854802e-15,3.486744565254007e-29,5.140824460235828e-28,6.56214414904087e-27,3.486744565254007e-29
2.1557464833279707e-14,0.12708014322434744,3.76,0.0,0.608673445895602,1.0,0.0,0.0,3.4292856398964318e-15,3.4292856398668897e-15,7.17859175199353e-29,2.1473481149186387e-27,2.7394504961373666e-26,7.17859175199353e-29
4.3730857233224547e-14,0.12708014322434752,3.76,0.0,0.6086734458955985,1.0,0.0,0.0,6.956550869504153e-15,6.9565508693834654e-15,1.4562286125472533e-28,8.782056208076362e-27,1.1190605287697232e-25,1.4562286125472533e-28
8.807764203311423e-14,0.12708014322434769,3.76,0.0,0.6086734458955914,1.0,0.0,0.0,1.4011081328719489e-14,1.4011081328231648e-14,2.9329674872430364e-28,3.557476410709729e-26,4.5226586917581935e-25,2.9329674872430364e-28
1.767712116328936e-13,0.12708014322434802,3.76,0.0,0.6086734458955773,1.0,0.0,0.0,2.8120142247149725e-14,2.8120142245188137e-14,5.886445236634536e-28,1.4365778544330153e-25,1.8179279449179934e-24,5.886445236634536e-28
3.541583508324523e-13,0.12708014322434869,3.76,0.0,0.6086734458955491,1.0,0.0,0.0,5.633826408400845e-14,5.633826407614161e-14,1.1793400735417259e-27,5.810459427946973e-25,7.28579017614369e-24,1.1793400735417259e-27
7.089326292315697e-13,0.12708014322435005,3.76,0.0,0.6086734458954927,1.0,0.0,0.0,1.1277450775771898e-13,1.1277450772621059e-13,2.3607311732981613e-27,2.3665033287899693e-24,2.914187434250209e-23,2.3607311732981613e-27
1e-12,0.1270801432243527,3.76,0.0,0.6086734458954464,1.0,0.0,0.0,1.5907648076510086e-13,1.590764806947832e-13,3.329979572046005e-27,5.409891446855089e-24,6.490778565724411e-23,3.329979572046005e-27
1.4184811860298045e-12,0.1270801432243527,3.76,0.0,0.6086734458953797,1.0,0.0,0.0,2.2564699510511214e-13,2.256469949789965e-13,4.723513372810593e-27,9.785513028327948e-24,1.163301108286145e-22,4.723513372810593e-27
2.8375782996262742e-12,0.12708014322435804,3.76,0.0,0.608673445895154,1.0,0.0,0.0,4.513919697997871e-13,4.5139196929516037e-13,9.449077771833704e-27,4.164349845700929e-23,4.629832699361673e-22,9.449077771833704e-27
5.675772526819214e-12,0.12708014322436872,3.76,0.0,0.6086734458947025,1.0,0.0,0.0,9.028819191886914e-13,9.028819171698558e-13,1.8900206569872913e-26,1.8621852661901453e-22,1.8326171382356525e-21,1.8900206569872913e-26
1e-11,0.1270801432243901,3.76,0.0,0.6086734458940146,1.0,0.0,0.0,1.590764807647519e-12,1.5907648010143839e-12,3.329979572040513e-26,7.279262434241787e-22,5.905208831509657e-21,3.329979572040513e-26
