Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300),O[C](F)F(239),H2O2(11),CF2CH(72),C2HF2O(1089),C2HF2O3(622)
0.0,0.1902595916918796,3.76,0.0,0.8456483693424757,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2744386559007062e-23,0.1902595916918796,3.76,0.0,0.8456483693424757,0.9999999999999997,1.7095568436165878e-53,4.5345897983299e-38,8.530738068221495e-19,8.530738068221494e-19,1.1769667970366398e-20,1.2845210847220384e-39,1.5746873681778867e-38,2.3713205352077223e-30,2.0946668504459366e-34,1.5894892553704366e-49,2.1211019923083212e-24,1.1769667967995288e-20,9.340829333061621e-38,4.883334177682102e-21,1.781572495034384e-26,4.708541813476701e-38,1.2016639434838346e-37,3.932940221544831e-42,2.2572836720703527e-41,2.8635785286827137e-38,2.0802591712530776e-54,1.1578493135672264e-46,4.883334177682102e-21,1.2092722286308117e-42,2.603516588330406e-63,1.4516496423341383e-40,2.1070595508070054e-39,3.640034947708109e-16,1.1664605254161817e-63,4.3402937798602015e-57,7.604899245821458e-57,9.179224795246764e-41,2.1211019923083432e-24,3.207693124509503e-74,1.0613883683130644e-65,1.234115052297611e-60,2.1442692227797862e-62,3.559288382672434e-53,9.130416325108315e-63,3.7997052039530524e-76,9.605879957515183e-46,2.655813011150875e-60,2.624437133566081e-41,4.3030717085854446e-77,4.0684358412290247e-56,8.602493512372377e-39,1.1990932676320946e-57,3.867989108747429e-73,1.2319461843033603e-89
6.368428236521978e-23,0.1902595916918796,3.76,0.0,0.8456483693424757,0.999999999999999,2.029585884743148e-52,2.7388922381932614e-37,2.388606659102019e-18,2.388606659102018e-18,3.29550703170259e-20,7.758507351722901e-39,9.511111703793394e-38,6.640376210436776e-30,1.2651787776693439e-33,1.88704164397578e-48,5.939085578463228e-24,3.2955070310386794e-20,5.641860917169178e-37,1.3673335697509887e-20,4.988402986145156e-26,2.8439592553400855e-37,7.2580502186423545e-37,2.375495893813086e-41,1.3633993379304934e-40,1.7296014313241992e-37,2.4696836881116642e-53,6.993409854186393e-46,1.3673335697509887e-20,7.304004260930301e-42,3.090894893762976e-62,8.767963839719596e-40,1.2726639686872005e-38,1.0192097853580378e-15,1.3848219357742374e-62,6.558940211483431e-56,1.1489977690968355e-55,5.544251776329053e-40,5.939085578463361e-24,9.04427481180625e-73,1.2600802708613542e-64,1.4651413900877186e-59,2.545676421284128e-61,4.225587167908292e-52,1.0839630261173177e-61,1.1841066425702922e-74,5.801951497007514e-45,3.152981206838314e-59,1.5851600286735172e-40,9.637240139662382e-76,4.83004703070688e-55,5.195906081472914e-38,1.8120696036449463e-56,1.0908360062626297e-71,6.376915071361039e-88
1.455640739776452e-22,0.19025959169187961,3.76,0.0,0.8456483693424757,0.9999999999999977,1.9926594569239538e-51,1.3186587133573356e-36,5.4596723636617574e-18,5.459672363661751e-18,7.532587501034485e-20,3.7353873143743717e-38,4.579190866659733e-37,1.5181202408315498e-29,6.0912912010967545e-33,1.8527086760597727e-47,1.357505275077276e-23,7.532587499516972e-20,2.7163131700542564e-36,3.1253338737165455e-20,1.1402063968562221e-25,1.369243959359261e-36,3.494438747650981e-36,1.1436990164252489e-40,6.564180918380587e-40,8.32728636140693e-37,2.4247500900126182e-52,3.367025804207148e-45,3.1253338737165455e-20,3.5165636408586933e-41,3.0346589356534318e-61,4.221397159939775e-39,6.127329173743308e-38,2.329622366531559e-15,1.3596263884255393e-61,7.055770108972532e-55,1.23595172159174e-54,2.669318570457769e-39,1.3575052750773397e-23,1.9671794886531695e-71,1.237154282105958e-63,1.4384845049580788e-58,2.4993602060720094e-60,4.14870653884168e-51,1.0642413268559957e-60,2.6350204559787476e-73,2.7933898955716936e-44,3.095615645797445e-58,7.631863184404231e-40,1.9051678141836277e-74,4.742168816535452e-54,2.5016051133978828e-37,1.949341741115183e-55,2.3728072068923575e-70,2.7844114609072265e-86
3.0932365720249605e-22,0.1902595916918796,3.76,0.0,0.8456483693424757,0.999999999999995,1.7624847235040483e-50,5.758929043909982e-36,1.1601803772781234e-17,1.1601803772781208e-17,1.6006748439698252e-19,1.6313417775997628e-37,1.9998529575843035e-36,3.2273714193755395e-29,2.660226900066309e-32,1.6386998427166879e-46,2.8846987095390673e-23,1.600674843647354e-19,1.186285325298761e-35,6.64133448164766e-20,2.4229385934178443e-25,5.979848103117856e-36,1.5261132082244604e-35,4.994834081362057e-40,2.8667502635293496e-39,3.6367447314245654e-36,2.1446639951951377e-51,1.4704686285926143e-44,6.64133448164766e-20,1.5357757303614317e-40,2.6841214625201287e-60,1.843595045797527e-38,2.6759656295213184e-37,4.950447528874875e-15,1.2025741432839744e-60,6.4854543888126e-54,1.1360207994524404e-53,1.16576154899635e-38,2.8846987095393465e-23,3.646710266690852e-70,1.094248952196554e-62,1.2723232543167115e-57,2.2106557979168206e-59,3.6694839509972244e-50,9.413094014562044e-60,4.930284468460895e-72,1.2199467586260055e-43,2.7380369819760744e-57,3.3330351596227954e-39,3.3909709307331185e-73,4.194394614870782e-53,1.0925166760712882e-36,1.791780884324314e-54,4.398785145055214e-69,1.0365666896522808e-84
6.368428236521978e-22,0.19025959169187961,3.76,0.0,0.8456483693424757,0.9999999999999898,1.4814746077848969e-49,2.4042395111024208e-35,2.3886066591020182e-17,2.3886066591020074e-17,3.295507031702569e-19,6.810530791221219e-37,8.348992426064644e-36,6.650217532336504e-29,1.1105923641064089e-31,1.3774259568759034e-45,5.939085578462193e-23,3.2955070310386584e-19,4.952507712388687e-35,1.3673335697509887e-19,4.9884029868539245e-25,2.4964688695075473e-35,6.371222228351208e-35,2.0852449054631782e-39,1.1968118029317018e-38,1.518269335905342e-35,1.8027193136612952e-50,6.13891706377983e-44,1.3673335697509887e-19,6.411561356203256e-40,2.2561658202926022e-59,7.696646403954139e-38,1.1171629738346541e-36,1.0192097853546595e-14,1.0108360279588926e-59,5.548437452125164e-53,9.718775908388705e-53,4.866824986439932e-38,5.93908557846336e-23,6.267679534749431e-69,9.197821777671388e-62,1.0694643584802118e-56,1.8581894001529832e-58,3.0844223638048233e-49,7.912272700728819e-59,8.512115422396589e-71,5.093037589516266e-43,2.3014850624551143e-56,1.3914765682112228e-38,5.72004084135178e-72,3.525641405030395e-52,4.561042060259803e-36,1.532906263230385e-53,7.560388173000245e-68,3.57112960738193e-83
1.2918811565516012e-21,0.1902595916918796,3.76,0.0,0.8456483693424757,0.9999999999999793,1.2146023904019292e-48,9.822102887010793e-35,4.84545922274981e-17,4.845459222749765e-17,6.68517140716802e-19,2.7823240503724688e-36,3.410835826955747e-35,1.351328478175037e-28,4.537132184739693e-31,1.1292970200178846e-44,1.2047859316306617e-22,6.685171405821232e-19,2.0232609968579855e-34,2.773733812923435e-19,1.011933177497743e-24,1.0198889909681712e-34,2.6028521681436576e-34,8.518905837475885e-39,4.889366725051274e-38,6.202625636249004e-35,1.4779782090530123e-49,2.507947929902094e-43,2.773733812923435e-19,2.6193320181057604e-39,1.849741052246854e-58,3.1443311915341994e-37,4.5639752694027415e-36,2.0675398502830397e-14,8.2874444786257e-59,4.587553301742347e-52,8.03562447510601e-52,1.9882568075497143e-37,1.2047859316311385e-22,1.0388153562402922e-67,7.540930002328367e-61,8.768114953969948e-56,1.523455937319894e-57,2.5287958067928016e-48,6.48695919948371e-58,1.4140065462960744e-69,2.0806720527699136e-42,1.8868965040713176e-55,5.684635808742793e-38,9.395728313560953e-71,2.8905338341207066e-51,1.863334504753881e-35,1.2674365392890426e-52,1.2530789280380748e-66,1.1851277475169457e-81
2.601957822350408e-21,0.19025959169187961,3.76,0.0,0.8456483693424757,0.9999999999999584,9.836165064638744e-48,3.970251028942519e-34,9.759164350045391e-17,9.759164350045207e-17,1.3464500158098773e-18,1.1246598667036055e-35,1.3787143758233086e-34,2.7308919374545842e-28,1.8339813715740552e-30,9.145340058128873e-44,2.426540679198815e-22,1.3464500155386232e-18,8.178344440899372e-34,5.586534299268325e-19,2.038118935622981e-24,4.122554367721229e-34,1.052114462389329e-33,3.4434779450938876e-38,1.976360204513858e-37,2.507200453615545e-34,1.1969050728640528e-48,1.0137526530491383e-42,5.586534299268325e-19,1.0587758812351207e-38,1.4979682634616295e-57,1.2709889412542867e-36,1.844831775567545e-35,4.1641999801159417e-14,6.711387405322279e-58,3.730521334086332e-51,6.534417625951398e-51,8.036851911029405e-37,2.426540679200744e-22,1.6914363143274962e-66,6.10684062771186e-60,7.100646818455635e-55,1.2337341163035416e-56,2.0478844077924809e-47,5.253307745589205e-57,2.304953506052543e-68,8.410409235281025e-42,1.5280577100923736e-54,2.297820683381116e-37,1.523131835751593e-69,2.3408292410135355e-50,7.531895989770397e-35,1.030658343648059e-51,2.040314222360394e-65,3.8615662741272996e-80
5.2221111539480216e-21,0.19025959169187961,3.76,0.0,0.8456483693424756,0.9999999999999164,7.917001371410021e-47,1.596420477018892e-33,1.9586574604636553e-16,1.9586574604635819e-16,2.7023157659959697e-18,4.5222078597484145e-35,5.543749867083027e-34,5.517818893600768e-28,7.374358433667451e-30,7.360965305384904e-43,4.870050174332197e-22,2.7023157654515667e-18,3.288476330018381e-33,1.1212135271958108e-18,4.0904904538756065e-24,1.657660979614161e-33,4.230505979592133e-33,1.3846073367563546e-37,7.946857458870597e-37,1.0081342753242537e-33,9.633733310292458e-48,4.0762548406589454e-42,1.1212135271958108e-18,4.2572912517990836e-38,1.2056951812657303e-56,5.1105906335094604e-36,7.417987430816189e-35,8.357520239686321e-14,5.401908461349037e-57,3.0088002760770127e-50,5.270237084200054e-50,3.2315828060663654e-36,4.870050174339952e-22,2.729980892482577e-65,4.915316620331049e-59,5.715218301803616e-54,9.930165492424878e-56,1.6483155332968774e-46,4.228319101211721e-56,3.722319304820906e-67,3.3817886654310166e-41,1.2299137830985277e-53,9.239435905893273e-37,2.452992006526274e-68,1.8841030206964232e-49,3.028542251004575e-34,8.312632918977045e-51,3.293075403152943e-64,1.2468763587049026e-78
1.046241781714325e-20,0.19025959169187961,3.76,0.0,0.8456483693424753,0.9999999999998326,6.3528950058164576e-46,6.402360129993146e-33,3.924139511381887e-16,3.9241395113815918e-16,5.414047266367919e-18,1.8136076125061865e-34,2.2232916469401384e-33,1.120287295624145e-27,2.957447558142318e-29,5.906711080167855e-42,9.75706916458726e-22,5.414047265277223e-18,1.3188260890347164e-32,2.246333721733767e-18,8.195233498389454e-24,6.647961935297039e-33,1.6966221118208064e-32,5.552894701162733e-37,3.187045272894129e-36,4.043069343074373e-33,7.730464270182311e-47,1.634760513445053e-41,2.2463337217337666e-18,1.7073642039826838e-37,9.674944550089648e-56,2.049575421472158e-35,2.9749447372805784e-34,1.6744160758445365e-13,4.334691339980656e-56,2.4168318767714302e-49,4.2333380593419005e-49,1.2960092413064646e-35,9.75706916461836e-22,4.387002703356232e-64,3.94423203202158e-58,4.586102755318758e-53,7.968332427677171e-55,1.3226694081660368e-45,3.3929597886741126e-55,5.98337033524367e-66,1.356248591044663e-40,9.869283536718524e-53,3.7054270420082673e-36,3.937623584212922e-67,1.5118740174248724e-48,1.214580897515612e-33,6.67715881922886e-50,5.291883785859555e-63,4.007972652622892e-77
