Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41)
0.0,0.054807026104523496,3.76,0.0,0.6096867913611276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1767983129812515e-16,0.054807026104523496,3.76,0.0,0.6096867913611274,0.9999999999999999,1.0178871976297244e-35,2.399013776637773e-27,1.6725618401621556e-16,1.672561834138033e-16,2.784544667891685e-17,1.6198461851656143e-29,2.0705627365362924e-28,5.982132015253719e-25,5.982105976090415e-25,1.804882180385012e-33,1.8048851458943506e-33,2.78454468151203e-17,1.3380703635866407e-25,1.2349344101786539e-33,5.776382241885913e-27,2.399013100097307e-27,3.9783691653828664e-27,3.913226725889223e-41,5.668710257778283e-48
1.1695035276347504e-15,0.054807026104523496,3.76,0.0,0.609686791361127,1.0,1.208435871581502e-34,1.4490045705957718e-26,4.683173152454035e-16,4.683173116068335e-16,7.796725025965956e-17,9.784827271323321e-29,1.250608723705399e-27,3.6132019416029844e-24,3.6131919880625566e-24,2.142756112878927e-32,2.1427566875789392e-32,7.796725108233414e-17,8.081944938560588e-25,1.4661119781912034e-32,2.9063791018939486e-26,1.4490039062041142e-26,2.4029349681069837e-26,5.913668165649e-40,1.7204485444572262e-46
2.6731509203080008e-15,0.0548070261045235,3.76,0.0,0.6096867913611264,0.9999999999999999,1.1864499082792203e-33,6.976335805060926e-26,1.0704395777037781e-15,1.0704395601856308e-15,1.7821085565591463e-16,4.711947150367242e-28,6.0210289033840936e-27,1.7395999117853525e-23,1.7395963856029694e-23,2.103770633266829e-31,2.1037684197147804e-31,1.7821085961675107e-16,3.891108531055872e-24,1.4394363022980234e-31,1.2719831132896216e-25,6.976330001263085e-26,1.15690974161692e-25,6.361654217444788e-39,3.772067888042106e-45
5.680445705654502e-15,0.054807026104523524,3.76,0.0,0.6096867913611249,0.9999999999999997,1.049402225784517e-32,3.0467513636813756e-25,2.2746841026205243e-15,2.2746840261141735e-15,3.7869805938750406e-16,2.058686861209189e-27,2.629441562602282e-26,7.597287054886942e-23,7.597274256444678e-23,1.8607612566906615e-30,1.8607558690073243e-30,3.786980766855424e-16,1.6993492726258224e-23,1.2731645923543875e-30,5.29706321286874e-25,3.046746540176372e-25,5.052528719379613e-25,5.847455986231336e-38,7.005908066525024e-44
1.1695035276347505e-14,0.05480702610452354,3.76,0.0,0.6096867913611221,0.9999999999999992,8.820870099213583e-32,1.2719605849893349e-24,4.6831731524540005e-15,4.683172833055057e-15,7.796724386070073e-16,8.601763380520161e-27,1.0976565724556225e-25,3.171717080779216e-22,3.1717122886504345e-22,1.564081881522038e-29,1.5640721963721424e-29,7.796725108229576e-16,7.09444826557355e-23,1.0701712935122874e-29,2.1596794850672363e-24,1.2719566584191166e-24,2.109331222894467e-24,5.002621267899832e-37,1.2051597618264557e-42
2.372421441773351e-14,0.05480702610452359,3.76,0.0,0.6096867913611165,0.9999999999999984,7.231902050720282e-31,5.1963892699591734e-24,9.500151252120895e-15,9.500149947272072e-15,1.5816210840713646e-15,3.519943634263358e-26,4.483602871281952e-25,1.295749652626076e-21,1.2957478289502095e-21,1.2823287029585977e-28,1.2823125524158892e-28,1.5816213790971428e-15,2.898313251178831e-22,8.773909003251098e-29,8.719464520181758e-24,5.196357596597342e-24,8.617305827568078e-24,4.1362632804124894e-36,1.9983467390687986e-41
4.778257270050552e-14,0.05480702610452369,3.76,0.0,0.6096867913611053,0.9999999999999969,5.856613864610871e-30,2.100475954902306e-23,1.9134107451454445e-14,1.9134102177047505e-14,3.1855179231019112e-15,1.4275390327412364e-25,1.811792519774618e-24,5.237625746230821e-21,5.2376188346202006e-21,1.038462833700698e-27,1.03843655550714e-27,3.1855191156431274e-15,1.1715442720303158e-21,7.105336999166694e-28,3.5038470477248007e-23,2.1004505140932108e-23,3.4832524097016314e-23,3.3635394269921505e-35,3.254535448028443e-40
9.589928926604953e-14,0.05480702610452389,3.76,0.0,0.6096867913610828,0.9999999999999937,4.713964000698959e-29,8.44602058085853e-23,3.8402019850120595e-14,3.840199864196728e-14,6.393309793573768e-15,5.778009855251098e-25,7.280707079490329e-24,2.106025176342022e-20,2.1060226432027573e-20,8.358449163297204e-27,8.358025579088994e-27,6.393314588727096e-15,4.7107257064129895e-21,5.718990552910347e-27,1.4047487438941742e-22,8.445816650536563e-23,1.4006001646719934e-22,2.7128144981138447e-34,5.253446262754445e-39
1.9213272239713758e-13,0.05480702610452429,3.76,0.0,0.6096867913610379,0.9999999999999872,3.782742124880914e-28,3.3873115364050275e-22,7.69378446474491e-14,7.693775959330906e-14,1.280888630418803e-14,2.347618490782299e-24,2.9163411893011254e-23,8.446094320626772e-20,8.44608588766151e-20,6.707123977441863e-26,6.706443907562434e-26,1.2808905534875398e-14,1.889209867828898e-20,4.5891253882314876e-26,5.625464377748539e-22,3.3871482316861947e-22,5.617030612344452e-22,2.179077077945251e-33,8.442636726862156e-38
