Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14)
0.0,0.15047449322736056,3.76,0.0,1.004546763165802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0362379472077171e-23,0.15047449322736056,3.76,0.0,1.004546763165802,0.9999999999999998,2.3870666371283256e-53,7.368188062819662e-38,2.709118510315945e-18,2.7091185103159448e-18,2.811521626271345e-20,3.844768425099906e-39,4.5275813591422363e-38,1.2427630232295331e-29,4.872619213663348e-34,2.0326124024072728e-49,1.4970348201321677e-23,2.811521625028631e-20,1.2556801378512354e-37,2.13529643781807e-20,1.357944124353608e-25,7.765111669536304e-38,1.9914783632195656e-37,3.001089542162431e-41,1.2096725998180612e-40,6.785188062715596e-38,4.1100470460038685e-54,8.625633598764637e-46,2.13529643781807e-20,1.0774855167308032e-41,1.1155179879522775e-62,8.126035690166536e-40,1.0957676517381202e-38,3.3909485230675345e-16,1.8065720188542848e-62,2.6137564453398066e-56,3.8858542187094903e-56,5.686634367838991e-40,1.497034820132179e-23,1.0360125001367213e-73,3.2207726946213825e-64,1.9820449918612238e-59,3.647098350852861e-61,7.943403272045383e-55,1.2251880327748487e-61,2.275877353329484e-75,1.9197423314632146e-44,2.6960493901766916e-59
2.9014662521816077e-23,0.15047449322736056,3.76,0.0,1.004546763165802,0.9999999999999991,2.833925511602208e-52,4.450385589946826e-37,7.585531828884648e-18,7.585531828884645e-18,7.872260553559763e-20,2.322240128760603e-38,2.7346591409217197e-37,3.479894352642747e-29,2.9430620050526595e-33,2.413117444137912e-48,4.1916974963700333e-23,7.872260550080162e-20,7.58430803262141e-37,5.978830025890597e-20,3.802243548198945e-25,4.6901274484002185e-37,1.202852931384617e-36,1.81265808346611e-40,7.306422502901095e-40,4.098253589879923e-37,4.879447853015791e-53,5.2098826937933726e-45,5.978830025890597e-20,6.508012521054174e-41,1.3243429553293635e-61,4.9081255568665366e-39,6.618436616497627e-38,9.494655864587865e-16,2.1447623007839374e-61,3.949678808904495e-55,5.868523056234999e-55,3.4347271581747546e-39,4.191697496370101e-23,2.919907067005435e-72,3.8237013430546823e-63,2.3530838143376343e-58,4.329835162132449e-60,9.430408364572267e-54,1.4545432325106727e-60,7.0066053549813206e-74,1.1595243683657189e-43,3.2007498360177654e-58
6.631922862129389e-23,0.15047449322736056,3.76,0.0,1.004546763165802,0.9999999999999979,2.782364872245364e-51,2.1426690886735835e-36,1.7338358466022053e-17,1.7338358466022038e-17,1.7993738408136583e-19,1.1180586580194414e-37,1.316620659238275e-36,7.954788561869394e-29,1.416957667333297e-32,2.3692130162459096e-47,9.581022848845619e-23,1.799373840018321e-19,3.651517840871313e-36,1.3665897202035648e-19,8.69084239592499e-25,2.258094473501595e-36,5.791219080242482e-36,8.727168388608377e-40,3.5177279202709285e-39,1.9731326886372488e-36,4.7906708368221e-52,2.5083342507260673e-44,1.3665897202035648e-19,3.1333278826533588e-40,1.300247766855819e-60,2.363051178709351e-38,3.1864923312535238e-37,2.1702070547623584e-15,2.105740345176943e-60,4.2488050756239625e-54,6.311788114780058e-54,1.6536732741675834e-38,9.581022848845946e-23,6.350048386220977e-71,3.754132652851212e-62,2.310271642513407e-57,4.251057837753879e-59,9.258830853896058e-53,1.4280791710034753e-59,1.5537548202337011e-72,5.582610702277817e-43,3.142515169189941e-57
1.4092836082024953e-22,0.15047449322736056,3.76,0.0,1.004546763165802,0.9999999999999954,2.4609702202298797e-50,9.35759883983911e-36,3.6844011740296864e-17,3.68440117402968e-17,3.823669411729018e-19,4.8828558998809e-37,5.750028326107673e-36,1.6907103181923555e-28,6.188226401352406e-32,2.0955420823857872e-46,2.035967355379621e-22,3.823669410038926e-19,1.5947137750709872e-35,2.9040031554325753e-19,1.846804009151857e-24,9.861691820315638e-36,2.529177521288836e-35,3.8113837185463165e-39,1.5362842017689447e-38,8.617188839644192e-36,4.237294102548131e-51,1.0954554672534027e-43,2.9040031554325753e-19,1.3684066062483077e-39,1.1500544250645777e-59,1.03200653266037e-37,1.3916249177064525e-36,4.6116899913675304e-15,1.8625034885588178e-59,3.9053551793934595e-53,5.801149072051431e-53,7.222025647155569e-38,2.0359673553797634e-22,1.177089693371794e-69,3.320487817247955e-61,2.043409104809174e-56,3.760012515794812e-58,8.189331037347828e-52,1.2631198542718596e-58,2.903222249066775e-71,2.4380727633989064e-42,2.7795190792965394e-56
2.901466252181608e-22,0.15047449322736056,3.76,0.0,1.004546763165802,0.9999999999999906,2.0685937546966674e-49,3.90661331095931e-35,7.585531828884647e-17,7.585531828884623e-17,7.872260553559717e-19,2.0384962189915872e-36,2.4005236366145443e-35,3.4821837228435344e-28,2.583462707084265e-31,1.7614293861276766e-45,4.1916974963695065e-22,7.872260550080117e-19,6.657616090886514e-35,5.978830025890596e-19,3.8022435483271676e-24,4.1170622071922266e-35,1.0558818281790022e-34,1.5911776752545476e-38,6.413684124235421e-38,3.597506710847657e-35,3.5617010093141844e-50,4.573310935949681e-43,5.978830025890596e-19,5.7128282097084026e-39,9.666900404424613e-59,4.308424123009277e-37,5.809760089506871e-36,9.49465586456998e-15,1.5655464063882712e-58,3.341102631971866e-52,4.962825227480264e-52,3.0150535418282768e-37,4.1916974963701003e-22,2.0230379148300456e-68,2.7910700847977496e-60,1.7176084772269333e-55,3.1605170772746503e-57,6.883626181102028e-51,1.0617283461983084e-57,5.009345185141364e-70,1.0178473863291045e-41,2.3363532647368368e-55
5.885831540139833e-22,0.15047449322736056,3.76,0.0,1.004546763165802,0.9999999999999808,1.695958139293613e-48,1.5959790072032927e-34,1.538779313859457e-16,1.5387793138594467e-16,1.5969442837221034e-18,8.327922199534023e-36,9.806922327133847e-35,7.06917245470728e-28,1.0554288121562994e-30,1.4441262318284757e-44,8.503157778348352e-22,1.596944283016242e-18,2.719853405790668e-34,1.2128483766806638e-18,7.713122626904168e-24,1.681954248071696e-34,4.313621793868011e-34,6.50047999190574e-38,2.6201992381099647e-37,1.4696988751329339e-34,2.9200976763469183e-49,1.8683467416192072e-42,1.2128483766806638e-18,2.3338767286610127e-38,7.925509004319402e-58,1.7601318347030872e-36,2.373476564363521e-35,1.9260587610943312e-14,1.28352953028825e-57,2.762483987080413e-51,4.1032895169992236e-51,1.2317477506114337e-36,8.503157778350776e-22,3.352975407002369e-67,2.2882878848707393e-59,1.4081992031637522e-54,2.5911828503479664e-56,5.643612634443748e-50,8.70469045141798e-57,8.318956527156488e-69,4.1582386981235415e-41,1.9154835629499329e-54
1.1854562116056284e-21,0.15047449322736056,3.76,0.0,1.0045467631658018,0.9999999999999613,1.373430871920906e-47,6.451202322390056e-34,3.099231575801441e-16,3.0992315758013988e-16,3.2163807404543345e-18,3.3662793050845623e-35,3.964114803815675e-34,1.4259317608680323e-27,4.266212007284214e-30,1.1694908640356353e-43,1.7126078342302322e-21,3.2163807390326697e-18,1.0994082333348619e-33,2.442779124863872e-18,1.553488078496369e-23,6.7987279920675885e-34,1.7436348979600846e-33,2.6275979464614184e-37,1.059126425425546e-36,5.9407578379056e-34,2.3647708069505336e-48,7.55215625921649e-42,2.442779124863872e-18,9.433902892037912e-38,6.418282679658396e-57,7.114734297031834e-36,9.593971759379893e-35,3.879245110356369e-14,1.0394354913797893e-56,2.2464044072837637e-50,3.336699060976028e-50,4.9789213474929945e-36,1.712607834231212e-21,5.459402470368048e-66,1.8531148570409314e-58,1.1403962247516709e-53,2.0984070531627127e-55,4.570343831910873e-49,7.04928401195744e-56,1.355870055685798e-67,1.680826574014489e-40,1.551208251541845e-53
2.3792023267889184e-21,0.15047449322736056,3.76,0.0,1.0045467631658016,0.9999999999999222,1.1054566515666611e-46,2.594000080563502e-33,6.220136099685408e-16,6.220136099685237e-16,6.4552536539186666e-18,1.353566103150554e-34,1.593953127796381e-33,2.8704278677608605e-27,1.7154250846467902e-29,9.413079907815326e-43,3.43719194701954e-21,6.455253651065398e-18,4.420672152506638e-33,4.902640621230288e-18,3.1178397104704817e-23,2.7337386237299807e-33,7.011079236848363e-33,1.0565455776766038e-36,4.2587007745638165e-36,2.3887525982078225e-33,1.9033732758443057e-47,3.036688821587724e-41,4.902640621230288e-18,3.793330861080945e-37,5.165992287035316e-56,2.860803369334633e-35,3.857693848601305e-34,7.785617808829934e-14,8.366281123097719e-56,1.8118058626582313e-49,2.6911576028039668e-49,2.0020023757354326e-35,3.437191947023479e-21,8.811458765201652e-65,1.4915480543000084e-57,9.17890093909143e-53,1.6889805536711884e-54,3.6786103268486944e-48,5.6738770467667305e-55,2.1894705677495558e-66,6.7585297907264925e-40,1.2485473529086774e-52
4.766694557155498e-21,0.15047449322736056,3.76,0.0,1.004546763165801,0.999999999999844,8.870593437492561e-46,1.040310051914771e-32,1.2461945147453338e-15,1.2461945147452648e-15,1.2932999480846812e-17,5.428405470952582e-34,6.392464955363297e-33,5.785288385939382e-27,6.87962183205401e-29,7.553403810954911e-42,6.886360172592211e-21,1.2932999475130342e-17,1.7728872525479885e-32,9.822363613963114e-18,6.246542975867537e-23,1.0963514575733938e-32,2.811756352159003e-32,4.237220318043101e-36,1.7079294856477948e-35,9.579966314430845e-33,1.52733718360303e-46,1.217848040972312e-40,9.822363613963112e-18,1.5212953361667572e-36,4.145383481113275e-55,1.1473101038507771e-34,1.547107772843819e-33,1.5598363205575014e-13,6.713413711357844e-55,1.455340730494333e-48,2.161679722111368e-48,8.028924944147629e-35,6.886360172608011e-21,1.4159746694812998e-63,1.1968733791675991e-56,7.365489936626385e-52,1.3553005260382022e-53,2.9518531165092904e-47,4.55292900188709e-54,3.5192996880993124e-65,2.71047277848594e-39,1.0018806199433036e-51
