Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171)
0.0,0.11840434584117636,3.76,0.0,0.8475204466148362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.620439466265572e-22,0.11840434584117636,3.76,0.0,0.8475204466148362,0.9999999999999998,2.691975383459523e-53,4.261213423395017e-39,3.047995867043555e-22,3.0479958670435426e-22,4.290889154113189e-23,1.5268805051317682e-41,1.9530453510877105e-40,5.537725032026927e-36,1.1683030489888468e-36,6.567862956739608e-51,6.805295302519837e-31,4.2908891541127674e-23,1.4412377972840625e-37,2.4246362908551098e-26,2.168448973190925e-33,4.261273311725839e-39,7.701516764892377e-39,2.861020627973611e-48,8.820291039576911e-46,1.20838006433979e-40,2.3416535740371797e-56,1.8958733512241542e-53,2.4246362908551098e-26,7.684324265507473e-50,1.7328427331363144e-67,4.405177707706172e-46,7.118285512383491e-45,3.42782730016698e-16,1.1384372304753415e-72,4.779440559940557e-61,1.83016906180189e-60,3.050148492266677e-46,6.805295302523602e-31,2.1922172198512452e-75,4.557355874850652e-77,7.954866125124027e-69,8.368760206275703e-71,1.9068115102574671e-62,8.300970243348647e-71,1.2733526556270847e-81,3.2600110280871605e-55,2.7389261722789586e-68,3.519314992381351e-47
2.6937230505543603e-21,0.11840434584117636,3.76,0.0,0.8475204466148362,0.999999999999999,3.1959131752437442e-52,2.573772907731117e-38,8.534388427721954e-22,8.534388427721883e-22,1.2014489631516873e-22,9.222358251829486e-41,1.17963939204686e-39,1.929093668675091e-35,7.056550415892567e-36,7.797366902241197e-50,1.9054826847043272e-30,1.2014489631515742e-22,8.705076295595665e-37,6.788981614394307e-26,6.071682469560823e-33,2.5738090802824414e-38,4.651716125994976e-38,1.7280564593708767e-47,5.327455787904434e-45,7.298615588607738e-40,2.7800111230969283e-55,1.1451075053720666e-52,6.788981614394307e-26,4.641331856604218e-49,2.0572308948073536e-66,2.6607273361161474e-45,4.2994444494117714e-44,9.59791644036782e-16,1.351552683667881e-71,7.222690573845141e-60,2.765751457077492e-59,1.8422896893291257e-45,1.9054826847066015e-30,6.18240325195548e-74,5.4104932915041385e-76,9.444017063747365e-68,9.935392116890799e-70,2.263766624977655e-61,9.854911873026484e-70,4.00357176783586e-80,1.9693485691629509e-54,3.251653151729478e-67,2.1256662553671873e-46
6.157081258409966e-21,0.11840434584117634,3.76,0.0,0.8475204466148362,0.9999999999999978,3.1377665069622805e-51,1.2391608635240623e-37,1.950717354907875e-21,1.950717354907841e-21,2.7461690586324034e-22,4.440168510173595e-40,5.679455880811308e-39,6.193858638450044e-35,3.397425266459467e-35,7.65550106237548e-49,4.3553889936041046e-30,2.7461690586321674e-22,4.1911195145019505e-36,1.5517672261472703e-25,1.387825084080556e-32,1.2391782790499273e-37,2.2396010752306748e-37,8.319847987248118e-47,2.5649406343089363e-44,3.513969227093224e-39,2.729431405897704e-54,5.513199723497808e-52,1.5517672261472703e-25,2.234601496759338e-48,2.019801495914358e-65,1.2810256783933863e-44,2.0699974268993343e-43,2.193809472037061e-15,1.3269624467470914e-70,7.769840929005456e-59,2.975269199043183e-58,8.86983181551227e-45,4.355388993615053e-30,1.3448077430781653e-72,5.312055193911172e-75,9.272191955444927e-67,9.754626896435806e-69,2.2225794963560748e-60,9.67561091601473e-69,8.931715215422801e-79,9.484554433166827e-54,3.192492346408041e-66,1.0234167997377751e-45
1.3083797674121177e-20,0.11840434584117636,3.76,0.0,0.8475204466148362,0.9999999999999953,2.7753189413353364e-50,5.411741047719851e-37,4.145274379179234e-21,4.145274379179085e-21,5.835609249593751e-22,1.9391382428094386e-39,2.48036759572458e-38,2.0779879133320197e-34,1.4837448722157325e-34,6.771203993879832e-48,9.255201611384021e-30,5.835609249593345e-22,1.8303720025506528e-35,3.2975053555629495e-25,2.949179309731481e-32,5.411817105892368e-37,9.780926291413025e-37,3.633496198654061e-46,1.120176962026237e-43,1.5346426817044194e-38,2.414151168689303e-53,2.407759174632884e-51,3.2975053555629495e-25,9.759091820777039e-48,1.7864915569967333e-64,5.594575699041966e-44,9.040222599675266e-43,4.661845127878063e-15,1.173683269704994e-69,7.141822439425637e-58,2.7347849840311817e-57,3.8736885851794696e-44,9.255201611431835e-30,2.4930469084373843e-71,4.6984540679840626e-74,8.201148780358601e-66,8.627857022263737e-68,1.9658463946149791e-59,8.5579682828435e-68,1.6728090106569128e-77,4.144764193516595e-53,2.8237233265720594e-65,4.469530039841527e-45
2.69372305055436e-20,0.11840434584117636,3.76,0.0,0.8475204466148362,0.9999999999999905,2.3328227957069755e-49,2.259295357091401e-36,8.534388427721954e-21,8.53438842772133e-21,1.2014489631516109e-21,8.095520449837473e-39,1.0355046450055732e-37,7.41778823443384e-34,6.194342765737941e-34,5.691604952502446e-47,1.9054826846865294e-29,1.2014489631515673e-21,7.641442801199143e-35,6.788981614394307e-25,6.072049966641237e-32,2.259327109877539e-36,4.083344188745673e-36,1.5169131379621505e-45,4.6765183091834046e-43,6.406831101065546e-38,2.0292395208033123e-52,1.0051920674689944e-50,6.788981614394306e-25,4.074228728782772e-47,1.5016538102495546e-63,2.335625229855427e-43,3.774114977719135e-42,9.597916438921841e-15,9.8655152963143e-69,6.10997945811213e-57,2.3396661295702414e-56,1.6171887306004997e-43,1.9054826847064918e-29,4.2849106566453006e-70,3.949336109679193e-73,6.8935597061757945e-65,7.252233694598346e-67,1.6524123458048496e-58,7.193487998733552e-67,2.889359711901821e-76,1.7325357642560774e-52,2.3735095980769983e-64,1.8659408085260822e-44
5.464409616838845e-20,0.11840434584117636,3.76,0.0,0.8475204466148362,0.9999999999999806,1.9125890711435756e-48,9.229958723672886e-36,1.731261652480739e-20,1.7312616524804842e-20,2.437225039535947e-21,3.307284259181365e-38,4.230374351075117e-37,2.7787773765146176e-33,2.5305911362310188e-33,4.666321612348062e-46,3.865407731751362e-29,2.4372250395360206e-21,3.1217787184283602e-34,1.3771934132057022e-24,1.2318440102892373e-31,9.230088444134863e-36,1.6681793373425242e-35,6.197085129554213e-45,1.910510320336286e-42,2.6173995545083566e-37,1.6636931606422928e-51,4.1065376543639767e-50,1.377193413205702e-24,1.6644553759187668e-46,1.2311465400750863e-62,9.541791200143949e-43,1.5418491143228657e-41,1.94700590584565e-14,8.08834584538705e-68,5.0518491713778e-56,1.934481200093309e-55,6.606743640195288e-43,3.865407731832914e-29,7.10192517076927e-69,3.2379082248288067e-72,5.651756738458801e-64,5.945819344338819e-66,1.354747475639602e-57,5.897656074800859e-66,4.800712909827026e-75,7.095769344760893e-52,1.9459465699122933e-63,7.622977042418852e-44
1.1005782749407816e-19,0.11840434584117636,3.76,0.0,0.8475204466148362,0.9999999999999608,1.5488642170424561e-47,3.730896890477943e-35,3.4869072718978266e-20,3.486907271896797e-20,4.908777192304078e-21,1.3368571806060324e-37,1.7099849500712352e-36,1.0728928438058594e-32,1.0229053979354425e-32,3.7789082242360524e-45,7.785257825755339e-29,4.908777192304878e-21,1.2618728709358003e-33,2.7737839167382456e-24,2.481381566512117e-31,3.730949325538412e-35,6.743047600466142e-35,2.504960895797258e-44,7.722588179117583e-42,1.0579947485279888e-36,1.3473018556459816e-50,1.6599282365186047e-49,2.7737839167382445e-24,6.727994764308573e-46,9.970144207085164e-62,3.856944595906525e-42,6.232400637203789e-41,3.921434428731421e-14,6.550152746928819e-67,4.10807984717286e-55,1.5730879846504822e-54,2.670551412112013e-42,7.785257826084983e-29,1.1563644084929099e-67,2.6221483020970656e-71,4.576939138494482e-63,4.815078660826591e-65,1.0971096299730312e-56,4.776074798377061e-65,7.826372514430627e-74,2.8826092158460303e-51,1.5758779843851188e-62,3.0813291999233563e-43
2.208852901454575e-19,0.11840434584117636,3.76,0.0,0.8475204466148362,0.9999999999999213,1.2466606700335427e-46,1.5001772306015058e-34,6.998198510732002e-20,6.998198510727861e-20,9.851881497838173e-21,5.375443959227858e-37,6.875774272345852e-36,4.2133846382736823e-32,4.113057616081968e-32,3.0415940964487723e-44,1.5624958013260532e-28,9.851881497842398e-21,5.073935314845033e-33,5.5669649238033315e-24,4.981494794848498e-31,1.5001983144891495e-34,2.7113497831459204e-34,1.0072337618486587e-43,3.1052187416456684e-41,4.254150351349166e-36,1.0844257460359788e-49,6.674498905094125e-49,5.566964923803328e-24,2.7052971130410852e-45,8.024839970830926e-61,1.55086048484685e-41,2.506020882429365e-40,7.870291470418324e-14,5.272133709661399e-66,3.3133152221547e-54,1.2687524485607503e-53,1.0738169773004311e-41,1.5624958014586022e-28,1.866376817272399e-66,2.1105431736314076e-70,3.683918803369207e-62,3.875594208616424e-64,8.830492765827192e-56,3.844200509979671e-64,1.2639611585796933e-72,1.1706532911586408e-50,1.2684037001165613e-61,1.23898891787328e-42
4.425402154482162e-19,0.11840434584117639,3.76,0.0,0.8475204466148362,0.9999999999998423,1.0003666757814113e-45,6.016381665545948e-34,1.4020780988400348e-19,1.4020780988383744e-19,1.9738090108897693e-20,2.1557934768276e-36,2.7574930065067065e-35,1.6696214555832823e-31,1.6495200650448477e-31,2.4406877094918708e-43,3.1304358386259904e-28,1.973809010891665e-20,2.0348749985542334e-32,1.1153326937933506e-23,9.985873715083858e-31,6.0164662212085654e-34,1.0873725311238865e-33,4.039457904318353e-43,1.2453315997019977e-40,1.7061045622696588e-35,8.701833664454348e-49,2.6767729640675686e-48,1.1153326937933489e-23,1.0849451470060506e-44,6.439429540444272e-60,6.219644394422341e-41,1.0050264562148101e-39,1.576800553745357e-13,4.23055676477998e-65,2.661434972242443e-53,1.0191309643672779e-52,4.306486355372403e-41,3.1304358391575695e-28,2.9992174409768324e-65,1.6935941860399644e-69,2.9561128346061537e-61,3.109920276028284e-63,7.085914319563142e-55,3.0847288149887356e-63,2.031780572717285e-71,4.7876351810464345e-50,1.0178140880643352e-60,4.9688997020816356e-42
