Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48)
0.0,0.07948195943116722,3.76,0.0,0.9273709612063492,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.922424432207347e-21,0.07948195943116722,3.76,0.0,0.927370961206349,1.0,2.884772091008865e-46,2.4964638302089198e-33,1.5809736814009495e-16,1.5809736814008418e-16,2.285210532057216e-18,1.6187641743877948e-34,2.01388790825618e-33,2.5291296531230506e-28,1.0788124868062609e-29,1.1712802329722387e-42,3.9331698490689794e-38,2.285210531815106e-18,1.2377884265571374e-32,4.5548064194017864e-41,1.7973019335841136e-24,2.4888852069630495e-33
8.182788410180572e-21,0.07948195943116723,3.76,0.0,0.9273709612063488,1.0,3.4248014270132264e-45,1.507864153718963e-32,4.426726307922658e-16,4.426726307922006e-16,6.398589489760156e-18,9.777335614506967e-34,1.2163882965439642e-32,7.431115184340553e-28,6.516027420308733e-29,1.39054389258443e-41,2.3757028978927827e-37,6.398589489082295e-18,7.476242096395102e-32,2.8644170120339327e-40,5.0324454140589016e-24,1.503286665005722e-32
1.870351636612702e-20,0.07948195943116723,3.76,0.0,0.9273709612063482,1.0,3.362490351039008e-44,7.259716822339173e-32,1.0118231560966071e-15,1.0118231560962934e-15,1.4625347405165838e-17,4.707366220926738e-33,5.856386036567445e-32,1.863329486915814e-27,3.137186711630982e-28,1.3652442395517852e-40,1.1438682556919297e-36,1.462534740361666e-17,3.5994887444131433e-31,1.4945086088348255e-39,1.1502732375102013e-23,7.237678181849148e-32
3.9744972278019917e-20,0.07948195943116726,3.76,0.0,0.9273709612063471,1.0,2.9740846386403858e-43,3.1705090685933486e-31,2.1501242067052873e-15,2.1501242067039174e-15,3.10788632359764e-17,2.0558305033397633e-32,2.5576376428224357e-31,4.663048872831195e-27,1.3700918582422714e-27,1.2075430689836805e-39,4.9961844986718115e-36,3.1078863232685337e-17,1.5719913017120507e-30,7.540970140723761e-39,2.4443306297562366e-23,3.1608842128436912e-31
8.182788410180571e-20,0.07948195943116727,3.76,0.0,0.9273709612063448,1.0,2.4998973444164486e-42,1.3236251265819884e-30,4.4267263079226404e-15,4.426726307916919e-15,6.398589489759436e-17,8.582687669409462e-32,1.067763368360804e-30,1.2499621440460063e-26,5.719863805031678e-27,1.0150127094075132e-38,2.0863195652951174e-35,6.398589489082248e-17,6.562754237466318e-30,3.9956877528384434e-38,5.032445414397963e-23,1.3196069367323657e-30
1.659937077493773e-19,0.07948195943116734,3.76,0.0,0.9273709612063401,0.9999999999999999,2.0495668862866678e-41,5.40744054700325e-30,8.979930510357314e-15,8.97993051033394e-15,1.2979995822081755e-16,3.506307966519488e-31,4.36216175974781e-30,3.7121301758835424e-26,2.336750998909034e-26,8.321687436549792e-38,8.52747120237554e-35,1.2979995820709596e-16,2.6810992433416057e-29,2.3249401725787666e-37,1.0208674984280033e-22,5.3910249136949564e-30
3.3432535504452047e-19,0.07948195943116748,3.76,0.0,0.9273709612063309,0.9999999999999998,1.6597924126782344e-40,2.185773940113267e-29,1.808633891522653e-14,1.8086338915132054e-14,2.6142808486721306e-16,1.4173057470610143e-30,1.7632555261426925e-29,1.2215880312745822e-25,9.445521151877194e-26,6.73911824039899e-37,3.4503155612603407e-34,2.614280848396396e-16,1.083743181198006e-28,1.4996966977964465e-36,2.0561134126438658e-22,2.1791384651899598e-29
6.709886496348069e-19,0.07948195943116772,3.76,0.0,0.9273709612063125,0.9999999999999996,1.3359453477786414e-39,8.788900987760385e-29,3.629915572496445e-14,3.6299155724584564e-14,5.246843381598007e-16,5.6989241214327024e-30,7.089972902829008e-29,4.354103687874049e-25,3.7980025122155145e-25,5.424228649852161e-36,1.3900711706659939e-33,5.246843381047136e-16,4.35768366644272e-28,1.0533072473195722e-35,4.1266052420333914e-22,8.762219926553132e-29
1.3443152388153796e-18,0.07948195943116823,3.76,0.0,0.9273709612062755,0.999999999999999,1.0720120313741827e-38,3.5247424762391315e-28,7.272478934443819e-14,7.272478934291471e-14,1.0511968447441625e-15,2.285523501703132e-29,2.8433962271911205e-28,1.6346197517598037e-24,1.5231688771780487e-24,4.352601885425991e-35,5.596579552216764e-33,1.0511968446348092e-15,1.747626052090119e-27,7.835936015972217e-35,8.267588904643702e-22,3.5140420904252084e-28
2.690968417176525e-18,0.07948195943116926,3.76,0.0,0.9273709612062015,0.999999999999998,8.589141894347378e-38,1.4117355560541401e-27,1.4557605658337736e-13,1.4557605657727546e-13,2.1042218579096296e-15,9.154015541677762e-29,1.138841587553747e-27,6.3238635240082316e-24,6.100620315112977e-24,3.4873781624054705e-34,2.258991650203512e-32,2.1042218576947896e-15,6.999619774890191e-27,6.031593158777463e-34,1.654955624518982e-21,1.4074497508020958e-27
5.3842747738988165e-18,0.07948195943117128,3.76,0.0,0.9273709612060538,0.9999999999999959,6.876536714734509e-37,5.650621870778158e-27,2.912785910612224e-13,2.912785910367991e-13,4.210271884227545e-15,3.6639920681949093e-28,4.558334169631851e-27,2.4865651091268507e-23,2.441837993361605e-23,2.79202300490818e-33,9.181469975999837e-32,4.210271883813907e-15,2.8016720614689966e-26,4.730222634702881e-33,3.3113490987587705e-21,5.633466923197166e-27
1.07708874873434e-17,0.07948195943117538,3.76,0.0,0.9273709612057581,0.9999999999999917,5.503320305305386e-36,2.260985222058545e-26,5.826836600167795e-13,5.826836599190544e-13,8.42237193681129e-15,1.4660742813899855e-27,1.8239273484198383e-26,9.860242629723382e-23,9.77053261295188e-23,2.2344669563376422e-32,3.7855133254957495e-31,8.422371936048765e-15,1.1210337576361675e-25,3.7461193983466613e-32,6.624136071763536e-21,2.2541205623919246e-26
2.1544112914232562e-17,0.0794819594311835,3.76,0.0,0.9273709612051669,0.9999999999999832,4.4034940131266365e-35,9.04541672328773e-26,1.1654937979273613e-12,1.1654937975363975e-12,1.6846572041770448e-14,5.865253352408596e-27,7.296896504117314e-26,3.926887768380726e-22,3.9088492626382097e-22,1.7879130581200877e-31,1.6038498931248002e-30,1.684657204050499e-14,4.484864990790103e-25,2.9816644407364153e-31,1.3249710115897269e-20,9.017950045251744e-26
4.309056376801089e-17,0.0794819594311998,3.76,0.0,0.9273709612039844,0.9999999999999664,3.523132300690847e-34,3.6184640195809043e-25,2.3311140737463953e-12,2.331114072182413e-12,3.3694972250855414e-14,2.3462935460492816e-26,2.918995704761001e-25,1.5673126771804128e-21,1.5636669567576923e-21,1.4304662574972402e-30,7.13116442033081e-30,3.369497224936344e-14,1.7940919909018002e-24,2.379237600541911e-30,2.6500858596849074e-20,3.6074735984573917e-25
8.618346547556755e-17,0.07948195943123239,3.76,0.0,0.9273709612016195,0.9999999999999326,2.818643798822515e-33,1.4474467898103926e-24,4.662354625375946e-12,4.6623546191197625e-12,6.7391772665692e-14,9.385566176910558e-26,1.1676454355068772e-24,6.2623652648679936e-21,6.2549223326887515e-21,1.144427332137098e-29,3.4247992697287385e-29,6.739177266686436e-14,7.176659900290152e-24,1.9009521925677293e-29,5.300315713099034e-20,1.4430481577955598e-24
1.7236926889068088e-16,0.07948195943129754,3.76,0.0,0.9273709611968897,0.9999999999998652,2.2549752078714576e-32,5.7899232359172624e-24,9.324835728600975e-12,9.32483570357573e-12,1.347853734820318e-13,3.754310925815848e-25,4.670673901230247e-24,2.503568950793674e-20,2.5020198296662108e-20,9.155635948853398e-29,1.8277307956399195e-28,1.3478537350100237e-13,2.8707222981836015e-23,1.5197865329405723e-28,1.0600776050022593e-19,5.77231007210292e-24
3.4474087572090754e-16,0.07948195943142784,3.76,0.0,0.9273709611874299,0.9999999999997304,1.8040122086302593e-31,2.3160074784096465e-23,1.8649797934914746e-11,1.8649797834812753e-11,2.695725750613784e-13,1.5017461055821833e-24,1.8682862727501528e-23,1.0011521362230442e-19,1.0008181069175756e-19,7.3245956471799925e-28,1.0973299881060358e-27,2.695725751658231e-13,1.148300546743896e-22,1.2154391174247468e-27,2.120169925385286e-19,2.3089475188382222e-23
6.894840893813608e-16,0.0794819594316885,3.76,0.0,0.9273709611685104,0.9999999999994609,1.4432353431291825e-30,9.264194029914061e-23,3.729972234699715e-11,3.729972194658712e-11,5.391469780067427e-13,6.007066645695947e-24,7.473164757727704e-23,4.0040575922360706e-19,4.003292743001732e-19,5.859711225589426e-27,7.319197991709798e-27,5.39146978481643e-13,4.593225120044315e-22,9.721952346105498e-27,4.2403555858261337e-19,9.235837068386908e-23
1.3789705167022675e-15,0.07948195943220976,3.76,0.0,0.9273709611306714,0.9999999999989218,1.1546189197787695e-29,3.705780633621274e-22,7.459957116898138e-11,7.459956956733724e-11,1.0782957830441818e-12,2.402874104890205e-23,2.9892588301750362e-22,1.601512798793651e-18,1.6013211323869378e-18,4.68778278745516e-26,5.271575494449488e-26,1.0782957850579976e-12,1.837294377061062e-21,7.776937421464103e-26,8.480731046859299e-19,3.6943442362472206e-22
2.7579433713440803e-15,0.07948195943325231,3.76,0.0,0.9273709610549934,0.9999999999978435,9.237400575696789e-29,1.482389016477966e-21,1.4919926880422757e-10,1.4919926239764303e-10,2.1565933897061058e-12,9.611839324182732e-23,1.1956933126068552e-21,6.405830342420794e-18,6.4052923768163905e-18,3.750231630845251e-25,3.983743657682238e-25,2.1565933979895688e-12,7.349184105696664e-21,6.221299812843324e-25,1.696149902114975e-18,1.477739584491373e-21
5.515889080627706e-15,0.07948195943533738,3.76,0.0,0.9273709609036374,0.9999999999956869,7.390622765561882e-28,5.9301588614237245e-21,2.983986640398309e-10,2.983986384134773e-10,4.31318858937979e-12,3.84500271328498e-22,4.782682374706572e-21,2.5622876655760782e-17,2.5621183416907206e-17,3.000187269955781e-24,3.0935837528247584e-24,4.313188622968188e-12,2.939673313257369e-20,4.976939254448669e-24,3.392310711157158e-18,5.9109621836494844e-21
1.1031780499194957e-14,0.07948195943950757,3.76,0.0,0.9273709606009254,0.9999999999913737,5.913615322844245e-27,2.3725435190423636e-20,5.967974543714813e-10,5.967973518660422e-10,8.62637893413968e-12,1.5382131939115664e-21,1.9129984289124738e-20,1.0249059313186877e-16,1.0248474720766109e-16,2.400150289956796e-23,2.4374956173241926e-23,8.626379069387558e-12,1.1758679406931801e-19,3.981510291748516e-23,6.7846643323311415e-18,2.364385695157076e-20
2.2063563336329463e-14,0.07948195944784792,3.76,0.0,0.9273709599955015,0.999999999982747,4.7326770024875815e-26,9.494009345031563e-20,1.1935950344765564e-09,1.1935946244547956e-09,1.7252759405414985e-11,6.154546523482213e-21,7.651393964866028e-20,4.0996035304224573e-16,4.0993890167627915e-16,1.920119922168819e-22,1.935036924932738e-22,1.7252759948076638e-11,4.703458443182671e-19,3.1851903911593147e-22,1.3569524757826392e-17,9.457544844548961e-20
3.3095346173463966e-14,0.07948195945618827,3.76,0.0,0.9273709593900775,0.9999999999741203,1.3535429109039434e-25,2.0180401632699706e-19,1.790392614023406e-09,1.7903917427272128e-09,2.587913965855127e-11,1.3080898002027118e-20,1.625833034485626e-19,8.711642714622711e-16,8.711199830677635e-16,5.490342070172768e-22,5.521996942865208e-22,2.587914081261785e-11,9.994828997831258e-19,9.107638978917268e-22,2.0354563537220596e-17,2.009728455755366e-19
4.412712901059847e-14,0.07948195946452861,3.76,0.0,0.9273709587846536,0.9999999999654932,2.8555747185969932e-25,3.4434236280684396e-19,2.3871901930120303e-09,2.387188706683334e-09,3.450551969365398e-11,2.2318378140072308e-20,2.773341331398976e-19,1.4861021799431993e-15,1.4860278914175343e-15,1.158071973755993e-21,1.1634633325864602e-21,3.450552166301301e-11,1.704997037311307e-18,1.921062878138819e-21,2.7139805841228284e-17,3.4283605202017314e-19
