Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12)
0.0,0.07664757492407602,3.76,0.0,0.6100628377427514,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1537121263691894e-18,0.07664757492407602,3.76,0.0,0.6100628377427513,1.0,3.4617609323069005e-41,2.1797260096081307e-30,1.7660080720185025e-16,1.766008071994174e-16,7.883837622287757e-18,3.95705815456766e-32,5.221659865291462e-31,2.4593835717354978e-27,2.4272892159736034e-27,5.339666715332974e-38,7.201888156530749e-38,7.883837622291799e-18,3.365270851536299e-29,3.502984118463071e-38,9.304787209597175e-26,2.1796817649641364e-30,4.965969763324692e-30,2.541538479058227e-45,1.1662211130981371e-51,3.0222097266331185e-31,5.738554783512988e-43
3.23039395383373e-18,0.07664757492407602,3.76,0.0,0.6100628377427508,1.0,4.109802601177769e-40,1.3165545176190924e-29,4.944822601651804e-16,4.944822601504862e-16,2.207474534228863e-17,2.3900633725628228e-31,3.1538825165784598e-30,1.4750768259015434e-26,1.46608268639914e-26,6.339252324249613e-37,7.464034388213449e-37,2.2074745342416946e-17,2.032623594178222e-28,4.132102664445882e-37,2.6055111094494216e-25,1.3165277865967322e-29,2.9994457370102487e-29,3.840772949514739e-44,1.7798470703641603e-50,1.825414669288077e-30,6.812812238907857e-42
7.383757608762811e-18,0.07664757492407603,3.76,0.0,0.6100628377427502,1.0,4.03502861196027e-39,6.338643353177167e-29,1.1302451660918396e-15,1.1302451660210933e-15,5.045656078182205e-17,1.1507128821542003e-30,1.518458625740384e-29,7.079151466238409e-26,7.058557039317502e-26,6.223915522791674e-36,6.765449980095357e-36,5.0456560782666894e-17,9.786207634022021e-28,4.0431181667947025e-36,5.956258649483874e-25,6.338514580891618e-29,1.4441040071180233e-28,4.1317282745098125e-43,1.9534996291625723e-49,8.788585801074208e-30,6.688859455418583e-41
1.5690484918620974e-17,0.07664757492407606,3.76,0.0,0.6100628377427488,0.9999999999999999,3.568937196224142e-38,2.7682521533469395e-28,2.401770977945154e-15,2.4017709776361864e-15,1.0722019165901551e-16,5.025467687961946e-30,6.63150737702767e-29,3.0870491555383335e-25,3.0826573035282814e-25,5.504982795578754e-35,5.741485379653228e-35,1.072201916631654e-16,4.273893979130712e-27,3.570144380624316e-35,1.2660484781822523e-24,2.7681958501595603e-28,6.306781598835456e-28,3.797770118215838e-42,1.867105938754779e-48,3.8382062660500005e-29,5.916220439097822e-40
3.23039395383373e-17,0.07664757492407608,3.76,0.0,0.6100628377427462,0.9999999999999998,2.9999068996555776e-37,1.1556908393243844e-27,4.94482260165177e-15,4.94482260036189e-15,2.2074745340590903e-16,2.098035682046326e-29,2.76852347387436e-28,1.2878593494313956e-24,1.28694874162683e-24,4.627269738552426e-34,4.726005104481252e-34,2.2074745342415696e-16,1.784266603396198e-26,2.998467075054689e-34,2.6079861255975395e-24,1.1556672795735826e-27,2.6329571679865438e-27,3.249072292667361e-41,1.719753762297454e-47,1.6023755189642292e-28,4.972939757585593e-39
6.553084877776995e-17,0.07664757492407616,3.76,0.0,0.6100628377427408,0.9999999999999996,2.459505155341332e-36,4.721374648973562e-27,1.003092584906494e-14,1.0030925843795363e-14,4.478019768697224e-16,8.57117544236741e-29,1.1310319167196773e-27,5.259478743611699e-24,5.257605527590029e-24,3.793715297513942e-33,3.8340520343864466e-33,4.47801976946118e-16,7.28931125758034e-26,2.4573282683065824e-33,5.296231104535589e-24,4.721277956134841e-27,1.0756489141679663e-26,2.686395802033717e-40,1.6243682384236875e-46,6.546226495058127e-28,4.077116464814977e-38
1.3198466725663525e-16,0.07664757492407631,3.76,0.0,0.6100628377427302,0.9999999999999991,1.9917714179669183e-35,1.908455507602642e-26,2.020313234389105e-14,2.0203132322590565e-14,9.019110236774539e-16,3.4646183701960323e-28,4.5718097656350985e-27,2.1255959622045194e-23,2.12520821371485e-23,3.0722490033768034e-32,3.0885537895604925e-32,9.019110239899519e-16,2.9464561489765703e-25,1.989606818046878e-32,1.0690199801379595e-23,1.9084160642015894e-26,4.347944890660703e-26,2.1845324509636274e-39,1.6501675471160994e-45,2.646089137828873e-27,3.301754618263761e-37
2.6489230421436586e-16,0.0766475749240766,3.76,0.0,0.610062837742709,0.9999999999999982,1.6031515229678368e-34,7.673818764975255e-26,4.054754533354232e-14,4.054754524789402e-14,1.810129116813337e-15,1.3931176320525624e-27,1.838302927936119e-26,8.546188961418123e-23,8.545368737856416e-23,2.472813272290439e-31,2.4793692790692807e-31,1.810129118077267e-15,1.1847570525696903e-24,1.601247562174846e-31,2.1548052171243278e-23,7.673657280860778e-26,1.7482895160736735e-25,1.7619045606672103e-38,1.862042538530359e-44,1.0639805819325494e-26,2.6575393608038447e-36
5.307075781298271e-16,0.07664757492407717,3.76,0.0,0.6100628377426665,0.9999999999999964,1.286429106123762e-33,3.0775470358450445e-25,8.123637131284107e-14,8.123637096935313e-14,3.626565301166787e-15,5.5871035835822595e-27,7.372403536980696e-26,3.427256215393494e-22,3.4270750492475357e-22,1.9842769102474853e-30,1.986905937675036e-30,3.6265653062504875e-15,4.751405628632206e-24,1.2848357702636057e-30,4.3543416978105614e-23,3.0774799603146724e-25,7.011422888984393e-25,1.4152575577482417e-37,2.3489491022229735e-43,4.2670362261196337e-26,2.1325079676362122e-35
1.0623381259607495e-15,0.07664757492407834,3.76,0.0,0.6100628377425814,0.9999999999999928,1.0307102898950798e-32,1.232626049873725e-24,1.6261402327142347e-13,1.6261402189568005e-13,7.259437662200416e-15,2.237818766664857e-26,2.9527961020246113e-25,1.372660565151826e-21,1.3726175600638679e-21,1.5898361689500868e-29,1.590888709380557e-29,7.259437682591281e-15,1.9030405332472185e-23,1.0294062738698151e-29,8.865278815982863e-23,1.2325973317186034e-24,2.8082262846862156e-24,1.1345041032995201e-36,3.250953709318876e-42,1.7090387353639056e-25,1.7086014043257847e-34
2.1255992216225944e-15,0.07664757492408067,3.76,0.0,0.6100628377424114,0.9999999999999856,8.251974416372065e-32,4.9337324902947894e-24,3.2536932718852787e-13,3.2536932168196876e-13,1.452518235357463e-14,8.957612238373334e-26,1.1818793657449354e-24,5.494160307413756e-21,5.4940472848754356e-21,1.2728356019947885e-28,1.273256119316628e-28,1.4525182435250308e-14,7.617121293774142e-23,8.241405870430132e-29,1.8334610719093535e-22,4.933602709518072e-24,1.1240223510263676e-23,9.085234011779477e-36,4.794387266149028e-41,6.840597382623237e-25,1.3679200174706135e-33
4.252121412946284e-15,0.0766475749240853,3.76,0.0,0.6100628377420714,0.999999999999971,6.604127391570368e-31,1.974148428381125e-23,6.508799350224948e-13,6.508799129890862e-13,2.9056671613551095e-14,3.5846159999248394e-25,4.728988143648381e-24,2.1983678699992383e-20,2.1983344667402672e-20,1.0186552877175945e-27,1.0188222593575439e-27,2.905667194047813e-14,3.04784044864477e-22,6.595587834450835e-28,3.9063113508912196e-22,1.9740846286458997e-23,4.4975534490860635e-23,7.271869424924494e-35,7.344809219241398e-40,2.737120825329408e-24,1.0947517387253974e-32
8.505165795593664e-15,0.07664757492409462,3.76,0.0,0.6100628377413913,0.9999999999999419,5.284369187210253e-30,7.897981489187241e-23,1.301901150689462e-12,1.3019010625414826e-12,5.81196496424181e-14,1.4344033128490654e-24,1.8918481531589506e-23,8.794878702061584e-20,8.794768696223234e-20,8.15078944153902e-27,8.151436371446314e-27,5.811965095057305e-14,1.219334446989519e-21,5.277455466613189e-27,8.767954155519182e-22,7.897631269027783e-23,1.799314193172877e-22,5.818968694103708e-34,1.1490525924729661e-38,1.0950192341791313e-23,8.759676995293659e-32
1.7011254560888424e-14,0.07664757492411318,3.76,0.0,0.6100628377400311,0.9999999999998838,4.2279989680815677e-29,3.1595315515316024e-22,2.603943582019529e-12,2.6039432293989345e-12,1.1624560373582315e-13,5.7406681954554555e-24,7.567568204896607e-23,3.5182325702958184e-19,3.51819328056149e-19,6.521249810671427e-26,6.521474559627479e-26,1.162456089693217e-13,4.877733175581163e-21,4.2223580745526524e-26,2.1355061977216172e-21,3.1593154620524737e-22,7.19784214410632e-22,4.655764142030272e-33,1.8175824281911432e-37,4.3803748047961943e-23,7.008406631260846e-31
3.402343209147794e-14,0.07664757492415035,3.76,0.0,0.6100628377373107,0.9999999999997675,3.382723295665604e-28,1.2639295195192977e-21,5.208028444664191e-12,5.208027034124583e-12,2.324975040654371e-13,2.2984308428473976e-23,3.026798260576047e-22,1.4073489483232534e-18,1.4073341673404423e-18,5.2172461013455575e-25,5.217281262814524e-25,2.324975250010681e-13,1.951171410018911e-20,3.378043277078164e-25,5.798499227635463e-21,1.2637822855817026e-21,2.879253698193142e-21,3.7248467677226905e-32,2.8914066109867764e-36,1.7521743272878475e-22,5.606990900830037e-30
6.804778715265698e-14,0.07664757492422469,3.76,0.0,0.6100628377318701,0.999999999999535,2.7065045509960542e-27,5.056344724520674e-21,1.0416198169891636e-11,1.0416192527619724e-11,4.650012732968352e-13,9.210466357823555e-23,1.2104622652710527e-21,5.629505238420963e-18,5.629447922901171e-18,4.1738936833918394e-24,4.173819945495456e-24,4.650013570416676e-13,7.804834397983041e-20,2.702496276174368e-24,1.7707111794076717e-20,5.055269407562644e-21,1.1517246574770726e-20,2.9799712227207703e-31,4.6128667299622966e-35,7.008464780722131e-22,4.485698269972253e-29
