Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300),O[C](F)F(239),H2O2(11),CF2CH(72)
0.0,0.08248621053509891,3.76,0.0,0.9018541955745701,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.135863526593475e-22,0.08248621053509891,3.76,0.0,0.9018541955745701,0.9999999999999998,3.950964516276004e-53,1.257203448399935e-38,5.360809132674596e-21,5.360809132674586e-21,3.151685841450929e-22,1.6542900598288343e-40,2.1800083103089828e-39,3.316346359524797e-34,9.752331975815191e-36,2.7448924390112094e-50,9.48805781320163e-29,3.151685841447713e-22,2.9229888400786257e-37,9.81043393897231e-25,3.813003026804325e-31,1.2573686251366937e-38,3.1362822714359733e-38,3.2093832920151904e-46,3.1267809809943207e-44,9.727589896927562e-40,2.1106855450241417e-55,2.9622513800853667e-51,9.81043393897231e-25,1.117504342627096e-47,7.256907231736944e-66,3.7580663793005897e-44,6.3792392423578954e-43,3.57071421345385e-16,6.931031021521726e-70,2.7533387834376397e-59,8.670049067748349e-59,3.0976258652347183e-44,9.488057813203589e-29,3.116358141947023e-74,1.548005509888043e-73,7.210418670288076e-66,8.933327037343219e-68,4.742312066909171e-53,6.030648821689052e-68,1.4415138745800705e-79,2.766074349228434e-52,1.517893610493691e-65,4.348480182909361e-45,3.398343938369185e-80,1.0455505443484103e-57,1.3460980564926005e-40,1.2174726082948796e-62
5.980417874461729e-22,0.08248621053509891,3.76,0.0,0.9018541955745701,0.999999999999999,4.690585073724743e-52,7.593508828338914e-38,1.5010265571488867e-20,1.501026557148881e-20,8.824720356062588e-22,9.991911961603477e-40,1.316725019423219e-38,9.601746635646737e-34,5.890408513392348e-35,3.2587363035940933e-49,2.656656187695818e-28,8.824720356053594e-22,1.7654852594074777e-36,2.7469215029122464e-24,1.067640952278082e-30,7.594506495825832e-38,1.894314491947324e-37,1.9384675083860646e-45,1.8885757125205673e-43,5.8754642977420887e-39,2.50580587905277e-54,1.7891998346308454e-50,2.7469215029122464e-24,6.749726229505798e-47,8.615400270188692e-65,2.2698720932755775e-43,3.853060502365898e-42,9.997999797638511e-16,8.228520030244242e-69,4.1608455642429824e-58,1.3102175976542303e-57,1.870966022601792e-43,2.656656187697001e-28,8.78862717062059e-73,1.837792143931299e-72,8.560209045366032e-65,1.0605645858733994e-66,5.63007288582124e-52,7.159586281140682e-67,4.531927125384397e-78,1.6707262019132457e-51,1.8020432943780895e-64,2.6264820304622444e-44,7.605650452068701e-79,1.2412776062499676e-56,8.130432261215305e-40,1.8398445737926604e-61
1.3669526570198239e-21,0.08248621053509893,3.76,0.0,0.9018541955745701,0.9999999999999977,4.605244240177113e-51,3.6559476279519756e-37,3.430917844911741e-20,3.4309178449117125e-20,2.017078938528585e-21,4.810675494338228e-39,6.339464166327421e-38,2.3436454503799813e-33,2.835978138567014e-34,3.19944662691142e-48,6.072357000444575e-28,2.0170789385265338e-21,8.500051546948458e-36,6.278677720942278e-24,2.440322670564866e-30,3.6564279618978104e-37,9.120308845335746e-37,9.332886613310979e-45,9.092679092731444e-43,2.828783142023297e-38,2.460215071280475e-53,8.614227028874856e-50,6.278677720942278e-24,3.2497026284157162e-46,8.458651083524502e-64,1.0928457033676447e-42,1.855082771650271e-41,2.2852570965878754e-15,8.078809763152154e-68,4.4760477859499443e-57,1.4094722280469795e-56,9.007896016102884e-43,6.0723570004502675e-28,1.9117182696378675e-71,1.8043552300731195e-71,8.404464002087862e-64,1.0412685994727615e-65,5.527638945148015e-51,7.029324266654728e-66,1.0110213938374553e-76,8.043998690822711e-51,1.7692567923913815e-63,1.2645380371675293e-43,1.503074709374996e-77,1.2186937144910651e-55,3.914453148280479e-39,1.9792208246079725e-60
2.904774396167126e-21,0.08248621053509889,3.76,0.0,0.9018541955745701,0.9999999999999951,4.073286377712102e-50,1.596648379473049e-36,7.290700420437449e-20,7.290700420437327e-20,4.286292744373216e-21,2.100948376350465e-38,2.768610554039607e-37,5.6161499503742585e-33,1.2385461609284855e-33,2.829874308922903e-47,1.2903758625931873e-27,4.286292744368878e-21,3.712195826899667e-35,1.334219015700234e-23,5.185687783504372e-30,1.5968581539239174e-36,3.983078484723623e-36,4.075916780993274e-44,3.97101184586275e-42,1.2354039169064553e-37,2.1760323694987955e-52,3.762059268673343e-49,1.334219015700234e-23,1.4192305151938964e-45,7.481581109209645e-63,4.772744304471098e-42,8.10163383751134e-41,4.856171330184294e-15,7.145615751194421e-67,4.114259069753303e-56,1.295547781122139e-55,3.9339848488484235e-42,1.2903758625956738e-27,3.544003406104929e-70,1.5959317765107257e-70,7.433653232320373e-63,9.209902842420117e-65,4.8891340484139225e-50,6.217357709403056e-65,1.8935119153403512e-75,3.5131750835648486e-50,1.564887596674441e-62,5.522569832062259e-43,2.6749078097256233e-76,1.0779207891984106e-54,1.709544531745599e-38,1.8192449235593834e-59
5.98041787446173e-21,0.08248621053509891,3.76,0.0,0.9018541955745701,0.99999999999999,3.4238426343946444e-49,6.66569268346264e-36,1.5010265571488867e-19,1.501026557148835e-19,8.824720356062392e-21,8.771045900523082e-38,1.1558404060783015e-36,1.4183410655817303e-32,5.170686413576817e-33,2.3786798693679195e-46,2.6566561876865602e-27,8.824720356053541e-21,1.5497686830095183e-34,2.7469215029122465e-23,1.0676424714847138e-29,6.666568450477597e-36,1.662856860315295e-35,1.7016150215465292e-43,1.6578192761231555e-41,5.157568163320887e-37,1.8290863223504807e-51,1.570585696029165e-48,2.7469215029122465e-23,5.925008025124043e-45,6.288719749934279e-62,1.9925267967885855e-41,3.3822726460432857e-40,9.997999797170609e-15,6.006320603424347e-66,3.5198352539600744e-55,1.1083683923654818e-54,1.6423612337477433e-41,2.6566561876969412e-27,6.091236297403609e-69,1.3414768356908526e-69,6.248433452973233e-62,7.741478277330381e-64,4.109611760033016e-49,5.226063778845237e-64,3.270556055150073e-74,1.4668062257166484e-49,1.3153823165558196e-61,2.305564192769177e-42,4.511840027598532e-75,9.060573729181312e-54,7.137011895523728e-38,1.5564023322755028e-58
1.2131704831050938e-20,0.08248621053509891,3.76,0.0,0.9018541955745701,0.9999999999999797,2.8070730515551864e-48,2.723152957411299e-35,3.0449395873591704e-19,3.0449395873589586e-19,1.7901575579440393e-20,3.5832584439946258e-37,4.7219852000593246e-36,3.940693888852012e-32,2.1123941152891374e-32,1.9501854706921214e-45,5.3892168378569616e-27,1.790157557942277e-20,6.331310747162476e-34,5.572326477336271e-23,2.165792539938769e-29,2.7235107367934945e-35,6.793312851220686e-35,6.951652586851125e-43,6.772732676072654e-41,2.1070348820086072e-36,1.4995954758049943e-50,6.416355100210165e-48,5.572326477336271e-23,2.4205591067392786e-44,5.155872446264315e-61,8.140122121246481e-41,1.3817687366358984e-39,2.0281656730317153e-14,4.9243445318813735e-65,2.910267854815526e-54,9.164204165033955e-54,6.709581529135505e-41,5.38921683789937e-27,1.0095777405041609e-67,1.0998237838143482e-68,5.122843259195958e-61,6.346931612173651e-63,3.3693080130209466e-48,4.2846428316784177e-63,5.434066037832635e-73,5.99340146055857e-49,1.0784298951644309e-60,9.418982013616362e-42,7.410886314253047e-74,7.428405759941907e-53,2.9157022342851984e-37,1.2868635456023363e-57
2.4434278744229352e-20,0.08248621053509891,3.76,0.0,0.9018541955745701,0.9999999999999591,2.2732405354644855e-47,1.1007419648718327e-34,6.132765647779738e-19,6.13276564777888e-19,3.605528602619501e-20,1.448410355608692e-36,1.9087019157434491e-35,1.2221002264118272e-31,8.538634756758275e-32,1.5793107561390024e-44,1.0854338138132384e-26,3.605528602616086e-20,2.559217032951985e-33,1.1223136426184321e-22,4.3621034055888864e-29,1.100886585003165e-34,2.745965670190822e-34,2.8099691233910057e-42,2.737646834347383e-40,8.516971878865454e-36,1.2144112959469521e-49,2.5935933706711127e-47,1.1223136426184321e-22,9.784286925361586e-44,4.175359257838535e-60,3.2903675195596458e-40,5.585330158392912e-39,4.08489705933059e-14,3.9878618977981775e-64,2.3665814869913694e-53,7.452178615744429e-53,2.712120131056576e-40,1.0854338138303808e-26,1.6438356306750456e-66,8.906658559634849e-68,4.148611289978026e-60,5.139909774854546e-62,2.728552983929293e-47,3.4698148524572313e-62,8.858889770254171e-72,2.42345279488648e-48,8.733404892869833e-60,3.807303125727796e-41,1.2013507336405867e-72,6.015715578747853e-52,1.1785734611659556e-36,1.0464560633602324e-56
4.9039426570586184e-20,0.08248621053509891,3.76,0.0,0.9018541955745701,0.999999999999918,1.8297017504495195e-46,4.426035028490814e-34,1.230841776862087e-18,1.2308417768617427e-18,7.23627069196987e-20,5.823994345931397e-36,7.674806454090738e-35,4.172402992954567e-31,3.4333474814113997e-31,1.2711666934708209e-43,2.1784580738421713e-26,7.236270691963555e-20,1.0290499131040869e-32,2.2524756323880426e-22,8.754768051857151e-29,4.4266165395548226e-34,1.1041407187877947e-33,1.129876226162987e-41,1.1007957514827852e-39,3.4246369334028607e-35,9.774638623760154e-49,1.0428725278994573e-46,2.252475632388041e-22,3.9342187412921854e-43,3.360692500826685e-59,1.3230423151270836e-39,2.2458366907892967e-38,8.198359830606603e-14,3.209778229525988e-63,1.9087337045446804e-52,6.0104520209401246e-52,1.0905315763610042e-39,2.1784580739110995e-26,2.653157332331091e-65,7.168854330152022e-67,3.339163287200235e-59,4.1370465488503154e-61,2.1961768198498084e-46,2.7928088611273924e-61,1.4307123174209078e-70,9.751224354505482e-48,7.02940404683007e-59,1.5308998411312678e-40,1.9347496578451746e-71,4.841971253077496e-51,4.7389920518042356e-36,8.440047254809057e-56
9.824972222329985e-20,0.08248621053509891,3.76,0.0,0.9018541955745701,0.9999999999998357,1.468220424225912e-45,1.7750380057853426e-33,2.4659722010303137e-18,2.4659722010289324e-18,1.449775487066839e-19,2.3356822247963265e-35,3.0779406511130364e-34,1.5249972891991679e-30,1.3769259002643564e-30,1.0200312162276428e-42,4.364506593795429e-26,1.4497754870657896e-19,4.1269504053662906e-32,4.512799611927263e-22,1.7540269004265804e-28,1.775271217631706e-33,4.428098121344202e-33,4.531309019139335e-41,4.4146833063784714e-39,1.373432580856267e-34,7.843531910376223e-48,4.182385598587605e-46,4.512799611927258e-22,1.5777976786643624e-42,2.6967442788023617e-58,5.305991485539819e-39,9.006809599252144e-38,1.642528536787168e-13,2.5756449454619537e-62,1.5331987128751125e-51,4.827921923082557e-51,4.3735193733830797e-39,4.364506594071862e-26,4.263552604681672e-64,5.752555179805191e-66,2.6794682448209077e-58,3.3197193133662446e-60,1.762293586964776e-45,2.2410532273801318e-60,2.299827668063398e-69,3.9159927357644895e-47,5.640654051168401e-58,6.139593069841808e-40,3.1057107674452473e-70,3.8853769936942074e-50,1.900547769373383e-35,6.77950494414773e-55
